YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,55454,Carl Yuan,"42' 5""",594.333,14,+3
2024,0,50484,Hayden Springer,"47' 1""",612.333,13,+1
2024,0,36801,Mark Hubbard,"48' 10""",1270.333,26,+1
2024,0,34587,Chan Kim,"49' 2""",1131.417,23,-1
2024,0,31646,Emiliano Grillo,"49' 5""",1185.583,24,-5
2024,0,35450,Patrick Cantlay,"50' 5""",856.667,17,+3
2024,0,34563,Chesson Hadley,"50' 8""",1013.833,20,-2
2024,0,33948,Byeong Hun An,"51' 0""",816.25,16,-3
2024,0,30163,Henrik Norlander,"51' 4""",307.833,6,-2
2024,0,29478,Kevin Kisner,"52' 2""",835.167,16,+5
2024,0,56149,Wilson Furr,"52' 3""",731.5,14,+2
2024,0,48867,Matti Schmid,"52' 4""",889.333,17,E
2024,0,29936,Ryan Fox,"53' 0""",1430.333,27,+11
2024,0,29725,Tony Finau,"53' 2""",1168.75,22,-4
2024,0,49947,Taylor Moore,"53' 2""",1702.0,32,E
2024,0,52374,Brandon Wu,"53' 5""",907.917,17,+1
2024,0,57362,Austin Eckroat,"53' 10""",592.167,11,+2
2024,0,54591,Ben Griffin,"54' 0""",1727.917,32,E
2024,0,36884,Ben Kohles,"54' 0""",863.833,16,+5
2024,0,45242,Kevin Yu,"54' 3""",868.25,16,+1
2024,0,47483,Will Zalatoris,"54' 3""",1247.5,23,-2
2024,0,33204,Shane Lowry,"54' 4""",489.083,9,+2
2024,0,28237,Rory McIlroy,"54' 5""",599.0,11,-1
2024,0,52215,Robert MacIntyre,"55' 2""",1048.333,19,-2
2024,0,51890,Greyson Sigg,"55' 6""",1387.917,25,+3
2024,0,39546,Keith Mitchell,"55' 7""",1222.75,22,-1
2024,0,51997,Andrew Novak,"55' 8""",1503.0,27,+6
2024,0,32366,Kevin Chappell,"56' 2""",955.0,17,+2
2024,0,48117,Kurt Kitayama,"56' 2""",1011.667,18,-2
2024,0,52955,Ludvig Åberg,"56' 4""",563.167,10,-1
2024,0,35617,Martin Trainer,"56' 4""",676.333,12,+4
2024,0,59143,Mac Meissner,"56' 5""",1071.333,19,+1
2024,0,39324,J.J. Spaun,"56' 5""",1296.667,23,-1
2024,0,54628,Lee Hodges,"56' 9""",1929.0,34,+6
2024,0,48081,Xander Schauffele,"56' 10""",1251.083,22,-1
2024,0,38991,Alejandro Tosti,"56' 10""",1136.917,20,-5
2024,0,60004,Jacob Bridgeman,"57' 0""",912.25,16,-1
2024,0,26476,Chez Reavie,"57' 1""",856.167,15,+2
2024,0,39327,Ben Silverman,"57' 3""",1201.667,21,+1
2024,0,35532,Tom Hoge,"57' 6""",2299.5,40,+1
2024,0,59095,Chris Gotterup,"57' 7""",1266.583,22,-6
2024,0,52453,Nicolai Højgaard,"57' 9""",1038.833,18,E
2024,0,46340,Alex Smalley,"57' 10""",924.667,16,-1
2024,0,27064,Jhonattan Vegas,"57' 10""",1040.667,18,E
2024,0,24024,Zach Johnson,"57' 11""",579.0,10,-1
