YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,1,0,47504,Sam Burns,68.89%,62,90
2024,2,0,52955,Ludvig Åberg,68.49%,50,73
2024,3,0,34099,Harris English,68.18%,60,88
2024,4,0,46046,Scottie Scheffler,67.86%,38,56
2024,5,0,50484,Hayden Springer,67.80%,40,59
2024,6,0,49771,J.T. Poston,67.78%,61,90
2024,7,0,46442,Maverick McNealy,66.67%,66,99
2024,8,0,55893,Sam Stevens,66.23%,51,77
2024,9,0,45522,Christiaan Bezuidenhout,65.96%,62,94
2024,10,0,39327,Ben Silverman,65.75%,48,73
2024,11,0,24502,Adam Scott,65.59%,61,93
2024,12,0,56149,Wilson Furr,64.71%,33,51
2024,12,0,57975,Harry Hall,64.71%,55,85
2024,14,0,30911,Tommy Fleetwood,64.29%,45,70
2024,15,0,35617,Martin Trainer,64.06%,41,64
2024,16,0,34021,Bud Cauley,63.93%,39,61
2024,17,0,28775,Nate Lashley,63.38%,45,71
2024,18,0,51634,Sahith Theegala,63.37%,64,101
2024,19,0,22371,Aaron Baddeley,63.04%,58,92
2024,20,0,35506,Mackenzie Hughes,62.39%,73,117
2024,21,0,34098,Russell Henley,62.16%,46,74
2024,22,0,33968,Thorbjørn Olesen,61.36%,27,44
2024,23,0,54628,Lee Hodges,61.25%,49,80
2024,24,0,26476,Chez Reavie,61.11%,33,54
2024,24,0,29221,Webb Simpson,61.11%,33,54
2024,26,0,28237,Rory McIlroy,61.02%,36,59
2024,27,0,23320,Ryan Palmer,60.71%,34,56
2024,28,0,39977,Max Homa,60.47%,52,86
2024,29,0,27936,Martin Laird,60.44%,55,91
2024,30,0,39324,J.J. Spaun,60.29%,41,68
2024,31,0,29725,Tony Finau,60.27%,44,73
2024,32,0,48081,Xander Schauffele,60.00%,42,70
2024,32,0,33486,Roger Sloan,60.00%,42,70
2024,32,0,25493,Nick Taylor,60.00%,54,90
2024,32,0,52666,Sami Valimaki,60.00%,42,70
2024,36,0,47993,Denny McCarthy,59.83%,70,117
2024,36,0,49947,Taylor Moore,59.83%,70,117
2024,38,0,47347,Adam Schenk,59.77%,52,87
2024,39,0,32839,Hideki Matsuyama,59.38%,38,64
