YEAR,MOVEMENT,PLAYER_ID,PLAYER,VALUE
2024,0,46046,Scottie Scheffler,28
2024,0,60004,Jacob Bridgeman,19
2024,0,55893,Sam Stevens,17
2024,0,47504,Sam Burns,16
2024,0,51349,Nico Echavarria,16
2024,0,51977,Max Greyserman,16
2024,0,35532,Tom Hoge,16
2024,0,56630,Akshay Bhatia,15
2024,0,40006,Erik van Rooyen,15
2024,0,35461,Beau Hossler,14
2024,0,39324,J.J. Spaun,14
2024,0,33948,Byeong Hun An,13
2024,0,54576,Patrick Fishburn,13
2024,0,23108,Matt Kuchar,13
2024,0,48867,Matti Schmid,13
2024,0,32102,Rickie Fowler,12
2024,0,52375,Doug Ghim,12
2024,0,25900,Lucas Glover,12
2024,0,39971,Sungjae Im,12
2024,0,34587,Chan Kim,12
2024,0,32839,Hideki Matsuyama,12
2024,0,46442,Maverick McNealy,12
2024,0,59143,Mac Meissner,12
2024,0,39546,Keith Mitchell,12
2024,0,51890,Greyson Sigg,12
2024,0,40115,Adam Svensson,12
2024,0,54783,Dylan Wu,12
2024,0,54591,Ben Griffin,11
2024,0,51287,Ryo Hisatsune,11
2024,0,32757,Patton Kizzire,11
2024,0,40162,Justin Lower,11
2024,0,26596,Ryan Moore,11
2024,0,27349,Alex Noren,11
2024,0,49771,J.T. Poston,11
2024,0,46340,Alex Smalley,11
2024,0,50095,Austin Smotherman,11
2024,0,33448,Justin Thomas,11
2024,0,27064,Jhonattan Vegas,11
2024,0,40026,Daniel Berger,10
2024,0,40058,Zac Blair,10
2024,0,32367,Jorge Campillo,10
2024,0,47591,Eric Cole,10
2024,0,50497,Adrien Dumont de Chassart,10
2024,0,29725,Tony Finau,10
2024,0,59095,Chris Gotterup,10
2024,0,57975,Harry Hall,10
2024,0,39975,Michael Kim,10
2024,0,27936,Martin Laird,10
2024,0,36326,David Lipsky,10
2024,0,49947,Taylor Moore,10
2024,0,30163,Henrik Norlander,10
2024,0,51997,Andrew Novak,10
2024,0,48153,Matthieu Pavon,10
2024,0,46414,Aaron Rai,10
2024,0,47983,Chad Ramey,10
2024,0,48081,Xander Schauffele,10
2024,0,50484,Hayden Springer,10
2024,0,48119,Ben Taylor,10
2024,0,58168,Davis Thompson,10
2024,0,51894,Vince Whaley,10
2024,0,47483,Will Zalatoris,10
2024,0,59836,Pierceson Coody,9
2024,0,34099,Harris English,9
2024,0,54421,Garrick Higgo,9
2024,0,51696,Rico Hoey,9
2024,0,39977,Max Homa,9
2024,0,36799,Stephan Jaeger,9
2024,0,27129,Luke List,9
2024,0,36871,Matt NeSmith,9
2024,0,25818,Scott Piercy,9
2024,0,26476,Chez Reavie,9
2024,0,37275,Sam Ryder,9
2024,0,47347,Adam Schenk,9
2024,0,25493,Nick Taylor,9
2024,0,57364,Michael Thorbjornsen,9
2024,0,31323,Gary Woodland,9
2024,0,52513,Carson Young,9
2024,0,33141,Keegan Bradley,8
2024,0,48084,Wesley Bryan,8
2024,0,32070,Rafael Campos,8
2024,0,66743,Luke Clanton,8
2024,0,51766,Wyndham Clark,8
2024,0,28089,Jason Day,8
2024,0,57362,Austin Eckroat,8
2024,0,30911,Tommy Fleetwood,8
2024,0,34563,Chesson Hadley,8
2024,0,33399,Adam Hadwin,8
2024,0,27644,Brian Harman,8
2024,0,34098,Russell Henley,8
2024,0,54628,Lee Hodges,8
2024,0,50188,S.H. Kim,8
2024,0,37455,Si Woo Kim,8
2024,0,48117,Kurt Kitayama,8
2024,0,47993,Denny McCarthy,8
2024,0,46113,Ryan McCormick,8
2024,0,28237,Rory McIlroy,8
2024,0,50525,Collin Morikawa,8
2024,0,29289,S.Y. Noh,8
2024,0,47679,Victor Perez,8
2024,0,28252,Seamus Power,8
2024,0,34256,Andrew Putnam,8
2024,0,24502,Adam Scott,8
2024,0,46441,Robby Shelton,8
2024,0,34046,Jordan Spieth,8
2024,0,32333,Kevin Tway,8
2024,0,45242,Kevin Yu,8
2024,0,28259,Sangmoon Bae,7
2024,0,34255,Joseph Bramlett,7
2024,0,35450,Patrick Cantlay,7
2024,0,52372,Cameron Champ,7
2024,0,39997,Corey Conners,7
2024,0,59442,Parker Coody,7
2024,0,45157,Cam Davis,7
2024,0,47959,Bryson DeChambeau,7
2024,0,33653,Thomas Detry,7
2024,0,37338,Zecheng Dou,7
2024,0,59866,Nick Dunlap,7
2024,0,56762,Will Gordon,7
2024,0,35310,Lanto Griffin,7
2024,0,32448,James Hahn,7
2024,0,47988,Nick Hardy,7
2024,0,60067,Joe Highsmith,7
2024,0,46717,Viktor Hovland,7
2024,0,36801,Mark Hubbard,7
2024,0,35506,Mackenzie Hughes,7
2024,0,24024,Zach Johnson,7
2024,0,55182,Tom Kim,7
2024,0,30926,Chris Kirk,7
2024,0,32791,K.H. Lee,7
2024,0,33204,Shane Lowry,7
2024,0,33413,Ben Martin,7
2024,0,55789,Taylor Montgomery,7
2024,0,46601,Trey Mullinax,7
2024,0,57900,Chandler Phillips,7
2024,0,47995,Davis Riley,7
2024,0,36699,Patrick Rodgers,7
2024,0,39327,Ben Silverman,7
