YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2024,0,35310,Lanto Griffin,"28' 9""",14844.417,517
2024,0,50188,S.H. Kim,"28' 9""",19105.917,665
2024,0,33408,Tyson Alexander,"28' 4""",13129.75,464
2024,0,35506,Mackenzie Hughes,"28' 2""",18486.667,656
2024,0,32367,Jorge Campillo,"27' 11""",9836.0,352
2024,0,34099,Harris English,"27' 11""",17905.5,641
2024,0,29478,Kevin Kisner,"27' 9""",10102.667,364
2024,0,37212,Paul Barjon,"27' 7""",9726.5,353
2024,0,47983,Chad Ramey,"27' 7""",15485.75,562
2024,0,45609,Tyler Duncan,"27' 6""",14158.833,515
2024,0,27349,Alex Noren,"27' 6""",14164.5,515
2024,0,34256,Andrew Putnam,"27' 6""",18048.917,657
2024,0,50493,Justin Suh,"27' 5""",14051.75,512
2024,0,48887,Matt Wallace,"27' 5""",13203.75,482
2024,0,52372,Cameron Champ,"27' 4""",11700.667,428
2024,0,55789,Taylor Montgomery,"27' 3""",9225.417,339
2024,0,23108,Matt Kuchar,"27' 2""",15216.167,560
2024,0,24502,Adam Scott,"27' 2""",13620.833,502
2024,0,54421,Garrick Higgo,"27' 1""",14694.25,543
2024,0,51894,Vince Whaley,"27' 1""",11575.333,427
2024,0,28420,Ryan Brehm,"27' 0""",10312.417,382
2024,0,28089,Jason Day,"27' 0""",11949.167,442
2024,0,29420,Billy Horschel,"27' 0""",15005.833,555
2024,0,46113,Ryan McCormick,"26' 11""",10351.25,385
2024,0,47663,Kevin Dougherty,"26' 10""",11883.5,443
2024,0,34466,Peter Malnati,"26' 10""",14239.0,530
2024,0,48119,Ben Taylor,"26' 10""",11989.167,447
2024,0,35617,Martin Trainer,"26' 10""",8263.167,308
2024,0,32333,Kevin Tway,"26' 10""",10479.5,391
2024,0,59836,Pierceson Coody,"26' 9""",13894.583,520
2024,0,48867,Matti Schmid,"26' 9""",13964.583,522
2024,0,30927,Brendon Todd,"26' 9""",17911.917,669
2024,0,34374,Erik Barnes,"26' 8""",9302.833,349
2024,0,40098,Matt Fitzpatrick,"26' 8""",12837.583,482
2024,0,47679,Victor Perez,"26' 8""",14522.833,544
2024,0,47995,Davis Riley,"26' 8""",15003.667,562
2024,0,22371,Aaron Baddeley,"26' 7""",12110.667,456
2024,0,33653,Thomas Detry,"26' 7""",12961.667,488
2024,0,37378,Min Woo Lee,"26' 7""",13113.75,494
2024,0,47993,Denny McCarthy,"26' 7""",16046.5,603
2024,0,33968,Thorbjørn Olesen,"26' 7""",8733.75,329
2024,0,59095,Chris Gotterup,"26' 6""",14430.5,545
2024,0,27649,Brandt Snedeker,"26' 6""",10588.917,399
2024,0,50497,Adrien Dumont de Chassart,"26' 5""",13014.167,493
2024,0,24024,Zach Johnson,"26' 5""",9399.333,356
2024,0,36801,Mark Hubbard,"26' 4""",19253.0,732
2024,0,36871,Matt NeSmith,"26' 4""",15300.083,581
2024,0,49771,J.T. Poston,"26' 4""",16413.667,624
2024,0,46414,Aaron Rai,"26' 4""",18229.25,693
2024,0,27770,Camilo Villegas,"26' 4""",10046.5,381
2024,0,35461,Beau Hossler,"26' 3""",17676.583,673
2024,0,27936,Martin Laird,"26' 3""",12579.0,479
2024,0,47806,Raul Pereda,"26' 3""",6966.917,265
2024,0,39327,Ben Silverman,"26' 3""",16107.583,614
2024,0,32366,Kevin Chappell,"26' 2""",9038.333,345
2024,0,36884,Ben Kohles,"26' 2""",16700.667,639
2024,0,40250,Taylor Pendrith,"26' 2""",14569.75,557
2024,0,22405,Justin Rose,"26' 2""",10818.083,414
2024,0,50484,Hayden Springer,"26' 2""",11790.083,451
2024,0,38991,Alejandro Tosti,"26' 2""",12210.25,466
2024,0,60004,Jacob Bridgeman,"26' 1""",12788.25,491
2024,0,51977,Max Greyserman,"26' 1""",13415.333,515
2024,0,34563,Chesson Hadley,"26' 1""",13738.583,526
2024,0,52215,Robert MacIntyre,"26' 1""",13786.167,529
2024,0,46442,Maverick McNealy,"26' 1""",17135.917,657
2024,0,48081,Xander Schauffele,"26' 1""",15646.0,600
2024,0,51634,Sahith Theegala,"26' 1""",18369.583,704
2024,0,60067,Joe Highsmith,"26' 0""",12645.083,486
2024,0,40162,Justin Lower,"26' 0""",18219.0,700
2024,0,47347,Adam Schenk,"26' 0""",16784.583,646
2024,0,46441,Robby Shelton,"26' 0""",13376.0,515
2024,0,55893,Sam Stevens,"26' 0""",17581.5,677
2024,0,48699,Callum Tarren,"26' 0""",12339.333,474
2024,0,54576,Patrick Fishburn,"25' 11""",13881.417,535
2024,0,36326,David Lipsky,"25' 10""",12530.917,485
2024,0,52374,Brandon Wu,"25' 10""",13658.167,529
2024,0,54783,Dylan Wu,"25' 10""",15011.083,582
2024,0,40058,Zac Blair,"25' 9""",15861.417,615
2024,0,29908,C.T. Pan,"25' 9""",12541.083,487
2024,0,48153,Matthieu Pavon,"25' 9""",11235.667,436
2024,0,56630,Akshay Bhatia,"25' 8""",16517.583,643
2024,0,55708,Hayden Buckley,"25' 8""",12713.333,495
2024,0,54591,Ben Griffin,"25' 8""",20116.917,784
2024,0,49947,Taylor Moore,"25' 8""",18925.583,738
2024,0,34046,Jordan Spieth,"25' 8""",12999.167,507
2024,0,49960,Sepp Straka,"25' 8""",14209.667,554
2024,0,31646,Emiliano Grillo,"25' 7""",16656.25,652
2024,0,39971,Sungjae Im,"25' 7""",16113.5,629
2024,0,47420,Jake Knapp,"25' 7""",14114.167,552
2024,0,51070,Vincent Norrman,"25' 7""",10743.333,420
2024,0,27214,Kevin Streelman,"25' 7""",12401.917,484
2024,0,58168,Davis Thompson,"25' 7""",17243.333,673
2024,0,31323,Gary Woodland,"25' 7""",15653.0,612
2024,0,34255,Joseph Bramlett,"25' 6""",15755.25,617
2024,0,52514,Trace Crowe,"25' 6""",10784.5,423
2024,0,59866,Nick Dunlap,"25' 6""",12139.167,476
2024,0,47988,Nick Hardy,"25' 6""",17484.917,686
2024,0,28237,Rory McIlroy,"25' 6""",12895.167,506
2024,0,32070,Rafael Campos,"25' 5""",9047.5,356
