YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
2024,1,0,48081,Xander Schauffele,67.73,1761,26
2024,2,0,46046,Scottie Scheffler,68.39,1573,23
2024,3,0,57975,Harry Hall,68.55,3496,51
2024,4,0,39975,Michael Kim,68.6,2950,43
2024,5,0,48117,Kurt Kitayama,68.61,2813,41
2024,6,0,47504,Sam Burns,68.7,2061,30
2024,7,0,57900,Chandler Phillips,68.74,3162,46
2024,8,0,39327,Ben Silverman,68.86,3030,44
2024,9,0,39971,Sungjae Im,68.95,2689,39
2024,10,0,52955,Ludvig Åberg,69.0,2208,32
2024,10,0,32839,Hideki Matsuyama,69.0,2001,29
2024,10,0,59143,Mac Meissner,69.0,3105,45
2024,13,0,39546,Keith Mitchell,69.02,3106,45
2024,14,0,29420,Billy Horschel,69.05,2762,40
2024,15,0,28237,Rory McIlroy,69.08,1658,24
2024,16,0,51766,Wyndham Clark,69.09,2349,34
2024,16,0,34587,Chan Kim,69.09,3040,44
2024,18,0,50525,Collin Morikawa,69.1,2004,29
2024,19,0,39997,Corey Conners,69.11,2626,38
2024,20,0,60004,Jacob Bridgeman,69.13,2765,40
2024,20,0,28089,Jason Day,69.13,2627,38
2024,22,0,54591,Ben Griffin,69.16,4426,64
2024,23,0,54576,Patrick Fishburn,69.17,2490,36
2024,24,0,46442,Maverick McNealy,69.18,3390,49
2024,25,0,40250,Taylor Pendrith,69.2,2422,35
2024,25,0,24502,Adam Scott,69.2,2422,35
2024,27,0,51977,Max Greyserman,69.22,2492,36
2024,28,0,28252,Seamus Power,69.24,2908,42
2024,29,0,55893,Sam Stevens,69.25,3532,51
2024,30,0,47983,Chad Ramey,69.26,2701,39
2024,31,0,52375,Doug Ghim,69.27,3533,51
2024,31,0,50484,Hayden Springer,69.27,2286,33
2024,33,0,35450,Patrick Cantlay,69.28,2217,32
2024,34,0,46414,Aaron Rai,69.29,3118,45
2024,35,0,36699,Patrick Rodgers,69.31,3327,48
2024,36,0,51287,Ryo Hisatsune,69.33,3813,55
2024,37,0,60067,Joe Highsmith,69.36,2705,39
2024,37,0,40162,Justin Lower,69.36,3260,47
2024,37,0,48887,Matt Wallace,69.36,2497,36
2024,40,0,34098,Russell Henley,69.37,2081,30
2024,41,0,29725,Tony Finau,69.38,2567,37
2024,42,0,35461,Beau Hossler,69.39,2845,41
