YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
2024,1,0,46046,Scottie Scheffler,67.9,3463,51
2024,2,0,51977,Max Greyserman,68.27,2253,33
2024,3,0,52513,Carson Young,68.4,1368,20
2024,4,0,51997,Andrew Novak,68.64,1922,28
2024,5,0,58168,Davis Thompson,68.67,2060,30
2024,6,0,52215,Robert MacIntyre,68.73,2062,30
2024,7,0,54591,Ben Griffin,68.78,2476,36
2024,8,0,35461,Beau Hossler,68.82,1927,28
2024,9,0,35310,Lanto Griffin,68.87,1033,15
2024,10,0,29535,Brice Garnett,68.91,758,11
2024,10,0,48081,Xander Schauffele,68.91,3790,55
2024,12,0,51349,Nico Echavarria,69.04,1657,24
2024,13,0,52375,Doug Ghim,69.07,2072,30
2024,14,0,45242,Kevin Yu,69.08,1727,25
2024,15,0,12716,Charley Hoffman,69.1,1451,21
2024,16,0,32757,Patton Kizzire,69.13,1590,23
2024,17,0,46442,Maverick McNealy,69.14,2420,35
2024,17,0,27330,Josh Teater,69.14,484,7
2024,19,0,27064,Jhonattan Vegas,69.23,1800,26
2024,20,0,51894,Vince Whaley,69.25,1662,24
2024,21,0,32791,K.H. Lee,69.27,1524,22
2024,22,0,50525,Collin Morikawa,69.29,3326,48
2024,23,0,60004,Jacob Bridgeman,69.33,2080,30
2024,24,0,46414,Aaron Rai,69.34,2427,35
2024,25,0,34587,Chan Kim,69.35,1803,26
2024,26,0,59095,Chris Gotterup,69.43,972,14
2024,26,0,47679,Victor Perez,69.43,1597,23
2024,28,0,40250,Taylor Pendrith,69.49,2432,35
2024,29,0,51890,Greyson Sigg,69.5,1529,22
2024,30,0,51634,Sahith Theegala,69.51,3406,49
2024,31,0,39327,Ben Silverman,69.53,1182,17
2024,31,0,52666,Sami Valimaki,69.53,1321,19
2024,33,0,27349,Alex Noren,69.54,1947,28
2024,34,0,55893,Sam Stevens,69.56,2226,32
