YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2024,0,30163,Henrik Norlander,81.82%,9,11
2024,0,58168,Davis Thompson,77.42%,24,31
2024,0,34021,Bud Cauley,73.91%,17,23
2024,0,32070,Rafael Campos,71.43%,10,14
2024,0,46046,Scottie Scheffler,70.83%,17,24
2024,0,55893,Sam Stevens,70.83%,17,24
2024,0,22371,Aaron Baddeley,70.59%,24,34
2024,0,47504,Sam Burns,70.37%,19,27
2024,0,32839,Hideki Matsuyama,70.37%,19,27
2024,0,47420,Jake Knapp,69.70%,23,33
2024,0,52374,Brandon Wu,69.57%,16,23
2024,0,34099,Harris English,69.23%,27,39
2024,0,34098,Russell Henley,69.23%,27,39
2024,0,33486,Roger Sloan,69.23%,18,26
2024,0,57975,Harry Hall,68.18%,15,22
2024,0,28237,Rory McIlroy,68.00%,17,25
2024,0,39977,Max Homa,67.50%,27,40
2024,0,51634,Sahith Theegala,65.91%,29,44
2024,0,33141,Keegan Bradley,65.52%,19,29
2024,0,28775,Nate Lashley,65.52%,19,29
2024,0,40250,Taylor Pendrith,65.38%,17,26
2024,0,32640,Troy Merritt,64.71%,11,17
2024,0,22405,Justin Rose,64.52%,20,31
2024,0,48084,Wesley Bryan,64.29%,9,14
2024,0,28089,Jason Day,64.00%,16,25
2024,0,40162,Justin Lower,64.00%,16,25
2024,0,52666,Sami Valimaki,64.00%,16,25
2024,0,33948,Byeong Hun An,63.64%,14,22
2024,0,37212,Paul Barjon,63.16%,12,19
2024,0,31646,Emiliano Grillo,62.96%,17,27
2024,0,28252,Seamus Power,62.96%,17,27
2024,0,49771,J.T. Poston,62.50%,20,32
2024,0,29420,Billy Horschel,62.16%,23,37
2024,0,24502,Adam Scott,62.16%,23,37
2024,0,39327,Ben Silverman,62.07%,18,29
2024,0,34046,Jordan Spieth,62.07%,18,29
2024,0,35461,Beau Hossler,61.76%,21,34
2024,0,27936,Martin Laird,61.54%,16,26
2024,0,35617,Martin Trainer,61.54%,8,13
2024,0,54628,Lee Hodges,61.11%,22,36
2024,0,46717,Viktor Hovland,61.11%,11,18
2024,0,27649,Brandt Snedeker,61.11%,22,36
2024,0,39975,Michael Kim,60.87%,14,23
2024,0,45522,Christiaan Bezuidenhout,60.71%,17,28
2024,0,33204,Shane Lowry,60.71%,17,28
2024,0,32102,Rickie Fowler,60.61%,20,33
2024,0,47993,Denny McCarthy,60.53%,23,38
2024,0,34374,Erik Barnes,60.00%,12,20
2024,0,51997,Andrew Novak,60.00%,12,20
2024,0,47806,Raul Pereda,60.00%,9,15
2024,0,46441,Robby Shelton,60.00%,18,30
2024,0,29221,Webb Simpson,60.00%,15,25
2024,0,36699,Patrick Rodgers,59.52%,25,42
2024,0,34256,Andrew Putnam,59.46%,22,37
2024,0,47591,Eric Cole,59.38%,19,32
2024,0,34466,Peter Malnati,59.38%,19,32
2024,0,39324,J.J. Spaun,59.38%,19,32
2024,0,12716,Charley Hoffman,59.26%,16,27
2024,0,32333,Kevin Tway,59.09%,13,22
2024,0,46340,Alex Smalley,58.82%,10,17
2024,0,49960,Sepp Straka,58.06%,18,31
2024,0,60004,Jacob Bridgeman,57.89%,11,19
2024,0,32757,Patton Kizzire,57.89%,11,19
2024,0,52955,Ludvig Åberg,57.69%,15,26
2024,0,40098,Matt Fitzpatrick,57.69%,15,26
2024,0,52513,Carson Young,57.69%,15,26
2024,0,36884,Ben Kohles,57.58%,19,33
2024,0,32366,Kevin Chappell,57.14%,4,7
2024,0,50497,Adrien Dumont de Chassart,57.14%,16,28
2024,0,54576,Patrick Fishburn,57.14%,12,21
2024,0,54591,Ben Griffin,56.76%,21,37
2024,0,33653,Thomas Detry,56.67%,17,30
2024,0,34563,Chesson Hadley,56.52%,13,23
2024,0,48081,Xander Schauffele,56.25%,18,32
2024,0,35450,Patrick Cantlay,56.00%,14,25
2024,0,39546,Keith Mitchell,56.00%,14,25
2024,0,27349,Alex Noren,55.81%,24,43
2024,0,48319,Tom Whitney,55.56%,15,27
2024,0,55454,Carl Yuan,55.56%,10,18
2024,0,59442,Parker Coody,55.17%,16,29
2024,0,50188,S.H. Kim,54.90%,28,51
2024,0,57362,Austin Eckroat,54.84%,17,31
2024,0,29936,Ryan Fox,54.84%,17,31
2024,0,60067,Joe Highsmith,54.84%,17,31
2024,0,27644,Brian Harman,54.55%,18,33
2024,0,52215,Robert MacIntyre,54.55%,18,33
2024,0,49947,Taylor Moore,54.17%,26,48
2024,0,40006,Erik van Rooyen,53.85%,14,26
2024,0,56630,Akshay Bhatia,53.66%,22,41
2024,0,55708,Hayden Buckley,53.57%,15,28
2024,0,51287,Ryo Hisatsune,53.57%,15,28
2024,0,30926,Chris Kirk,53.49%,23,43
2024,0,39971,Sungjae Im,53.33%,16,30
2024,0,33448,Justin Thomas,53.33%,16,30
2024,0,34255,Joseph Bramlett,52.78%,19,36
2024,0,30927,Brendon Todd,52.50%,21,40
2024,0,54421,Garrick Higgo,52.38%,11,21
2024,0,29725,Tony Finau,52.17%,12,23
2024,0,23108,Matt Kuchar,52.17%,12,23
2024,0,36326,David Lipsky,52.17%,12,23
2024,0,59143,Mac Meissner,52.17%,12,23
2024,0,27770,Camilo Villegas,52.17%,12,23
2024,0,33408,Tyson Alexander,52.00%,13,25
2024,0,51349,Nico Echavarria,52.00%,13,25
2024,0,51890,Greyson Sigg,51.85%,14,27
2024,0,37275,Sam Ryder,51.72%,15,29
2024,0,37455,Si Woo Kim,51.61%,16,31
2024,0,35532,Tom Hoge,51.52%,17,33
2024,0,35506,Mackenzie Hughes,51.35%,19,37
2024,0,59836,Pierceson Coody,51.28%,20,39
2024,0,30911,Tommy Fleetwood,50.00%,15,30
2024,0,51977,Max Greyserman,50.00%,10,20
2024,0,60767,Blaine Hale Jr.,50.00%,6,12
2024,0,47988,Nick Hardy,50.00%,16,32
2024,0,36801,Mark Hubbard,50.00%,19,38
2024,0,34587,Chan Kim,50.00%,15,30
2024,0,32791,K.H. Lee,50.00%,17,34
2024,0,37378,Min Woo Lee,50.00%,11,22
2024,0,46113,Ryan McCormick,50.00%,10,20
2024,0,29908,C.T. Pan,50.00%,14,28
2024,0,47983,Chad Ramey,50.00%,12,24
2024,0,26476,Chez Reavie,50.00%,8,16
2024,0,47347,Adam Schenk,50.00%,16,32
2024,0,50484,Hayden Springer,50.00%,12,24
2024,0,40115,Adam Svensson,50.00%,23,46
2024,0,25493,Nick Taylor,50.00%,19,38
2024,0,27064,Jhonattan Vegas,50.00%,13,26
2024,0,48887,Matt Wallace,50.00%,9,18
2024,0,31323,Gary Woodland,50.00%,12,24
2024,0,57366,Cameron Young,50.00%,12,24
2024,0,46442,Maverick McNealy,48.65%,18,37
2024,0,47483,Will Zalatoris,48.65%,18,37
2024,0,55182,Tom Kim,48.28%,14,29
2024,0,51894,Vince Whaley,48.28%,14,29
2024,0,28420,Ryan Brehm,47.83%,11,23
2024,0,26596,Ryan Moore,47.83%,11,23
2024,0,48153,Matthieu Pavon,47.83%,11,23
2024,0,27214,Kevin Streelman,47.83%,11,23
2024,0,29478,Kevin Kisner,47.62%,10,21
2024,0,48867,Matti Schmid,47.62%,10,21
2024,0,45609,Tyler Duncan,47.37%,9,19
2024,0,23320,Ryan Palmer,47.37%,9,19
2024,0,50493,Justin Suh,47.06%,8,17
2024,0,51766,Wyndham Clark,46.67%,14,30
2024,0,54783,Dylan Wu,46.15%,12,26
2024,0,45157,Cam Davis,45.83%,11,24
2024,0,59866,Nick Dunlap,45.45%,10,22
2024,0,48119,Ben Taylor,45.45%,15,33
2024,0,40058,Zac Blair,45.24%,19,42
2024,0,36799,Stephan Jaeger,45.24%,19,42
2024,0,47995,Davis Riley,45.16%,14,31
2024,0,33399,Adam Hadwin,44.83%,13,29
2024,0,40026,Daniel Berger,44.44%,8,18
2024,0,27139,David Skinns,44.44%,16,36
2024,0,27129,Luke List,42.86%,12,28
2024,0,52375,Doug Ghim,42.31%,11,26
2024,0,38991,Alejandro Tosti,41.94%,13,31
2024,0,25900,Lucas Glover,41.67%,15,36
2024,0,33968,Thorbjørn Olesen,41.67%,5,12
2024,0,55789,Taylor Montgomery,41.18%,7,17
2024,0,46414,Aaron Rai,40.74%,11,27
2024,0,32367,Jorge Campillo,40.00%,6,15
2024,0,56149,Wilson Furr,40.00%,6,15
2024,0,51696,Rico Hoey,40.00%,12,30
2024,0,57900,Chandler Phillips,40.00%,12,30
2024,0,48699,Callum Tarren,40.00%,8,20
2024,0,36871,Matt NeSmith,39.29%,11,28
2024,0,47679,Victor Perez,38.89%,7,18
2024,0,39997,Corey Conners,37.21%,16,43
2024,0,24024,Zach Johnson,36.84%,7,19
2024,0,48117,Kurt Kitayama,36.84%,7,19
2024,0,50095,Austin Smotherman,35.29%,6,17
2024,0,45242,Kevin Yu,34.78%,8,23
2024,0,50525,Collin Morikawa,34.62%,9,26
2024,0,59095,Chris Gotterup,34.38%,11,32
2024,0,27330,Josh Teater,33.33%,5,15
2024,0,34076,Joel Dahmen,30.77%,8,26
2024,0,52453,Nicolai Højgaard,30.77%,4,13
2024,0,52372,Cameron Champ,29.41%,10,34
2024,0,52514,Trace Crowe,29.41%,5,17
2024,0,51070,Vincent Norrman,29.41%,5,17
2024,0,29535,Brice Garnett,25.00%,2,8
2024,0,47663,Kevin Dougherty,23.53%,4,17
2024,0,35310,Lanto Griffin,19.23%,5,26
2023,0,27974,Sung Kang,81.82%,9,11
2023,0,46717,Viktor Hovland,76.19%,16,21
2023,0,23108,Matt Kuchar,75.86%,22,29
2023,0,39971,Sungjae Im,70.83%,17,24
2023,0,24140,Sean O'Hair,70.00%,14,20
2023,0,48084,Wesley Bryan,68.75%,11,16
2023,0,31577,Tano Goya,65.52%,19,29
2023,0,51997,Andrew Novak,65.52%,19,29
2023,0,37455,Si Woo Kim,64.86%,24,37
2023,0,56630,Akshay Bhatia,64.71%,11,17
2023,0,40058,Zac Blair,64.52%,20,31
2023,0,46340,Alex Smalley,64.44%,29,45
2023,0,31202,William McGirt,64.29%,9,14
2023,0,48887,Matt Wallace,64.10%,25,39
2023,0,25900,Lucas Glover,64.00%,16,25
2023,0,39067,MJ Daffue,63.89%,23,36
2023,0,34256,Andrew Putnam,62.50%,30,48
2023,0,46442,Maverick McNealy,62.07%,18,29
2023,0,33448,Justin Thomas,61.90%,13,21
2023,0,55789,Taylor Montgomery,61.76%,21,34
2023,0,36801,Mark Hubbard,60.87%,28,46
2023,0,51414,Brent Grant,60.00%,15,25
2023,0,48081,Xander Schauffele,59.38%,19,32
2023,0,51634,Sahith Theegala,59.26%,16,27
2023,0,51070,Vincent Norrman,59.09%,13,22
2023,0,58168,Davis Thompson,58.82%,20,34
2023,0,33653,Thomas Detry,58.33%,21,36
2023,0,45522,Christiaan Bezuidenhout,58.06%,18,31
2023,0,28237,Rory McIlroy,57.89%,11,19
2023,0,33948,Byeong Hun An,57.78%,26,45
2023,0,24502,Adam Scott,57.69%,15,26
2023,0,55708,Hayden Buckley,57.50%,23,40
2023,0,56762,Will Gordon,57.14%,20,35
2023,0,57975,Harry Hall,57.14%,16,28
2023,0,58696,Peter Kuest,57.14%,12,21
2023,0,34466,Peter Malnati,57.14%,24,42
2023,0,47347,Adam Schenk,57.14%,28,49
2023,0,54591,Ben Griffin,56.82%,25,44
2023,0,46435,Austin Cook,56.67%,17,30
2023,0,58967,Trevor Werbylo,56.67%,17,30
2023,0,29420,Billy Horschel,56.52%,13,23
2023,0,40162,Justin Lower,56.52%,13,23
2023,0,34563,Chesson Hadley,56.25%,18,32
2023,0,35461,Beau Hossler,55.56%,25,45
2023,0,47983,Chad Ramey,55.56%,20,36
2023,0,49453,Trevor Cone,55.17%,16,29
2023,0,32640,Troy Merritt,55.17%,16,29
2023,0,29908,C.T. Pan,55.00%,11,20
2023,0,39977,Max Homa,54.84%,17,31
