YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
2024,1,0,47663,Kevin Dougherty,66.05%,211813.8,320689
2024,2,0,38991,Alejandro Tosti,65.94%,258060.8,391346
2024,3,0,33948,Byeong Hun An,65.79%,284845.6,432979
2024,4,0,52372,Cameron Champ,65.58%,205697.5,313653
2024,4,0,39546,Keith Mitchell,65.58%,318776.9,486099
2024,6,0,59836,Pierceson Coody,65.32%,259300.9,396978
2024,7,0,37378,Min Woo Lee,65.30%,248359.6,380328
2024,8,0,51766,Wyndham Clark,65.24%,263748.1,404259
2024,8,0,40250,Taylor Pendrith,65.24%,301053.9,461433
2024,10,0,34255,Joseph Bramlett,65.20%,300345.1,460627
2024,10,0,28237,Rory McIlroy,65.20%,263826.6,404669
2024,12,0,59095,Chris Gotterup,65.10%,274500.4,421657
2024,13,0,57366,Cameron Young,65.09%,304907.9,468461
2024,14,0,55893,Sam Stevens,65.04%,332294.3,510888
2024,15,0,52955,Ludvig Åberg,65.02%,279802.5,430347
2024,16,0,37212,Paul Barjon,65.00%,183358.8,282086
2024,17,0,54421,Garrick Higgo,64.93%,261837.2,403255
2024,18,0,56149,Wilson Furr,64.91%,191561.3,295115
2024,19,0,34046,Jordan Spieth,64.83%,264922.0,408639
2024,20,0,27064,Jhonattan Vegas,64.82%,252724.6,389866
2024,21,0,54576,Patrick Fishburn,64.79%,231996.6,358065
2024,22,0,29936,Ryan Fox,64.78%,287129.0,443256
2024,23,0,40006,Erik van Rooyen,64.77%,292874.6,452188
2024,24,0,24502,Adam Scott,64.75%,260570.3,402406
2024,25,0,50484,Hayden Springer,64.73%,233121.7,360170
2024,26,0,47504,Sam Burns,64.69%,278707.9,430865
2024,27,0,45242,Kevin Yu,64.66%,272953.5,422153
2024,28,0,27129,Luke List,64.63%,275562.8,426360
2024,29,0,51070,Vincent Norrman,64.50%,192391.1,298282
2024,29,0,36699,Patrick Rodgers,64.50%,369280.0,572526
2024,29,0,32333,Kevin Tway,64.50%,185713.1,287920
2024,32,0,47988,Nick Hardy,64.47%,316047.6,490218
2024,33,0,48699,Callum Tarren,64.46%,239001.6,370772
2024,34,0,48084,Wesley Bryan,64.40%,145334.8,225662
2024,34,0,46046,Scottie Scheffler,64.40%,260753.8,404879
2024,36,0,36799,Stephan Jaeger,64.34%,305402.5,474638
2024,37,0,55454,Carl Yuan,64.30%,222711.0,346376
2024,38,0,28420,Ryan Brehm,64.27%,189531.2,294882
2024,39,0,31323,Gary Woodland,64.23%,295829.7,460609
2024,40,0,29725,Tony Finau,64.22%,297949.7,463933
2024,40,0,48117,Kurt Kitayama,64.22%,289751.6,451151
2024,42,0,51696,Rico Hoey,64.20%,275676.3,429420
2024,43,0,47995,Davis Riley,64.18%,287374.8,447730
2024,44,0,46717,Viktor Hovland,64.17%,219023.8,341312
2024,45,0,60767,Blaine Hale Jr.,64.16%,156930.5,244599
2024,46,0,51977,Max Greyserman,64.14%,263977.2,411593
2024,47,0,49947,Taylor Moore,64.09%,363155.6,566651
2024,48,0,47420,Jake Knapp,64.05%,285176.3,445258
