YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,1,0,27649,Brandt Snedeker,41.38%,48,116,+0.08
2024,2,0,30927,Brendon Todd,38.38%,76,198,-0.12
2024,3,0,34256,Andrew Putnam,37.34%,59,158,-0.05
2024,4,0,24024,Zach Johnson,36.46%,35,96,-0.14
2024,5,0,22371,Aaron Baddeley,32.19%,47,146,+0.09
2024,6,0,40058,Zac Blair,30.49%,50,164,+0.12
2024,7,0,29478,Kevin Kisner,29.63%,32,108,+0.19
2024,8,0,26596,Ryan Moore,29.17%,42,144,+0.12
2024,9,0,45522,Christiaan Bezuidenhout,28.95%,44,152,-0.16
2024,10,0,29908,C.T. Pan,27.97%,33,118,+0.03
2024,11,0,55789,Taylor Montgomery,26.85%,29,108,+0.17
2024,12,0,26476,Chez Reavie,26.47%,36,136,+0.17
2024,13,0,36326,David Lipsky,25.36%,35,138,-0.06
2024,14,0,47806,Raul Pereda,24.47%,23,94,-0.09
2024,15,0,25900,Lucas Glover,24.19%,45,186,-0.24
2024,16,0,29535,Brice Garnett,23.96%,23,96,+0.04
2024,17,0,40162,Justin Lower,23.20%,45,194,+0.11
2024,18,0,31646,Emiliano Grillo,22.35%,38,170,+0.03
2024,19,0,27936,Martin Laird,22.22%,32,144,+0.34
2024,20,0,46414,Aaron Rai,22.09%,38,172,E
2024,21,0,46441,Robby Shelton,21.71%,33,152,+0.24
2024,22,0,27770,Camilo Villegas,21.05%,24,114,+0.13
2024,23,0,28775,Nate Lashley,20.95%,31,148,E
2024,24,0,49771,J.T. Poston,20.59%,35,170,-0.03
2024,25,0,25493,Nick Taylor,20.48%,34,166,E
2024,26,0,33486,Roger Sloan,20.45%,27,132,-0.04
2024,27,0,27330,Josh Teater,20.19%,21,104,-0.05
2024,28,0,47983,Chad Ramey,19.88%,33,166,-0.06
2024,29,0,23108,Matt Kuchar,19.86%,29,146,-0.17
2024,30,0,39327,Ben Silverman,19.23%,30,156,-0.03
2024,31,0,36801,Mark Hubbard,19.19%,38,198,-0.21
2024,32,0,23320,Ryan Palmer,19.05%,16,84,-0.19
2024,33,0,32640,Troy Merritt,18.92%,28,148,-0.25
2024,34,0,51349,Nico Echavarria,18.75%,33,176,-0.03
2024,35,0,34098,Russell Henley,18.49%,27,146,+0.07
2024,36,0,51890,Greyson Sigg,18.42%,28,152,-0.04
2024,37,0,30163,Henrik Norlander,18.18%,24,132,+0.13
2024,38,0,37275,Sam Ryder,18.00%,27,150,-0.07
2024,39,0,27644,Brian Harman,17.82%,31,174,-0.29
2024,40,0,40026,Daniel Berger,17.76%,27,152,-0.04
2024,41,0,54783,Dylan Wu,17.50%,28,160,E
2024,42,0,36884,Ben Kohles,17.06%,29,170,-0.24
2024,43,0,54591,Ben Griffin,16.96%,38,224,-0.18
2024,44,0,52513,Carson Young,16.86%,29,172,-0.10
2024,45,0,34374,Erik Barnes,16.67%,18,108,+0.22
2024,45,0,27349,Alex Noren,16.67%,23,138,+0.04
2024,47,0,49960,Sepp Straka,16.23%,25,154,-0.24
2024,48,0,47993,Denny McCarthy,16.09%,28,174,-0.04
2024,49,0,52374,Brandon Wu,16.05%,26,162,-0.27
2024,50,0,52375,Doug Ghim,15.93%,29,182,-0.14
2024,51,0,34076,Joel Dahmen,15.73%,28,178,-0.14
2024,52,0,48319,Tom Whitney,15.44%,21,136,-0.33
2024,53,0,32367,Jorge Campillo,15.38%,16,104,+0.06
2024,54,0,27214,Kevin Streelman,15.22%,21,138,-0.14
2024,55,0,33399,Adam Hadwin,15.19%,24,158,-0.04
2024,56,0,48153,Matthieu Pavon,15.08%,19,126,-0.05
2024,57,0,45609,Tyler Duncan,15.00%,21,140,-0.05
2024,57,0,35617,Martin Trainer,15.00%,15,100,+0.33
2024,59,0,39997,Corey Conners,14.94%,26,174,+0.04
2024,60,0,51287,Ryo Hisatsune,14.88%,25,168,+0.08
2024,61,0,48119,Ben Taylor,14.52%,18,124,+0.06
2024,62,0,39971,Sungjae Im,14.37%,25,174,-0.08
2024,63,0,35506,Mackenzie Hughes,14.21%,27,190,E
2024,64,0,37455,Si Woo Kim,14.20%,25,176,E
2024,65,0,55708,Hayden Buckley,14.08%,20,142,+0.25
2024,66,0,47679,Victor Perez,13.89%,20,144,-0.15
2024,67,0,57975,Harry Hall,13.75%,22,160,E
2024,68,0,32102,Rickie Fowler,13.64%,21,154,-0.05
2024,69,0,35532,Tom Hoge,13.37%,27,202,+0.22
2024,70,0,50525,Collin Morikawa,13.29%,21,158,E
2024,71,0,48887,Matt Wallace,13.28%,17,128,+0.24
2024,72,0,57900,Chandler Phillips,13.25%,22,166,+0.18
2024,73,0,50095,Austin Smotherman,13.21%,14,106,-0.14
2024,74,0,34587,Chan Kim,13.13%,21,160,-0.05
2024,75,0,28252,Seamus Power,13.02%,25,192,+0.16
2024,76,0,30926,Chris Kirk,12.99%,20,154,-0.05
2024,77,0,32757,Patton Kizzire,12.90%,16,124,-0.19
2024,78,0,47483,Will Zalatoris,12.88%,17,132,+0.35
2024,79,0,56630,Akshay Bhatia,12.79%,22,172,E
2024,80,0,47591,Eric Cole,12.62%,27,214,+0.11
2024,81,0,32366,Kevin Chappell,12.50%,14,112,-0.14
