YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2024,1,0,12716,Charley Hoffman,"9' 3""",489.667,53,115
2024,2,0,48084,Wesley Bryan,"9' 7""",250.083,26,102
2024,2,0,29725,Tony Finau,"9' 7""",528.75,55,122
2024,2,0,29535,Brice Garnett,"9' 7""",442.25,46,69
2024,5,0,27936,Martin Laird,"9' 8""",425.0,44,63
2024,6,0,34587,Chan Kim,"9' 9""",460.0,47,19
2024,7,0,25900,Lucas Glover,"9' 10""",620.167,63,101
2024,7,0,27330,Josh Teater,"9' 10""",373.75,38,171
2024,7,0,38991,Alejandro Tosti,"9' 10""",471.25,48,180
2024,10,0,52514,Trace Crowe,"9' 11""",387.833,39,142
2024,11,0,51766,Wyndham Clark,"10' 0""",641.417,64,85
2024,12,0,35532,Tom Hoge,"10' 1""",686.917,68,128
2024,12,0,45242,Kevin Yu,"10' 1""",535.917,53,84
2024,14,0,60004,Jacob Bridgeman,"10' 2""",588.667,58,60
2024,14,0,47591,Eric Cole,"10' 2""",724.417,71,56
2024,14,0,59095,Chris Gotterup,"10' 2""",791.583,78,109
2024,17,0,56149,Wilson Furr,"10' 4""",383.167,37,121
2024,17,0,48153,Matthieu Pavon,"10' 4""",393.333,38,113
2024,19,0,34466,Peter Malnati,"10' 5""",781.75,75,105
2024,19,0,48119,Ben Taylor,"10' 5""",550.667,53,172
2024,19,0,30927,Brendon Todd,"10' 5""",1061.083,102,50
2024,22,0,39971,Sungjae Im,"10' 6""",546.917,52,26
2024,22,0,51997,Andrew Novak,"10' 6""",632.0,60,34
2024,24,0,52215,Robert MacIntyre,"10' 7""",615.25,58,14
2024,24,0,47993,Denny McCarthy,"10' 7""",626.167,59,6
2024,24,0,47679,Victor Perez,"10' 7""",539.5,51,90
2024,27,0,29420,Billy Horschel,"10' 8""",575.833,54,28
2024,28,0,33948,Byeong Hun An,"10' 9""",612.5,57,117
2024,29,0,57975,Harry Hall,"10' 10""",826.333,76,40
2024,29,0,32839,Hideki Matsuyama,"10' 10""",605.167,56,2
2024,29,0,32640,Troy Merritt,"10' 10""",379.917,35,120
2024,29,0,48081,Xander Schauffele,"10' 10""",770.917,71,1
2024,33,0,46046,Scottie Scheffler,"10' 11""",503.917,46,5
2024,33,0,32333,Kevin Tway,"10' 11""",512.417,47,91
2024,35,0,45522,Christiaan Bezuidenhout,"11' 0""",628.667,57,12
2024,35,0,39977,Max Homa,"11' 0""",713.75,65,43
2024,35,0,35461,Beau Hossler,"11' 0""",959.333,87,34
2024,35,0,27349,Alex Noren,"11' 0""",695.25,63,3
2024,39,0,33968,Thorbjørn Olesen,"11' 1""",478.333,43,149
2024,40,0,37455,Si Woo Kim,"11' 2""",701.0,63,27
2024,40,0,39546,Keith Mitchell,"11' 2""",512.083,46,78
2024,40,0,57900,Chandler Phillips,"11' 2""",557.667,50,29
2024,43,0,28237,Rory McIlroy,"11' 3""",665.333,59,17
2024,44,0,27644,Brian Harman,"11' 4""",847.75,75,57
2024,44,0,27214,Kevin Streelman,"11' 4""",385.5,34,159
2024,46,0,27129,Luke List,"11' 6""",772.417,67,156
2024,46,0,47983,Chad Ramey,"11' 6""",621.833,54,125
2024,46,0,33486,Roger Sloan,"11' 6""",588.417,51,48
2024,46,0,33448,Justin Thomas,"11' 6""",666.583,58,45
2024,46,0,54783,Dylan Wu,"11' 6""",701.167,61,96
2024,51,0,28089,Jason Day,"11' 7""",786.75,68,32
2024,51,0,35506,Mackenzie Hughes,"11' 7""",1154.917,100,15
2024,51,0,50484,Hayden Springer,"11' 7""",451.833,39,72
2024,51,0,55893,Sam Stevens,"11' 7""",648.333,56,33
2024,55,0,46441,Robby Shelton,"11' 8""",641.667,55,88
2024,55,0,50095,Austin Smotherman,"11' 8""",373.0,32,94
2024,57,0,35450,Patrick Cantlay,"11' 9""",491.833,42,22
2024,58,0,52453,Nicolai Højgaard,"11' 10""",533.75,45,155
2024,58,0,59143,Mac Meissner,"11' 10""",554.583,47,38
2024,58,0,55789,Taylor Montgomery,"11' 10""",674.0,57,54
2024,61,0,32367,Jorge Campillo,"11' 11""",417.167,35,59
2024,61,0,50188,S.H. Kim,"11' 11""",1015.0,85,97
2024,61,0,50525,Collin Morikawa,"11' 11""",939.417,79,9
2024,61,0,25493,Nick Taylor,"11' 11""",986.083,83,74
2024,61,0,52513,Carson Young,"11' 11""",618.75,52,109
2024,66,0,34098,Russell Henley,"12' 0""",731.25,61,11
2024,66,0,32757,Patton Kizzire,"12' 0""",456.833,38,80
2024,68,0,51349,Nico Echavarria,"12' 1""",736.583,61,123
2024,68,0,36799,Stephan Jaeger,"12' 1""",822.583,68,88
2024,68,0,29478,Kevin Kisner,"12' 1""",506.583,42,153
2024,68,0,36884,Ben Kohles,"12' 1""",847.167,70,175
2024,68,0,23108,Matt Kuchar,"12' 1""",772.25,64,78
2024,68,0,46340,Alex Smalley,"12' 1""",578.333,48,145
2024,68,0,51634,Sahith Theegala,"12' 1""",893.667,74,66
2024,75,0,26596,Ryan Moore,"12' 2""",691.25,57,47
2024,76,0,55182,Tom Kim,"12' 3""",760.083,62,124
2024,76,0,28775,Nate Lashley,"12' 3""",602.0,49,24
2024,76,0,49771,J.T. Poston,"12' 3""",712.75,58,83
2024,76,0,46414,Aaron Rai,"12' 3""",786.083,64,30
2024,76,0,26476,Chez Reavie,"12' 3""",626.333,51,81
2024,76,0,48867,Matti Schmid,"12' 3""",512.833,42,117
2024,76,0,48699,Callum Tarren,"12' 3""",709.833,58,179
2024,83,0,34021,Bud Cauley,"12' 4""",519.417,42,8
2024,83,0,32366,Kevin Chappell,"12' 4""",480.25,39,114
2024,83,0,45609,Tyler Duncan,"12' 4""",579.417,47,81
2024,83,0,54591,Ben Griffin,"12' 4""",1186.167,96,23
2024,83,0,40115,Adam Svensson,"12' 4""",946.917,77,58
2024,83,0,58168,Davis Thompson,"12' 4""",1049.5,85,68
2024,89,0,34099,Harris English,"12' 5""",1052.25,85,24
2024,89,0,29936,Ryan Fox,"12' 5""",730.917,59,156
2024,89,0,52375,Doug Ghim,"12' 5""",694.667,56,41
2024,89,0,32791,K.H. Lee,"12' 5""",841.667,68,87
2024,89,0,36699,Patrick Rodgers,"12' 5""",1079.583,87,75
2024,94,0,47504,Sam Burns,"12' 6""",749.917,60,70
2024,94,0,32102,Rickie Fowler,"12' 6""",900.917,72,117
2024,94,0,39975,Michael Kim,"12' 6""",600.667,48,132
2024,94,0,30926,Chris Kirk,"12' 6""",686.0,55,92
2024,94,0,46442,Maverick McNealy,"12' 6""",773.917,62,10
2024,94,0,27649,Brandt Snedeker,"12' 6""",798.417,64,154
2024,100,0,47420,Jake Knapp,"12' 7""",903.917,72,170
2024,100,0,30163,Henrik Norlander,"12' 7""",553.917,44,4
2024,100,0,52666,Sami Valimaki,"12' 7""",526.833,42,143
2024,103,0,52955,Ludvig Åberg,"12' 8""",596.833,47,21
2024,103,0,51977,Max Greyserman,"12' 8""",659.833,52,46
2024,103,0,51287,Ryo Hisatsune,"12' 8""",888.417,70,108
2024,103,0,40250,Taylor Pendrith,"12' 8""",964.167,76,104
2024,107,0,35310,Lanto Griffin,"12' 9""",484.0,38,174
2024,107,0,48117,Kurt Kitayama,"12' 9""",599.0,47,37
2024,107,0,23320,Ryan Palmer,"12' 9""",357.167,28,107
2024,107,0,47806,Raul Pereda,"12' 9""",434.75,34,62
2024,111,0,56630,Akshay Bhatia,"12' 10""",870.25,68,52
2024,111,0,32070,Rafael Campos,"12' 10""",550.583,43,103
2024,111,0,45157,Cam Davis,"12' 10""",831.5,65,136
2024,111,0,40162,Justin Lower,"12' 10""",933.833,73,112
2024,111,0,39324,J.J. Spaun,"12' 10""",578.583,45,131
2024,111,0,55454,Carl Yuan,"12' 10""",423.833,33,111
2024,117,0,40098,Matt Fitzpatrick,"12' 11""",824.5,64,53
2024,117,0,60067,Joe Highsmith,"12' 11""",595.75,46,140
2024,117,0,57366,Cameron Young,"12' 11""",750.167,58,99
2024,117,0,47483,Will Zalatoris,"12' 11""",686.333,53,64
2024,121,0,37212,Paul Barjon,"13' 0""",389.333,30,183
2024,121,0,24024,Zach Johnson,"13' 0""",467.25,36,55
2024,121,0,36326,David Lipsky,"13' 0""",742.167,57,133
2024,124,0,22405,Justin Rose,"13' 1""",747.833,57,39
2024,125,0,34255,Joseph Bramlett,"13' 2""",919.75,70,65
2024,125,0,49947,Taylor Moore,"13' 2""",1157.917,88,73
2024,125,0,35617,Martin Trainer,"13' 2""",554.333,42,130
2024,128,0,55708,Hayden Buckley,"13' 3""",782.333,59,126
2024,128,0,59836,Pierceson Coody,"13' 3""",796.75,60,168
2024,128,0,34563,Chesson Hadley,"13' 3""",622.0,47,139
2024,128,0,47995,Davis Riley,"13' 3""",955.833,72,137
2024,128,0,37275,Sam Ryder,"13' 3""",582.5,44,163
2024,128,0,51894,Vince Whaley,"13' 3""",835.833,63,44
2024,134,0,34374,Erik Barnes,"13' 4""",425.917,32,147
2024,134,0,40058,Zac Blair,"13' 4""",744.5,56,31
2024,136,0,54421,Garrick Higgo,"13' 5""",805.25,60,160
2024,136,0,28252,Seamus Power,"13' 5""",1045.667,78,20
2024,136,0,27139,David Skinns,"13' 5""",937.333,70,129
2024,139,0,29908,C.T. Pan,"13' 6""",728.833,54,36
2024,139,0,47347,Adam Schenk,"13' 6""",1144.417,85,93
2024,139,0,29221,Webb Simpson,"13' 6""",661.917,49,66
2024,139,0,52374,Brandon Wu,"13' 6""",727.25,54,100
2024,143,0,33141,Keegan Bradley,"13' 7""",939.5,69,151
2024,143,0,59866,Nick Dunlap,"13' 7""",775.5,57,169
2024,143,0,36801,Mark Hubbard,"13' 7""",1006.333,74,98
2024,146,0,40026,Daniel Berger,"13' 8""",765.417,56,158
2024,147,0,50497,Adrien Dumont de Chassart,"13' 9""",740.5,54,162
2024,148,0,39997,Corey Conners,"13' 10""",1023.333,74,148
2024,148,0,34076,Joel Dahmen,"13' 10""",649.583,47,115
2024,148,0,48319,Tom Whitney,"13' 10""",609.833,44,165
2024,151,0,33204,Shane Lowry,"13' 11""",666.667,48,106
2024,151,0,46113,Ryan McCormick,"13' 11""",571.167,41,152
2024,151,0,34256,Andrew Putnam,"13' 11""",1212.917,87,42
2024,154,0,33408,Tyson Alexander,"14' 0""",925.167,66,134
2024,155,0,28420,Ryan Brehm,"14' 2""",481.417,34,178
2024,155,0,54628,Lee Hodges,"14' 2""",834.167,59,77
2024,155,0,48887,Matt Wallace,"14' 2""",750.167,53,71
2024,158,0,22371,Aaron Baddeley,"14' 3""",869.75,61,16
2024,158,0,59442,Parker Coody,"14' 3""",699.083,49,51
2024,158,0,27770,Camilo Villegas,"14' 3""",711.0,50,182
2024,161,0,51696,Rico Hoey,"14' 5""",634.5,44,86
2024,161,0,34046,Jordan Spieth,"14' 5""",908.833,63,173
2024,163,0,37378,Min Woo Lee,"14' 6""",825.917,57,166
2024,164,0,47988,Nick Hardy,"14' 7""",876.667,60,137
2024,165,0,54576,Patrick Fishburn,"14' 8""",541.833,37,61
2024,165,0,51890,Greyson Sigg,"14' 8""",732.333,50,13
2024,167,0,30911,Tommy Fleetwood,"14' 9""",912.833,62,7
2024,168,0,31646,Emiliano Grillo,"15' 1""",1023.25,68,127
2024,168,0,46717,Viktor Hovland,"15' 1""",604.667,40,167
2024,170,0,47663,Kevin Dougherty,"15' 2""",684.333,45,161
2024,171,0,60767,Blaine Hale Jr.,"15' 3""",517.333,34,184
2024,172,0,52372,Cameron Champ,"15' 4""",581.083,38,135
2024,172,0,57362,Austin Eckroat,"15' 4""",1025.083,67,146
2024,174,0,39327,Ben Silverman,"15' 5""",881.083,57,18
2024,174,0,50493,Justin Suh,"15' 5""",525.0,34,176
2024,176,0,33399,Adam Hadwin,"15' 6""",1052.333,68,164
2024,177,0,24502,Adam Scott,"15' 8""",816.417,52,49
2024,178,0,36871,Matt NeSmith,"15' 9""",895.417,57,150
2024,179,0,40006,Erik van Rooyen,"15' 10""",1044.75,66,141
2024,180,0,31323,Gary Woodland,"16' 1""",962.667,60,177
2024,181,0,49960,Sepp Straka,"16' 10""",1128.75,67,95
2024,182,0,51070,Vincent Norrman,"17' 2""",738.417,43,181
2024,183,0,33653,Thomas Detry,"17' 4""",850.5,49,75
2024,184,0,27064,Jhonattan Vegas,"17' 5""",974.333,56,144
2023,1,0,35617,Martin Trainer,"8' 2""",245.667,30,136
2023,2,0,27349,Alex Noren,"9' 4""",637.417,68,39
2023,3,0,40058,Zac Blair,"9' 5""",545.0,58,119
2023,4,0,29420,Billy Horschel,"9' 7""",459.0,48,170
2023,5,0,26596,Ryan Moore,"9' 9""",479.0,49,21
2023,6,0,37338,Zecheng Dou,"9' 10""",717.75,73,163
2023,7,0,35450,Patrick Cantlay,"9' 11""",474.917,48,29
2023,8,0,55789,Taylor Montgomery,"10' 1""",929.917,92,76
2023,9,0,29725,Tony Finau,"10' 3""",562.583,55,69
2023,9,0,34466,Peter Malnati,"10' 3""",873.667,85,88
2023,11,0,27974,Sung Kang,"10' 4""",278.917,27,184
2023,11,0,25818,Scott Piercy,"10' 4""",701.917,68,56
2023,11,0,46046,Scottie Scheffler,"10' 4""",600.583,58,10
2023,14,0,33948,Byeong Hun An,"10' 5""",1021.333,98,12
2023,14,0,35532,Tom Hoge,"10' 5""",669.0,64,128
2023,14,0,46717,Viktor Hovland,"10' 5""",512.0,49,48
2023,17,0,46435,Austin Cook,"10' 6""",461.583,44,11
