YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2011,1,0,20070,Matt Bettencourt,5.56,1,18
2011,1,0,12510,Chad Campbell,5.56,1,18
2011,1,0,21753,Brian Davis,5.56,1,18
2011,1,0,21805,Harrison Frazar,5.56,1,18
2011,1,0,28679,Fabián Gómez,5.56,1,18
2011,1,0,24924,Bill Haas,5.56,1,18
2011,1,0,21731,Freddie Jacobson,5.56,1,18
2011,1,0,26300,Matt Jones,5.56,1,18
2011,1,0,10585,Scott McCarron,5.56,1,18
2011,1,0,31401,Zack Miller,5.56,1,18
2011,1,0,24361,Pat Perez,5.56,1,18
2011,1,0,1948,Tim Petrovic,5.56,1,18
2011,1,0,25240,D.A. Points,5.56,1,18
2011,1,0,28486,Michael Putnam,5.56,1,18
2011,1,0,30110,Kyle Stanley,5.56,1,18
2011,1,0,27064,Jhonattan Vegas,5.56,1,18
2011,1,0,21878,Mark Wilson,5.56,1,18
2011,1,0,31323,Gary Woodland,5.56,1,18
2011,19,0,22913,John Rollins,11.11,2,18
2011,19,0,26679,Kevin Stadler,11.11,2,18
2011,19,0,26289,Boo Weekley,11.11,2,18
2010,1,0,20593,Greg Chalmers,5.56,1,18
2010,1,0,25720,Chad Collins,5.56,1,18
2010,1,0,21753,Brian Davis,5.56,1,18
2010,1,0,6621,Joe Durant,5.56,1,18
2010,1,0,28500,Martin Flores,5.56,1,18
2010,1,0,19846,Brian Gay,5.56,1,18
2010,1,0,1577,Lee Janzen,5.56,1,18
2010,1,0,1766,Billy Mayfair,5.56,1,18
2010,1,0,26596,Ryan Moore,5.56,1,18
2010,1,0,24361,Pat Perez,5.56,1,18
2010,1,0,23325,Vaughn Taylor,5.56,1,18
2010,1,0,27330,Josh Teater,5.56,1,18
2010,1,0,32617,Jerod Turner,5.56,1,18
2010,1,0,23623,Bo Van Pelt,5.56,1,18
2010,1,0,20436,Garrett Willis,5.56,1,18
2010,16,0,23541,Ben Crane,11.11,2,18
2010,16,0,21350,Ryuji Imada,11.11,2,18
2010,16,0,27933,John Merrick,11.11,2,18
2010,16,0,7749,Brett Quigley,11.11,2,18
2010,16,0,20645,John Senden,11.11,2,18
2009,1,0,20498,Briny Baird,5.56,1,18
2009,1,0,12652,Cameron Beckman,5.56,1,18
2009,1,0,24507,Jason Bohn,5.56,1,18
2009,1,0,1226,Fred Couples,5.56,1,18
2009,1,0,8931,Glen Day,5.56,1,18
2009,1,0,6251,Chris DiMarco,5.56,1,18
2009,1,0,12716,Charley Hoffman,5.56,1,18
2009,1,0,30711,Colt Knost,5.56,1,18
2009,1,0,12705,Cliff Kresge,5.56,1,18
2009,1,0,26695,Michael Letzig,5.56,1,18
2009,1,0,23548,Bill Lunde,5.56,1,18
2009,1,0,28158,Steve Marino,5.56,1,18
2009,1,0,21949,Joe Ogilvie,5.56,1,18
2009,1,0,25818,Scott Piercy,5.56,1,18
2009,1,0,2206,David Toms,5.56,1,18
2009,1,0,10423,Mike Weir,5.56,1,18
2009,17,0,23135,Tim Clark,11.11,2,18
2009,17,0,29221,Webb Simpson,11.11,2,18
2009,17,0,6595,Kevin Sutherland,11.11,2,18
2009,20,0,2214,Kirk Triplett,16.67,3,18
2008,1,0,23778,Brad Adamonis,5.56,1,18
2008,1,0,10885,Robert Allenby,5.56,1,18
2008,1,0,10505,Shane Bertsch,5.56,1,18
2008,1,0,24227,Justin Bolli,5.56,1,18
2008,1,0,12510,Chad Campbell,5.56,1,18
2008,1,0,20229,Stewart Cink,5.56,1,18
