YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2024,1,0,28775,Nate Lashley,93.10%,54,58,-0.31
2024,2,0,52375,Doug Ghim,91.03%,71,78,-0.32
2024,3,0,34098,Russell Henley,90.54%,67,74,-0.36
2024,4,0,30927,Brendon Todd,88.89%,80,90,-0.49
2024,4,0,48887,Matt Wallace,88.89%,56,63,-0.27
2024,6,0,29535,Brice Garnett,88.46%,23,26,-0.35
2024,7,0,34587,Chan Kim,87.93%,51,58,-0.2
2024,8,0,55182,Tom Kim,87.76%,43,49,-0.37
2024,9,0,49947,Taylor Moore,87.62%,92,105,-0.32
2024,10,0,31646,Emiliano Grillo,87.04%,47,54,-0.32
2024,11,0,29478,Kevin Kisner,86.96%,40,46,-0.28
2024,12,0,48153,Matthieu Pavon,86.67%,39,45,-0.33
2024,13,0,54421,Garrick Higgo,86.57%,58,67,-0.33
2024,14,0,34099,Harris English,86.54%,45,52,-0.31
2024,15,0,34021,Bud Cauley,86.27%,44,51,-0.41
2024,16,0,47988,Nick Hardy,86.17%,81,94,-0.3
2024,17,0,59143,Mac Meissner,86.11%,62,72,-0.34
2024,18,0,52453,Nicolai Højgaard,86.05%,37,43,-0.22
2024,18,0,48119,Ben Taylor,86.05%,37,43,-0.3
2024,20,0,29725,Tony Finau,86.00%,43,50,-0.42
2024,20,0,46442,Maverick McNealy,86.00%,86,100,-0.38
2024,22,0,46717,Viktor Hovland,85.96%,49,57,-0.37
2024,23,0,36699,Patrick Rodgers,85.88%,73,85,-0.33
2024,24,0,33408,Tyson Alexander,85.71%,30,35,-0.23
2024,25,0,39975,Michael Kim,85.48%,53,62,-0.32
2024,26,0,32757,Patton Kizzire,85.42%,41,48,-0.32
2024,27,0,47483,Will Zalatoris,85.37%,35,41,-0.29
2024,28,0,50095,Austin Smotherman,85.29%,29,34,-0.31
2024,29,0,40162,Justin Lower,84.93%,62,73,-0.31
2024,30,0,40115,Adam Svensson,84.51%,60,71,-0.32
2024,31,0,35532,Tom Hoge,84.29%,59,70,-0.36
2024,32,0,32367,Jorge Campillo,84.21%,32,38,-0.34
2024,32,0,51766,Wyndham Clark,84.21%,48,57,-0.46
2024,32,0,59866,Nick Dunlap,84.21%,48,57,-0.42
2024,32,0,33486,Roger Sloan,84.21%,64,76,-0.42
2024,36,0,40250,Taylor Pendrith,83.82%,57,68,-0.37
2024,37,0,22405,Justin Rose,83.72%,36,43,-0.44
2024,38,0,46414,Aaron Rai,83.67%,41,49,-0.34
2024,39,0,33653,Thomas Detry,83.61%,51,61,-0.41
2024,40,0,35310,Lanto Griffin,83.33%,40,48,-0.35
2024,40,0,51696,Rico Hoey,83.33%,55,66,-0.35
2024,40,0,35461,Beau Hossler,83.33%,80,96,-0.35
2024,40,0,24024,Zach Johnson,83.33%,30,36,-0.23
2024,40,0,26596,Ryan Moore,83.33%,45,54,-0.24
2024,40,0,51070,Vincent Norrman,83.33%,40,48,-0.28
2024,40,0,49960,Sepp Straka,83.33%,45,54,-0.38
2024,40,0,54783,Dylan Wu,83.33%,50,60,-0.44
2024,40,0,57366,Cameron Young,83.33%,50,60,-0.26
2024,49,0,33141,Keegan Bradley,83.10%,59,71,-0.42
2024,50,0,37455,Si Woo Kim,82.69%,43,52,-0.26
2024,51,0,45522,Christiaan Bezuidenhout,82.67%,62,75,-0.26
2024,52,0,34563,Chesson Hadley,82.61%,57,69,-0.26
2024,52,0,39327,Ben Silverman,82.61%,57,69,-0.39
2024,54,0,40058,Zac Blair,82.43%,61,74,-0.3
2024,55,0,30911,Tommy Fleetwood,82.35%,28,34,-0.25
2024,55,0,51890,Greyson Sigg,82.35%,42,51,-0.21
2024,57,0,27644,Brian Harman,82.05%,64,78,-0.33
2024,58,0,34076,Joel Dahmen,81.82%,72,88,-0.35
2024,58,0,27770,Camilo Villegas,81.82%,36,44,-0.44
2024,60,0,52666,Sami Valimaki,81.63%,40,49,-0.25
2024,61,0,47504,Sam Burns,81.54%,53,65,-0.34
2024,62,0,40026,Daniel Berger,81.40%,35,43,-0.37
2024,62,0,34255,Joseph Bramlett,81.40%,70,86,-0.24
2024,64,0,27064,Jhonattan Vegas,81.36%,48,59,-0.25
2024,65,0,47591,Eric Cole,81.25%,65,80,-0.28
2024,66,0,29936,Ryan Fox,81.08%,60,74,-0.35
2024,67,0,52955,Ludvig Åberg,80.95%,51,63,-0.35
2024,67,0,32366,Kevin Chappell,80.95%,34,42,-0.29
2024,67,0,55454,Carl Yuan,80.95%,51,63,-0.25
2024,70,0,33399,Adam Hadwin,80.82%,59,73,-0.42
2024,71,0,46046,Scottie Scheffler,80.77%,42,52,-0.55
2024,72,0,40006,Erik van Rooyen,80.65%,75,93,-0.32
2024,72,0,48319,Tom Whitney,80.65%,50,62,-0.38
2024,74,0,34046,Jordan Spieth,80.60%,54,67,-0.37
2024,75,0,27349,Alex Noren,80.49%,33,41,-0.24
2024,76,0,39977,Max Homa,80.36%,45,56,-0.33
2024,77,0,27936,Martin Laird,80.30%,53,66,-0.26
2024,78,0,39997,Corey Conners,80.26%,61,76,-0.31
2024,78,0,54576,Patrick Fishburn,80.26%,61,76,-0.25
2024,80,0,32102,Rickie Fowler,80.00%,48,60,-0.4
2024,80,0,51634,Sahith Theegala,80.00%,60,75,-0.32
2024,80,0,52374,Brandon Wu,80.00%,40,50,-0.38
2024,83,0,39971,Sungjae Im,79.63%,43,54,-0.23
2024,84,0,37275,Sam Ryder,79.55%,35,44,-0.4
2024,85,0,58168,Davis Thompson,79.49%,62,78,-0.45
2024,86,0,33204,Shane Lowry,79.37%,50,63,-0.4
2024,87,0,36799,Stephan Jaeger,79.31%,46,58,-0.26
2024,88,0,36884,Ben Kohles,79.27%,65,82,-0.43
2024,89,0,40098,Matt Fitzpatrick,79.25%,42,53,-0.31
2024,90,0,28420,Ryan Brehm,79.17%,38,48,-0.26
2024,90,0,60004,Jacob Bridgeman,79.17%,38,48,-0.29
2024,90,0,50484,Hayden Springer,79.17%,57,72,-0.19
2024,93,0,36801,Mark Hubbard,79.10%,53,67,-0.42
2024,94,0,22371,Aaron Baddeley,79.03%,49,62,-0.39
2024,94,0,47420,Jake Knapp,79.03%,49,62,-0.35
2024,94,0,50493,Justin Suh,79.03%,49,62,-0.37
2024,97,0,12716,Charley Hoffman,78.95%,60,76,-0.33
2024,97,0,27330,Josh Teater,78.95%,30,38,-0.27
2024,99,0,47995,Davis Riley,78.87%,56,71,-0.38
2024,100,0,47983,Chad Ramey,78.82%,67,85,-0.27
2024,101,0,27214,Kevin Streelman,78.79%,52,66,-0.35
2024,102,0,45242,Kevin Yu,78.57%,66,84,-0.27
2024,103,0,45157,Cam Davis,78.46%,51,65,-0.37
2024,104,0,38991,Alejandro Tosti,78.13%,50,64,-0.36
2024,105,0,48084,Wesley Bryan,78.00%,39,50,-0.26
2024,105,0,50525,Collin Morikawa,78.00%,39,50,-0.36
2024,107,0,32791,K.H. Lee,77.94%,53,68,-0.28
2024,107,0,47993,Denny McCarthy,77.94%,53,68,-0.4
2024,109,0,56149,Wilson Furr,77.78%,42,54,-0.29
2024,109,0,25900,Lucas Glover,77.78%,49,63,-0.29
2024,109,0,33968,Thorbjørn Olesen,77.78%,28,36,-0.25
2024,109,0,48081,Xander Schauffele,77.78%,35,45,-0.29
2024,109,0,51894,Vince Whaley,77.78%,42,54,-0.31
2024,114,0,30926,Chris Kirk,77.63%,59,76,-0.46
2024,115,0,33948,Byeong Hun An,77.59%,45,58,-0.29
2024,115,0,25493,Nick Taylor,77.59%,45,58,-0.38
2024,117,0,51287,Ryo Hisatsune,77.42%,48,62,-0.23
2024,117,0,30163,Henrik Norlander,77.42%,24,31,-0.29
2024,119,0,32839,Hideki Matsuyama,77.36%,41,53,-0.32
2024,120,0,52514,Trace Crowe,77.22%,61,79,-0.3
2024,121,0,52372,Cameron Champ,77.08%,37,48,-0.11
2024,121,0,36326,David Lipsky,77.08%,37,48,-0.14
2024,123,0,54628,Lee Hodges,77.03%,57,74,-0.26
2024,124,0,56630,Akshay Bhatia,76.92%,60,78,-0.33
2024,124,0,51349,Nico Echavarria,76.92%,50,65,-0.32
2024,126,0,35450,Patrick Cantlay,76.74%,33,43,-0.33
2024,127,0,49771,J.T. Poston,76.71%,56,73,-0.27
2024,128,0,29420,Billy Horschel,76.47%,39,51,-0.31
2024,128,0,29908,C.T. Pan,76.47%,39,51,-0.31
2024,130,0,57900,Chandler Phillips,76.39%,55,72,-0.42
2024,130,0,39324,J.J. Spaun,76.39%,55,72,-0.38
2024,132,0,48699,Callum Tarren,76.36%,42,55,-0.36
2024,133,0,47347,Adam Schenk,76.29%,74,97,-0.2
2024,134,0,27139,David Skinns,76.19%,48,63,-0.27
2024,135,0,57362,Austin Eckroat,76.06%,54,71,-0.46
2024,136,0,59442,Parker Coody,75.56%,34,45,-0.24
2024,137,0,59836,Pierceson Coody,75.34%,55,73,-0.35
2024,138,0,60067,Joe Highsmith,75.00%,48,64,-0.25
2024,138,0,34256,Andrew Putnam,75.00%,51,68,-0.39
2024,138,0,24502,Adam Scott,75.00%,45,60,-0.31
2024,138,0,27649,Brandt Snedeker,75.00%,36,48,-0.33
2024,142,0,52215,Robert MacIntyre,74.55%,41,55,-0.15
2024,142,0,32640,Troy Merritt,74.55%,41,55,-0.41
2024,144,0,28089,Jason Day,74.47%,35,47,-0.49
2024,145,0,47806,Raul Pereda,74.42%,32,43,-0.25
2024,146,0,26476,Chez Reavie,74.19%,46,62,-0.24
2024,147,0,35506,Mackenzie Hughes,74.03%,57,77,-0.35
2024,148,0,52513,Carson Young,73.81%,62,84,-0.35
2024,149,0,55708,Hayden Buckley,73.77%,45,61,-0.33
2024,150,0,27129,Luke List,73.61%,53,72,-0.26
2024,151,0,33448,Justin Thomas,73.58%,39,53,-0.31
2024,152,0,60767,Blaine Hale Jr.,73.47%,36,49,-0.33
2024,152,0,32333,Kevin Tway,73.47%,36,49,-0.31
2024,154,0,23108,Matt Kuchar,73.42%,58,79,-0.41
2024,155,0,51997,Andrew Novak,73.33%,55,75,-0.42
2024,156,0,45609,Tyler Duncan,73.02%,46,63,-0.3
2024,157,0,59095,Chris Gotterup,72.73%,56,77,-0.36
2024,157,0,29221,Webb Simpson,72.73%,32,44,-0.16
2024,159,0,48117,Kurt Kitayama,72.41%,42,58,-0.29
2024,160,0,48867,Matti Schmid,72.13%,44,61,-0.36
2024,160,0,46340,Alex Smalley,72.13%,44,61,-0.32
2024,162,0,35617,Martin Trainer,72.00%,36,50,-0.25
2024,163,0,55789,Taylor Montgomery,71.88%,23,32,-0.26
2024,164,0,28252,Seamus Power,71.70%,38,53,-0.37
2024,165,0,39546,Keith Mitchell,71.43%,75,105,-0.28
2024,165,0,36871,Matt NeSmith,71.43%,40,56,-0.2
2024,167,0,31323,Gary Woodland,71.21%,47,66,-0.3
2024,168,0,47679,Victor Perez,71.11%,32,45,-0.22
2024,169,0,32070,Rafael Campos,71.05%,27,38,-0.3
2024,170,0,46441,Robby Shelton,70.97%,44,62,-0.39
2024,171,0,34374,Erik Barnes,70.73%,29,41,-0.41
2024,172,0,57975,Harry Hall,70.24%,59,84,-0.44
2024,173,0,54591,Ben Griffin,70.13%,54,77,-0.31
2024,174,0,50497,Adrien Dumont de Chassart,70.00%,42,60,-0.36
2024,175,0,55893,Sam Stevens,69.31%,70,101,-0.26
2024,176,0,51977,Max Greyserman,68.52%,37,54,-0.35
2024,177,0,47663,Kevin Dougherty,68.18%,45,66,-0.27
2024,178,0,46113,Ryan McCormick,68.00%,34,50,-0.38
2024,179,0,34466,Peter Malnati,67.53%,52,77,-0.33
2024,180,0,28237,Rory McIlroy,65.96%,31,47,-0.42
