YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2024,1,0,47591,Eric Cole,"7' 0""",1532.833,220,56
2024,1,0,57975,Harry Hall,"7' 0""",1252.833,179,40
2024,3,0,12716,Charley Hoffman,"7' 1""",890.75,126,115
2024,4,0,45522,Christiaan Bezuidenhout,"7' 3""",1122.25,154,12
2024,4,0,32367,Jorge Campillo,"7' 3""",662.917,91,59
2024,4,0,46340,Alex Smalley,"7' 3""",982.417,135,145
2024,7,0,51349,Nico Echavarria,"7' 4""",1036.417,141,123
2024,7,0,34098,Russell Henley,"7' 4""",965.083,131,11
2024,7,0,39971,Sungjae Im,"7' 4""",1252.583,171,26
2024,7,0,37455,Si Woo Kim,"7' 4""",1038.917,141,27
2024,7,0,52215,Robert MacIntyre,"7' 4""",1076.25,147,14
2024,7,0,50525,Collin Morikawa,"7' 4""",1101.417,151,9
2024,7,0,22405,Justin Rose,"7' 4""",862.083,118,39
2024,14,0,34255,Joseph Bramlett,"7' 5""",1092.5,148,65
2024,14,0,28775,Nate Lashley,"7' 5""",889.25,120,24
2024,14,0,46442,Maverick McNealy,"7' 5""",1311.0,177,10
2024,14,0,50095,Austin Smotherman,"7' 5""",573.25,77,94
2024,14,0,52374,Brandon Wu,"7' 5""",863.167,117,100
2024,19,0,33948,Byeong Hun An,"7' 6""",932.083,124,117
2024,19,0,35461,Beau Hossler,"7' 6""",1147.917,153,34
2024,19,0,32839,Hideki Matsuyama,"7' 6""",924.5,123,2
2024,19,0,27330,Josh Teater,"7' 6""",667.75,89,171
2024,23,0,56630,Akshay Bhatia,"7' 7""",1203.083,159,52
2024,23,0,27936,Martin Laird,"7' 7""",846.0,112,63
2024,23,0,32791,K.H. Lee,"7' 7""",1077.5,142,87
2024,23,0,55789,Taylor Montgomery,"7' 7""",814.833,108,54
2024,23,0,27349,Alex Noren,"7' 7""",846.0,112,3
2024,23,0,51997,Andrew Novak,"7' 7""",1145.75,151,34
2024,23,0,28252,Seamus Power,"7' 7""",1228.333,162,20
2024,23,0,47983,Chad Ramey,"7' 7""",1006.167,133,125
2024,23,0,33448,Justin Thomas,"7' 7""",964.333,127,45
2024,32,0,25900,Lucas Glover,"7' 8""",1140.167,149,101
2024,32,0,35532,Tom Hoge,"7' 8""",1622.417,212,128
2024,32,0,34587,Chan Kim,"7' 8""",1045.417,137,19
2024,32,0,26596,Ryan Moore,"7' 8""",1166.5,152,47
2024,36,0,60067,Joe Highsmith,"7' 9""",923.25,119,140
2024,36,0,39327,Ben Silverman,"7' 9""",1270.917,164,18
2024,38,0,27644,Brian Harman,"7' 10""",1101.167,140,57
2024,38,0,39977,Max Homa,"7' 10""",1427.5,183,43
2024,38,0,32757,Patton Kizzire,"7' 10""",589.75,75,80
2024,38,0,59143,Mac Meissner,"7' 10""",1118.083,143,38
2024,38,0,23320,Ryan Palmer,"7' 10""",693.75,89,107
2024,38,0,51890,Greyson Sigg,"7' 10""",963.583,123,13
2024,38,0,58168,Davis Thompson,"7' 10""",1275.667,162,68
2024,38,0,54783,Dylan Wu,"7' 10""",1217.083,156,96
2024,46,0,60004,Jacob Bridgeman,"7' 11""",890.083,113,60
2024,46,0,36884,Ben Kohles,"7' 11""",946.333,119,175
2024,46,0,47993,Denny McCarthy,"7' 11""",1270.417,161,6
2024,46,0,47679,Victor Perez,"7' 11""",890.333,112,90
2024,46,0,55893,Sam Stevens,"7' 11""",1416.083,178,33
2024,46,0,27214,Kevin Streelman,"7' 11""",1055.917,133,159
2024,46,0,25493,Nick Taylor,"7' 11""",1418.083,179,74
2024,53,0,40098,Matt Fitzpatrick,"8' 0""",1141.5,142,53
2024,53,0,36799,Stephan Jaeger,"8' 0""",1026.25,128,88
2024,53,0,32640,Troy Merritt,"8' 0""",1116.667,140,120
2024,53,0,46414,Aaron Rai,"8' 0""",1082.167,135,30
2024,53,0,46441,Robby Shelton,"8' 0""",1329.917,167,88
2024,53,0,27139,David Skinns,"8' 0""",1036.667,130,129
2024,59,0,55708,Hayden Buckley,"8' 1""",1063.583,131,126
2024,59,0,28089,Jason Day,"8' 1""",1152.083,142,32
2024,59,0,59095,Chris Gotterup,"8' 1""",1349.583,167,109
2024,59,0,36801,Mark Hubbard,"8' 1""",1221.583,151,98
2024,59,0,55182,Tom Kim,"8' 1""",1137.417,141,124
2024,59,0,33968,Thorbjørn Olesen,"8' 1""",892.833,111,149
2024,59,0,26476,Chez Reavie,"8' 1""",1036.917,128,81
2024,59,0,46046,Scottie Scheffler,"8' 1""",814.833,101,5
2024,59,0,47347,Adam Schenk,"8' 1""",1567.083,193,93
2024,59,0,29221,Webb Simpson,"8' 1""",1060.333,131,66
2024,59,0,33486,Roger Sloan,"8' 1""",907.25,112,48
2024,59,0,39324,J.J. Spaun,"8' 1""",1071.417,133,131
2024,59,0,34046,Jordan Spieth,"8' 1""",1132.667,140,173
2024,72,0,22371,Aaron Baddeley,"8' 2""",1185.583,145,16
2024,72,0,35506,Mackenzie Hughes,"8' 2""",1576.833,194,15
2024,72,0,30926,Chris Kirk,"8' 2""",1045.833,128,92
2024,72,0,37378,Min Woo Lee,"8' 2""",1169.917,143,166
2024,72,0,57900,Chandler Phillips,"8' 2""",1424.25,175,29
2024,77,0,40058,Zac Blair,"8' 3""",1217.333,147,31
2024,77,0,52514,Trace Crowe,"8' 3""",1051.083,128,142
2024,77,0,34099,Harris English,"8' 3""",1463.5,177,24
2024,77,0,29725,Tony Finau,"8' 3""",1246.917,151,122
2024,77,0,56149,Wilson Furr,"8' 3""",813.333,99,121
2024,77,0,23108,Matt Kuchar,"8' 3""",1171.167,142,78
2024,77,0,36326,David Lipsky,"8' 3""",959.917,116,133
2024,84,0,32366,Kevin Chappell,"8' 4""",759.333,91,114
2024,84,0,51766,Wyndham Clark,"8' 4""",884.75,106,85
2024,84,0,59442,Parker Coody,"8' 4""",903.75,108,51
2024,84,0,50188,S.H. Kim,"8' 4""",1686.5,202,97
2024,84,0,30163,Henrik Norlander,"8' 4""",790.5,95,4
