YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
2024,0,51977,Max Greyserman,19.06%,65,341
2024,0,52666,Sami Valimaki,18.80%,50,266
2024,0,60067,Joe Highsmith,18.09%,55,304
2024,0,37455,Si Woo Kim,18.09%,68,376
2024,0,46441,Robby Shelton,17.79%,58,326
2024,0,33653,Thomas Detry,17.69%,52,294
2024,0,51997,Andrew Novak,17.58%,64,364
2024,0,51349,Nico Echavarria,17.55%,66,376
2024,0,56149,Wilson Furr,17.48%,43,246
2024,0,51766,Wyndham Clark,17.36%,50,288
2024,0,48081,Xander Schauffele,17.35%,59,340
2024,0,27129,Luke List,17.31%,54,312
2024,0,57975,Harry Hall,17.24%,60,348
2024,0,55182,Tom Kim,17.07%,56,328
2024,0,47993,Denny McCarthy,17.05%,59,346
2024,0,50525,Collin Morikawa,16.88%,54,320
2024,0,27644,Brian Harman,16.86%,59,350
2024,0,60767,Blaine Hale Jr.,16.81%,38,226
2024,0,33948,Byeong Hun An,16.78%,50,298
2024,0,50493,Justin Suh,16.77%,53,316
2024,0,46046,Scottie Scheffler,16.67%,50,300
2024,0,39977,Max Homa,16.56%,53,320
2024,0,33399,Adam Hadwin,16.37%,55,336
2024,0,37275,Sam Ryder,16.36%,53,324
2024,0,28775,Nate Lashley,16.35%,52,318
2024,0,47504,Sam Burns,16.34%,50,306
2024,0,52955,Ludvig Åberg,16.33%,49,300
2024,0,39975,Michael Kim,16.29%,57,350
2024,0,46717,Viktor Hovland,16.23%,37,228
2024,0,33968,Thorbjørn Olesen,16.18%,33,204
2024,0,29936,Ryan Fox,16.16%,53,328
2024,0,47591,Eric Cole,16.15%,73,452
2024,0,52514,Trace Crowe,16.10%,47,292
2024,0,48117,Kurt Kitayama,16.05%,52,324
2024,0,34563,Chesson Hadley,15.97%,46,288
2024,0,33408,Tyson Alexander,15.94%,51,320
2024,0,39546,Keith Mitchell,15.91%,56,352
2024,0,27139,David Skinns,15.82%,56,354
