YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2024,1,0,33408,Tyson Alexander,100.00%,2,2
2024,1,0,22371,Aaron Baddeley,100.00%,2,2
2024,1,0,35450,Patrick Cantlay,100.00%,4,4
2024,1,0,34021,Bud Cauley,100.00%,2,2
2024,1,0,52372,Cameron Champ,100.00%,2,2
2024,1,0,59442,Parker Coody,100.00%,1,1
2024,1,0,51349,Nico Echavarria,100.00%,6,6
2024,1,0,54576,Patrick Fishburn,100.00%,1,1
2024,1,0,52375,Doug Ghim,100.00%,8,8
2024,1,0,59095,Chris Gotterup,100.00%,2,2
2024,1,0,51977,Max Greyserman,100.00%,3,3
2024,1,0,34563,Chesson Hadley,100.00%,3,3
2024,1,0,60767,Blaine Hale Jr.,100.00%,1,1
2024,1,0,57975,Harry Hall,100.00%,5,5
2024,1,0,51696,Rico Hoey,100.00%,1,1
2024,1,0,52453,Nicolai Højgaard,100.00%,3,3
2024,1,0,35461,Beau Hossler,100.00%,2,2
2024,1,0,34587,Chan Kim,100.00%,3,3
2024,1,0,27936,Martin Laird,100.00%,2,2
2024,1,0,59143,Mac Meissner,100.00%,2,2
2024,1,0,55789,Taylor Montgomery,100.00%,3,3
2024,1,0,26596,Ryan Moore,100.00%,1,1
2024,1,0,27349,Alex Noren,100.00%,5,5
2024,1,0,51997,Andrew Novak,100.00%,2,2
2024,1,0,23320,Ryan Palmer,100.00%,2,2
2024,1,0,49771,J.T. Poston,100.00%,8,8
2024,1,0,46414,Aaron Rai,100.00%,5,5
2024,1,0,26476,Chez Reavie,100.00%,3,3
2024,1,0,47995,Davis Riley,100.00%,2,2
2024,1,0,48867,Matti Schmid,100.00%,4,4
2024,1,0,27649,Brandt Snedeker,100.00%,2,2
2024,1,0,50484,Hayden Springer,100.00%,3,3
2024,1,0,27214,Kevin Streelman,100.00%,2,2
2024,1,0,48119,Ben Taylor,100.00%,1,1
2024,1,0,30927,Brendon Todd,100.00%,6,6
2024,1,0,32333,Kevin Tway,100.00%,2,2
2024,1,0,54783,Dylan Wu,100.00%,3,3
2024,38,0,47504,Sam Burns,90.91%,10,11
2024,39,0,28089,Jason Day,90.00%,9,10
2024,40,0,25900,Lucas Glover,88.89%,8,9
2024,41,0,52215,Robert MacIntyre,87.50%,7,8
2024,41,0,40115,Adam Svensson,87.50%,7,8
2024,41,0,58168,Davis Thompson,87.50%,7,8
2024,44,0,56630,Akshay Bhatia,85.71%,6,7
2024,44,0,59866,Nick Dunlap,85.71%,6,7
2024,44,0,30911,Tommy Fleetwood,85.71%,6,7
2024,44,0,54591,Ben Griffin,85.71%,6,7
2024,44,0,52666,Sami Valimaki,85.71%,6,7
2024,44,0,55454,Carl Yuan,85.71%,6,7
2024,44,0,47483,Will Zalatoris,85.71%,6,7
2024,51,0,29420,Billy Horschel,83.33%,5,6
