YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2024,1,0,59836,Pierceson Coody,42.02%,119,50
2024,2,0,50484,Hayden Springer,41.75%,103,43
2024,3,0,32333,Kevin Tway,40.70%,86,35
2024,4,0,35506,Mackenzie Hughes,39.50%,119,47
2024,5,0,29936,Ryan Fox,39.10%,133,52
2024,6,0,29478,Kevin Kisner,38.81%,67,26
2024,7,0,33399,Adam Hadwin,38.64%,132,51
2024,8,0,33653,Thomas Detry,38.60%,114,44
2024,9,0,50188,S.H. Kim,38.46%,130,50
2024,10,0,32791,K.H. Lee,38.06%,134,51
2024,11,0,30927,Brendon Todd,37.89%,161,61
2024,12,0,52215,Robert MacIntyre,37.60%,125,47
2024,13,0,27936,Martin Laird,37.50%,104,39
2024,14,0,52372,Cameron Champ,37.18%,78,29
2024,15,0,49960,Sepp Straka,37.12%,132,49
2024,16,0,46046,Scottie Scheffler,36.81%,144,53
2024,17,0,51977,Max Greyserman,36.73%,98,36
2024,17,0,31646,Emiliano Grillo,36.73%,147,54
2024,19,0,40250,Taylor Pendrith,36.70%,109,40
2024,20,0,55182,Tom Kim,36.67%,150,55
2024,21,0,47983,Chad Ramey,36.43%,140,51
2024,22,0,39977,Max Homa,36.23%,138,50
2024,23,0,48887,Matt Wallace,36.11%,108,39
2024,24,0,28089,Jason Day,36.08%,97,35
2024,25,0,46414,Aaron Rai,36.05%,147,53
2024,26,0,49947,Taylor Moore,35.95%,153,55
2024,27,0,35450,Patrick Cantlay,35.71%,98,35
2024,27,0,47993,Denny McCarthy,35.71%,154,55
2024,29,0,35461,Beau Hossler,35.66%,143,51
2024,30,0,59095,Chris Gotterup,35.25%,122,43
2024,31,0,35617,Martin Trainer,35.21%,71,25
2024,32,0,34466,Peter Malnati,35.19%,108,38
2024,32,0,27349,Alex Noren,35.19%,108,38
2024,34,0,40006,Erik van Rooyen,35.10%,151,53
2024,35,0,34046,Jordan Spieth,35.04%,117,41
2024,36,0,38991,Alejandro Tosti,34.78%,92,32
2024,37,0,52955,Ludvig Åberg,34.75%,141,49
2024,38,0,47420,Jake Knapp,34.65%,127,44
2024,39,0,48867,Matti Schmid,34.45%,119,41
2024,40,0,34098,Russell Henley,34.40%,125,43
2024,41,0,57900,Chandler Phillips,34.25%,146,50
2024,42,0,58168,Davis Thompson,34.23%,149,51
2024,43,0,39997,Corey Conners,34.18%,158,54
2024,44,0,46442,Maverick McNealy,34.15%,164,56
2024,45,0,34099,Harris English,34.11%,129,44
2024,46,0,23108,Matt Kuchar,34.00%,100,34
2024,47,0,47995,Davis Riley,33.90%,118,40
2024,48,0,39971,Sungjae Im,33.75%,160,54
2024,49,0,12716,Charley Hoffman,33.61%,122,41
2024,50,0,34256,Andrew Putnam,33.56%,146,49
2024,51,0,48081,Xander Schauffele,33.55%,155,52
2024,52,0,32367,Jorge Campillo,33.33%,66,22
2024,52,0,56149,Wilson Furr,33.33%,84,28
2024,52,0,60767,Blaine Hale Jr.,33.33%,63,21
2024,52,0,24024,Zach Johnson,33.33%,81,27
2024,52,0,27214,Kevin Streelman,33.33%,99,33
2024,57,0,36799,Stephan Jaeger,33.10%,142,47
2024,58,0,55789,Taylor Montgomery,32.94%,85,28
2024,59,0,29725,Tony Finau,32.72%,162,53
2024,60,0,22405,Justin Rose,32.69%,104,34
