YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
2024,0,40026,Daniel Berger,0.00%,0,96,100.0
2024,0,45522,Christiaan Bezuidenhout,0.00%,0,97,100.0
2024,0,60004,Jacob Bridgeman,0.00%,0,77,100.0
2024,0,45609,Tyler Duncan,0.00%,0,76,100.0
2024,0,34099,Harris English,0.00%,0,101,100.0
2024,0,54576,Patrick Fishburn,0.00%,0,77,100.0
2024,0,30911,Tommy Fleetwood,0.00%,0,97,100.0
2024,0,29535,Brice Garnett,0.00%,0,60,100.0
2024,0,35310,Lanto Griffin,0.00%,0,82,100.0
2024,0,33399,Adam Hadwin,0.00%,0,107,100.0
2024,0,54421,Garrick Higgo,0.00%,0,97,100.0
2024,0,51287,Ryo Hisatsune,0.00%,0,106,100.0
2024,0,36801,Mark Hubbard,0.00%,0,123,100.0
2024,0,35506,Mackenzie Hughes,0.00%,0,103,100.0
2024,0,37455,Si Woo Kim,0.00%,0,108,100.0
2024,0,48117,Kurt Kitayama,0.00%,0,97,100.0
2024,0,47420,Jake Knapp,0.00%,0,99,100.0
2024,0,27936,Martin Laird,0.00%,0,90,100.0
2024,0,27129,Luke List,0.00%,0,88,100.0
2024,0,47993,Denny McCarthy,0.00%,0,105,100.0
2024,0,55789,Taylor Montgomery,0.00%,0,68,100.0
2024,0,49947,Taylor Moore,0.00%,0,115,100.0
2024,0,29908,C.T. Pan,0.00%,0,98,100.0
2024,0,47679,Victor Perez,0.00%,0,97,100.0
2024,0,48081,Xander Schauffele,0.00%,0,107,100.0
2024,0,51890,Greyson Sigg,0.00%,0,113,100.0
2024,0,39327,Ben Silverman,0.00%,0,123,100.0
2024,0,33486,Roger Sloan,0.00%,0,69,100.0
2024,0,27649,Brandt Snedeker,0.00%,0,72,100.0
2024,0,50493,Justin Suh,0.00%,0,96,100.0
2024,0,58168,Davis Thompson,0.00%,0,124,100.0
2024,0,35617,Martin Trainer,0.00%,0,60,100.0
2024,0,27770,Camilo Villegas,0.00%,0,71,100.0
2024,0,54783,Dylan Wu,0.00%,0,100,100.0
2024,0,47483,Will Zalatoris,0.00%,0,75,100.0
2024,0,55893,Sam Stevens,0.71%,1,141,99.29
2024,0,35461,Beau Hossler,0.77%,1,130,99.23
2024,0,57362,Austin Eckroat,0.81%,1,123,99.19
2024,0,47988,Nick Hardy,0.86%,1,116,99.14
2024,0,40058,Zac Blair,0.87%,1,115,99.13
2024,0,46442,Maverick McNealy,0.88%,1,113,99.12
2024,0,40006,Erik van Rooyen,0.92%,1,109,99.08
2024,0,26596,Ryan Moore,0.93%,1,108,99.07
2024,0,34256,Andrew Putnam,0.93%,1,107,99.07
2024,0,34587,Chan Kim,0.94%,1,106,99.06
2024,0,33141,Keegan Bradley,0.97%,1,103,99.03
2024,0,23108,Matt Kuchar,0.98%,1,102,99.02
2024,0,46441,Robby Shelton,0.98%,1,102,99.02
2024,0,34098,Russell Henley,0.99%,1,101,99.01
2024,0,51977,Max Greyserman,1.00%,1,100,99.0
2024,0,29420,Billy Horschel,1.00%,1,100,99.0
2024,0,39546,Keith Mitchell,1.01%,1,99,98.99
2024,0,37378,Min Woo Lee,1.03%,1,97,98.97
2024,0,22371,Aaron Baddeley,1.04%,1,96,98.96
2024,0,34563,Chesson Hadley,1.08%,1,93,98.92
2024,0,45242,Kevin Yu,1.08%,1,93,98.92
2024,0,47995,Davis Riley,1.09%,1,92,98.91
2024,0,37275,Sam Ryder,1.09%,1,92,98.91
2024,0,46046,Scottie Scheffler,1.09%,1,92,98.91
2024,0,24502,Adam Scott,1.10%,1,91,98.9
2024,0,51766,Wyndham Clark,1.15%,1,87,98.85
2024,0,27349,Alex Noren,1.15%,1,87,98.85
2024,0,48119,Ben Taylor,1.16%,1,86,98.84
2024,0,59095,Chris Gotterup,1.18%,1,85,98.82
2024,0,34046,Jordan Spieth,1.18%,1,85,98.82
2024,0,48887,Matt Wallace,1.18%,1,85,98.82
2024,0,55708,Hayden Buckley,1.22%,1,82,98.78
2024,0,50497,Adrien Dumont de Chassart,1.22%,1,82,98.78
2024,0,50525,Collin Morikawa,1.22%,1,82,98.78
2024,0,51894,Vince Whaley,1.23%,1,81,98.77
2024,0,40098,Matt Fitzpatrick,1.25%,1,80,98.75
2024,0,52215,Robert MacIntyre,1.25%,1,80,98.75
2024,0,30926,Chris Kirk,1.27%,1,79,98.73
2024,0,32640,Troy Merritt,1.27%,1,79,98.73
2024,0,59442,Parker Coody,1.28%,1,78,98.72
2024,0,30163,Henrik Norlander,1.30%,1,77,98.7
2024,0,51070,Vincent Norrman,1.30%,1,77,98.7
2024,0,35450,Patrick Cantlay,1.32%,1,76,98.68
2024,0,36699,Patrick Rodgers,1.32%,2,151,98.68
2024,0,34021,Bud Cauley,1.39%,1,72,98.61
2024,0,32757,Patton Kizzire,1.39%,1,72,98.61
2024,0,28252,Seamus Power,1.39%,2,144,98.61
2024,0,29478,Kevin Kisner,1.41%,1,71,98.59
2024,0,52666,Sami Valimaki,1.43%,1,70,98.57
2024,0,54591,Ben Griffin,1.44%,2,139,98.56
2024,0,47663,Kevin Dougherty,1.45%,1,69,98.55
2024,0,32333,Kevin Tway,1.47%,1,68,98.53
2024,0,47591,Eric Cole,1.49%,2,134,98.51
2024,0,52375,Doug Ghim,1.50%,2,133,98.5
2024,0,32070,Rafael Campos,1.54%,1,65,98.46
2024,0,50188,S.H. Kim,1.63%,2,123,98.37
2024,0,40162,Justin Lower,1.63%,2,123,98.37
2024,0,52453,Nicolai Højgaard,1.64%,1,61,98.36
2024,0,33968,Thorbjørn Olesen,1.64%,1,61,98.36
2024,0,49960,Sepp Straka,1.65%,2,121,98.35
2024,0,27644,Brian Harman,1.69%,2,118,98.31
2024,0,46414,Aaron Rai,1.71%,2,117,98.29
