YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
2024,0,52372,Cameron Champ,322.8,36794,114
2024,0,28237,Rory McIlroy,320.2,44183,138
2024,0,33948,Byeong Hun An,317.1,47570,150
2024,0,47663,Kevin Dougherty,316.8,39285,124
2024,0,59095,Chris Gotterup,316.2,44898,142
2024,0,38991,Alejandro Tosti,315.6,43554,138
2024,0,37378,Min Woo Lee,314.8,41548,132
2024,0,51766,Wyndham Clark,314.0,42082,134
2024,0,27064,Jhonattan Vegas,313.9,45196,144
2024,0,40250,Taylor Pendrith,313.6,47673,152
2024,0,31323,Gary Woodland,313.1,50093,160
2024,0,37212,Paul Barjon,313.0,33180,106
2024,0,59836,Pierceson Coody,312.6,48456,155
2024,0,39546,Keith Mitchell,311.8,50515,162
2024,0,56149,Wilson Furr,311.7,35533,114
2024,0,50484,Hayden Springer,311.1,44487,143
2024,0,34255,Joseph Bramlett,311.0,52242,168
2024,0,51977,Max Greyserman,311.0,47584,153
2024,0,51070,Vincent Norrman,311.0,30476,98
2024,0,29936,Ryan Fox,310.9,48496,156
2024,0,36799,Stephan Jaeger,310.3,49020,158
2024,0,52955,Ludvig Åberg,310.1,46520,150
2024,0,55454,Carl Yuan,309.8,39658,128
2024,0,47420,Jake Knapp,309.5,46420,150
2024,0,51696,Rico Hoey,309.3,51957,168
2024,0,52453,Nicolai Højgaard,309.1,35239,114
2024,0,33448,Justin Thomas,309.1,41414,134
2024,0,28420,Ryan Brehm,309.0,37078,120
2024,0,57366,Cameron Young,308.9,50036,162
2024,0,54576,Patrick Fishburn,308.8,43226,140
2024,0,54421,Garrick Higgo,308.8,48790,158
2024,0,48117,Kurt Kitayama,308.7,48777,158
2024,0,48081,Xander Schauffele,308.5,48750,158
2024,0,29725,Tony Finau,308.4,48731,158
2024,0,48867,Matti Schmid,308.2,47465,154
2024,0,40006,Erik van Rooyen,308.2,48697,158
2024,0,45242,Kevin Yu,308.0,44962,146
2024,0,46340,Alex Smalley,307.5,45516,148
2024,0,47504,Sam Burns,307.4,44884,146
2024,0,59866,Nick Dunlap,307.3,41184,134
2024,0,60767,Blaine Hale Jr.,307.1,31627,103
2024,0,24502,Adam Scott,307.1,43612,142
2024,0,34046,Jordan Spieth,306.9,42962,140
2024,0,48699,Callum Tarren,306.9,42962,140
2024,0,49947,Taylor Moore,306.8,60740,198
2024,0,60067,Joe Highsmith,306.5,42605,139
2024,0,55893,Sam Stevens,306.3,59735,195
2024,0,58168,Davis Thompson,306.3,55132,180
2024,0,46113,Ryan McCormick,306.2,37362,122
2024,0,32333,Kevin Tway,306.2,36747,120
2024,0,36699,Patrick Rodgers,306.1,61229,200
