YEAR,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
2024,0,51766,Wyndham Clark,6
2024,0,37455,Si Woo Kim,6
2024,0,33408,Tyson Alexander,5
2024,0,51349,Nico Echavarria,5
2024,0,34099,Harris English,5
2024,0,35461,Beau Hossler,5
2024,0,40162,Justin Lower,5
2024,0,59141,Matt McCarty,5
2024,0,51997,Andrew Novak,5
2024,0,47995,Davis Riley,5
2024,0,50484,Hayden Springer,5
2024,0,57366,Cameron Young,5
2024,0,33948,Byeong Hun An,4
2024,0,22371,Aaron Baddeley,4
2024,0,40026,Daniel Berger,4
2024,0,45522,Christiaan Bezuidenhout,4
2024,0,56630,Akshay Bhatia,4
2024,0,34310,Alexander Björk,4
2024,0,55708,Hayden Buckley,4
2024,0,47504,Sam Burns,4
2024,0,29725,Tony Finau,4
2024,0,56149,Wilson Furr,4
2024,0,59018,Ryan Gerard,4
2024,0,57975,Harry Hall,4
2024,0,34363,Tyrrell Hatton,4
2024,0,54421,Garrick Higgo,4
2024,0,36801,Mark Hubbard,4
2024,0,57688,Casey Jarvis,4
2024,0,37446,Jacques Kruyswijk,4
2024,0,33204,Shane Lowry,4
2024,0,52215,Robert MacIntyre,4
2024,0,33199,Matteo Manassero,4
2024,0,32839,Hideki Matsuyama,4
2024,0,55789,Taylor Montgomery,4
2024,0,49947,Taylor Moore,4
2024,0,27349,Alex Noren,4
2024,0,49771,J.T. Poston,4
2024,0,48081,Xander Schauffele,4
2024,0,63807,Neal Shipley,4
2024,0,27139,David Skinns,4
2024,0,30927,Brendon Todd,4
2024,0,38991,Alejandro Tosti,4
2024,0,40006,Erik van Rooyen,4
2024,0,52955,Ludvig Åberg,3
2024,0,28259,Sangmoon Bae,3
2024,0,37212,Paul Barjon,3
2024,0,58989,Brandon Berry,3
2024,0,40058,Zac Blair,3
2024,0,48084,Wesley Bryan,3
2024,0,32070,Rafael Campos,3
2024,0,34021,Bud Cauley,3
2024,0,52372,Cameron Champ,3
2024,0,32366,Kevin Chappell,3
2024,0,66743,Luke Clanton,3
2024,0,47591,Eric Cole,3
2024,0,39997,Corey Conners,3
2024,0,59442,Parker Coody,3
2024,0,59836,Pierceson Coody,3
2024,0,33653,Thomas Detry,3
2024,0,47663,Kevin Dougherty,3
2024,0,50497,Adrien Dumont de Chassart,3
2024,0,59866,Nick Dunlap,3
2024,0,47079,Harrison Endycott,3
2024,0,54576,Patrick Fishburn,3
2024,0,29970,Dylan Frittelli,3
2024,0,52375,Doug Ghim,3
2024,0,25900,Lucas Glover,3
2024,0,59095,Chris Gotterup,3
2024,0,51977,Max Greyserman,3
2024,0,54591,Ben Griffin,3
2024,0,35310,Lanto Griffin,3
2024,0,31646,Emiliano Grillo,3
2024,0,34563,Chesson Hadley,3
2024,0,33399,Adam Hadwin,3
2024,0,32448,James Hahn,3
2024,0,47988,Nick Hardy,3
2024,0,37428,Evan Harmeling,3
2024,0,60067,Joe Highsmith,3
2024,0,51287,Ryo Hisatsune,3
