YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,1,0,48153,Matthieu Pavon,9.70%,134,13.0
2024,2,0,32333,Kevin Tway,9.38%,128,12.0
2024,3,0,35450,Patrick Cantlay,8.41%,107,9.0
2024,4,0,51696,Rico Hoey,8.28%,157,13.0
2024,5,0,54591,Ben Griffin,7.59%,224,17.0
2024,6,0,51287,Ryo Hisatsune,7.26%,179,13.0
2024,7,0,45522,Christiaan Bezuidenhout,7.19%,139,10.0
2024,8,0,52215,Robert MacIntyre,6.80%,147,10.0
2024,9,0,52513,Carson Young,6.29%,175,11.0
2024,10,0,46717,Viktor Hovland,6.25%,96,6.0
2024,11,0,35532,Tom Hoge,6.17%,162,10.0
2024,12,0,27129,Luke List,6.13%,163,10.0
2024,13,0,50095,Austin Smotherman,5.81%,86,5.0
2024,14,0,33204,Shane Lowry,5.80%,138,8.0
2024,15,0,29936,Ryan Fox,5.76%,139,8.0
2024,16,0,40162,Justin Lower,5.63%,213,12.0
2024,16,0,48081,Xander Schauffele,5.63%,160,9.0
2024,18,0,36884,Ben Kohles,5.61%,196,11.0
2024,19,0,28089,Jason Day,5.59%,143,8.0
2024,20,0,35506,Mackenzie Hughes,5.58%,215,12.0
2024,21,0,48084,Wesley Bryan,5.41%,74,4.0
2024,22,0,34046,Jordan Spieth,5.30%,132,7.0
2024,23,0,27214,Kevin Streelman,5.22%,134,7.0
2024,24,0,33408,Tyson Alexander,5.16%,155,8.0
2024,25,0,49771,J.T. Poston,5.14%,175,9.0
2024,26,0,57900,Chandler Phillips,5.13%,156,8.0
2024,26,0,52374,Brandon Wu,5.13%,156,8.0
2024,28,0,46113,Ryan McCormick,5.11%,137,7.0
2024,29,0,33968,Thorbjørn Olesen,5.10%,98,5.0
2024,30,0,28252,Seamus Power,5.08%,177,9.0
2024,31,0,34099,Harris English,5.07%,217,11.0
2024,32,0,32839,Hideki Matsuyama,5.04%,119,6.0
2024,33,0,52666,Sami Valimaki,4.96%,121,6.0
2024,34,0,25900,Lucas Glover,4.93%,142,7.0
2024,35,0,26476,Chez Reavie,4.92%,122,6.0
2024,36,0,57362,Austin Eckroat,4.88%,164,8.0
2024,37,0,28237,Rory McIlroy,4.84%,124,6.0
2024,38,0,40058,Zac Blair,4.81%,187,9.0
2024,38,0,24024,Zach Johnson,4.81%,104,5.0
2024,40,0,51977,Max Greyserman,4.76%,147,7.0
2024,40,0,54783,Dylan Wu,4.76%,168,8.0
2024,42,0,36326,David Lipsky,4.69%,128,6.0
2024,43,0,34587,Chan Kim,4.68%,171,8.0
2024,44,0,39324,J.J. Spaun,4.65%,172,8.0
2024,45,0,27330,Josh Teater,4.49%,89,4.0
2024,46,0,27936,Martin Laird,4.38%,137,6.0
2024,46,0,47483,Will Zalatoris,4.38%,137,6.0
2024,48,0,47993,Denny McCarthy,4.35%,184,8.0
2024,49,0,40026,Daniel Berger,4.29%,140,6.0
2024,49,0,51997,Andrew Novak,4.29%,163,7.0
2024,51,0,40098,Matt Fitzpatrick,4.17%,144,6.0
2024,51,0,40250,Taylor Pendrith,4.17%,168,7.0
2024,53,0,51766,Wyndham Clark,4.13%,121,5.0
