YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
2024,0,50484,Hayden Springer,0.288,59,17.0
2024,0,47504,Sam Burns,0.311,90,28.0
2024,0,39327,Ben Silverman,0.315,73,23.0
2024,0,55893,Sam Stevens,0.325,77,25.0
2024,0,35617,Martin Trainer,0.328,64,21.0
2024,0,34099,Harris English,0.33,88,29.0
2024,0,46442,Maverick McNealy,0.333,99,33.0
2024,0,49771,J.T. Poston,0.333,90,30.0
2024,0,51634,Sahith Theegala,0.337,101,34.0
2024,0,46046,Scottie Scheffler,0.339,56,19.0
2024,0,52955,Ludvig Åberg,0.342,73,25.0
2024,0,34021,Bud Cauley,0.344,61,21.0
2024,0,24502,Adam Scott,0.344,93,32.0
2024,0,57975,Harry Hall,0.353,85,30.0
2024,0,30911,Tommy Fleetwood,0.357,70,25.0
2024,0,35506,Mackenzie Hughes,0.359,117,42.0
2024,0,45522,Christiaan Bezuidenhout,0.362,94,34.0
2024,0,33968,Thorbjørn Olesen,0.364,44,16.0
2024,0,56149,Wilson Furr,0.373,51,19.0
2024,0,54628,Lee Hodges,0.375,80,30.0
2024,0,33448,Justin Thomas,0.386,70,27.0
2024,0,28775,Nate Lashley,0.394,71,28.0
2024,0,39324,J.J. Spaun,0.397,68,27.0
2024,0,25493,Nick Taylor,0.4,90,36.0
2024,0,22371,Aaron Baddeley,0.402,92,37.0
2024,0,32839,Hideki Matsuyama,0.406,64,26.0
2024,0,39977,Max Homa,0.407,86,35.0
2024,0,26476,Chez Reavie,0.407,54,22.0
2024,0,34256,Andrew Putnam,0.409,88,36.0
2024,0,47993,Denny McCarthy,0.41,117,48.0
2024,0,55789,Taylor Montgomery,0.41,78,32.0
2024,0,49947,Taylor Moore,0.41,117,48.0
2024,0,22405,Justin Rose,0.413,75,31.0
2024,0,48081,Xander Schauffele,0.414,70,29.0
2024,0,51977,Max Greyserman,0.416,77,32.0
2024,0,35461,Beau Hossler,0.416,89,37.0
2024,0,34098,Russell Henley,0.419,74,31.0
2024,0,48887,Matt Wallace,0.419,62,26.0
2024,0,34255,Joseph Bramlett,0.422,90,38.0
2024,0,34587,Chan Kim,0.423,71,30.0
2024,0,30163,Henrik Norlander,0.423,52,22.0
2024,0,28237,Rory McIlroy,0.424,59,25.0
2024,0,51287,Ryo Hisatsune,0.425,73,31.0
2024,0,29221,Webb Simpson,0.426,54,23.0
2024,0,47591,Eric Cole,0.427,96,41.0
2024,0,29420,Billy Horschel,0.429,91,39.0
2024,0,27936,Martin Laird,0.429,91,39.0
2024,0,23320,Ryan Palmer,0.429,56,24.0
2024,0,33486,Roger Sloan,0.429,70,30.0
2024,0,55182,Tom Kim,0.432,88,38.0
2024,0,30927,Brendon Todd,0.433,141,61.0
2024,0,51766,Wyndham Clark,0.436,78,34.0
2024,0,32757,Patton Kizzire,0.438,48,21.0
2024,0,47679,Victor Perez,0.44,84,37.0
2024,0,47483,Will Zalatoris,0.441,68,30.0
2024,0,33948,Byeong Hun An,0.443,70,31.0
2024,0,52666,Sami Valimaki,0.443,70,31.0
2024,0,54591,Ben Griffin,0.444,99,44.0
2024,0,57366,Cameron Young,0.444,90,40.0
2024,0,35450,Patrick Cantlay,0.446,65,29.0
2024,0,40250,Taylor Pendrith,0.446,74,33.0
2024,0,36326,David Lipsky,0.449,69,31.0
2024,0,46414,Aaron Rai,0.449,78,35.0
2024,0,33204,Shane Lowry,0.452,73,33.0
2024,0,32640,Troy Merritt,0.452,62,28.0
2024,0,52375,Doug Ghim,0.453,86,39.0
2024,0,51894,Vince Whaley,0.453,64,29.0
2024,0,32791,K.H. Lee,0.455,101,46.0
2024,0,50188,S.H. Kim,0.458,142,65.0
2024,0,52215,Robert MacIntyre,0.458,72,33.0
2024,0,47806,Raul Pereda,0.458,59,27.0
2024,0,39975,Michael Kim,0.459,61,28.0
