YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
2024,1,0,46046,Scottie Scheffler,83.91%,558,665
2024,2,0,35310,Lanto Griffin,83.57%,519,621
2024,3,0,50095,Austin Smotherman,83.26%,398,478
2024,4,0,52375,Doug Ghim,83.06%,711,856
2024,5,0,45242,Kevin Yu,82.48%,499,605
2024,6,0,27064,Jhonattan Vegas,82.45%,484,587
2024,7,0,54576,Patrick Fishburn,82.40%,501,608
2024,8,0,30163,Henrik Norlander,82.21%,513,624
2024,9,0,48084,Wesley Bryan,82.08%,348,424
2024,10,0,34255,Joseph Bramlett,81.78%,534,653
2024,11,0,39546,Keith Mitchell,81.60%,541,663
2024,12,0,39975,Michael Kim,81.47%,532,653
2024,13,0,59836,Pierceson Coody,81.39%,516,634
2024,14,0,48081,Xander Schauffele,81.29%,543,668
2024,15,0,35461,Beau Hossler,81.11%,571,704
2024,16,0,48867,Matti Schmid,81.03%,534,659
2024,17,0,55893,Sam Stevens,80.97%,651,804
2024,18,0,33948,Byeong Hun An,80.93%,454,561
2024,19,0,51997,Andrew Novak,80.92%,543,671
2024,20,0,46113,Ryan McCormick,80.90%,377,466
2024,20,0,36699,Patrick Rodgers,80.90%,665,822
2024,22,0,47988,Nick Hardy,80.89%,584,722
2024,23,0,39324,J.J. Spaun,80.85%,553,684
2024,24,0,39997,Corey Conners,80.84%,633,783
2024,25,0,58168,Davis Thompson,80.80%,623,771
2024,26,0,12716,Charley Hoffman,80.71%,456,565
2024,27,0,36326,David Lipsky,80.63%,487,604
2024,28,0,29535,Brice Garnett,80.47%,379,471
2024,28,0,36871,Matt NeSmith,80.47%,515,640
2024,30,0,59143,Mac Meissner,80.26%,496,618
2024,31,0,59442,Parker Coody,80.00%,324,405
2024,32,0,46340,Alex Smalley,79.94%,514,643
2024,33,0,47995,Davis Riley,79.93%,458,573
2024,34,0,60004,Jacob Bridgeman,79.84%,515,645
2024,35,0,34587,Chan Kim,79.80%,569,713
2024,36,0,48119,Ben Taylor,79.79%,375,470
2024,37,0,54591,Ben Griffin,79.76%,733,919
2024,38,0,32333,Kevin Tway,79.69%,416,522
2024,39,0,51070,Vincent Norrman,79.65%,317,398
2024,40,0,60067,Joe Highsmith,79.61%,484,608
2024,41,0,40250,Taylor Pendrith,79.54%,482,606
2024,42,0,51349,Nico Echavarria,79.47%,635,799
2024,43,0,40026,Daniel Berger,79.46%,592,745
2024,44,0,29725,Tony Finau,79.44%,510,642
2024,44,0,46442,Maverick McNealy,79.44%,622,783
2024,46,0,52955,Ludvig Åberg,79.39%,520,655
2024,47,0,51287,Ryo Hisatsune,79.38%,585,737
2024,48,0,32070,Rafael Campos,79.36%,396,499
2024,49,0,54783,Dylan Wu,79.29%,536,676
2024,50,0,34563,Chesson Hadley,79.27%,432,545
2024,51,0,40006,Erik van Rooyen,79.24%,523,660
2024,52,0,54628,Lee Hodges,79.17%,669,845
2024,53,0,39327,Ben Silverman,79.06%,536,678
2024,53,0,51634,Sahith Theegala,79.06%,604,764
2024,55,0,34021,Bud Cauley,79.05%,366,463
2024,56,0,46414,Aaron Rai,79.00%,677,857
2024,57,0,57366,Cameron Young,78.99%,534,676
2024,58,0,51977,Max Greyserman,78.95%,495,627
2024,59,0,33141,Keegan Bradley,78.93%,547,693
2024,60,0,27139,David Skinns,78.91%,494,626
2024,61,0,27770,Camilo Villegas,78.83%,365,463
2024,62,0,48117,Kurt Kitayama,78.80%,513,651
2024,63,0,32757,Patton Kizzire,78.79%,431,547
2024,64,0,32839,Hideki Matsuyama,78.78%,479,608
2024,64,0,52513,Carson Young,78.78%,661,839
2024,66,0,34076,Joel Dahmen,78.75%,656,833
2024,67,0,27936,Martin Laird,78.72%,481,611
2024,67,0,40162,Justin Lower,78.72%,640,813
2024,67,0,33448,Justin Thomas,78.72%,407,517
2024,70,0,33486,Roger Sloan,78.71%,462,587
2024,71,0,25900,Lucas Glover,78.69%,709,901
