YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
2024,1,0,46046,Scottie Scheffler,65.0,65,1
2024,2,0,47504,Sam Burns,67.0,134,2
2024,3,0,55182,Tom Kim,67.25,269,4
2024,4,0,30163,Henrik Norlander,67.82,746,11
2024,5,0,32333,Kevin Tway,67.92,815,12
2024,6,0,52955,Ludvig Åberg,68.0,204,3
2024,6,0,28089,Jason Day,68.0,136,2
2024,6,0,22405,Justin Rose,68.0,136,2
2024,6,0,48081,Xander Schauffele,68.0,136,2
2024,6,0,51634,Sahith Theegala,68.0,68,1
2024,11,0,37378,Min Woo Lee,68.25,273,4
2024,12,0,57362,Austin Eckroat,68.27,751,11
2024,13,0,48117,Kurt Kitayama,68.33,615,9
2024,14,0,51997,Andrew Novak,68.47,1027,15
2024,15,0,39997,Corey Conners,68.5,548,8
2024,16,0,52215,Robert MacIntyre,68.55,754,11
2024,17,0,27349,Alex Noren,68.62,892,13
2024,18,0,34256,Andrew Putnam,68.68,1305,19
2024,19,0,48084,Wesley Bryan,68.73,756,11
2024,20,0,47591,Eric Cole,68.75,550,8
2024,20,0,33968,Thorbjørn Olesen,68.75,550,8
2024,22,0,51696,Rico Hoey,68.81,1101,16
2024,23,0,46442,Maverick McNealy,68.82,757,11
2024,23,0,40115,Adam Svensson,68.82,1514,22
2024,25,0,27064,Jhonattan Vegas,68.85,895,13
2024,26,0,25493,Nick Taylor,68.86,482,7
2024,27,0,25900,Lucas Glover,68.88,551,8
2024,28,0,40006,Erik van Rooyen,68.91,758,11
2024,29,0,34076,Joel Dahmen,68.94,1172,17
2024,29,0,45242,Kevin Yu,68.94,1172,17
2024,31,0,36801,Mark Hubbard,69.0,1173,17
2024,31,0,36799,Stephan Jaeger,69.0,621,9
2024,31,0,47483,Will Zalatoris,69.0,345,5
2024,34,0,60067,Joe Highsmith,69.08,829,12
2024,35,0,46414,Aaron Rai,69.11,622,9
2024,36,0,48887,Matt Wallace,69.13,1037,15
2024,37,0,31646,Emiliano Grillo,69.14,484,7
2024,38,0,54576,Patrick Fishburn,69.15,899,13
2024,38,0,52375,Doug Ghim,69.15,899,13
2024,40,0,37455,Si Woo Kim,69.17,415,6
2024,41,0,47993,Denny McCarthy,69.18,761,11
2024,42,0,33948,Byeong Hun An,69.2,346,5
2024,42,0,34021,Bud Cauley,69.2,692,10
2024,42,0,29908,C.T. Pan,69.2,692,10
2024,45,0,27129,Luke List,69.24,1177,17
2024,46,0,54591,Ben Griffin,69.25,1108,16
2024,46,0,23108,Matt Kuchar,69.25,1108,16
2024,48,0,39546,Keith Mitchell,69.29,1178,17
2024,49,0,32366,Kevin Chappell,69.36,763,11
2024,50,0,40026,Daniel Berger,69.39,1249,18
2024,51,0,24024,Zach Johnson,69.42,833,12
2024,51,0,49947,Taylor Moore,69.42,1319,19
2024,53,0,48867,Matti Schmid,69.47,1181,17
2024,54,0,33653,Thomas Detry,69.5,417,6
2024,54,0,29725,Tony Finau,69.5,139,2
2024,54,0,26596,Ryan Moore,69.5,973,14
2024,57,0,47663,Kevin Dougherty,69.54,904,13
2024,57,0,52666,Sami Valimaki,69.54,904,13
2024,59,0,23320,Ryan Palmer,69.56,626,9
2024,60,0,54421,Garrick Higgo,69.6,1392,20
2024,60,0,29221,Webb Simpson,69.6,696,10
2024,60,0,50095,Austin Smotherman,69.6,696,10
2024,63,0,47988,Nick Hardy,69.63,1880,27
2024,64,0,28252,Seamus Power,69.65,1602,23
2024,64,0,52513,Carson Young,69.65,1602,23
2024,66,0,33448,Justin Thomas,69.67,209,3
2024,67,0,32757,Patton Kizzire,69.73,767,11
2024,68,0,55893,Sam Stevens,69.74,1325,19
2024,69,0,30911,Tommy Fleetwood,69.75,279,4
2024,70,0,49771,J.T. Poston,69.78,628,9
2024,71,0,35310,Lanto Griffin,69.79,1326,19
2024,72,0,27214,Kevin Streelman,69.8,698,10
2024,72,0,31323,Gary Woodland,69.8,698,10
2024,74,0,33399,Adam Hadwin,69.83,838,12
2024,74,0,40162,Justin Lower,69.83,1606,23
2024,76,0,30927,Brendon Todd,69.87,1048,15
2024,77,0,45522,Christiaan Bezuidenhout,69.88,559,8
2024,77,0,34099,Harris English,69.88,559,8
2024,79,0,55708,Hayden Buckley,69.89,1258,18
2024,79,0,36699,Patrick Rodgers,69.89,1258,18
2024,81,0,60004,Jacob Bridgeman,69.92,839,12
2024,81,0,35506,Mackenzie Hughes,69.92,839,12
2024,81,0,58168,Davis Thompson,69.92,839,12
2024,84,0,29936,Ryan Fox,69.93,979,14
2024,85,0,56630,Akshay Bhatia,70.0,350,5
2024,85,0,45609,Tyler Duncan,70.0,1330,19
2024,85,0,59866,Nick Dunlap,70.0,210,3
2024,85,0,40098,Matt Fitzpatrick,70.0,70,1
2024,85,0,35461,Beau Hossler,70.0,1400,20
2024,85,0,34587,Chan Kim,70.0,980,14
2024,85,0,33204,Shane Lowry,70.0,70,1
2024,85,0,50484,Hayden Springer,70.0,1260,18
2024,93,0,39324,J.J. Spaun,70.04,1751,25
2024,94,0,34255,Joseph Bramlett,70.05,1331,19
2024,94,0,47995,Davis Riley,70.05,1331,19
2024,96,0,51287,Ryo Hisatsune,70.06,1121,16
