YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
2024,0,32839,Hideki Matsuyama,5.4903,258.0448,-69.5851,241.9268
2024,0,39971,Sungjae Im,3.3644,174.951,-94.84,131.329
2024,0,24502,Adam Scott,3.3629,161.4187,-56.7129,127.2991
2024,0,55182,Tom Kim,3.3061,171.9164,-121.9917,95.319
2024,0,28089,Jason Day,2.9676,136.5076,-72.8774,83.4103
2024,0,33948,Byeong Hun An,2.8301,147.1641,-52.9084,124.1945
2024,0,39997,Corey Conners,2.5972,129.8594,-70.3987,89.1413
2024,0,45157,Cam Davis,2.537,131.9266,-58.3387,85.2766
2024,0,37378,Min Woo Lee,2.4822,129.0746,-62.5421,75.1753
2024,0,45522,Christiaan Bezuidenhout,2.3571,122.5691,-45.5092,112.626
2024,0,40250,Taylor Pendrith,2.2873,118.941,-34.3251,105.2455
2024,0,25493,Nick Taylor,2.2538,114.9419,-62.9234,86.2691
2024,0,33399,Adam Hadwin,2.2527,112.6358,-54.7988,81.0726
2024,0,37455,Si Woo Kim,2.2511,117.0565,-65.8605,81.7074
2024,0,35506,Mackenzie Hughes,1.8617,96.8095,-45.8339,68.5255
2024,0,40006,Erik van Rooyen,1.8178,94.5264,-32.52,67.6724
2024,0,31646,Emiliano Grillo,1.7883,92.9911,-69.9105,46.5026
2024,0,29936,Ryan Fox,1.7367,90.3084,-78.8235,36.1881
2024,0,45523,Thriston Lawrence,1.654,86.0094,-42.2149,63.0758
2024,0,51287,Ryo Hisatsune,1.4708,76.4821,-38.2095,47.604
2024,0,27064,Jhonattan Vegas,1.4394,57.5758,-8.928,55.227
2024,0,40115,Adam Svensson,1.2772,66.412,-54.2037,39.8867
2024,0,29908,C.T. Pan,1.2423,49.6924,-17.0487,39.2901
2024,0,49228,Keita Nakajima,1.2054,59.0645,-25.044,33.1349
2024,0,51696,Rico Hoey,1.0673,50.1625,-16.2288,33.7477
2024,0,47056,Rikuya Hoshino,1.0237,53.2335,-33.601,26.9182
2024,0,45242,Kevin Yu,1.0145,48.6955,-23.6499,47.3048
2024,0,32791,K.H. Lee,1.0065,52.3402,-49.7712,35.5238
2024,0,39327,Ben Silverman,0.9841,41.3342,-17.4903,28.5998
2024,0,38991,Alejandro Tosti,0.9615,48.074,-21.921,27.9293
2024,0,50188,S.H. Kim,0.9602,49.9315,-30.3098,33.3186
2024,0,47917,Takumi Kanaya,0.8966,44.8303,-26.5093,21.4959
2024,0,37447,Zander Lombard,0.8025,41.7301,-25.138,22.3446
2024,0,54218,Yuta Sugiura,0.7735,30.9398,-5.872,22.8373
2024,0,39859,Cristobal Del Solar,0.7596,38.7379,-12.2742,32.2919
2024,0,39113,Shubhankar Sharma,0.7553,39.2737,-18.1897,23.7242
2024,0,33921,Ben Campbell,0.7193,28.7701,-8.8743,16.2013
2024,0,55454,Carl Yuan,0.7029,36.5526,-24.4266,27.2445
2024,0,49813,Daniel Hillier,0.6883,35.7908,-22.8169,13.8639
2024,0,47888,Taiga Semikawa,0.6772,35.2162,-23.4527,15.964
2024,0,48632,Yuto Katsuragawa,0.6352,32.3944,-18.7244,26.5325
2024,0,49120,Kensei Hirata,0.6133,31.8923,-11.8121,17.2077
2024,0,54304,Karl Vilips,0.6111,24.4446,0.0,24.4446
2024,0,27770,Camilo Villegas,0.6075,31.5898,-15.6429,5.8788
2024,0,47102,David Micheluzzi,0.586,25.7841,-8.6359,19.2395
2024,0,36521,Young-han Song,0.5761,29.9578,-12.6179,11.5509
2024,0,30852,Ryo Ishikawa,0.5626,27.0064,-15.6341,11.5267
2024,0,56100,Ren Yonezawa,0.5559,26.1274,-5.0018,19.5232
2024,0,22371,Aaron Baddeley,0.5554,25.5503,-16.1525,15.272
2024,0,32686,Takahiro Hataji,0.5296,25.4224,-6.78,20.2817
2024,0,33486,Roger Sloan,0.5075,21.8246,-9.1433,10.6447
2024,0,51190,Guntaek Koh,0.5064,26.3331,-9.0951,16.7517
2024,0,51349,Nico Echavarria,0.4913,25.5485,-13.14,21.2387
2024,0,35557,Aaron Cockerill,0.4863,24.3144,-15.8168,16.1565
2024,0,30978,Kiradech Aphibarnrat,0.4628,24.0656,-11.0507,20.4965
2024,0,31273,Gavin Green,0.4606,23.9505,-19.8816,11.4161
2024,0,31109,Richard Lee,0.4596,23.4404,-11.1628,13.2374
2024,0,54421,Garrick Higgo,0.4585,23.8424,-22.7632,11.3384
