YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
2024,0,55789,Taylor Montgomery,0.04,2,54
2024,0,27139,David Skinns,0.04,3,82
2024,0,35617,Martin Trainer,0.04,2,50
2024,0,54783,Dylan Wu,0.04,3,80
2024,0,57366,Cameron Young,0.04,3,81
2024,0,55708,Hayden Buckley,0.03,2,71
2024,0,47663,Kevin Dougherty,0.03,2,62
2024,0,29936,Ryan Fox,0.03,2,78
2024,0,32757,Patton Kizzire,0.03,2,62
2024,0,26596,Ryan Moore,0.03,2,72
2024,0,55893,Sam Stevens,0.03,3,98
2024,0,37212,Paul Barjon,0.02,1,53
2024,0,28420,Ryan Brehm,0.02,1,60
2024,0,35450,Patrick Cantlay,0.02,1,65
2024,0,34021,Bud Cauley,0.02,1,54
2024,0,52372,Cameron Champ,0.02,1,57
2024,0,56149,Wilson Furr,0.02,1,57
2024,0,35506,Mackenzie Hughes,0.02,2,95
2024,0,24024,Zach Johnson,0.02,1,48
2024,0,29478,Kevin Kisner,0.02,1,54
2024,0,37378,Min Woo Lee,0.02,1,66
2024,0,40162,Justin Lower,0.02,2,97
2024,0,46113,Ryan McCormick,0.02,1,61
2024,0,29908,C.T. Pan,0.02,1,59
2024,0,22405,Justin Rose,0.02,1,61
2024,0,47347,Adam Schenk,0.02,2,92
2024,0,29221,Webb Simpson,0.02,1,51
2024,0,27330,Josh Teater,0.02,1,52
2024,0,51634,Sahith Theegala,0.02,2,93
2024,0,58168,Davis Thompson,0.02,2,90
2024,0,27770,Camilo Villegas,0.02,1,57
2024,0,55454,Carl Yuan,0.02,1,64
2024,0,52955,Ludvig Åberg,0.01,1,75
2024,0,33408,Tyson Alexander,0.01,1,75
2024,0,40026,Daniel Berger,0.01,1,76
2024,0,40058,Zac Blair,0.01,1,82
2024,0,34255,Joseph Bramlett,0.01,1,84
2024,0,34076,Joel Dahmen,0.01,1,89
2024,0,33653,Thomas Detry,0.01,1,67
2024,0,59866,Nick Dunlap,0.01,1,67
2024,0,32102,Rickie Fowler,0.01,1,77
2024,0,51977,Max Greyserman,0.01,1,77
2024,0,54421,Garrick Higgo,0.01,1,79
2024,0,54628,Lee Hodges,0.01,1,91
2024,0,39977,Max Homa,0.01,1,79
2024,0,39971,Sungjae Im,0.01,1,87
2024,0,36799,Stephan Jaeger,0.01,1,79
2024,0,50188,S.H. Kim,0.01,1,105
2024,0,55182,Tom Kim,0.01,1,79
2024,0,48117,Kurt Kitayama,0.01,1,79
2024,0,33204,Shane Lowry,0.01,1,70
2024,0,52215,Robert MacIntyre,0.01,1,72
2024,0,32839,Hideki Matsuyama,0.01,1,74
2024,0,28237,Rory McIlroy,0.01,1,69
2024,0,32640,Troy Merritt,0.01,1,74
2024,0,39546,Keith Mitchell,0.01,1,81
2024,0,49947,Taylor Moore,0.01,1,99
2024,0,36871,Matt NeSmith,0.01,1,72
2024,0,47679,Victor Perez,0.01,1,72
2024,0,28252,Seamus Power,0.01,1,96
2024,0,46414,Aaron Rai,0.01,1,86
2024,0,26476,Chez Reavie,0.01,1,68
2024,0,36699,Patrick Rodgers,0.01,1,100
2024,0,48081,Xander Schauffele,0.01,1,79
2024,0,39327,Ben Silverman,0.01,1,78
2024,0,27214,Kevin Streelman,0.01,1,69
2024,0,50493,Justin Suh,0.01,1,74
2024,0,40115,Adam Svensson,0.01,1,107
2024,0,48699,Callum Tarren,0.01,1,70
2024,0,30927,Brendon Todd,0.01,1,99
2024,0,38991,Alejandro Tosti,0.01,1,69
2024,0,48319,Tom Whitney,0.01,1,68
2024,0,31323,Gary Woodland,0.01,1,80
2024,0,52374,Brandon Wu,0.01,1,81
2023,0,32816,Satoshi Kodaira,0.05,3,63
2023,0,51414,Brent Grant,0.04,3,84
2023,0,24140,Sean O'Hair,0.04,2,52
2023,0,29908,C.T. Pan,0.04,2,54
2023,0,52372,Cameron Champ,0.03,2,78
2023,0,39067,MJ Daffue,0.03,3,103
2023,0,25900,Lucas Glover,0.03,3,100
2023,0,51491,Brandon Matthews,0.03,2,59
2023,0,31560,Brian Stuard,0.03,2,73
2023,0,33408,Tyson Alexander,0.02,2,95
2023,0,48084,Wesley Bryan,0.02,1,48
2023,0,32366,Kevin Chappell,0.02,1,56
2023,0,47079,Harrison Endycott,0.02,2,89
2023,0,39058,Lucas Herbert,0.02,1,62
2023,0,52453,Nicolai Hojgaard,0.02,1,46
2023,0,29420,Billy Horschel,0.02,1,64
2023,0,27974,Sung Kang,0.02,1,49
2023,0,32791,K.H. Lee,0.02,2,107
2023,0,33204,Shane Lowry,0.02,1,62
2023,0,51950,Max McGreevy,0.02,2,92
2023,0,28237,Rory McIlroy,0.02,1,64
2023,0,51070,Vincent Norrman,0.02,2,85
2023,0,36724,Augusto Núñez,0.02,2,85
2023,0,25818,Scott Piercy,0.02,2,99
2023,0,47995,Davis Riley,0.02,2,102
2023,0,46046,Scottie Scheffler,0.02,2,88
2023,0,47347,Adam Schenk,0.02,2,119
2023,0,51890,Greyson Sigg,0.02,2,105
2023,0,48699,Callum Tarren,0.02,2,99
2023,0,58168,Davis Thompson,0.02,2,96
2023,0,35617,Martin Trainer,0.02,1,63
2023,0,57366,Cameron Young,0.02,2,86
2023,0,22371,Aaron Baddeley,0.01,1,80
2023,0,39997,Corey Conners,0.01,1,86
2023,0,45157,Cam Davis,0.01,1,91
2023,0,28089,Jason Day,0.01,1,80
2023,0,33653,Thomas Detry,0.01,1,99
