YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
2024,0,45522,Christiaan Bezuidenhout,26.81,429,16
2024,0,33968,Thorbjørn Olesen,26.89,242,9
2024,0,34098,Russell Henley,27.12,461,17
2024,0,33399,Adam Hadwin,27.13,407,15
2024,0,47591,Eric Cole,27.14,570,21
2024,0,23320,Ryan Palmer,27.17,163,6
2024,0,57900,Chandler Phillips,27.18,462,17
2024,0,28089,Jason Day,27.2,408,15
2024,0,50484,Hayden Springer,27.31,355,13
2024,0,47993,Denny McCarthy,27.32,519,19
2024,0,34256,Andrew Putnam,27.4,411,15
2024,0,24502,Adam Scott,27.44,439,16
2024,0,27649,Brandt Snedeker,27.5,165,6
2024,0,55454,Carl Yuan,27.5,220,8
2024,0,40098,Matt Fitzpatrick,27.53,413,15
2024,0,57975,Harry Hall,27.59,469,17
2024,0,29420,Billy Horschel,27.59,469,17
2024,0,27644,Brian Harman,27.6,552,20
2024,0,37455,Si Woo Kim,27.6,552,20
2024,0,47504,Sam Burns,27.63,442,16
2024,0,47806,Raul Pereda,27.67,83,3
2024,0,52955,Ludvig Åberg,27.71,471,17
2024,0,35506,Mackenzie Hughes,27.76,583,21
2024,0,39975,Michael Kim,27.85,362,13
2024,0,34046,Jordan Spieth,27.85,362,13
2024,0,32839,Hideki Matsuyama,27.88,474,17
2024,0,35450,Patrick Cantlay,27.93,419,15
2024,0,33653,Thomas Detry,27.93,391,14
2024,0,51766,Wyndham Clark,28.0,364,13
2024,0,39971,Sungjae Im,28.0,504,18
2024,0,52215,Robert MacIntyre,28.0,364,13
2024,0,29908,C.T. Pan,28.0,280,10
2024,0,47995,Davis Riley,28.0,336,12
2024,0,46046,Scottie Scheffler,28.0,476,17
2024,0,12716,Charley Hoffman,28.07,393,14
2024,0,29221,Webb Simpson,28.11,253,9
2024,0,56630,Akshay Bhatia,28.17,507,18
2024,0,29478,Kevin Kisner,28.17,169,6
2024,0,28237,Rory McIlroy,28.19,451,16
2024,0,30927,Brendon Todd,28.19,592,21
2024,0,58168,Davis Thompson,28.2,564,20
2024,0,50497,Adrien Dumont de Chassart,28.25,339,12
2024,0,40162,Justin Lower,28.25,565,20
2024,0,32070,Rafael Campos,28.29,198,7
2024,0,32102,Rickie Fowler,28.31,453,16
2024,0,51977,Max Greyserman,28.31,453,16
2024,0,47347,Adam Schenk,28.31,453,16
2024,0,37212,Paul Barjon,28.33,85,3
2024,0,36799,Stephan Jaeger,28.33,425,15
2024,0,55789,Taylor Montgomery,28.33,255,9
2024,0,28252,Seamus Power,28.35,567,20
2024,0,22405,Justin Rose,28.36,312,11
2024,0,34021,Bud Cauley,28.4,284,10
2024,0,35532,Tom Hoge,28.41,625,22
2024,0,39977,Max Homa,28.41,483,17
2024,0,51287,Ryo Hisatsune,28.44,455,16
2024,0,32366,Kevin Chappell,28.45,313,11
2024,0,34466,Peter Malnati,28.45,313,11
2024,0,27349,Alex Noren,28.47,427,15
2024,0,47663,Kevin Dougherty,28.5,228,8
2024,0,29535,Brice Garnett,28.5,228,8
2024,0,24024,Zach Johnson,28.5,228,8
2024,0,25900,Lucas Glover,28.53,542,19
2024,0,33408,Tyson Alexander,28.55,314,11
2024,0,33948,Byeong Hun An,28.56,457,16
2024,0,55708,Hayden Buckley,28.56,257,9
2024,0,29936,Ryan Fox,28.56,457,16
2024,0,25493,Nick Taylor,28.56,457,16
2024,0,46441,Robby Shelton,28.57,400,14
2024,0,33448,Justin Thomas,28.57,400,14
2024,0,52514,Trace Crowe,28.58,343,12
2024,0,52375,Doug Ghim,28.58,543,19
2024,0,50188,S.H. Kim,28.62,601,21
2024,0,48153,Matthieu Pavon,28.62,372,13
2024,0,30911,Tommy Fleetwood,28.63,458,16
2024,0,30926,Chris Kirk,28.63,458,16
2024,0,40250,Taylor Pendrith,28.63,458,16
2024,0,22371,Aaron Baddeley,28.64,401,14
2024,0,46442,Maverick McNealy,28.65,573,20
2024,0,40058,Zac Blair,28.67,430,15
2024,0,47679,Victor Perez,28.73,431,15
2024,0,51349,Nico Echavarria,28.75,460,16
2024,0,33141,Keegan Bradley,28.76,489,17
2024,0,48867,Matti Schmid,28.79,403,14
2024,0,48319,Tom Whitney,28.8,288,10
2024,0,31323,Gary Woodland,28.8,432,15
2024,0,54783,Dylan Wu,28.8,432,15
2024,0,47420,Jake Knapp,28.81,461,16
2024,0,49947,Taylor Moore,28.81,605,21
2024,0,48117,Kurt Kitayama,28.82,490,17
2024,0,49771,J.T. Poston,28.83,519,18
2024,0,36801,Mark Hubbard,28.86,635,22
2024,0,50525,Collin Morikawa,28.89,520,18
2024,0,48081,Xander Schauffele,28.89,549,19
2024,0,46414,Aaron Rai,28.9,578,20
2024,0,33486,Roger Sloan,28.91,318,11
2024,0,46717,Viktor Hovland,28.92,347,12
2024,0,27129,Luke List,28.92,347,12
2024,0,49960,Sepp Straka,28.93,434,15
2024,0,51894,Vince Whaley,28.93,405,14
2024,0,34374,Erik Barnes,29.0,203,7
2024,0,34563,Chesson Hadley,29.0,290,10
2024,0,60067,Joe Highsmith,29.0,348,12
2024,0,32791,K.H. Lee,29.0,377,13
2024,0,39324,J.J. Spaun,29.0,406,14
2024,0,52666,Sami Valimaki,29.0,261,9
2024,0,40115,Adam Svensson,29.05,639,22
2024,0,57366,Cameron Young,29.05,552,19
2024,0,55182,Tom Kim,29.06,494,17
2024,0,37378,Min Woo Lee,29.07,436,15
2024,0,27936,Martin Laird,29.08,378,13
2024,0,45242,Kevin Yu,29.08,349,12
2024,0,32757,Patton Kizzire,29.1,291,10
2024,0,29725,Tony Finau,29.11,524,18
2024,0,39327,Ben Silverman,29.12,495,17
2024,0,54591,Ben Griffin,29.13,670,23
2024,0,54421,Garrick Higgo,29.14,408,14
2024,0,48887,Matt Wallace,29.15,379,13
2024,0,31646,Emiliano Grillo,29.16,554,19
2024,0,23108,Matt Kuchar,29.17,350,12
2024,0,45609,Tyler Duncan,29.18,321,11
2024,0,52513,Carson Young,29.19,467,16
2024,0,28420,Ryan Brehm,29.2,146,5
2024,0,57362,Austin Eckroat,29.2,584,20
2024,0,34099,Harris English,29.2,584,20
2024,0,27214,Kevin Streelman,29.25,351,12
2024,0,37275,Sam Ryder,29.27,322,11
2024,0,36699,Patrick Rodgers,29.29,615,21
2024,0,34587,Chan Kim,29.31,469,16
2024,0,52374,Brandon Wu,29.31,381,13
2024,0,47483,Will Zalatoris,29.31,381,13
2024,0,60004,Jacob Bridgeman,29.33,440,15
2024,0,51997,Andrew Novak,29.33,528,18
2024,0,26476,Chez Reavie,29.33,264,9
2024,0,51634,Sahith Theegala,29.33,616,21
2024,0,50493,Justin Suh,29.36,323,11
2024,0,45157,Cam Davis,29.38,470,16
2024,0,32367,Jorge Campillo,29.4,294,10
2024,0,51696,Rico Hoey,29.41,500,17
2024,0,59442,Parker Coody,29.44,265,9
2024,0,46113,Ryan McCormick,29.44,265,9
2024,0,40006,Erik van Rooyen,29.44,471,16
2024,0,59836,Pierceson Coody,29.47,442,15
2024,0,39546,Keith Mitchell,29.53,443,15
2024,0,39997,Corey Conners,29.57,621,21
2024,0,56149,Wilson Furr,29.57,207,7
2024,0,33204,Shane Lowry,29.59,503,17
2024,0,52372,Cameron Champ,29.67,178,6
2024,0,51890,Greyson Sigg,29.67,356,12
2024,0,48119,Ben Taylor,29.67,178,6
2024,0,59095,Chris Gotterup,29.75,357,12
2024,0,54628,Lee Hodges,29.76,506,17
2024,0,47983,Chad Ramey,29.8,447,15
2024,0,32640,Troy Merritt,29.82,328,11
2024,0,34076,Joel Dahmen,29.83,537,18
2024,0,59143,Mac Meissner,29.86,418,14
2024,0,48084,Wesley Bryan,29.88,239,8
2024,0,35461,Beau Hossler,29.88,508,17
2024,0,36326,David Lipsky,29.9,299,10
2024,0,59866,Nick Dunlap,29.92,359,12
2024,0,27139,David Skinns,30.0,450,15
2024,0,38991,Alejandro Tosti,30.0,300,10
2024,0,35617,Martin Trainer,30.0,150,5
2024,0,55893,Sam Stevens,30.05,661,22
2024,0,35310,Lanto Griffin,30.06,481,16
2024,0,36884,Ben Kohles,30.06,481,16
2024,0,28775,Nate Lashley,30.08,361,12
2024,0,27064,Jhonattan Vegas,30.13,452,15
2024,0,60767,Blaine Hale Jr.,30.2,151,5
2024,0,27770,Camilo Villegas,30.2,151,5
2024,0,54576,Patrick Fishburn,30.25,363,12
