YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
2024,0,51890,Greyson Sigg,76.6%,36,47,-7.00
2024,0,39327,Ben Silverman,73.3%,33,45,-6.00
2024,0,29221,Webb Simpson,71.1%,27,38,-9.00
2024,0,48319,Tom Whitney,68.3%,28,41,-3.00
2024,0,33486,Roger Sloan,67.7%,21,31,-3.00
2024,0,48887,Matt Wallace,67.4%,29,43,-11.00
2024,0,51287,Ryo Hisatsune,67.3%,37,55,-6.00
2024,0,60767,Blaine Hale Jr.,65.4%,17,26,-4.00
2024,0,40006,Erik van Rooyen,64.6%,31,48,-8.00
2024,0,59836,Pierceson Coody,64.5%,20,31,-7.00
2024,0,48081,Xander Schauffele,64.2%,34,53,-10.00
2024,0,54421,Garrick Higgo,64.0%,32,50,-9.00
2024,0,56149,Wilson Furr,63.9%,23,36,-4.00
2024,0,32757,Patton Kizzire,63.6%,21,33,-4.00
2024,0,50095,Austin Smotherman,63.0%,17,27,-6.00
2024,0,60067,Joe Highsmith,62.8%,27,43,-2.00
2024,0,50493,Justin Suh,62.8%,27,43,-3.00
2024,0,32333,Kevin Tway,62.5%,20,32,-2.00
2024,0,35532,Tom Hoge,61.8%,47,76,-11.00
2024,0,31323,Gary Woodland,61.7%,29,47,-12.00
2024,0,47420,Jake Knapp,61.5%,40,65,-13.00
2024,0,48084,Wesley Bryan,60.7%,17,28,E
2024,0,59442,Parker Coody,60.5%,23,38,-1.00
2024,0,34587,Chan Kim,60.5%,23,38,-9.00
2024,0,33408,Tyson Alexander,60.4%,32,53,-5.00
2024,0,34256,Andrew Putnam,60.4%,29,48,-8.00
2024,0,32366,Kevin Chappell,60.0%,24,40,-5.00
2024,0,38991,Alejandro Tosti,59.6%,28,47,-8.00
2024,0,30163,Henrik Norlander,59.4%,19,32,-5.00
2024,0,37275,Sam Ryder,59.0%,23,39,-8.00
2024,0,34021,Bud Cauley,58.7%,27,46,-1.00
2024,0,46441,Robby Shelton,58.5%,38,65,-12.00
2024,0,46113,Ryan McCormick,58.3%,14,24,E
2024,0,34563,Chesson Hadley,58.1%,25,43,-4.00
2024,0,40162,Justin Lower,58.0%,40,69,-11.00
2024,0,51997,Andrew Novak,57.8%,37,64,-12.00
2024,0,55893,Sam Stevens,57.8%,37,64,-12.00
2024,0,34076,Joel Dahmen,57.1%,24,42,-3.00
2024,0,54576,Patrick Fishburn,57.1%,16,28,-2.00
2024,0,51696,Rico Hoey,57.1%,24,42,-7.00
2024,0,50497,Adrien Dumont de Chassart,56.9%,29,51,-6.00
2024,0,39977,Max Homa,56.9%,33,58,-8.00
2024,0,35310,Lanto Griffin,56.8%,21,37,-1.00
2024,0,46046,Scottie Scheffler,56.5%,26,46,-7.00
2024,0,48117,Kurt Kitayama,56.4%,31,55,-6.00
2024,0,32102,Rickie Fowler,55.9%,33,59,-9.00
2024,0,39324,J.J. Spaun,55.8%,29,52,-5.00
2024,0,29725,Tony Finau,55.7%,39,70,-2.00
2024,0,35461,Beau Hossler,55.6%,35,63,-6.00
2024,0,39975,Michael Kim,55.6%,35,63,-8.00
2024,0,28775,Nate Lashley,55.6%,15,27,-1.00
2024,0,58168,Davis Thompson,55.6%,30,54,-8.00
2024,0,33399,Adam Hadwin,55.2%,32,58,-7.00
2024,0,27330,Josh Teater,55.2%,16,29,E
2024,0,40115,Adam Svensson,55.1%,43,78,-6.00
2024,0,54628,Lee Hodges,55.0%,33,60,-1.00
2024,0,33968,Thorbjørn Olesen,55.0%,22,40,-4.00
2024,0,29908,C.T. Pan,55.0%,22,40,-9.00
2024,0,54591,Ben Griffin,54.9%,39,71,-11.00
2024,0,40026,Daniel Berger,54.8%,17,31,-1.00
2024,0,35617,Martin Trainer,54.8%,17,31,-7.00
2024,0,33948,Byeong Hun An,54.4%,31,57,-10.00
2024,0,52375,Doug Ghim,54.4%,31,57,E
2024,0,29478,Kevin Kisner,53.8%,14,26,-2.00
2024,0,55789,Taylor Montgomery,53.8%,21,39,-6.00
2024,0,57900,Chandler Phillips,53.8%,21,39,-2.00
2024,0,47983,Chad Ramey,53.8%,28,52,-2.00
2024,0,22371,Aaron Baddeley,53.7%,22,41,-4.00
2024,0,27129,Luke List,53.7%,36,67,-9.00
2024,0,25493,Nick Taylor,53.7%,36,67,-6.00
2024,0,57362,Austin Eckroat,53.6%,30,56,-6.00
2024,0,23108,Matt Kuchar,53.4%,31,58,-7.00
2024,0,32070,Rafael Campos,53.3%,16,30,-3.00
2024,0,36871,Matt NeSmith,53.3%,24,45,-4.00
2024,0,55708,Hayden Buckley,53.1%,26,49,-5.00
2024,0,50484,Hayden Springer,53.1%,17,32,+1.00
2024,0,55454,Carl Yuan,53.1%,17,32,-2.00
2024,0,59866,Nick Dunlap,53.0%,35,66,-11.00
