YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2024,1,0,59866,Nick Dunlap,50.00%,117,234
2024,2,0,47806,Raul Pereda,48.15%,26,54
2024,3,0,47993,Denny McCarthy,48.06%,173,360
2024,4,0,47504,Sam Burns,48.04%,147,306
2024,5,0,27330,Josh Teater,47.22%,34,72
2024,5,0,55454,Carl Yuan,47.22%,68,144
2024,7,0,56630,Akshay Bhatia,46.91%,152,324
2024,8,0,51766,Wyndham Clark,46.83%,118,252
2024,8,0,30163,Henrik Norlander,46.83%,118,252
2024,10,0,22405,Justin Rose,46.76%,101,216
2024,11,0,34098,Russell Henley,46.30%,150,324
2024,12,0,40250,Taylor Pendrith,46.18%,133,288
2024,13,0,39971,Sungjae Im,45.91%,157,342
2024,14,0,32757,Patton Kizzire,45.56%,82,180
2024,15,0,32640,Troy Merritt,45.45%,90,198
2024,16,0,50525,Collin Morikawa,45.32%,155,342
2024,17,0,47591,Eric Cole,45.20%,179,396
2024,18,0,51977,Max Greyserman,45.14%,130,288
2024,19,0,24502,Adam Scott,44.77%,137,306
2024,20,0,48081,Xander Schauffele,44.72%,161,360
2024,21,0,37212,Paul Barjon,44.44%,24,54
2024,21,0,45522,Christiaan Bezuidenhout,44.44%,136,306
2024,21,0,52372,Cameron Champ,44.44%,48,108
2024,21,0,28089,Jason Day,44.44%,128,288
2024,21,0,33653,Thomas Detry,44.44%,120,270
2024,26,0,50188,S.H. Kim,44.19%,175,396
2024,27,0,46046,Scottie Scheffler,44.14%,143,324
2024,28,0,51894,Vince Whaley,44.05%,111,252
2024,29,0,52514,Trace Crowe,43.59%,102,234
2024,30,0,36799,Stephan Jaeger,43.40%,125,288
2024,31,0,60004,Jacob Bridgeman,43.33%,117,270
2024,31,0,57362,Austin Eckroat,43.33%,156,360
2024,31,0,36326,David Lipsky,43.33%,78,180
2024,31,0,35617,Martin Trainer,43.33%,39,90
2024,31,0,48319,Tom Whitney,43.33%,78,180
2024,36,0,55182,Tom Kim,43.21%,140,324
2024,37,0,28237,Rory McIlroy,43.14%,132,306
2024,38,0,34099,Harris English,43.12%,163,378
2024,39,0,29535,Brice Garnett,43.06%,62,144
2024,39,0,51890,Greyson Sigg,43.06%,93,216
2024,39,0,49960,Sepp Straka,43.06%,124,288
2024,42,0,28252,Seamus Power,42.86%,162,378
2024,43,0,57975,Harry Hall,42.81%,131,306
2024,44,0,40098,Matt Fitzpatrick,42.71%,123,288
2024,45,0,33486,Roger Sloan,42.42%,84,198
2024,46,0,35450,Patrick Cantlay,42.36%,122,288
2024,47,0,46442,Maverick McNealy,42.33%,160,378
2024,48,0,52955,Ludvig Åberg,42.28%,137,324
2024,48,0,35461,Beau Hossler,42.28%,137,324
2024,50,0,39327,Ben Silverman,42.16%,129,306
2024,51,0,48153,Matthieu Pavon,42.06%,106,252
2024,51,0,52374,Brandon Wu,42.06%,106,252
2024,53,0,37455,Si Woo Kim,41.80%,158,378
2024,54,0,48084,Wesley Bryan,41.67%,60,144
2024,54,0,55708,Hayden Buckley,41.67%,75,180
2024,54,0,12716,Charley Hoffman,41.67%,105,252
2024,54,0,24024,Zach Johnson,41.67%,60,144
2024,54,0,29478,Kevin Kisner,41.67%,45,108
2024,54,0,55789,Taylor Montgomery,41.67%,75,180
2024,54,0,58168,Davis Thompson,41.67%,150,360
2024,61,0,47347,Adam Schenk,41.50%,127,306
2024,62,0,51997,Andrew Novak,41.36%,134,324
2024,62,0,52666,Sami Valimaki,41.36%,67,162
2024,64,0,22371,Aaron Baddeley,41.27%,104,252
2024,64,0,34374,Erik Barnes,41.27%,52,126
2024,66,0,51634,Sahith Theegala,41.16%,163,396
2024,67,0,37378,Min Woo Lee,41.11%,111,270
2024,67,0,40162,Justin Lower,41.11%,148,360
2024,69,0,35532,Tom Hoge,41.06%,170,414
2024,70,0,39977,Max Homa,41.05%,133,324
2024,71,0,46717,Viktor Hovland,41.03%,96,234
2024,72,0,49771,J.T. Poston,40.94%,140,342
2024,73,0,30911,Tommy Fleetwood,40.85%,125,306
2024,73,0,30926,Chris Kirk,40.85%,125,306
2024,75,0,59442,Parker Coody,40.74%,66,162
2024,75,0,54591,Ben Griffin,40.74%,176,432
2024,75,0,27649,Brandt Snedeker,40.74%,44,108
2024,75,0,39324,J.J. Spaun,40.74%,110,270
2024,75,0,48119,Ben Taylor,40.74%,44,108
2024,80,0,30927,Brendon Todd,40.66%,161,396
2024,81,0,31646,Emiliano Grillo,40.56%,146,360
2024,81,0,36871,Matt NeSmith,40.56%,73,180
2024,81,0,29221,Webb Simpson,40.56%,73,180
2024,84,0,56149,Wilson Furr,40.48%,51,126
2024,85,0,47983,Chad Ramey,40.37%,109,270
2024,86,0,25900,Lucas Glover,40.28%,145,360
2024,86,0,32333,Kevin Tway,40.28%,87,216
2024,88,0,45157,Cam Davis,40.20%,123,306
2024,89,0,27129,Luke List,40.17%,94,234
2024,89,0,50484,Hayden Springer,40.17%,94,234
2024,91,0,48117,Kurt Kitayama,40.12%,130,324
2024,91,0,48699,Callum Tarren,40.12%,65,162
2024,93,0,60767,Blaine Hale Jr.,40.00%,36,90
2024,94,0,51287,Ryo Hisatsune,39.93%,115,288
2024,95,0,45609,Tyler Duncan,39.90%,79,198
2024,96,0,33948,Byeong Hun An,39.87%,122,306
2024,96,0,32102,Rickie Fowler,39.87%,122,306
2024,98,0,33141,Keegan Bradley,39.81%,129,324
2024,98,0,34466,Peter Malnati,39.81%,86,216
2024,98,0,37275,Sam Ryder,39.81%,86,216
2024,101,0,47483,Will Zalatoris,39.74%,93,234
2024,102,0,34046,Jordan Spieth,39.68%,100,252
2024,103,0,33204,Shane Lowry,39.54%,121,306
2024,103,0,57900,Chandler Phillips,39.54%,121,306
2024,105,0,32839,Hideki Matsuyama,39.51%,128,324
2024,106,0,27644,Brian Harman,39.42%,149,378
2024,107,0,59143,Mac Meissner,39.29%,99,252
2024,108,0,27064,Jhonattan Vegas,39.26%,106,270
2024,108,0,54783,Dylan Wu,39.26%,106,270
2024,110,0,27349,Alex Noren,39.24%,113,288
2024,110,0,34256,Andrew Putnam,39.24%,113,288
2024,110,0,52513,Carson Young,39.24%,113,288
2024,113,0,51696,Rico Hoey,39.22%,120,306
2024,113,0,25493,Nick Taylor,39.22%,120,306
2024,115,0,49947,Taylor Moore,39.14%,155,396
2024,115,0,36699,Patrick Rodgers,39.14%,155,396
2024,117,0,33399,Adam Hadwin,38.89%,112,288
2024,117,0,29420,Billy Horschel,38.89%,119,306
2024,117,0,23108,Matt Kuchar,38.89%,91,234
2024,117,0,52215,Robert MacIntyre,38.89%,91,234
2024,117,0,46340,Alex Smalley,38.89%,77,198
2024,117,0,40006,Erik van Rooyen,38.89%,119,306
2024,123,0,57366,Cameron Young,38.61%,139,360
2024,124,0,47420,Jake Knapp,38.56%,118,306
2024,125,0,31323,Gary Woodland,38.52%,104,270
2024,126,0,40026,Daniel Berger,38.49%,97,252
2024,127,0,39997,Corey Conners,38.38%,152,396
2024,128,0,55893,Sam Stevens,38.13%,151,396
2024,129,0,54628,Lee Hodges,37.96%,123,324
2024,130,0,32367,Jorge Campillo,37.78%,68,180
2024,130,0,33448,Justin Thomas,37.78%,102,270
