YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
2024,49,33141,Keegan Bradley,2.583,298.5,115.565,277,215602956
2024,49,33948,Byeong Hun An,2.579,307.4,119.203,259,173903059
2024,0,48084,Wesley Bryan,2.57,291.8,113.532,150,210602869
2024,50,34587,Chan Kim,2.552,291.0,114.037,242,210802852
2024,8,49960,Sepp Straka,2.55,284.1,111.425,254,202303106
2024,50,59143,Mac Meissner,2.549,289.9,113.728,221,209802870
2024,50,51890,Greyson Sigg,2.545,281.6,110.657,273,215602830
2024,51,29221,Webb Simpson,2.544,290.1,114.006,183,220702887
2024,69,50095,Austin Smotherman,2.537,287.5,113.349,158,219102782
2024,-1,45609,Tyler Duncan,2.536,284.4,112.169,205,217002903
2024,47,35461,Beau Hossler,2.535,289.9,114.333,314,215702836
2024,-5,24024,Zach Johnson,2.534,274.5,108.339,196,224402822
2024,4,23108,Matt Kuchar,2.534,273.4,107.898,260,202402843
2024,46,46717,Viktor Hovland,2.533,294.2,116.14,185,216003105
2024,-13,27330,Josh Teater,2.532,285.4,112.741,150,203802834
2024,-12,60767,Blaine Hale Jr.,2.531,295.7,116.811,161,191402946
2024,45,40250,Taylor Pendrith,2.531,304.7,120.353,287,213302963
2024,45,26476,Chez Reavie,2.528,272.9,107.93,234,222603088
2024,47,47995,Davis Riley,2.528,294.3,116.425,260,212902934
2024,42,29420,Billy Horschel,2.526,288.6,114.26,251,213503051
2024,48,32640,Troy Merritt,2.526,280.4,111.03,246,224002859
2024,-1,58168,Davis Thompson,2.526,296.0,117.206,283,203503051
2024,58,52955,Ludvig Åberg,2.524,301.2,119.33,233,213002937
2024,39,33448,Justin Thomas,2.523,297.1,117.741,198,189303061
2024,40,32102,Rickie Fowler,2.521,288.9,114.587,231,191103033
2024,49,27644,Brian Harman,2.521,278.5,110.462,323,213303133
2024,40,23320,Ryan Palmer,2.52,283.0,112.295,147,224402880
2024,56,34021,Bud Cauley,2.519,283.5,112.545,219,222902806
2024,40,36799,Stephan Jaeger,2.518,299.4,118.9,258,216202953
2024,52,39975,Michael Kim,2.518,290.1,115.202,261,209802776
2024,-25,32366,Kevin Chappell,2.517,291.3,115.759,171,207602896
2024,39,45157,Cam Davis,2.517,293.4,116.592,242,208903208
2024,39,30911,Tommy Fleetwood,2.517,290.3,115.352,233,214703155
2024,38,34046,Jordan Spieth,2.515,295.9,117.639,242,220102842
2024,38,52666,Sami Valimaki,2.515,289.0,114.898,201,220002820
2024,48,51287,Ryo Hisatsune,2.514,283.6,112.787,241,182902853
2024,48,55893,Sam Stevens,2.514,297.7,118.39,293,207002876
2024,37,33204,Shane Lowry,2.513,289.0,114.972,262,211603036
2024,-1,47591,Eric Cole,2.512,288.5,114.83,337,193102938
2024,-15,30926,Chris Kirk,2.512,288.3,114.778,284,189303154
2024,44,52513,Carson Young,2.512,281.1,111.89,295,214602875
2024,-34,34374,Erik Barnes,2.511,289.3,115.209,185,205402840
2024,-25,55708,Hayden Buckley,2.511,286.2,113.976,254,208402923
2024,35,28089,Jason Day,2.511,295.2,117.556,233,223603001
2024,34,34563,Chesson Hadley,2.509,288.1,114.8,254,211302874
2024,34,22405,Justin Rose,2.509,287.8,114.679,213,215502859
2024,-17,57362,Austin Eckroat,2.508,289.3,115.348,299,177303923
2024,-43,29535,Brice Garnett,2.507,273.3,109.015,180,178802884
2024,-17,39546,Keith Mitchell,2.507,298.9,119.199,282,222602842
2024,-49,47806,Raul Pereda,2.506,275.1,109.77,151,188702789
2024,-6,57900,Chandler Phillips,2.503,280.8,112.212,289,200902876
2024,37,33486,Roger Sloan,2.503,283.1,113.113,195,216602749
2024,48,34255,Joseph Bramlett,2.501,301.9,120.708,267,213602785
2024,37,27649,Brandt Snedeker,2.5,270.5,108.195,208,216502799
2024,32,12716,Charley Hoffman,2.499,288.2,115.309,207,212202792
2024,-13,35506,Mackenzie Hughes,2.499,289.1,115.669,352,202002931
2024,40,52375,Doug Ghim,2.498,280.6,112.338,276,202602928
2024,-46,27214,Kevin Streelman,2.498,284.4,113.846,222,197702915
2024,29,47504,Sam Burns,2.497,299.1,119.822,241,213003080
2024,42,56149,Wilson Furr,2.497,301.6,120.777,179,201402881
2024,-40,59836,Pierceson Coody,2.496,298.6,119.639,237,192702812
2024,-17,47988,Nick Hardy,2.496,292.1,117.034,307,192202853
2024,34,47983,Chad Ramey,2.496,283.4,113.562,278,197202778
2024,43,50188,S.H. Kim,2.495,293.9,117.824,306,198502792
2024,42,49771,J.T. Poston,2.495,282.0,113.04,336,216203088
2024,26,47483,Will Zalatoris,2.495,292.8,117.344,218,200302778
2024,25,32367,Jorge Campillo,2.493,285.1,114.37,147,216502764
2024,30,52514,Trace Crowe,2.493,287.9,115.478,245,208702768
2024,24,48867,Matti Schmid,2.492,296.1,118.798,223,207302875
2024,24,36326,David Lipsky,2.491,274.8,110.316,234,183402803
2024,-43,51997,Andrew Novak,2.491,286.2,114.9,243,176602799
2024,41,48887,Matt Wallace,2.49,289.2,116.115,209,208702833
2024,22,24502,Adam Scott,2.489,297.2,119.416,232,204902819
2024,35,40162,Justin Lower,2.487,281.4,113.173,319,203602751
2024,23,50525,Collin Morikawa,2.487,285.6,114.843,218,206202911
2024,23,29908,C.T. Pan,2.487,274.6,110.428,223,215002753
2024,-60,55454,Carl Yuan,2.487,292.8,117.752,173,201502915
2024,23,35450,Patrick Cantlay,2.486,293.2,117.963,240,214102993
2024,23,51766,Wyndham Clark,2.486,304.6,122.544,222,189702892
2024,-44,54591,Ben Griffin,2.486,285.9,114.987,287,200202815
2024,35,33399,Adam Hadwin,2.486,285.7,114.918,282,206603217
2024,-49,54421,Garrick Higgo,2.485,296.5,119.314,263,195603003
2024,23,48117,Kurt Kitayama,2.485,298.1,119.96,190,212002918
2024,-53,39324,J.J. Spaun,2.485,287.3,115.613,283,193302821
2024,-50,34076,Joel Dahmen,2.483,275.7,111.014,270,203102812
2024,-59,50493,Justin Suh,2.483,287.3,115.715,260,209902807
2024,21,56630,Akshay Bhatia,2.482,288.1,116.071,280,214502971
2024,35,60067,Joe Highsmith,2.482,290.7,117.118,213,205602831
2024,-72,46113,Ryan McCormick,2.482,294.7,118.775,162,197002828
2024,20,37378,Min Woo Lee,2.479,308.1,124.273,208,219402793
2024,-54,54783,Dylan Wu,2.477,282.1,113.901,277,212002873
2024,19,32839,Hideki Matsuyama,2.476,286.6,115.74,234,212302981
2024,32,47993,Denny McCarthy,2.476,277.1,111.89,323,203302990
2024,19,28237,Rory McIlroy,2.476,306.1,123.653,184,193102817
2024,18,31646,Emiliano Grillo,2.475,279.5,112.912,316,187002917
2024,18,34098,Russell Henley,2.475,274.0,110.677,258,203102983
2024,18,52215,Robert MacIntyre,2.475,292.5,118.176,228,196602770
2024,32,33408,Tyson Alexander,2.474,291.6,117.856,228,210702843
2024,31,51349,Nico Echavarria,2.474,281.5,113.766,284,209402919
2024,20,57975,Harry Hall,2.474,287.7,116.305,241,198402882
2024,20,39971,Sungjae Im,2.474,285.0,115.186,325,208702974
2024,-79,32757,Patton Kizzire,2.473,285.2,115.303,223,217302887
