YEAR,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,0,51977,Max Greyserman,12.16%,403,49
2024,0,51766,Wyndham Clark,11.52%,330,38
2024,0,46717,Viktor Hovland,10.96%,301,33
2024,0,48153,Matthieu Pavon,10.95%,338,37
2024,0,39975,Michael Kim,10.15%,404,41
2024,0,24024,Zach Johnson,10.08%,258,26
2024,0,35450,Patrick Cantlay,10.03%,309,31
2024,0,29936,Ryan Fox,10.02%,429,43
2024,0,32640,Troy Merritt,9.97%,311,31
2024,0,55893,Sam Stevens,9.74%,503,49
2024,0,40098,Matt Fitzpatrick,9.68%,372,36
2024,0,33204,Shane Lowry,9.57%,376,36
2024,0,39971,Sungjae Im,9.52%,441,42
2024,0,37275,Sam Ryder,9.50%,358,34
2024,0,40162,Justin Lower,9.40%,532,50
2024,0,34098,Russell Henley,9.33%,343,32
2024,0,47993,Denny McCarthy,9.31%,462,43
2024,0,33653,Thomas Detry,9.18%,392,36
2024,0,54576,Patrick Fishburn,9.16%,393,36
2024,0,28237,Rory McIlroy,9.14%,372,34
2024,0,51997,Andrew Novak,9.09%,451,41
2024,0,37455,Si Woo Kim,8.92%,415,37
2024,0,51634,Sahith Theegala,8.86%,508,45
2024,0,29478,Kevin Kisner,8.77%,308,27
2024,0,34099,Harris English,8.75%,480,42
2024,0,35532,Tom Hoge,8.75%,457,40
2024,0,40006,Erik van Rooyen,8.73%,424,37
2024,0,52513,Carson Young,8.71%,448,39
2024,0,51696,Rico Hoey,8.69%,426,37
2024,0,39327,Ben Silverman,8.65%,451,39
2024,0,46441,Robby Shelton,8.64%,405,35
2024,0,48867,Matti Schmid,8.61%,418,36
2024,0,52514,Trace Crowe,8.59%,291,25
2024,0,51894,Vince Whaley,8.58%,338,29
2024,0,27644,Brian Harman,8.48%,448,38
2024,0,32839,Hideki Matsuyama,8.43%,344,29
2024,0,28089,Jason Day,8.41%,333,28
2024,0,57975,Harry Hall,8.40%,357,30
2024,0,29221,Webb Simpson,8.37%,263,22
2024,0,24502,Adam Scott,8.36%,383,32
2024,0,32791,K.H. Lee,8.35%,395,33
2024,0,60767,Blaine Hale Jr.,8.33%,240,20
2024,0,22405,Justin Rose,8.33%,312,26
2024,0,40250,Taylor Pendrith,8.31%,445,37
2024,0,28252,Seamus Power,8.27%,520,43
2024,0,59143,Mac Meissner,8.22%,377,31
2024,0,34046,Jordan Spieth,8.22%,365,30
2024,0,36884,Ben Kohles,8.18%,477,39
2024,0,33408,Tyson Alexander,8.15%,405,33
2024,0,51287,Ryo Hisatsune,8.12%,431,35
2024,0,28775,Nate Lashley,8.12%,382,31
2024,0,52955,Ludvig Åberg,8.05%,385,31
2024,0,27214,Kevin Streelman,8.05%,348,28
2024,0,26476,Chez Reavie,8.00%,325,26
2024,0,49771,J.T. Poston,7.97%,477,38
2024,0,45522,Christiaan Bezuidenhout,7.89%,380,30
2024,0,46046,Scottie Scheffler,7.88%,330,26
2024,0,32102,Rickie Fowler,7.85%,395,31
2024,0,48887,Matt Wallace,7.85%,382,30
2024,0,55789,Taylor Montgomery,7.84%,268,21
2024,0,27649,Brandt Snedeker,7.84%,319,25
2024,0,40058,Zac Blair,7.82%,435,34
2024,0,25493,Nick Taylor,7.80%,436,34
2024,0,50484,Hayden Springer,7.79%,321,25
2024,0,29420,Billy Horschel,7.71%,415,32
2024,0,35461,Beau Hossler,7.71%,493,38
2024,0,48084,Wesley Bryan,7.69%,208,16
2024,0,39977,Max Homa,7.69%,390,30
2024,0,32366,Kevin Chappell,7.63%,249,19
2024,0,57900,Chandler Phillips,7.60%,408,31
2024,0,27936,Martin Laird,7.57%,383,29
2024,0,46113,Ryan McCormick,7.57%,304,23
2024,0,27139,David Skinns,7.57%,423,32
2024,0,49947,Taylor Moore,7.55%,530,40
2024,0,36699,Patrick Rodgers,7.54%,557,42
2024,0,48081,Xander Schauffele,7.52%,412,31
2024,0,51349,Nico Echavarria,7.51%,413,31
2024,0,57366,Cameron Young,7.51%,386,29
2024,0,33968,Thorbjørn Olesen,7.50%,240,18
2024,0,59836,Pierceson Coody,7.49%,374,28
2024,0,52215,Robert MacIntyre,7.49%,387,29
2024,0,60004,Jacob Bridgeman,7.47%,348,26
2024,0,54783,Dylan Wu,7.44%,430,32
2024,0,34076,Joel Dahmen,7.43%,417,31
2024,0,54628,Lee Hodges,7.39%,528,39
2024,0,54591,Ben Griffin,7.31%,547,40
2024,0,47483,Will Zalatoris,7.30%,356,26
2024,0,36801,Mark Hubbard,7.27%,550,40
2024,0,29908,C.T. Pan,7.26%,358,26
2024,0,32333,Kevin Tway,7.26%,303,22
2024,0,55182,Tom Kim,7.23%,401,29
2024,0,52374,Brandon Wu,7.23%,401,29
2024,0,59866,Nick Dunlap,7.20%,347,25
2024,0,29725,Tony Finau,7.19%,431,31
2024,0,33486,Roger Sloan,7.19%,292,21
2024,0,34255,Joseph Bramlett,7.17%,460,33
2024,0,50095,Austin Smotherman,7.17%,237,17
2024,0,47504,Sam Burns,7.16%,363,26
2024,0,47591,Eric Cole,7.16%,503,36
2024,0,27349,Alex Noren,7.14%,392,28
2024,0,50497,Adrien Dumont de Chassart,7.12%,365,26
2024,0,51890,Greyson Sigg,7.11%,408,29
2024,0,36799,Stephan Jaeger,7.05%,397,28
2024,0,36326,David Lipsky,7.01%,371,26
2024,0,47983,Chad Ramey,7.01%,428,30
2024,0,30911,Tommy Fleetwood,6.98%,401,28
2024,0,23320,Ryan Palmer,6.96%,230,16
2024,0,46442,Maverick McNealy,6.94%,461,32
2024,0,35506,Mackenzie Hughes,6.89%,508,35
2024,0,33399,Adam Hadwin,6.88%,407,28
2024,0,45157,Cam Davis,6.84%,424,29
2024,0,25900,Lucas Glover,6.80%,412,28
2024,0,47347,Adam Schenk,6.79%,471,32
2024,0,57362,Austin Eckroat,6.77%,443,30
2024,0,46340,Alex Smalley,6.76%,355,24
2024,0,55454,Carl Yuan,6.76%,296,20
2024,0,47679,Victor Perez,6.74%,386,26
2024,0,33141,Keegan Bradley,6.73%,401,27
2024,0,34563,Chesson Hadley,6.73%,401,27
2024,0,39324,J.J. Spaun,6.70%,448,30
2024,0,34587,Chan Kim,6.67%,435,29
2024,0,27129,Luke List,6.63%,407,27
2024,0,54421,Garrick Higgo,6.60%,394,26
2024,0,56630,Akshay Bhatia,6.59%,455,30
2024,0,30927,Brendon Todd,6.58%,486,32
2024,0,52666,Sami Valimaki,6.58%,319,21
2024,0,34374,Erik Barnes,6.49%,262,17
2024,0,12716,Charley Hoffman,6.49%,339,22
2024,0,38991,Alejandro Tosti,6.47%,371,24
2024,0,27064,Jhonattan Vegas,6.45%,372,24
2024,0,50493,Justin Suh,6.42%,405,26
2024,0,39997,Corey Conners,6.40%,484,31
2024,0,32757,Patton Kizzire,6.38%,329,21
2024,0,50525,Collin Morikawa,6.34%,331,21
2024,0,48699,Callum Tarren,6.33%,379,24
2024,0,40026,Daniel Berger,6.32%,380,24
2024,0,58168,Davis Thompson,6.29%,477,30
2024,0,47806,Raul Pereda,6.28%,207,13
2024,0,22371,Aaron Baddeley,6.27%,351,22
2024,0,27330,Josh Teater,6.19%,226,14
2024,0,32367,Jorge Campillo,6.18%,275,17
2024,0,26596,Ryan Moore,6.18%,372,23
2024,0,52375,Doug Ghim,6.06%,495,30
2024,0,60067,Joe Highsmith,6.06%,330,20
2024,0,37212,Paul Barjon,6.03%,282,17
2024,0,47420,Jake Knapp,6.02%,399,24
2024,0,52453,Nicolai Højgaard,5.99%,267,16
2024,0,34466,Peter Malnati,5.98%,418,25
2024,0,31646,Emiliano Grillo,5.91%,474,28
2024,0,47663,Kevin Dougherty,5.88%,323,19
2024,0,35617,Martin Trainer,5.81%,258,15
2024,0,50188,S.H. Kim,5.80%,552,32
2024,0,23108,Matt Kuchar,5.80%,414,24
2024,0,45242,Kevin Yu,5.76%,417,24
2024,0,32070,Rafael Campos,5.71%,280,16
2024,0,46414,Aaron Rai,5.67%,494,28
2024,0,29535,Brice Garnett,5.62%,267,15
2024,0,48319,Tom Whitney,5.61%,303,17
2024,0,48119,Ben Taylor,5.59%,340,19
2024,0,34256,Andrew Putnam,5.57%,485,27
2024,0,31323,Gary Woodland,5.54%,469,26
2024,0,33448,Justin Thomas,5.50%,327,18
2024,0,52372,Cameron Champ,5.48%,347,19
2024,0,56149,Wilson Furr,5.40%,278,15
2024,0,40115,Adam Svensson,5.40%,593,32
2024,0,37378,Min Woo Lee,5.08%,374,19
2024,0,30163,Henrik Norlander,5.07%,296,15
2024,0,47995,Davis Riley,5.02%,418,21
2024,0,55708,Hayden Buckley,5.00%,360,18
2024,0,45609,Tyler Duncan,5.00%,380,19
2024,0,35310,Lanto Griffin,4.99%,401,20
2024,0,27770,Camilo Villegas,4.93%,284,14
2024,0,48117,Kurt Kitayama,4.87%,390,19
2024,0,39546,Keith Mitchell,4.86%,432,21
2024,0,36871,Matt NeSmith,4.80%,417,20
2024,0,49960,Sepp Straka,4.70%,404,19
2024,0,30926,Chris Kirk,4.56%,351,16
2024,0,28420,Ryan Brehm,4.53%,309,14
2024,0,47988,Nick Hardy,4.44%,495,22
2024,0,59095,Chris Gotterup,4.23%,402,17
2024,0,33948,Byeong Hun An,4.11%,365,15
2024,0,59442,Parker Coody,3.94%,279,11
2024,0,34021,Bud Cauley,3.67%,300,11
2024,0,51070,Vincent Norrman,3.45%,319,11
2023,0,22405,Justin Rose,11.08%,316,35
2023,0,27974,Sung Kang,10.53%,190,20
2023,0,39977,Max Homa,10.36%,415,43
2023,0,25493,Nick Taylor,10.10%,416,42
2023,0,56762,Will Gordon,9.97%,582,58
2023,0,31202,William McGirt,9.81%,214,21
2023,0,47504,Sam Burns,9.78%,409,40
2023,0,34363,Tyrrell Hatton,9.59%,386,37
2023,0,52955,Ludvig Åberg,9.52%,252,24
