YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
2024,1,0,48081,Xander Schauffele,-26,2.92,1020.0
2024,2,0,51349,Nico Echavarria,-17,2.95,1128.0
2024,3,0,51997,Andrew Novak,-15,2.96,1092.0
2024,4,0,27139,David Skinns,-14,2.96,1062.0
2024,5,0,28775,Nate Lashley,-13,2.96,954.0
2024,6,0,29420,Billy Horschel,-9,2.97,978.0
2024,6,0,39975,Michael Kim,-9,2.97,1050.0
2024,8,0,48117,Kurt Kitayama,-8,2.98,972.0
2024,8,0,46442,Maverick McNealy,-8,2.98,1167.0
2024,8,0,39546,Keith Mitchell,-8,2.98,1056.0
2024,11,0,40098,Matt Fitzpatrick,-7,2.98,852.0
2024,11,0,57975,Harry Hall,-7,2.98,1044.0
2024,11,0,47993,Denny McCarthy,-7,2.98,1038.0
2024,14,0,54591,Ben Griffin,-6,2.99,1440.0
2024,14,0,46046,Scottie Scheffler,-6,2.98,900.0
2024,14,0,40006,Erik van Rooyen,-6,2.98,1008.0
2024,17,0,29936,Ryan Fox,-5,2.98,984.0
2024,18,0,51977,Max Greyserman,-4,2.99,1023.0
2024,18,0,52666,Sami Valimaki,-4,2.98,798.0
2024,20,0,51766,Wyndham Clark,-3,2.99,864.0
2024,20,0,54576,Patrick Fishburn,-3,2.99,906.0
2024,20,0,34587,Chan Kim,-3,2.99,1056.0
2024,20,0,37455,Si Woo Kim,-3,2.99,1128.0
2024,20,0,27129,Luke List,-3,2.99,936.0
2024,20,0,50525,Collin Morikawa,-3,2.99,960.0
2024,20,0,48153,Matthieu Pavon,-3,2.99,810.0
2024,20,0,45242,Kevin Yu,-3,2.99,948.0
2024,28,0,34099,Harris English,-2,2.99,1116.0
2024,28,0,39327,Ben Silverman,-2,2.99,1014.0
2024,30,0,34021,Bud Cauley,-1,3.0,666.0
2024,30,0,33653,Thomas Detry,-1,3.0,882.0
2024,30,0,34098,Russell Henley,-1,3.0,864.0
2024,30,0,47483,Will Zalatoris,-1,3.0,870.0
2024,34,0,52955,Ludvig Åberg,E,3.0,900.0
2024,34,0,59143,Mac Meissner,E,3.0,936.0
2024,34,0,55893,Sam Stevens,E,3.0,1278.0
2024,37,0,22371,Aaron Baddeley,+1,3.0,948.0
2024,37,0,30911,Tommy Fleetwood,+1,3.0,852.0
2024,37,0,60067,Joe Highsmith,+1,3.0,912.0
2024,37,0,24024,Zach Johnson,+1,3.0,630.0
2024,37,0,49960,Sepp Straka,+1,3.0,924.0
2024,37,0,33448,Justin Thomas,+1,3.0,888.0
2024,37,0,32333,Kevin Tway,+1,3.0,726.0
2024,37,0,27064,Jhonattan Vegas,+1,3.0,942.0
2024,45,0,33948,Byeong Hun An,+2,3.01,894.0
2024,45,0,29535,Brice Garnett,+2,3.01,588.0
2024,45,0,32839,Hideki Matsuyama,+2,3.01,894.0
2024,45,0,33968,Thorbjørn Olesen,+2,3.01,612.0
2024,49,0,39997,Corey Conners,+3,3.01,1044.0
2024,49,0,32102,Rickie Fowler,+3,3.01,966.0
2024,49,0,27644,Brian Harman,+3,3.01,1050.0
2024,49,0,24502,Adam Scott,+3,3.01,864.0
2024,53,0,59442,Parker Coody,+4,3.02,726.0
2024,53,0,34563,Chesson Hadley,+4,3.01,864.0
2024,53,0,39977,Max Homa,+4,3.01,960.0
2024,53,0,27349,Alex Noren,+4,3.01,900.0
2024,53,0,29908,C.T. Pan,+4,3.02,732.0
2024,53,0,57900,Chandler Phillips,+4,3.01,1098.0
2024,53,0,46414,Aaron Rai,+4,3.01,1110.0
2024,60,0,52375,Doug Ghim,+5,3.01,1176.0
2024,60,0,60767,Blaine Hale Jr.,+5,3.02,678.0
2024,60,0,54628,Lee Hodges,+5,3.01,1152.0
2024,60,0,27936,Martin Laird,+5,3.02,912.0
2024,60,0,36699,Patrick Rodgers,+5,3.01,1230.0
2024,60,0,51890,Greyson Sigg,+5,3.02,996.0
2024,66,0,52514,Trace Crowe,+6,3.02,876.0
2024,66,0,51894,Vince Whaley,+6,3.02,936.0
2024,68,0,40058,Zac Blair,+7,3.02,1056.0
2024,68,0,57362,Austin Eckroat,+7,3.02,1146.0
2024,68,0,56149,Wilson Furr,+7,3.03,738.0
2024,68,0,30163,Henrik Norlander,+7,3.03,810.0
2024,68,0,27214,Kevin Streelman,+7,3.02,876.0
2024,68,0,58168,Davis Thompson,+7,3.02,1170.0
2024,74,0,56630,Akshay Bhatia,+8,3.02,1080.0
2024,74,0,40162,Justin Lower,+8,3.02,1263.0
2024,76,0,47504,Sam Burns,+9,3.03,918.0
2024,76,0,33399,Adam Hadwin,+9,3.03,1008.0
2024,76,0,47988,Nick Hardy,+9,3.03,1050.0
2024,76,0,51287,Ryo Hisatsune,+9,3.02,1098.0
2024,76,0,55789,Taylor Montgomery,+9,3.04,720.0
2024,76,0,48867,Matti Schmid,+9,3.03,1008.0
2024,76,0,46441,Robby Shelton,+9,3.03,978.0
2024,83,0,32367,Jorge Campillo,+10,3.05,666.0
2024,83,0,12716,Charley Hoffman,+10,3.03,912.0
2024,83,0,52453,Nicolai Højgaard,+10,3.04,708.0
2024,83,0,39971,Sungjae Im,+10,3.03,1110.0
2024,83,0,28237,Rory McIlroy,+10,3.04,840.0
2024,83,0,47679,Victor Perez,+10,3.03,918.0
2024,83,0,39324,J.J. Spaun,+10,3.03,996.0
2024,90,0,35461,Beau Hossler,+11,3.03,1098.0
2024,90,0,51070,Vincent Norrman,+11,3.06,597.0
2024,90,0,28252,Seamus Power,+11,3.03,1176.0
2024,90,0,47983,Chad Ramey,+11,3.03,1074.0
2024,90,0,50493,Justin Suh,+11,3.03,948.0
2024,90,0,51634,Sahith Theegala,+11,3.03,1140.0
2024,96,0,45157,Cam Davis,+12,3.04,972.0
2024,96,0,36884,Ben Kohles,+12,3.03,1101.0
2024,96,0,48887,Matt Wallace,+12,3.04,828.0
2024,99,0,45522,Christiaan Bezuidenhout,+13,3.04,975.0
2024,99,0,48084,Wesley Bryan,+13,3.07,600.0
2024,99,0,32366,Kevin Chappell,+13,3.06,684.0
2024,99,0,47591,Eric Cole,+13,3.03,1356.0
2024,99,0,31646,Emiliano Grillo,+13,3.04,1026.0
2024,99,0,35532,Tom Hoge,+13,3.03,1278.0
2024,99,0,52215,Robert MacIntyre,+13,3.04,942.0
2024,99,0,49771,J.T. Poston,+13,3.04,1056.0
2024,99,0,50095,Austin Smotherman,+13,3.06,648.0
2024,108,0,60004,Jacob Bridgeman,+14,3.04,1008.0
2024,108,0,35310,Lanto Griffin,+14,3.04,936.0
2024,108,0,32757,Patton Kizzire,+14,3.05,792.0
2024,111,0,40026,Daniel Berger,+15,3.05,978.0
2024,111,0,51696,Rico Hoey,+15,3.04,1080.0
2024,111,0,35506,Mackenzie Hughes,+15,3.04,1170.0
2024,111,0,36326,David Lipsky,+15,3.05,882.0
2024,111,0,52513,Carson Young,+15,3.04,1122.0
2024,116,0,32791,K.H. Lee,+16,3.05,1029.0
2024,116,0,22405,Justin Rose,+16,3.07,726.0
2024,118,0,29725,Tony Finau,+17,3.05,1014.0
2024,118,0,55182,Tom Kim,+17,3.05,984.0
2024,118,0,46340,Alex Smalley,+17,3.05,954.0
2024,118,0,50484,Hayden Springer,+17,3.05,930.0
2024,118,0,54783,Dylan Wu,+17,3.05,1032.0
2024,123,0,35450,Patrick Cantlay,+18,3.07,816.0
2024,123,0,59836,Pierceson Coody,+18,3.05,990.0
2024,123,0,59095,Chris Gotterup,+18,3.06,933.0
2024,123,0,46717,Viktor Hovland,+18,3.08,684.0
2024,123,0,34256,Andrew Putnam,+18,3.05,1008.0
2024,128,0,52372,Cameron Champ,+19,3.08,756.0
2024,128,0,34076,Joel Dahmen,+19,3.05,1134.0
2024,130,0,25900,Lucas Glover,+20,3.05,1122.0
2024,130,0,47420,Jake Knapp,+20,3.06,954.0
2024,130,0,36871,Matt NeSmith,+20,3.06,930.0
2024,133,0,33408,Tyson Alexander,+21,3.07,960.0
2024,133,0,32070,Rafael Campos,+21,3.08,744.0
2024,133,0,50497,Adrien Dumont de Chassart,+21,3.07,948.0
2024,133,0,50188,S.H. Kim,+21,3.05,1338.0
2024,133,0,27330,Josh Teater,+21,3.09,678.0
2024,133,0,38991,Alejandro Tosti,+21,3.07,894.0
2024,133,0,48319,Tom Whitney,+21,3.07,876.0
2024,140,0,54421,Garrick Higgo,+22,3.07,1008.0
2024,140,0,30926,Chris Kirk,+22,3.07,960.0
2024,140,0,35617,Martin Trainer,+22,3.11,618.0
2024,140,0,31323,Gary Woodland,+22,3.07,1002.0
2024,140,0,52374,Brandon Wu,+22,3.06,1026.0
2024,145,0,34374,Erik Barnes,+23,3.1,723.0
2024,145,0,23108,Matt Kuchar,+23,3.07,936.0
2024,145,0,46113,Ryan McCormick,+23,3.09,792.0
2024,145,0,32640,Troy Merritt,+23,3.07,942.0
2024,145,0,49947,Taylor Moore,+23,3.06,1218.0
2024,150,0,33141,Keegan Bradley,+24,3.08,942.0
2024,150,0,45609,Tyler Duncan,+24,3.08,900.0
2024,150,0,26476,Chez Reavie,+24,3.08,888.0
2024,150,0,37275,Sam Ryder,+24,3.07,972.0
2024,150,0,55454,Carl Yuan,+24,3.09,834.0
2024,155,0,28089,Jason Day,+25,3.09,870.0
2024,155,0,59866,Nick Dunlap,+25,3.09,864.0
2024,155,0,33486,Roger Sloan,+25,3.09,858.0
2024,155,0,48699,Callum Tarren,+25,3.08,906.0
2024,155,0,48119,Ben Taylor,+25,3.09,798.0
2024,160,0,34255,Joseph Bramlett,+26,3.07,1080.0
2024,160,0,29478,Kevin Kisner,+26,3.11,696.0
2024,160,0,40250,Taylor Pendrith,+26,3.08,972.0
2024,160,0,47806,Raul Pereda,+26,3.13,624.0
2024,164,0,25493,Nick Taylor,+27,3.08,1056.0
2024,164,0,27770,Camilo Villegas,+27,3.11,723.0
2024,166,0,36801,Mark Hubbard,+28,3.07,1278.0
2024,166,0,26596,Ryan Moore,+28,3.09,936.0
2024,166,0,23320,Ryan Palmer,+28,3.15,576.0
2024,166,0,30927,Brendon Todd,+28,3.07,1212.0
2024,170,0,29221,Webb Simpson,+29,3.14,624.0
2024,171,0,40115,Adam Svensson,+30,3.07,1308.0
2024,172,0,28420,Ryan Brehm,+31,3.12,786.0
2024,172,0,34046,Jordan Spieth,+31,3.11,840.0
2024,174,0,47347,Adam Schenk,+32,3.08,1152.0
2024,175,0,36799,Stephan Jaeger,+33,3.1,1020.0
2024,175,0,33204,Shane Lowry,+33,3.11,876.0
2024,175,0,27649,Brandt Snedeker,+33,3.13,750.0
2024,178,0,57366,Cameron Young,+34,3.1,972.0
