YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
2024,1,0,46046,Scottie Scheffler,67.85,3528,52
2024,2,0,51997,Andrew Novak,68.58,2949,43
2024,3,0,52215,Robert MacIntyre,68.68,2816,41
2024,4,0,48081,Xander Schauffele,68.88,3926,57
2024,5,0,54591,Ben Griffin,68.92,3584,52
2024,6,0,51977,Max Greyserman,68.96,3103,45
2024,7,0,58168,Davis Thompson,69.02,2899,42
2024,7,0,45242,Kevin Yu,69.02,2899,42
2024,9,0,46442,Maverick McNealy,69.07,3177,46
2024,9,0,52513,Carson Young,69.07,2970,43
2024,11,0,52375,Doug Ghim,69.09,2971,43
2024,12,0,27064,Jhonattan Vegas,69.1,2695,39
2024,13,0,30163,Henrik Norlander,69.14,2558,37
2024,14,0,27349,Alex Noren,69.24,2839,41
2024,15,0,46414,Aaron Rai,69.3,3049,44
2024,16,0,35461,Beau Hossler,69.31,3327,48
2024,17,0,32757,Patton Kizzire,69.32,2357,34
2024,18,0,35310,Lanto Griffin,69.38,2359,34
2024,19,0,55182,Tom Kim,69.46,2848,41
2024,20,0,50525,Collin Morikawa,69.48,3474,50
2024,20,0,51634,Sahith Theegala,69.48,3474,50
2024,22,0,60004,Jacob Bridgeman,69.5,2919,42
2024,23,0,54576,Patrick Fishburn,69.51,2572,37
2024,24,0,29535,Brice Garnett,69.52,1599,23
2024,25,0,32333,Kevin Tway,69.53,2225,32
2024,25,0,52666,Sami Valimaki,69.53,2225,32
2024,27,0,51349,Nico Echavarria,69.57,3200,46
2024,27,0,36801,Mark Hubbard,69.57,3270,47
2024,29,0,51696,Rico Hoey,69.58,3131,45
2024,29,0,34587,Chan Kim,69.58,2783,40
2024,29,0,39546,Keith Mitchell,69.58,2783,40
2024,32,0,48084,Wesley Bryan,69.6,1740,25
2024,33,0,40026,Daniel Berger,69.61,2854,41
2024,33,0,40006,Erik van Rooyen,69.61,2854,41
2024,35,0,55893,Sam Stevens,69.63,3551,51
2024,35,0,33448,Justin Thomas,69.63,2646,38
2024,37,0,52955,Ludvig Åberg,69.65,2995,43
2024,38,0,47993,Denny McCarthy,69.66,3065,44
2024,39,0,37455,Si Woo Kim,69.68,2857,41
2024,40,0,40115,Adam Svensson,69.69,3415,49
2024,41,0,12716,Charley Hoffman,69.71,2440,35
2024,41,0,35506,Mackenzie Hughes,69.71,3346,48
2024,41,0,51894,Vince Whaley,69.71,2649,38
2024,44,0,57362,Austin Eckroat,69.73,3138,45
2024,45,0,33653,Thomas Detry,69.74,2441,35
2024,46,0,40250,Taylor Pendrith,69.75,3069,44
2024,47,0,33399,Adam Hadwin,69.78,2582,37
2024,48,0,40162,Justin Lower,69.8,3769,54
2024,49,0,47988,Nick Hardy,69.81,2583,37
2024,49,0,48887,Matt Wallace,69.81,2164,31
2024,51,0,32791,K.H. Lee,69.83,2863,41
