YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIES OR BETTER
2024,1,0,52375,Doug Ghim,154
2024,2,0,51349,Nico Echavarria,153
2024,3,0,60067,Joe Highsmith,149
2024,4,0,51894,Vince Whaley,149
2024,5,0,52513,Carson Young,146
2024,6,0,55893,Sam Stevens,146
2024,7,0,40026,Daniel Berger,146
2024,8,0,54591,Ben Griffin,146
2024,9,0,54576,Patrick Fishburn,146
2024,10,0,57900,Chandler Phillips,139
2024,11,0,40162,Justin Lower,135
2024,12,0,36801,Mark Hubbard,135
2024,13,0,51696,Rico Hoey,134
2024,14,0,36699,Patrick Rodgers,133
2024,15,0,50188,S.H. Kim,132
2024,16,0,60004,Jacob Bridgeman,130
2024,17,0,25900,Lucas Glover,130
2024,18,0,30163,Henrik Norlander,129
2024,19,0,27936,Martin Laird,129
2024,20,0,54421,Garrick Higgo,127
2024,21,0,48084,Wesley Bryan,123
2024,22,0,34255,Joseph Bramlett,123
2024,23,0,34076,Joel Dahmen,121
2024,24,0,39975,Michael Kim,120
2024,25,0,47983,Chad Ramey,118
2024,26,0,50484,Hayden Springer,118
2024,27,0,48867,Matti Schmid,117
2024,28,0,46442,Maverick McNealy,117
2024,29,0,46340,Alex Smalley,116
2024,30,0,40115,Adam Svensson,115
2024,31,0,39324,J.J. Spaun,113
2024,32,0,35310,Lanto Griffin,113
2024,33,0,32757,Patton Kizzire,112
2024,34,0,54628,Lee Hodges,110
2024,35,0,35461,Beau Hossler,110
2024,36,0,48319,Tom Whitney,110
2024,37,0,52374,Brandon Wu,110
2024,38,0,36884,Ben Kohles,108
2024,39,0,32791,K.H. Lee,108
2024,40,0,51997,Andrew Novak,107
2024,41,0,27139,David Skinns,107
2024,42,0,47988,Nick Hardy,106
2024,43,0,56762,Will Gordon,105
2024,44,0,33408,Tyson Alexander,104
2024,45,0,50493,Justin Suh,104
2024,46,0,32333,Kevin Tway,103
2024,47,0,49947,Taylor Moore,102
2024,48,0,46441,Robby Shelton,102
2024,49,0,28775,Nate Lashley,101
2024,50,0,27064,Jhonattan Vegas,100
2024,51,0,36326,David Lipsky,99
2024,52,0,48699,Callum Tarren,99
2024,53,0,35506,Mackenzie Hughes,98
2024,54,0,37275,Sam Ryder,98
2024,55,0,34099,Harris English,96
2024,56,0,50497,Adrien Dumont de Chassart,96
2024,57,0,32366,Kevin Chappell,96
2024,58,0,52514,Trace Crowe,95
2024,59,0,50095,Austin Smotherman,95
2024,60,0,40058,Zac Blair,95
2024,61,0,27129,Luke List,93
2024,62,0,23108,Matt Kuchar,93
2024,63,0,51287,Ryo Hisatsune,93
2024,64,0,39546,Keith Mitchell,92
2024,65,0,57975,Harry Hall,92
2024,66,0,54783,Dylan Wu,92
2024,67,0,27214,Kevin Streelman,92
2024,68,0,51890,Greyson Sigg,92
2024,69,0,59836,Pierceson Coody,92
2024,70,0,54328,Norman Xiong,91
2024,71,0,33486,Roger Sloan,91
2024,72,0,47591,Eric Cole,90
2024,73,0,38991,Alejandro Tosti,89
2024,74,0,45242,Kevin Yu,88
2024,75,0,34021,Bud Cauley,88
2024,76,0,12716,Charley Hoffman,88
2024,77,0,56149,Wilson Furr,87
2024,78,0,28252,Seamus Power,85
2024,79,0,29936,Ryan Fox,83
2024,80,0,32070,Rafael Campos,81
2024,81,0,34563,Chesson Hadley,81
2024,82,0,57364,Michael Thorbjornsen,81
2024,83,0,47347,Adam Schenk,81
2024,84,0,57362,Austin Eckroat,80
2024,85,0,45609,Tyler Duncan,80
2024,86,0,35879,Kelly Kraft,79
2024,87,0,26476,Chez Reavie,79
2024,88,0,31323,Gary Woodland,78
2024,89,0,60767,Blaine Hale Jr.,78
2024,90,0,48119,Ben Taylor,76
2024,91,0,55454,Carl Yuan,75
2024,92,0,22371,Aaron Baddeley,74
2024,93,0,47663,Kevin Dougherty,74
2024,94,0,46113,Ryan McCormick,73
2024,95,0,34587,Chan Kim,73
2024,96,0,26596,Ryan Moore,72
2024,97,0,34256,Andrew Putnam,72
2024,98,0,27770,Camilo Villegas,72
2024,99,0,55789,Taylor Montgomery,71
2024,100,0,27330,Josh Teater,70
2024,101,0,49771,J.T. Poston,68
2024,102,0,28420,Ryan Brehm,68
2024,103,0,25493,Nick Taylor,66
2024,104,0,32102,Rickie Fowler,64
2024,105,0,36871,Matt NeSmith,64
2024,106,0,29289,S.Y. Noh,64
2024,107,0,54813,Philip Knowles,63
2024,108,0,35532,Tom Hoge,63
2024,109,0,46601,Trey Mullinax,63
2024,110,0,32640,Troy Merritt,63
2024,111,0,55708,Hayden Buckley,62
2024,112,0,27649,Brandt Snedeker,61
2024,113,0,59141,Matt McCarty,60
2024,114,0,37212,Paul Barjon,60
2024,115,0,48117,Kurt Kitayama,59
2024,116,0,35617,Martin Trainer,58
2024,117,0,29908,C.T. Pan,56
2024,118,0,47995,Davis Riley,56
2024,119,0,40006,Erik van Rooyen,55
2024,120,0,52372,Cameron Champ,55
2024,121,0,51977,Max Greyserman,54
2024,122,0,36799,Stephan Jaeger,54
2024,123,0,59143,Mac Meissner,54
2024,124,0,25198,Francesco Molinari,53
2024,125,0,39327,Ben Silverman,52
2024,126,0,30927,Brendon Todd,52
2024,127,0,34374,Erik Barnes,50
2024,128,0,58168,Davis Thompson,49
2024,129,0,47806,Raul Pereda,47
2024,130,0,20229,Stewart Cink,45
2024,131,0,59095,Chris Gotterup,45
2024,132,0,39954,Cody Gribble,44
2024,133,0,52666,Sami Valimaki,43
2024,134,0,29535,Brice Garnett,42
2024,135,0,25818,Scott Piercy,41
2024,136,0,31202,William McGirt,41
2024,137,0,33122,Russell Knox,41
2024,138,0,30926,Chris Kirk,40
2024,139,0,37378,Min Woo Lee,40
2024,140,0,29478,Kevin Kisner,40
2024,141,0,27095,Nick Watney,39
2024,142,0,29221,Webb Simpson,39
2024,143,0,52955,Ludvig Åberg,38
2024,144,0,24924,Bill Haas,38
2024,145,0,34466,Peter Malnati,38
2024,146,0,24140,Sean O'Hair,37
2024,147,0,48887,Matt Wallace,36
