YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
2024,0,48084,Wesley Bryan,149.5,511284.0,95
2024,0,38991,Alejandro Tosti,150.5,1132298.0,209
2024,0,47504,Sam Burns,151.3,860815.0,158
2024,0,36699,Patrick Rodgers,151.8,1202558.0,220
2024,0,55893,Sam Stevens,151.9,1028029.0,188
2024,0,37212,Paul Barjon,152.8,885880.0,161
2024,0,24024,Zach Johnson,154.0,604152.0,109
2024,0,32839,Hideki Matsuyama,154.1,749159.0,135
2024,0,47663,Kevin Dougherty,154.2,821586.0,148
2024,0,52514,Trace Crowe,154.7,852212.0,153
2024,0,39546,Keith Mitchell,154.7,1046718.0,188
2024,0,50484,Hayden Springer,154.8,813615.0,146
2024,0,33968,Thorbjørn Olesen,154.9,596519.0,107
2024,0,57975,Harry Hall,155.6,1036100.0,185
2024,0,45609,Tyler Duncan,155.9,830617.0,148
2024,0,54421,Garrick Higgo,155.9,1004682.0,179
2024,0,34255,Joseph Bramlett,156.1,1050664.0,187
2024,0,29936,Ryan Fox,156.1,1073193.0,191
2024,0,45242,Kevin Yu,156.5,901647.0,160
2024,0,59095,Chris Gotterup,156.6,1008954.0,179
2024,0,47347,Adam Schenk,156.7,1263905.0,224
2024,0,36871,Matt NeSmith,156.9,943142.0,167
2024,0,55789,Taylor Montgomery,157.1,774701.0,137
2024,0,33948,Byeong Hun An,157.2,956623.0,169
2024,0,39975,Michael Kim,157.3,945581.0,167
2024,0,52666,Sami Valimaki,157.3,940257.0,166
2024,0,46442,Maverick McNealy,157.7,998949.0,176
2024,0,34374,Erik Barnes,157.8,852311.0,150
2024,0,39324,J.J. Spaun,158.0,989918.0,174
2024,0,60767,Blaine Hale Jr.,158.6,799103.0,140
2024,0,32640,Troy Merritt,158.6,959480.0,168
2024,0,27936,Martin Laird,158.7,851033.0,149
2024,0,60067,Joe Highsmith,159.0,892964.0,156
2024,0,48119,Ben Taylor,159.0,1007621.0,176
2024,0,54576,Patrick Fishburn,159.2,727691.0,127
2024,0,12716,Charley Hoffman,159.2,1042977.0,182
2024,0,55454,Carl Yuan,159.3,957660.0,167
2024,0,50497,Adrien Dumont de Chassart,159.5,1062522.0,185
2024,0,50188,S.H. Kim,159.6,1562440.0,272
2024,0,49771,J.T. Poston,159.7,1080926.0,188
2024,0,52955,Ludvig Åberg,159.9,851767.0,148
2024,0,51070,Vincent Norrman,160.0,875574.0,152
2024,0,51696,Rico Hoey,160.1,962323.0,167
2024,0,36326,David Lipsky,160.1,991189.0,172
2024,0,48699,Callum Tarren,160.1,1181199.0,205
2024,0,47995,Davis Riley,160.2,1147837.0,199
2024,0,27214,Kevin Streelman,160.2,951782.0,165
2024,0,59836,Pierceson Coody,160.3,986572.0,171
2024,0,51894,Vince Whaley,160.3,853919.0,148
2024,0,51977,Max Greyserman,160.4,894945.0,155
2024,0,47988,Nick Hardy,160.4,1160589.0,201
2024,0,34587,Chan Kim,160.5,958852.0,166
2024,0,40250,Taylor Pendrith,160.6,1104580.0,191
2024,0,28775,Nate Lashley,160.7,879470.0,152
2024,0,23320,Ryan Palmer,160.8,654059.0,113
2024,0,52453,Nicolai Højgaard,160.9,735603.0,127
2024,0,37378,Min Woo Lee,160.9,996336.0,172
2024,0,30163,Henrik Norlander,160.9,625468.0,108
2024,0,60004,Jacob Bridgeman,161.0,886558.0,153
2024,0,34466,Peter Malnati,161.0,1199419.0,207
2024,0,27330,Josh Teater,161.0,759156.0,131
2024,0,40098,Matt Fitzpatrick,161.1,933567.0,161
2024,0,56149,Wilson Furr,161.2,731421.0,126
2024,0,51349,Nico Echavarria,161.3,1080077.0,186
2024,0,48081,Xander Schauffele,161.3,662117.0,114
2024,0,34046,Jordan Spieth,161.5,1023260.0,176
2024,0,51634,Sahith Theegala,161.6,1157566.0,199
2024,0,31323,Gary Woodland,161.6,1221998.0,210
2024,0,48867,Matti Schmid,161.7,1001240.0,172
2024,0,51766,Wyndham Clark,161.9,833550.0,143
2024,0,32070,Rafael Campos,162.0,845393.0,145
2024,0,46113,Ryan McCormick,162.2,817456.0,140
2024,0,48153,Matthieu Pavon,162.2,864405.0,148
2024,0,59143,Mac Meissner,162.4,870927.0,149
2024,0,22371,Aaron Baddeley,162.6,889663.0,152
2024,0,59866,Nick Dunlap,162.6,1147460.0,196
2024,0,31646,Emiliano Grillo,162.7,1153999.0,197
2024,0,54591,Ben Griffin,162.8,1166554.0,199
2024,0,57900,Chandler Phillips,162.8,1119338.0,191
2024,0,33141,Keegan Bradley,162.9,1055374.0,180
2024,0,47983,Chad Ramey,162.9,1114479.0,190
2024,0,47420,Jake Knapp,163.0,1168037.0,199
2024,0,27139,David Skinns,163.0,1033057.0,176
2024,0,50095,Austin Smotherman,163.0,481141.0,82
2024,0,39971,Sungjae Im,163.1,1092187.0,186
2024,0,27644,Brian Harman,163.3,1099043.0,187
2024,0,35617,Martin Trainer,163.3,776015.0,132
2024,0,52372,Cameron Champ,163.4,817471.0,139
2024,0,47679,Victor Perez,163.4,888416.0,151
2024,0,45522,Christiaan Bezuidenhout,163.6,1042318.0,177
2024,0,35450,Patrick Cantlay,163.6,800869.0,136
2024,0,32366,Kevin Chappell,163.6,683071.0,116
2024,0,29420,Billy Horschel,163.6,959838.0,163
2024,0,35506,Mackenzie Hughes,163.7,1119966.0,190
2024,0,40006,Erik van Rooyen,163.8,1008321.0,171
2024,0,50493,Justin Suh,163.9,1067833.0,181
2024,0,48117,Kurt Kitayama,164.0,873785.0,148
2024,0,56630,Akshay Bhatia,164.1,1128148.0,191
2024,0,47993,Denny McCarthy,164.2,1076032.0,182
2024,0,27064,Jhonattan Vegas,164.3,863531.0,146
2024,0,24502,Adam Scott,164.4,876157.0,148
2024,0,34099,Harris English,164.5,1095384.0,185
2024,0,37275,Sam Ryder,164.5,1078010.0,182
2024,0,55708,Hayden Buckley,164.9,1062903.0,179
2024,0,39997,Corey Conners,164.9,1151913.0,194
2024,0,29221,Webb Simpson,164.9,831172.0,140
2024,0,52215,Robert MacIntyre,165.0,831797.0,140
2024,0,32333,Kevin Tway,165.0,700935.0,118
2024,0,45157,Cam Davis,165.1,1277869.0,215
2024,0,39327,Ben Silverman,165.1,939255.0,158
2024,0,57362,Austin Eckroat,165.3,1285375.0,216
2024,0,35310,Lanto Griffin,165.3,981589.0,165
2024,0,48887,Matt Wallace,165.3,868921.0,146
2024,0,59442,Parker Coody,165.4,774085.0,130
2024,0,26476,Chez Reavie,165.4,881281.0,148
2024,0,23108,Matt Kuchar,165.5,1007167.0,169
2024,0,54783,Dylan Wu,165.5,1090129.0,183
2024,0,47591,Eric Cole,165.7,1449113.0,243
2024,0,40026,Daniel Berger,166.0,908384.0,152
2024,0,32367,Jorge Campillo,166.0,675406.0,113
2024,0,34076,Joel Dahmen,166.0,1129187.0,189
2024,0,51287,Ryo Hisatsune,166.1,1028426.0,172
2024,0,48319,Tom Whitney,166.2,951395.0,159
2024,0,29725,Tony Finau,166.3,1017730.0,170
2024,0,28252,Seamus Power,166.3,1239294.0,207
2024,0,58168,Davis Thompson,166.4,1138466.0,190
2024,0,52513,Carson Young,166.4,1191876.0,199
2024,0,52374,Brandon Wu,166.7,1038440.0,173
2024,0,34563,Chesson Hadley,166.8,978575.0,163
2024,0,33204,Shane Lowry,166.8,960522.0,160
2024,0,25493,Nick Taylor,166.8,1176657.0,196
2024,0,27649,Brandt Snedeker,166.9,1003682.0,167
2024,0,28420,Ryan Brehm,167.4,922175.0,153
2024,0,54628,Lee Hodges,167.5,1302668.0,216
2024,0,46340,Alex Smalley,167.5,952776.0,158
