YEAR,MOVEMENT,PLAYER_ID,PLAYER,CAREER BEST STREAK,BEST YTD STREAK
2024,0,46046,Scottie Scheffler,28,28
2024,0,56630,Akshay Bhatia,27,15
2024,0,1948,Tim Petrovic,26,0
2024,0,2104,Jeff Sluman,23,0
2024,0,40006,Erik van Rooyen,23,15
2024,0,47128,Richy Werenski,23,4
2024,0,23135,Tim Clark,22,0
2024,0,1226,Fred Couples,22,0
2024,0,46717,Viktor Hovland,22,7
2024,0,10585,Scott McCarron,22,0
2024,0,20098,Stuart Appleby,21,0
2024,0,35450,Patrick Cantlay,21,7
2024,0,1320,Bob Estes,21,0
2024,0,32839,Hideki Matsuyama,21,12
2024,0,2239,Scott Verplank,21,0
2024,0,1098,Jay Don Blake,20,0
2024,0,34099,Harris English,20,9
2024,0,52375,Doug Ghim,20,12
2024,0,2101,Joey Sindelar,20,0
2024,0,60004,Jacob Bridgeman,19,19
2024,0,32200,Roberto Castro,19,0
2024,0,23541,Ben Crane,19,1
2024,0,39067,MJ Daffue,19,4
2024,0,6621,Joe Durant,19,0
2024,0,24924,Bill Haas,19,6
2024,0,12660,Jesper Parnevik,19,0
2024,0,1958,Dan Pohl,19,0
2024,0,34046,Jordan Spieth,19,8
2024,0,8931,Glen Day,18,0
2024,0,6251,Chris DiMarco,18,0
2024,0,20157,Retief Goosen,18,0
2024,0,21961,Charles Howell III,18,0
2024,0,27936,Martin Laird,18,10
2024,0,26596,Ryan Moore,18,11
2024,0,1920,Craig Parry,18,0
2024,0,24361,Pat Perez,18,0
2024,0,29221,Webb Simpson,18,4
2024,0,21528,Henrik Stenson,18,0
2024,0,23325,Vaughn Taylor,18,0
2024,0,40026,Daniel Berger,17,10
2024,0,47504,Sam Burns,17,16
2024,0,24925,Jonathan Byrd,17,5
2024,0,23638,Brendon de Jonge,17,0
2024,0,47959,Bryson DeChambeau,17,7
2024,0,23983,Luke Donald,17,2
2024,0,1346,Ed Fiori,17,0
2024,0,1475,Donnie Hammond,17,0
2024,0,8075,Jerry Kelly,17,0
2024,0,30926,Chris Kirk,17,7
2024,0,33122,Russell Knox,17,4
