YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
2021,1,0,35104,Tom Lewis,4.0,4,1
2021,1,0,34256,Andrew Putnam,4.0,4,1
2021,3,0,48081,Xander Schauffele,4.267,64,15
2021,4,0,35310,Lanto Griffin,4.4,66,15
2021,4,0,24502,Adam Scott,4.4,66,15
2021,6,0,27644,Brian Harman,4.455,49,11
2021,7,0,34099,Harris English,4.467,67,15
2021,8,0,19846,Brian Gay,4.5,18,4
2021,8,0,34174,John Huh,4.5,27,6
2021,8,0,36689,Brooks Koepka,4.5,45,10
2021,8,0,46046,Scottie Scheffler,4.5,63,14
2021,8,0,25493,Nick Taylor,4.5,18,4
2021,13,0,45486,Joaquin Niemann,4.533,68,15
2021,13,0,46970,Jon Rahm,4.533,68,15
2021,15,0,25364,Paul Casey,4.545,50,11
2021,15,0,28237,Rory McIlroy,4.545,50,11
2021,17,0,47959,Bryson DeChambeau,4.6,69,15
2021,17,0,35532,Tom Hoge,4.6,46,10
2021,17,0,27936,Martin Laird,4.6,46,10
2021,20,0,29974,Branden Grace,4.636,51,11
2021,20,0,30944,Jason Kokrak,4.636,51,11
2021,20,0,1810,Phil Mickelson,4.636,51,11
2021,20,0,26329,Louis Oosthuizen,4.636,51,11
2021,20,0,35891,Cameron Smith,4.636,51,11
2021,20,0,25804,Bubba Watson,4.636,51,11
2021,26,0,40026,Daniel Berger,4.667,70,15
2021,26,0,47504,Sam Burns,4.667,28,6
2021,26,0,51766,Wyndham Clark,4.667,28,6
2021,26,0,39971,Sungjae Im,4.667,70,15
2021,26,0,50525,Collin Morikawa,4.667,70,15
2021,26,0,37275,Sam Ryder,4.667,28,6
2021,32,0,12716,Charley Hoffman,4.7,47,10
2021,33,0,24024,Zach Johnson,4.714,33,7
2021,34,0,26499,Rafa Cabrera Bello,4.727,52,11
2021,34,0,40098,Matt Fitzpatrick,4.727,52,11
2021,34,0,37455,Si Woo Kim,4.727,52,11
2021,34,0,23320,Ryan Palmer,4.727,52,11
2021,34,0,49771,J.T. Poston,4.727,52,11
2021,34,0,24138,Ian Poulter,4.727,52,11
2021,34,0,29221,Webb Simpson,4.727,52,11
2021,41,0,35450,Patrick Cantlay,4.733,71,15
2021,41,0,21209,Sergio Garcia,4.733,71,15
2021,41,0,33448,Justin Thomas,4.733,71,15
2021,44,0,34431,Robert Streb,4.75,19,4
2021,44,0,34264,Hudson Swafford,4.75,19,4
2021,46,0,20229,Stewart Cink,4.786,67,14
2021,47,0,29970,Dylan Frittelli,4.8,48,10
2021,47,0,35506,Mackenzie Hughes,4.8,72,15
2021,47,0,30925,Dustin Johnson,4.8,72,15
2021,47,0,33667,Carlos Ortiz,4.8,48,10
2021,47,0,34360,Patrick Reed,4.8,72,15
2021,47,0,32150,Michael Thompson,4.8,24,5
2021,47,0,47128,Richy Werenski,4.8,24,5
2021,54,0,45526,Abraham Ancer,4.818,53,11
2021,54,0,52372,Cameron Champ,4.818,53,11
2021,54,0,56278,Matthew Wolff,4.818,53,11
