YEAR,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
2024,0,36871,Matt NeSmith,38,0,2,6,2024040
2024,0,35532,Tom Hoge,36,0,1,16,2024280
2024,0,48319,Tom Whitney,32,4,2,9,2024090
2024,0,23108,Matt Kuchar,30,1,1,11,2024350
2024,0,60067,Joe Highsmith,28,5,2,9,2024450
2024,0,59143,Mac Meissner,28,1,3,6,2024440
2024,0,49947,Taylor Moore,28,5,1,13,2024040
2024,0,34256,Andrew Putnam,28,6,3,12,2024010
2024,0,55182,Tom Kim,27,6,2,5,2024280
2024,0,37378,Min Woo Lee,27,0,1,7,2024410
2024,0,52513,Carson Young,27,11,1,16,2024470
2024,0,57330,Matthis Besard,26,2,1,5,2024310
2024,0,52375,Doug Ghim,26,3,2,9,2024450
2024,0,47988,Nick Hardy,26,3,4,14,2024430
2024,0,36699,Patrick Rodgers,26,1,4,17,2024480
2024,0,49771,J.T. Poston,25,25,3,3,2024490
2024,0,26499,Rafa Cabrera Bello,24,0,1,2,2024310
2024,0,34021,Bud Cauley,24,0,2,15,2024410
2024,0,56149,Wilson Furr,24,3,4,2,2024440
2024,0,51287,Ryo Hisatsune,24,0,1,3,2024300
2024,0,30926,Chris Kirk,24,0,4,16,2024400
2024,0,27936,Martin Laird,24,6,4,9,2024060
2024,0,39327,Ben Silverman,24,1,2,17,2024200
2024,0,57366,Cameron Young,24,2,4,6,2024370
2024,0,56630,Akshay Bhatia,23,2,1,9,2024290
2024,0,66417,Blades Brown,23,1,3,12,2024210
2024,0,39997,Corey Conners,23,0,3,7,2024010
2024,0,54628,Lee Hodges,23,2,2,15,2024410
2024,0,47679,Victor Perez,23,0,2,13,2024320
2024,0,46414,Aaron Rai,23,3,1,1,2024290
2024,0,46046,Scottie Scheffler,23,6,3,9,2024010
2024,0,50095,Austin Smotherman,23,3,1,14,2024430
2024,0,39324,J.J. Spaun,23,0,4,3,2024370
2024,0,25900,Lucas Glover,22,6,4,17,2024430
2024,0,32791,K.H. Lee,22,1,4,4,2024450
2024,0,32839,Hideki Matsuyama,22,0,2,11,2024060
2024,0,39546,Keith Mitchell,22,2,3,8,2024090
2024,0,47983,Chad Ramey,22,6,2,1,2024470
2024,0,40026,Daniel Berger,21,11,1,13,2024470
2024,0,40058,Zac Blair,21,8,2,9,2024480
2024,0,34255,Joseph Bramlett,21,0,1,18,2024440
2024,0,28420,Ryan Brehm,21,2,1,18,2024470
2024,0,48084,Wesley Bryan,21,2,4,12,2024470
2024,0,55708,Hayden Buckley,21,2,3,12,2024290
2024,0,32367,Jorge Campillo,21,3,2,5,2024320
2024,0,32366,Kevin Chappell,21,1,1,11,2024410
2024,0,59836,Pierceson Coody,21,2,3,5,2024410
2024,0,51696,Rico Hoey,21,0,3,12,2024440
2024,0,35506,Mackenzie Hughes,21,0,4,10,2024430
2024,0,36799,Stephan Jaeger,21,1,2,13,2024280
2024,0,28775,Nate Lashley,21,4,4,13,2024120
2024,0,30163,Henrik Norlander,21,6,2,6,2024470
2024,0,29908,C.T. Pan,21,1,2,11,2024300
2024,0,57900,Chandler Phillips,21,0,4,17,2024430
2024,0,46340,Alex Smalley,21,1,3,18,2024440
2024,0,52666,Sami Valimaki,21,0,4,1,2024060
2024,0,40006,Erik van Rooyen,21,2,2,8,2024320
2024,0,48887,Matt Wallace,21,0,2,4,2024200
2024,0,24925,Jonathan Byrd,20,3,3,4,2024490
2024,0,35450,Patrick Cantlay,20,1,4,7,2024010
2024,0,34076,Joel Dahmen,20,1,2,11,2024300
2024,0,59866,Nick Dunlap,20,0,4,12,2024280
2024,0,29725,Tony Finau,20,1,4,5,2024140
2024,0,54576,Patrick Fishburn,20,6,2,13,2024450
2024,0,35310,Lanto Griffin,20,7,1,9,2024080
2024,0,35461,Beau Hossler,20,0,1,10,2024440
2024,0,47420,Jake Knapp,20,3,2,2,2024200
2024,0,35879,Kelly Kraft,20,0,1,12,2024490
2024,0,58696,Peter Kuest,20,5,2,6,2024170
2024,0,46442,Maverick McNealy,20,4,3,7,2024470
2024,0,32640,Troy Merritt,20,4,2,17,2024290
2024,0,29289,S.Y. Noh,20,5,2,4,2024440
2024,0,51997,Andrew Novak,20,5,3,6,2024130
2024,0,25818,Scott Piercy,20,0,4,4,2024350
2024,0,26476,Chez Reavie,20,0,2,11,2024310
2024,0,47347,Adam Schenk,20,0,3,5,2024010
2024,0,39113,Shubhankar Sharma,20,4,1,1,2024320
2024,0,50484,Hayden Springer,20,2,2,15,2024290
2024,0,30927,Brendon Todd,20,4,1,6,2024280
2024,0,27064,Jhonattan Vegas,20,0,4,6,2024290
2024,0,52955,Ludvig Åberg,19,2,3,1,2024280
2024,0,32070,Rafael Campos,19,4,2,16,2024350
2024,0,66743,Luke Clanton,19,0,2,16,2024290
2024,0,45157,Cam Davis,19,1,3,4,2024350
2024,0,51349,Nico Echavarria,19,0,3,11,2024370
2024,0,54591,Ben Griffin,19,2,2,12,2024020
2024,0,54869,Chase Johnson,19,0,2,12,2024170
2024,0,48117,Kurt Kitayama,19,8,2,8,2024450
2024,0,32757,Patton Kizzire,19,10,1,17,2024430
2024,0,36884,Ben Kohles,19,5,1,17,2024100
2024,0,48081,Xander Schauffele,19,1,1,2,2024010
2024,0,63807,Neal Shipley,19,0,3,3,2024450
2024,0,51890,Greyson Sigg,19,1,4,16,2024440
2024,0,30692,Scott Stallings,19,3,4,18,2024020
2024,0,27214,Kevin Streelman,19,4,1,6,2024250
2024,0,48699,Callum Tarren,19,0,4,9,2024290
2024,0,25493,Nick Taylor,19,2,2,4,2024010
2024,0,51634,Sahith Theegala,19,6,3,11,2024010
2024,0,33141,Keegan Bradley,18,1,2,5,2024010
2024,0,60004,Jacob Bridgeman,18,3,4,9,2024250
2024,0,51766,Wyndham Clark,18,0,1,15,2024010
2024,0,52514,Trace Crowe,18,4,1,16,2024300
2024,0,28089,Jason Day,18,3,1,7,2024010
2024,0,50497,Adrien Dumont de Chassart,18,0,3,18,2024490
2024,0,30911,Tommy Fleetwood,18,14,2,18,2024320
2024,0,59095,Chris Gotterup,18,1,1,13,2024370
2024,0,57975,Harry Hall,18,7,3,1,2024100
2024,0,46717,Viktor Hovland,18,3,4,4,2024230
2024,0,37455,Si Woo Kim,18,3,1,17,2024010
2024,0,36326,David Lipsky,18,0,1,9,2024290
2024,0,40162,Justin Lower,18,0,4,11,2024350
2024,0,52215,Robert MacIntyre,18,9,1,17,2024080
2024,0,33199,Matteo Manassero,18,0,1,16,2024320
2024,0,46113,Ryan McCormick,18,1,1,11,2024450
2024,0,50525,Collin Morikawa,18,0,1,9,2024400
2024,0,40250,Taylor Pendrith,18,10,2,10,2024290
2024,0,48867,Matti Schmid,18,1,4,12,2024440
2024,0,46441,Robby Shelton,18,4,2,4,2024470
2024,0,34046,Jordan Spieth,18,0,1,4,2024010
2024,0,57364,Michael Thorbjornsen,18,3,3,12,2024490
2024,0,51894,Vince Whaley,18,0,2,11,2024490
2024,0,54783,Dylan Wu,18,1,2,18,2024310
2024,0,54328,Norman Xiong,18,1,3,7,2024440
2024,0,45242,Kevin Yu,18,0,2,11,2024050
2024,0,33948,Byeong Hun An,17,0,3,8,2024010
2024,0,66742,Jackson Buchanan,17,2,2,7,2024270
2024,0,47591,Eric Cole,17,1,3,3,2024490
2024,0,47663,Kevin Dougherty,17,3,1,5,2024440
2024,0,45609,Tyler Duncan,17,1,4,17,2024440
2024,0,32102,Rickie Fowler,17,8,1,18,2024010
2024,0,31646,Emiliano Grillo,17,0,4,14,2024060
2024,0,34563,Chesson Hadley,17,0,1,4,2024040
2024,0,27644,Brian Harman,17,3,1,14,2024010
2024,0,39971,Sungjae Im,17,2,4,15,2024280
2024,0,34587,Chan Kim,17,1,1,5,2024440
2024,0,39975,Michael Kim,17,2,1,1,2024290
2024,0,35296,Haotong Li,17,0,3,16,2024320
2024,0,33204,Shane Lowry,17,6,2,9,2024090
2024,0,24140,Sean O'Hair,17,0,2,11,2024410
2024,0,28252,Seamus Power,17,0,1,8,2024440
2024,0,22405,Justin Rose,17,0,3,5,2024010
2024,0,37275,Sam Ryder,17,0,1,6,2024480
2024,0,23481,Marcel Siem,17,0,1,9,2024320
2024,0,55893,Sam Stevens,17,6,2,10,2024210
2024,0,49960,Sepp Straka,17,2,2,5,2024010
2024,0,58168,Davis Thompson,17,5,4,9,2024450
2024,0,38991,Alejandro Tosti,17,0,2,4,2024430
2024,0,32333,Kevin Tway,17,2,3,8,2024490
2024,0,27095,Nick Watney,17,1,1,5,2024480
2024,0,33408,Tyson Alexander,16,6,3,18,2024090
2024,0,52372,Cameron Champ,16,0,3,18,2024350
2024,0,20229,Stewart Cink,16,1,2,4,2024250
2024,0,33653,Thomas Detry,16,1,2,13,2024080
2024,0,51680,Alistair Docherty,16,3,2,12,2024210
2024,0,34099,Harris English,16,0,4,5,2024010
2024,0,57593,Ian Gilligan,16,1,3,14,2024450
2024,0,60767,Blaine Hale Jr.,16,1,1,4,2024410
2024,0,54421,Garrick Higgo,16,3,2,2,2024440
2024,0,36801,Mark Hubbard,16,0,3,2,2024450
2024,0,24024,Zach Johnson,16,1,2,10,2024200
2024,0,33122,Russell Knox,16,1,2,4,2024310
2024,0,27129,Luke List,16,8,2,15,2024040
2024,0,35449,Adam Long,16,4,2,17,2024150
2024,0,34466,Peter Malnati,16,0,1,15,2024430
2024,0,47993,Denny McCarthy,16,11,4,13,2024380
2024,0,25198,Francesco Molinari,16,0,1,14,2024090
2024,0,26596,Ryan Moore,16,1,4,16,2024290
2024,0,49228,Keita Nakajima,16,2,1,1,2024320
2024,0,27349,Alex Noren,16,0,2,18,2024230
2024,0,33968,Thorbjørn Olesen,16,7,2,5,2024200
2024,0,27330,Josh Teater,16,2,1,6,2024480
2024,0,52374,Brandon Wu,16,0,2,18,2024470
2024,0,22371,Aaron Baddeley,15,1,3,10,2024470
2024,0,34374,Erik Barnes,15,3,2,16,2024200
