YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
2023,0,36699,Patrick Rodgers,22.45%,260,1158,-0.204
2023,0,33653,Thomas Detry,22.16%,207,934,-0.304
2023,0,46717,Viktor Hovland,22.13%,216,976,-0.25
2023,0,55893,Sam Stevens,22.05%,254,1152,-0.272
2023,0,39977,Max Homa,21.56%,232,1076,-0.259
2023,0,36724,Augusto Núñez,21.46%,173,806,-0.237
2023,0,58168,Davis Thompson,21.45%,260,1212,-0.162
2023,0,33448,Justin Thomas,21.35%,199,932,-0.226
2023,0,45157,Cam Davis,21.33%,238,1116,-0.164
2023,0,39058,Lucas Herbert,21.17%,141,666,-0.177
2023,0,32662,Michael Gligic,20.50%,148,722,-0.223
2023,0,32333,Kevin Tway,20.47%,228,1114,-0.294
2023,0,48117,Kurt Kitayama,20.29%,155,764,-0.239
2023,0,34363,Tyrrell Hatton,19.78%,182,920,-0.214
2023,0,20229,Stewart Cink,19.65%,180,916,-0.228
2023,0,47988,Nick Hardy,19.60%,243,1240,-0.235
2023,0,58967,Trevor Werbylo,19.53%,157,804,-0.274
2023,0,29970,Dylan Frittelli,19.44%,159,818,-0.226
2023,0,34046,Jordan Spieth,19.44%,168,864,-0.19
2023,0,12716,Charley Hoffman,19.42%,155,798,-0.245
2023,0,48887,Matt Wallace,19.01%,176,926,-0.239
2023,0,25632,Jimmy Walker,18.98%,200,1054,-0.175
2023,0,40098,Matt Fitzpatrick,18.71%,165,882,-0.236
2023,0,40006,Erik van Rooyen,18.63%,144,773,-0.403
2023,0,30692,Scott Stallings,18.55%,174,938,-0.172
2023,0,33141,Keegan Bradley,18.30%,172,940,-0.285
2023,0,48081,Xander Schauffele,17.65%,152,861,-0.296
2023,0,51634,Sahith Theegala,17.47%,210,1202,-0.314
2023,0,49947,Taylor Moore,17.41%,196,1126,-0.245
2023,0,39997,Corey Conners,17.30%,182,1052,-0.275
2023,0,36799,Stephan Jaeger,17.29%,257,1486,-0.284
2023,0,29725,Tony Finau,17.26%,175,1014,-0.263
2023,0,56630,Akshay Bhatia,17.16%,139,810,-0.209
2023,0,32102,Rickie Fowler,17.14%,193,1126,-0.295
2023,0,48119,Ben Taylor,16.92%,199,1176,-0.216
2023,0,35461,Beau Hossler,16.58%,203,1224,-0.256
2023,0,50188,S.H. Kim,16.47%,222,1348,-0.324
2023,0,37338,Zecheng Dou,16.32%,172,1054,-0.285
2023,0,55708,Hayden Buckley,16.30%,148,908,-0.155
2023,0,47995,Davis Riley,16.25%,171,1052,-0.257
2023,0,55789,Taylor Montgomery,16.24%,192,1182,-0.339
2023,0,32791,K.H. Lee,15.94%,182,1142,-0.28
2023,0,28252,Seamus Power,15.57%,142,912,-0.148
2023,0,32366,Kevin Chappell,15.54%,78,502,-0.269
2023,0,39335,Kevin Roy,15.49%,114,736,-0.342
2023,0,28089,Jason Day,15.39%,137,890,-0.255
2023,0,47347,Adam Schenk,15.25%,208,1364,-0.221
2023,0,46442,Maverick McNealy,15.24%,103,676,-0.447
2023,0,33408,Tyson Alexander,15.02%,146,972,-0.295
2023,0,39975,Michael Kim,14.88%,142,954,-0.113
2023,0,48084,Wesley Bryan,14.81%,64,432,-0.125
2023,0,35617,Martin Trainer,14.66%,78,532,-0.269
2023,0,57975,Harry Hall,14.52%,149,1026,-0.322
2023,0,29420,Billy Horschel,14.50%,107,738,-0.206
2023,0,33597,Harry Higgs,14.29%,118,826,-0.229
2023,0,39954,Cody Gribble,14.22%,99,696,-0.343
2023,0,31577,Tano Goya,13.86%,125,902,-0.312
2023,0,46340,Alex Smalley,13.76%,178,1294,-0.275
2023,0,23320,Ryan Palmer,13.66%,124,908,-0.315
2023,0,34563,Chesson Hadley,13.64%,149,1092,-0.248
2023,0,30911,Tommy Fleetwood,13.60%,117,860,-0.308
2023,0,32839,Hideki Matsuyama,13.60%,133,978,-0.18
2023,0,39971,Sungjae Im,13.53%,161,1190,-0.292
2023,0,55182,Tom Kim,13.30%,141,1060,-0.312
2023,0,25686,Jason Dufner,13.28%,128,964,-0.328
2023,0,29289,S.Y. Noh,13.28%,85,640,-0.271
2023,0,57362,Austin Eckroat,13.21%,131,992,-0.252
2023,0,50095,Austin Smotherman,13.02%,147,1129,-0.238
2023,0,34466,Peter Malnati,12.81%,136,1062,-0.228
2023,0,51997,Andrew Novak,12.66%,120,948,-0.3
2023,0,32757,Patton Kizzire,12.24%,142,1160,-0.296
2023,0,49771,J.T. Poston,12.19%,146,1198,-0.288
2023,0,34076,Joel Dahmen,12.15%,123,1012,-0.325
2023,0,35310,Lanto Griffin,12.10%,76,628,-0.316
2023,0,31646,Emiliano Grillo,11.99%,147,1226,-0.218
2023,0,39324,J.J. Spaun,11.92%,139,1166,-0.266
2023,0,47128,Richy Werenski,11.88%,119,1002,-0.218
2023,0,27644,Brian Harman,11.82%,130,1100,-0.192
2023,0,47983,Chad Ramey,11.80%,147,1246,-0.184
2023,0,33204,Shane Lowry,11.79%,92,780,-0.337
2023,0,35506,Mackenzie Hughes,11.72%,116,990,-0.155
2023,0,49960,Sepp Straka,11.41%,123,1078,-0.268
2023,0,54591,Ben Griffin,11.38%,142,1248,-0.246
2023,0,34431,Robert Streb,11.20%,97,866,-0.247
2023,0,27349,Alex Noren,11.17%,113,1012,-0.265
2023,0,47591,Eric Cole,11.11%,168,1512,-0.298
2023,0,59018,Ryan Gerard,11.06%,75,678,-0.213
2023,0,37455,Si Woo Kim,10.95%,131,1196,-0.237
2023,0,54628,Lee Hodges,10.52%,130,1236,-0.3
2023,0,32448,James Hahn,10.44%,100,958,-0.21
2023,0,27214,Kevin Streelman,10.44%,123,1178,-0.179
2023,0,45609,Tyler Duncan,10.42%,115,1104,-0.261
2023,0,29221,Webb Simpson,10.30%,76,738,-0.368
2023,0,52375,Doug Ghim,10.27%,106,1032,-0.283
2023,0,32640,Troy Merritt,10.25%,100,976,-0.23
2023,0,50525,Collin Morikawa,10.25%,89,868,-0.27
2023,0,40115,Adam Svensson,10.21%,147,1440,-0.238
2023,0,35532,Tom Hoge,10.19%,121,1188,-0.264
2023,0,28775,Nate Lashley,10.05%,118,1174,-0.203
2023,0,50493,Justin Suh,9.44%,127,1346,-0.268
2023,0,30926,Chris Kirk,9.42%,100,1062,-0.27
2023,0,49298,Kramer Hickok,9.38%,102,1088,-0.324
2023,0,54783,Dylan Wu,9.31%,102,1096,-0.333
2023,0,27095,Nick Watney,9.27%,71,766,-0.113
2023,0,24140,Sean O'Hair,9.07%,39,430,-0.256
2023,0,47993,Denny McCarthy,9.02%,110,1220,-0.391
2023,0,49766,Hank Lebioda,8.93%,52,582,-0.192
2023,0,25493,Nick Taylor,8.93%,93,1042,-0.29
2023,0,25900,Lucas Glover,8.86%,99,1118,-0.293
2023,0,51890,Greyson Sigg,8.86%,110,1242,-0.2
2023,0,29908,C.T. Pan,8.76%,48,548,-0.292
2023,0,27974,Sung Kang,8.72%,38,436,-0.211
2023,0,36871,Matt NeSmith,8.70%,102,1172,-0.304
2023,0,25818,Scott Piercy,8.50%,83,976,-0.241
2023,0,34098,Russell Henley,8.24%,84,1020,-0.202
2023,0,51349,Nico Echavarria,8.16%,62,760,-0.113
2023,0,53165,Doc Redman,8.05%,75,932,-0.227
2023,0,33413,Ben Martin,8.03%,89,1108,-0.258
2023,0,37275,Sam Ryder,7.99%,98,1226,-0.214
2023,0,30163,Henrik Norlander,7.91%,75,948,-0.16
2023,0,52374,Brandon Wu,7.70%,91,1182,-0.198
2023,0,34099,Harris English,7.63%,87,1140,-0.218
2023,0,47079,Harrison Endycott,7.59%,72,948,-0.389
2023,0,32139,Danny Willett,7.58%,56,739,-0.286
2023,0,33399,Adam Hadwin,7.54%,85,1128,-0.294
2023,0,46414,Aaron Rai,7.50%,91,1214,-0.275
2023,0,40162,Justin Lower,7.32%,82,1120,-0.305
2023,0,51950,Max McGreevy,7.30%,65,890,-0.231
2023,0,52513,Carson Young,7.28%,76,1044,-0.158
2023,0,34610,Matthias Schwab,6.91%,78,1128,-0.192
2023,0,24925,Jonathan Byrd,6.78%,35,516,-0.057
2023,0,31557,Jim Herman,6.69%,58,867,-0.138
2023,0,36801,Mark Hubbard,6.68%,83,1243,-0.301
2023,0,22405,Justin Rose,6.28%,47,748,-0.362
2023,0,45522,Christiaan Bezuidenhout,6.25%,69,1104,-0.217
2023,0,46441,Robby Shelton,6.15%,71,1154,-0.254
2023,0,22056,Cameron Percy,6.07%,38,626,-0.395
2023,0,27936,Martin Laird,6.03%,57,946,-0.333
2023,0,23108,Matt Kuchar,5.96%,66,1108,-0.303
2023,0,32816,Satoshi Kodaira,5.69%,34,598,-0.176
2023,0,35449,Adam Long,5.68%,68,1198,-0.368
2023,0,33410,Andrew Landry,5.67%,50,882,-0.16
2023,0,36326,David Lipsky,5.60%,63,1124,-0.19
2023,0,26476,Chez Reavie,5.54%,66,1192,-0.303
2023,0,27963,Chris Stroud,4.55%,26,572,-0.269
2023,0,35879,Kelly Kraft,4.52%,46,1018,-0.348
2023,0,26596,Ryan Moore,4.36%,39,894,-0.308
2023,0,33122,Russell Knox,4.27%,50,1172,-0.1
2023,0,29535,Brice Garnett,4.20%,37,880,-0.405
2023,0,24024,Zach Johnson,4.11%,32,778,-0.281
2023,0,46435,Austin Cook,3.61%,28,776,-0.357
2023,0,31202,William McGirt,3.47%,18,518,-0.333
2023,0,35901,Paul Haley II,3.34%,32,958,-0.281
2023,0,19803,Ryan Armour,3.23%,30,928,-0.2
2023,0,34256,Andrew Putnam,3.14%,39,1244,-0.051
2023,0,30927,Brendon Todd,3.06%,37,1208,-0.243
2023,0,22371,Aaron Baddeley,2.92%,24,822,-0.375
2023,0,34409,David Lingmerth,1.84%,15,817,-0.067
2023,0,40058,Zac Blair,1.72%,15,874,-0.333
2023,0,31560,Brian Stuard,1.43%,10,698,-0.5
2022,0,57366,Cameron Young,37.24,365,980,-0.211
2022,0,28237,Rory McIlroy,37.02,268,724,-0.321
2022,0,34255,Joseph Bramlett,36.53,339,928,-0.189
2022,0,46550,Brandon Hagy,34.26,283,826,-0.226
2022,0,52372,Cameron Champ,33.9,221,652,-0.24
2022,0,46970,Jon Rahm,33.25,256,770,-0.289
2022,0,51766,Wyndham Clark,32.82,340,1036,-0.182
2022,0,40250,Taylor Pendrith,31.67,261,824,-0.291
2022,0,36689,Brooks Koepka,31.62,172,544,-0.221
2022,0,46601,Trey Mullinax,31.47,287,912,-0.251
2022,0,56278,Matthew Wolff,30.87,163,528,-0.166
2022,0,48699,Callum Tarren,29.68,222,748,-0.252
2022,0,47483,Will Zalatoris,29.32,234,798,-0.222
2022,0,27129,Luke List,28.59,255,892,-0.192
2022,0,27064,Jhonattan Vegas,25.68,209,814,-0.215
2022,0,45157,Cam Davis,25.52,272,1066,-0.232
2022,0,33448,Justin Thomas,25.41,216,850,-0.278
2022,0,47856,Seth Reeves,25.29,172,680,-0.163
2022,0,48117,Kurt Kitayama,25.08,160,638,-0.256
2022,0,32366,Kevin Chappell,24.35,150,616,-0.14
2022,0,47504,Sam Burns,24.32,233,958,-0.326
2022,0,12716,Charley Hoffman,23.82,192,806,-0.25
2022,0,46046,Scottie Scheffler,23.58,216,916,-0.329
2022,0,29725,Tony Finau,23.28,230,988,-0.313
2022,0,45486,Joaquin Niemann,22.84,185,810,-0.351
2022,0,54421,Garrick Higgo,22.76,122,536,-0.09
2022,0,34046,Jordan Spieth,22.61,194,858,-0.242
2022,0,26300,Matt Jones,22.55,161,714,-0.335
2022,0,46717,Viktor Hovland,22.45,176,784,-0.148
2022,0,24502,Adam Scott,22.44,197,878,-0.315
2022,0,48081,Xander Schauffele,22.43,179,798,-0.352
2022,0,35617,Martin Trainer,22.31,191,856,-0.183
2022,0,36699,Patrick Rodgers,21.92,210,958,-0.262
2022,0,35450,Patrick Cantlay,21.86,160,732,-0.325
2022,0,39977,Max Homa,21.73,213,980,-0.347
2022,0,39058,Lucas Herbert,21.63,122,564,-0.156
2022,0,31323,Gary Woodland,21.45,166,774,-0.295
2022,0,30944,Jason Kokrak,20.93,149,712,-0.255
2022,0,39546,Keith Mitchell,20.9,209,1000,-0.282
2022,0,37212,Paul Barjon,20.69,180,870,-0.222
2022,0,37189,Harold Varner III,20.66,163,789,-0.288
2022,0,45540,Jared Wolfe,20.49,134,654,-0.284
2022,0,32333,Kevin Tway,20.17,188,932,-0.213
2022,0,30692,Scott Stallings,20.07,234,1166,-0.222
2022,0,10381,Curtis Thompson,20.07,122,608,-0.221
2022,0,35461,Beau Hossler,19.45,177,910,-0.215
2022,0,34264,Hudson Swafford,18.86,126,668,-0.31
2022,0,40098,Matt Fitzpatrick,18.83,125,664,-0.272
2022,0,29518,Brendan Steele,18.78,163,868,-0.178
2022,0,20229,Stewart Cink,18.66,172,922,-0.157
2022,0,21961,Charles Howell III,18.65,122,654,-0.27
2022,0,47988,Nick Hardy,18.53,116,626,-0.284
2022,0,32839,Hideki Matsuyama,18.45,148,802,-0.264
2022,0,51894,Vince Whaley,18.25,169,926,-0.272
2022,0,29970,Dylan Frittelli,18.15,184,1014,-0.114
2022,0,46442,Maverick McNealy,17.98,183,1018,-0.317
2022,0,29974,Branden Grace,17.94,108,602,-0.222
2022,0,33667,Carlos Ortiz,17.41,125,718,-0.208
2022,0,32102,Rickie Fowler,17.35,136,784,-0.272
2022,0,35891,Cameron Smith,17.3,118,682,-0.373
2022,0,51634,Sahith Theegala,17.2,226,1314,-0.252
2022,0,46340,Alex Smalley,16.89,175,1036,-0.286
2022,0,33141,Keegan Bradley,16.81,155,922,-0.194
2022,0,34363,Tyrrell Hatton,16.57,110,664,-0.3
2022,0,49964,Aaron Wise,16.29,174,1068,-0.264
2022,0,26851,Marc Leishman,15.99,141,882,-0.376
2022,0,50095,Austin Smotherman,15.86,138,870,-0.225
2022,0,33597,Harry Higgs,15.61,147,942,-0.177
2022,0,47995,Davis Riley,15.32,174,1136,-0.218
2022,0,33204,Shane Lowry,15.11,100,662,-0.31
2022,0,46402,Talor Gooch,14.94,115,770,-0.313
2022,0,28252,Seamus Power,14.86,123,828,-0.203
2022,0,23320,Ryan Palmer,14.8,103,696,-0.146
2022,0,31646,Emiliano Grillo,14.64,142,970,-0.394
2022,0,32791,K.H. Lee,14.4,174,1208,-0.195
