YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
2024,0,52372,Cameron Champ,36.80%,248,674,-0.185
2024,0,47663,Kevin Dougherty,35.61%,245,688,-0.269
2024,0,28237,Rory McIlroy,35.30%,305,864,-0.285
2024,0,33948,Byeong Hun An,32.72%,303,926,-0.201
2024,0,59095,Chris Gotterup,32.34%,294,909,-0.238
2024,0,40250,Taylor Pendrith,31.24%,308,986,-0.172
2024,0,38991,Alejandro Tosti,31.04%,262,844,-0.309
2024,0,37378,Min Woo Lee,29.41%,240,816,-0.192
2024,0,51766,Wyndham Clark,29.28%,253,864,-0.126
2024,0,34255,Joseph Bramlett,28.01%,279,996,-0.24
2024,0,56149,Wilson Furr,27.92%,177,634,-0.181
2024,0,59836,Pierceson Coody,27.38%,236,862,-0.271
2024,0,51977,Max Greyserman,26.05%,229,879,-0.271
2024,0,29936,Ryan Fox,26.00%,247,950,-0.215
2024,0,27064,Jhonattan Vegas,25.83%,217,840,-0.235
2024,0,50484,Hayden Springer,25.71%,199,774,-0.241
2024,0,51070,Vincent Norrman,24.80%,159,641,-0.145
2024,0,57366,Cameron Young,24.11%,243,1008,-0.222
2024,0,37212,Paul Barjon,23.93%,146,610,-0.281
2024,0,52955,Ludvig Åberg,23.59%,218,924,-0.243
2024,0,60767,Blaine Hale Jr.,23.57%,124,526,-0.202
2024,0,47504,Sam Burns,23.54%,218,926,-0.229
2024,0,54576,Patrick Fishburn,23.51%,182,774,-0.275
2024,0,48699,Callum Tarren,23.32%,187,802,-0.214
2024,0,39546,Keith Mitchell,23.29%,245,1052,-0.286
2024,0,36799,Stephan Jaeger,23.27%,236,1014,-0.182
2024,0,55454,Carl Yuan,23.19%,173,746,-0.306
2024,0,29725,Tony Finau,23.18%,229,988,-0.188
2024,0,48081,Xander Schauffele,23.17%,222,958,-0.275
2024,0,54421,Garrick Higgo,23.00%,201,874,-0.219
2024,0,31323,Gary Woodland,22.94%,228,994,-0.215
2024,0,52453,Nicolai Højgaard,21.86%,136,622,-0.11
2024,0,40006,Erik van Rooyen,21.72%,212,976,-0.34
2024,0,28420,Ryan Brehm,21.61%,137,634,-0.146
2024,0,46113,Ryan McCormick,21.38%,139,650,-0.324
2024,0,46340,Alex Smalley,21.22%,174,820,-0.282
2024,0,46046,Scottie Scheffler,21.08%,183,868,-0.279
2024,0,24502,Adam Scott,20.83%,180,864,-0.189
2024,0,55893,Sam Stevens,20.69%,228,1102,-0.285
2024,0,48117,Kurt Kitayama,20.58%,200,972,-0.16
2024,0,34046,Jordan Spieth,20.41%,180,882,-0.272
2024,0,33448,Justin Thomas,20.05%,166,828,-0.151
2024,0,48867,Matti Schmid,20.00%,174,870,-0.374
2024,0,45242,Kevin Yu,19.98%,183,916,-0.191
2024,0,52215,Robert MacIntyre,19.82%,172,868,-0.302
2024,0,51634,Sahith Theegala,19.80%,234,1182,-0.226
2024,0,46717,Viktor Hovland,19.37%,141,728,-0.184
2024,0,47420,Jake Knapp,19.27%,185,960,-0.216
2024,0,36699,Patrick Rodgers,19.17%,237,1236,-0.287
2024,0,51696,Rico Hoey,19.01%,176,926,-0.29
2024,0,51894,Vince Whaley,18.85%,141,748,-0.319
2024,0,47988,Nick Hardy,18.74%,199,1062,-0.296
2024,0,48084,Wesley Bryan,18.57%,91,490,-0.253
2024,0,33141,Keegan Bradley,18.37%,183,996,-0.262
2024,0,59866,Nick Dunlap,18.05%,161,892,-0.199
2024,0,27129,Luke List,17.72%,163,920,-0.202
2024,0,35450,Patrick Cantlay,17.70%,137,774,-0.212
2024,0,49947,Taylor Moore,17.59%,215,1222,-0.209
2024,0,32333,Kevin Tway,17.52%,110,628,-0.191
2024,0,58168,Davis Thompson,17.45%,193,1106,-0.29
2024,0,45157,Cam Davis,16.93%,170,1004,-0.229
2024,0,50497,Adrien Dumont de Chassart,16.67%,134,804,-0.149
2024,0,32070,Rafael Campos,16.61%,101,608,-0.218
2024,0,35310,Lanto Griffin,16.42%,132,804,-0.341
2024,0,57975,Harry Hall,16.16%,158,978,-0.354
2024,0,33653,Thomas Detry,16.07%,144,896,-0.153
2024,0,50188,S.H. Kim,15.89%,198,1246,-0.232
2024,0,39975,Michael Kim,15.71%,137,872,-0.343
2024,0,56630,Akshay Bhatia,15.70%,173,1102,-0.208
2024,0,39997,Corey Conners,15.66%,171,1092,-0.263
2024,0,32366,Kevin Chappell,15.61%,89,570,-0.348
2024,0,47995,Davis Riley,15.57%,151,970,-0.272
2024,0,60067,Joe Highsmith,15.55%,125,804,-0.384
2024,0,52514,Trace Crowe,15.53%,114,734,-0.228
2024,0,39977,Max Homa,15.49%,149,962,-0.195
2024,0,33408,Tyson Alexander,15.48%,131,846,-0.191
2024,0,47483,Will Zalatoris,15.44%,126,816,-0.119
2024,0,34563,Chesson Hadley,15.25%,129,846,-0.202
2024,0,40098,Matt Fitzpatrick,15.09%,131,868,-0.214
2024,0,30926,Chris Kirk,14.76%,139,942,-0.324
2024,0,39324,J.J. Spaun,14.65%,148,1010,-0.345
2024,0,32757,Patton Kizzire,14.63%,108,738,-0.407
2024,0,34587,Chan Kim,14.62%,143,978,-0.231
2024,0,28089,Jason Day,14.37%,119,828,-0.311
2024,0,59442,Parker Coody,14.20%,94,662,-0.096
2024,0,27139,David Skinns,14.18%,133,938,-0.271
2024,0,60004,Jacob Bridgeman,14.06%,117,832,-0.325
2024,0,59143,Mac Meissner,14.03%,126,898,-0.317
2024,0,34374,Erik Barnes,14.00%,85,607,-0.165
2024,0,48887,Matt Wallace,13.93%,112,804,-0.304
2024,0,50095,Austin Smotherman,13.64%,72,528,-0.236
2024,0,48119,Ben Taylor,13.60%,102,750,-0.225
2024,0,35617,Martin Trainer,13.56%,77,568,-0.026
2024,0,48153,Matthieu Pavon,13.38%,99,740,-0.121
2024,0,57362,Austin Eckroat,13.35%,145,1086,-0.166
2024,0,32839,Hideki Matsuyama,13.31%,119,894,-0.235
2024,0,47679,Victor Perez,13.04%,109,836,-0.257
2024,0,12716,Charley Hoffman,12.83%,108,842,-0.296
2024,0,29420,Billy Horschel,12.50%,116,928,-0.233
2024,0,35461,Beau Hossler,12.50%,137,1096,-0.328
2024,0,32791,K.H. Lee,12.38%,116,937,-0.422
2024,0,33968,Thorbjørn Olesen,12.23%,67,548,-0.313
2024,0,47591,Eric Cole,12.20%,163,1336,-0.227
2024,0,39971,Sungjae Im,12.09%,133,1100,-0.338
2024,0,46442,Maverick McNealy,12.03%,132,1097,-0.348
2024,0,34466,Peter Malnati,11.97%,113,944,-0.15
2024,0,40026,Daniel Berger,11.75%,98,834,-0.347
2024,0,47347,Adam Schenk,11.68%,132,1130,-0.212
2024,0,45609,Tyler Duncan,11.67%,91,780,-0.242
2024,0,49771,J.T. Poston,11.37%,123,1082,-0.285
2024,0,34099,Harris English,11.36%,124,1092,-0.298
2024,0,33204,Shane Lowry,11.36%,97,854,-0.155
2024,0,35506,Mackenzie Hughes,11.32%,132,1166,-0.326
2024,0,27330,Josh Teater,11.22%,59,526,-0.186
2024,0,51997,Andrew Novak,11.06%,117,1058,-0.35
2024,0,35532,Tom Hoge,10.96%,139,1268,-0.281
2024,0,27214,Kevin Streelman,10.96%,87,794,-0.425
2024,0,50525,Collin Morikawa,10.91%,105,962,-0.238
2024,0,37455,Si Woo Kim,10.89%,118,1084,-0.144
2024,0,30911,Tommy Fleetwood,10.83%,97,896,-0.268
2024,0,55182,Tom Kim,10.81%,109,1008,-0.294
2024,0,32102,Rickie Fowler,10.74%,102,950,-0.088
2024,0,23320,Ryan Palmer,10.57%,52,492,-0.231
2024,0,33399,Adam Hadwin,10.51%,104,990,-0.163
2024,0,48319,Tom Whitney,10.40%,72,692,-0.264
2024,0,49960,Sepp Straka,10.39%,96,924,-0.25
2024,0,55708,Hayden Buckley,10.19%,85,834,-0.118
2024,0,28252,Seamus Power,10.18%,126,1238,-0.349
2024,0,22405,Justin Rose,10.08%,75,744,-0.227
2024,0,30163,Henrik Norlander,10.00%,68,680,-0.471
2024,0,51349,Nico Echavarria,9.98%,97,972,-0.227
2024,0,36871,Matt NeSmith,9.98%,86,862,-0.279
2024,0,50493,Justin Suh,9.88%,85,860,-0.482
2024,0,33486,Roger Sloan,9.79%,73,746,-0.151
2024,0,34021,Bud Cauley,9.75%,69,708,-0.362
2024,0,27349,Alex Noren,9.74%,81,832,-0.296
2024,0,40115,Adam Svensson,9.55%,133,1392,-0.233
2024,0,34076,Joel Dahmen,9.39%,95,1012,-0.316
2024,0,29221,Webb Simpson,9.24%,63,682,-0.254
2024,0,52666,Sami Valimaki,9.18%,72,784,-0.25
2024,0,47983,Chad Ramey,9.14%,87,952,-0.322
2024,0,51287,Ryo Hisatsune,9.11%,88,966,-0.295
2024,0,46414,Aaron Rai,8.59%,89,1036,-0.236
2024,0,54591,Ben Griffin,8.51%,107,1258,-0.364
2024,0,47993,Denny McCarthy,8.48%,94,1108,-0.266
2024,0,54783,Dylan Wu,8.47%,82,968,-0.39
2024,0,52375,Doug Ghim,8.44%,92,1090,-0.261
2024,0,27644,Brian Harman,8.42%,93,1104,-0.323
2024,0,54628,Lee Hodges,8.36%,100,1196,-0.25
2024,0,40162,Justin Lower,8.21%,94,1145,-0.33
2024,0,34098,Russell Henley,8.11%,73,900,-0.274
2024,0,25493,Nick Taylor,7.95%,84,1056,-0.155
2024,0,37275,Sam Ryder,7.93%,66,832,-0.303
2024,0,36801,Mark Hubbard,7.80%,95,1218,-0.179
2024,0,27770,Camilo Villegas,7.75%,48,619,-0.375
2024,0,52513,Carson Young,7.73%,79,1022,-0.354
2024,0,29908,C.T. Pan,7.72%,61,790,-0.344
2024,0,51890,Greyson Sigg,7.57%,69,912,-0.261
2024,0,32640,Troy Merritt,7.32%,59,806,-0.305
2024,0,55789,Taylor Montgomery,7.08%,46,650,-0.261
2024,0,25900,Lucas Glover,7.06%,76,1076,-0.197
2024,0,57900,Chandler Phillips,6.98%,72,1032,-0.278
2024,0,27936,Martin Laird,6.93%,56,808,-0.25
2024,0,46441,Robby Shelton,6.89%,63,914,-0.317
2024,0,31646,Emiliano Grillo,6.78%,73,1076,-0.356
2024,0,52374,Brandon Wu,6.62%,58,876,-0.121
2024,0,47806,Raul Pereda,6.45%,32,496,-0.313
2024,0,32367,Jorge Campillo,6.10%,35,574,-0.286
2024,0,45522,Christiaan Bezuidenhout,5.88%,59,1003,-0.203
2024,0,36326,David Lipsky,5.83%,47,806,-0.319
2024,0,39327,Ben Silverman,5.82%,57,980,-0.333
2024,0,28775,Nate Lashley,5.71%,49,858,-0.388
2024,0,26596,Ryan Moore,4.52%,40,884,-0.05
2024,0,36884,Ben Kohles,4.45%,45,1011,-0.244
2024,0,29478,Kevin Kisner,4.43%,29,654,-0.069
2024,0,26476,Chez Reavie,3.87%,30,776,-0.233
2024,0,22371,Aaron Baddeley,3.81%,31,814,-0.032
2024,0,23108,Matt Kuchar,3.66%,34,930,-0.382
2024,0,29535,Brice Garnett,3.51%,21,598,-0.524
2024,0,30927,Brendon Todd,3.47%,43,1238,-0.488
2024,0,34256,Andrew Putnam,3.15%,33,1046,-0.273
2024,0,27649,Brandt Snedeker,2.35%,17,722,-0.353
2024,0,24024,Zach Johnson,2.33%,14,600,-0.357
2024,0,40058,Zac Blair,2.14%,22,1028,-0.364
2023,0,28237,Rory McIlroy,41.58%,336,808,-0.256
2023,0,57366,Cameron Young,36.84%,347,942,-0.159
2023,0,51491,Brandon Matthews,36.47%,213,584,-0.146
2023,0,49453,Trevor Cone,34.74%,305,878,-0.282
2023,0,58696,Peter Kuest,34.00%,187,550,-0.257
2023,0,52411,Kyle Westmoreland,33.25%,268,806,-0.146
2023,0,33948,Byeong Hun An,32.44%,399,1230,-0.213
2023,0,34255,Joseph Bramlett,32.20%,302,938,-0.166
2023,0,52453,Nicolai Hojgaard,31.70%,149,470,-0.181
2023,0,51766,Wyndham Clark,31.67%,375,1184,-0.301
2023,0,52955,Ludvig Åberg,30.57%,192,628,-0.411
2023,0,45242,Kevin Yu,30.30%,203,670,-0.325
2023,0,52372,Cameron Champ,30.24%,248,820,-0.315
2023,0,46601,Trey Mullinax,29.27%,274,936,-0.179
2023,0,24502,Adam Scott,28.43%,207,728,-0.251
2023,0,48699,Callum Tarren,28.41%,325,1144,-0.228
2023,0,39067,MJ Daffue,28.39%,293,1032,-0.232
2023,0,27129,Luke List,27.86%,321,1152,-0.255
2023,0,51414,Brent Grant,27.83%,221,794,-0.186
2023,0,48867,Matti Schmid,27.27%,198,726,-0.278
2023,0,46046,Scottie Scheffler,26.65%,274,1028,-0.27
2023,0,46970,Jon Rahm,26.44%,221,836,-0.308
2023,0,55454,Carl Yuan,26.20%,251,958,-0.191
2023,0,40250,Taylor Pendrith,26.12%,291,1114,-0.241
2023,0,51070,Vincent Norrman,26.00%,235,904,-0.319
2023,0,31323,Gary Woodland,25.59%,260,1016,-0.196
2023,0,39546,Keith Mitchell,24.90%,256,1028,-0.223
2023,0,27554,Scott Harrington,24.69%,196,794,-0.245
2023,0,28420,Ryan Brehm,24.20%,227,938,-0.251
2023,0,54421,Garrick Higgo,23.96%,300,1252,-0.24
2023,0,47504,Sam Burns,23.94%,243,1015,-0.202
2023,0,56762,Will Gordon,23.50%,290,1234,-0.321
2023,0,35450,Patrick Cantlay,22.63%,196,866,-0.393
