YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2024,0,35506,Mackenzie Hughes,"55' 11""",1119.083,20
2024,0,52453,Nicolai Højgaard,"55' 1""",1431.583,26
2024,0,32333,Kevin Tway,"54' 7""",1036.833,19
2024,0,27349,Alex Noren,"53' 0""",1324.083,25
2024,0,50525,Collin Morikawa,"52' 8""",1000.667,19
2024,0,45522,Christiaan Bezuidenhout,"52' 2""",886.583,17
2024,0,54576,Patrick Fishburn,"52' 0""",1405.0,27
2024,0,35450,Patrick Cantlay,"50' 10""",914.333,18
2024,0,56630,Akshay Bhatia,"50' 9""",1319.833,26
2024,0,47679,Victor Perez,"50' 9""",659.25,13
2024,0,27129,Luke List,"50' 8""",1772.333,35
2024,0,49960,Sepp Straka,"50' 2""",1154.083,23
2024,0,46442,Maverick McNealy,"49' 1""",1422.667,29
2024,0,54628,Lee Hodges,"48' 10""",1758.0,36
2024,0,52375,Doug Ghim,"48' 7""",1554.0,32
2024,0,58168,Davis Thompson,"48' 6""",1650.25,34
2024,0,45609,Tyler Duncan,"48' 4""",870.167,18
2024,0,48119,Ben Taylor,"48' 3""",916.083,19
2024,0,32366,Kevin Chappell,"47' 11""",1102.0,23
2024,0,39327,Ben Silverman,"47' 11""",1197.5,25
2024,0,28252,Seamus Power,"47' 10""",1625.083,34
2024,0,24502,Adam Scott,"47' 8""",905.25,19
2024,0,45242,Kevin Yu,"47' 8""",1762.333,37
2024,0,34374,Erik Barnes,"47' 7""",1095.167,23
2024,0,60004,Jacob Bridgeman,"47' 5""",1280.417,27
2024,0,33399,Adam Hadwin,"47' 5""",1421.417,30
2024,0,51287,Ryo Hisatsune,"47' 5""",1516.333,32
2024,0,35461,Beau Hossler,"47' 4""",1467.25,31
2024,0,34099,Harris English,"47' 3""",1511.333,32
2024,0,57362,Austin Eckroat,"47' 2""",1320.583,28
2024,0,39324,J.J. Spaun,"47' 2""",1319.917,28
2024,0,28237,Rory McIlroy,"46' 11""",1172.5,25
2024,0,47483,Will Zalatoris,"46' 11""",1547.0,33
2024,0,33141,Keegan Bradley,"46' 10""",1263.417,27
2024,0,25493,Nick Taylor,"46' 10""",1684.5,36
2024,0,36801,Mark Hubbard,"46' 9""",1730.833,37
2024,0,29420,Billy Horschel,"46' 6""",1393.917,30
2024,0,54421,Garrick Higgo,"46' 4""",973.583,21
2024,0,55893,Sam Stevens,"46' 3""",1758.417,38
2024,0,56149,Wilson Furr,"46' 2""",1477.417,32
2024,0,51890,Greyson Sigg,"46' 2""",1614.5,35
2024,0,28089,Jason Day,"46' 1""",921.167,20
2024,0,47988,Nick Hardy,"46' 1""",1982.333,43
2024,0,40162,Justin Lower,"46' 1""",1798.417,39
2024,0,55708,Hayden Buckley,"46' 0""",1424.833,31
2024,0,52215,Robert MacIntyre,"46' 0""",919.583,20
2024,0,48699,Callum Tarren,"45' 11""",2112.583,46
2024,0,39546,Keith Mitchell,"45' 10""",2062.333,45
2024,0,35617,Martin Trainer,"45' 8""",1096.167,24
2024,0,50497,Adrien Dumont de Chassart,"45' 7""",1413.917,31
2024,0,47993,Denny McCarthy,"45' 6""",1138.5,25
2024,0,29725,Tony Finau,"45' 5""",1497.5,33
2024,0,40098,Matt Fitzpatrick,"45' 4""",1223.833,27
2024,0,59095,Chris Gotterup,"45' 4""",1767.5,39
2024,0,35310,Lanto Griffin,"45' 4""",1813.0,40
2024,0,51070,Vincent Norrman,"45' 4""",1632.333,36
2024,0,54591,Ben Griffin,"45' 2""",1626.5,36
2024,0,33408,Tyson Alexander,"45' 1""",1351.667,30
2024,0,52374,Brandon Wu,"45' 1""",1668.667,37
