YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2024,0,46442,Maverick McNealy,"0""",0.0,1,10
2024,0,51349,Nico Echavarria,"1' 0""",1.0,1,123
2024,0,47347,Adam Schenk,"3' 1""",3.083,1,93
2024,0,27644,Brian Harman,"3' 2""",3.167,1,57
2024,0,32839,Hideki Matsuyama,"7' 0""",7.0,1,2
2023,0,32816,Satoshi Kodaira,"1' 6""",23.5,16,6
2023,0,33204,Shane Lowry,"1' 7""",23.417,15,160
2023,0,39997,Corey Conners,"1' 10""",43.583,24,146
2023,0,48081,Xander Schauffele,"1' 10""",59.667,33,34
2023,0,52955,Ludvig Åberg,"1' 11""",40.083,21,74
2023,0,22371,Aaron Baddeley,"1' 11""",52.5,27,8
2023,0,52453,Nicolai Hojgaard,"2' 0""",18.25,9,188
2023,0,34610,Matthias Schwab,"2' 0""",72.833,36,111
2023,0,54421,Garrick Higgo,"2' 1""",101.833,48,123
2023,0,35532,Tom Hoge,"2' 1""",65.833,31,128
2023,0,48887,Matt Wallace,"2' 1""",70.75,34,90
2023,0,25900,Lucas Glover,"2' 2""",102.833,47,38
2023,0,27554,Scott Harrington,"2' 2""",68.833,32,175
2023,0,31557,Jim Herman,"2' 2""",71.5,33,181
2023,0,22405,Justin Rose,"2' 2""",69.167,32,54
2023,0,30692,Scott Stallings,"2' 2""",43.333,20,86
2023,0,48084,Wesley Bryan,"2' 3""",38.333,17,50
2023,0,33597,Harry Higgs,"2' 3""",80.25,36,153
2023,0,39971,Sungjae Im,"2' 3""",95.333,43,40
2023,0,27129,Luke List,"2' 3""",77.75,34,174
2023,0,32640,Troy Merritt,"2' 3""",95.75,42,72
2023,0,39546,Keith Mitchell,"2' 3""",65.333,29,124
2023,0,29221,Webb Simpson,"2' 3""",59.917,27,165
2023,0,52411,Kyle Westmoreland,"2' 3""",55.833,25,178
2023,0,47591,Eric Cole,"2' 4""",102.083,44,28
2023,0,46435,Austin Cook,"2' 4""",63.667,27,11
2023,0,32662,Michael Gligic,"2' 4""",44.583,19,180
2023,0,32448,James Hahn,"2' 4""",55.667,24,186
2023,0,55182,Tom Kim,"2' 4""",86.083,37,62
2023,0,51950,Max McGreevy,"2' 4""",70.0,30,173
2023,0,34046,Jordan Spieth,"2' 4""",86.083,37,35
2023,0,33448,Justin Thomas,"2' 4""",60.583,26,115
2023,0,29725,Tony Finau,"2' 5""",77.583,32,69
2023,0,27349,Alex Noren,"2' 5""",92.5,38,39
2023,0,51070,Vincent Norrman,"2' 5""",82.333,34,143
2023,0,36699,Patrick Rodgers,"2' 5""",107.333,44,53
2023,0,29970,Dylan Frittelli,"2' 6""",40.417,16,152
2023,0,39954,Cody Gribble,"2' 6""",62.417,25,77
2023,0,54591,Ben Griffin,"2' 6""",101.5,41,49
2023,0,33399,Adam Hadwin,"2' 6""",56.583,23,51
2023,0,39975,Michael Kim,"2' 6""",98.417,39,78
2023,0,34466,Peter Malnati,"2' 6""",114.0,46,88
2023,0,46601,Trey Mullinax,"2' 6""",68.417,27,159
2023,0,51997,Andrew Novak,"2' 6""",99.083,40,30
2023,0,36724,Augusto Núñez,"2' 6""",80.75,32,70
2023,0,24140,Sean O'Hair,"2' 6""",38.0,15,25
2023,0,37275,Sam Ryder,"2' 6""",84.167,34,82
2023,0,25686,Jason Dufner,"2' 7""",105.25,41,143
