YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
2024,1,0,47591,Eric Cole,217,771,28.1
2024,2,0,35532,Tom Hoge,198,702,28.2
2024,3,0,30927,Brendon Todd,195,701,27.8
2024,4,0,50188,S.H. Kim,194,702,27.6
2024,5,0,54591,Ben Griffin,186,650,28.6
2024,6,0,56630,Akshay Bhatia,185,598,30.9
2024,7,0,27644,Brian Harman,176,595,29.6
2024,8,0,36699,Patrick Rodgers,174,619,28.1
2024,9,0,35506,Mackenzie Hughes,173,651,26.6
2024,10,0,49947,Taylor Moore,172,638,27.0
2024,10,0,28252,Seamus Power,172,637,27.0
2024,12,0,40115,Adam Svensson,170,688,24.7
2024,13,0,39971,Sungjae Im,168,602,27.9
2024,14,0,57975,Harry Hall,166,559,29.7
2024,14,0,51634,Sahith Theegala,166,621,26.7
2024,16,0,54628,Lee Hodges,165,570,28.9
2024,16,0,36801,Mark Hubbard,165,617,26.7
2024,18,0,34466,Peter Malnati,161,505,31.9
2024,19,0,47347,Adam Schenk,159,600,26.5
2024,20,0,49771,J.T. Poston,158,574,27.5
2024,21,0,34099,Harris English,157,591,26.6
2024,21,0,40250,Taylor Pendrith,157,534,29.4
2024,21,0,57900,Chandler Phillips,157,591,26.6
2024,24,0,36799,Stephan Jaeger,156,536,29.1
2024,24,0,47993,Denny McCarthy,156,634,24.6
2024,26,0,50525,Collin Morikawa,155,559,27.7
2024,27,0,31646,Emiliano Grillo,153,542,28.2
2024,28,0,57366,Cameron Young,151,541,27.9
2024,29,0,37455,Si Woo Kim,150,595,25.2
2024,30,0,39327,Ben Silverman,149,496,30.0
2024,30,0,58168,Davis Thompson,149,578,25.8
2024,32,0,59095,Chris Gotterup,148,458,32.3
2024,33,0,39997,Corey Conners,146,523,27.9
2024,33,0,57362,Austin Eckroat,146,554,26.4
2024,33,0,46442,Maverick McNealy,146,591,24.7
2024,33,0,39546,Keith Mitchell,146,524,27.9
2024,37,0,32102,Rickie Fowler,145,511,28.4
2024,37,0,25493,Nick Taylor,145,557,26.0
2024,39,0,35461,Beau Hossler,144,575,25.0
2024,39,0,40006,Erik van Rooyen,144,513,28.1
2024,41,0,45522,Christiaan Bezuidenhout,143,578,24.7
2024,41,0,47504,Sam Burns,143,535,26.7
2024,43,0,45157,Cam Davis,142,524,27.1
2024,43,0,25900,Lucas Glover,142,543,26.2
2024,43,0,51997,Andrew Novak,142,535,26.5
2024,43,0,52513,Carson Young,142,515,27.6
2024,47,0,40058,Zac Blair,141,527,26.8
2024,47,0,51349,Nico Echavarria,141,498,28.3
2024,47,0,47988,Nick Hardy,141,487,29.0
2024,47,0,36884,Ben Kohles,141,474,29.7
2024,47,0,40162,Justin Lower,141,571,24.7
2024,52,0,34098,Russell Henley,140,511,27.4
2024,52,0,39977,Max Homa,140,531,26.4
2024,54,0,46414,Aaron Rai,139,516,26.9
2024,54,0,48081,Xander Schauffele,139,528,26.3
2024,56,0,34255,Joseph Bramlett,138,479,28.8
2024,57,0,48117,Kurt Kitayama,137,494,27.7
2024,58,0,33948,Byeong Hun An,136,494,27.5
2024,58,0,23108,Matt Kuchar,136,482,28.2
2024,58,0,47983,Chad Ramey,136,510,26.7
2024,61,0,34256,Andrew Putnam,135,530,25.5
2024,62,0,52666,Sami Valimaki,134,415,32.3
2024,63,0,59866,Nick Dunlap,133,485,27.4
2024,63,0,30926,Chris Kirk,133,481,27.7
2024,63,0,55893,Sam Stevens,133,558,23.8
2024,66,0,52375,Doug Ghim,132,496,26.6
2024,66,0,29420,Billy Horschel,132,486,27.2
2024,66,0,47420,Jake Knapp,132,501,26.3
2024,69,0,33653,Thomas Detry,131,515,25.4
2024,69,0,55182,Tom Kim,131,528,24.8
2024,69,0,39324,J.J. Spaun,131,494,26.5
2024,69,0,50493,Justin Suh,131,422,31.0
2024,73,0,33399,Adam Hadwin,130,523,24.9
2024,73,0,46441,Robby Shelton,130,481,27.0
2024,75,0,33141,Keegan Bradley,129,504,25.6
2024,75,0,29936,Ryan Fox,129,488,26.4
2024,77,0,28089,Jason Day,128,479,26.7
2024,77,0,34587,Chan Kim,128,480,26.7
2024,77,0,59143,Mac Meissner,128,444,28.8
2024,77,0,24502,Adam Scott,128,480,26.7
2024,77,0,54783,Dylan Wu,128,510,25.1
2024,82,0,52955,Ludvig Åberg,127,486,26.1
2024,82,0,22371,Aaron Baddeley,127,464,27.4
2024,82,0,51766,Wyndham Clark,127,504,25.2
2024,82,0,47995,Davis Riley,127,512,24.8
2024,82,0,46046,Scottie Scheffler,127,474,26.8
2024,87,0,29725,Tony Finau,125,490,25.5
2024,87,0,32791,K.H. Lee,125,493,25.4
2024,87,0,27649,Brandt Snedeker,125,378,33.1
2024,87,0,45242,Kevin Yu,125,428,29.2
2024,91,0,60004,Jacob Bridgeman,124,439,28.2
2024,92,0,32839,Hideki Matsuyama,123,489,25.2
2024,92,0,27064,Jhonattan Vegas,123,411,29.9
2024,92,0,31323,Gary Woodland,123,477,25.8
2024,95,0,27139,David Skinns,122,457,26.7
2024,96,0,33408,Tyson Alexander,121,446,27.1
2024,96,0,34076,Joel Dahmen,121,461,26.2
2024,96,0,40098,Matt Fitzpatrick,121,488,24.8
2024,96,0,51977,Max Greyserman,121,489,24.7
2024,96,0,52215,Robert MacIntyre,121,469,25.8
2024,96,0,49960,Sepp Straka,121,475,25.5
2024,102,0,30911,Tommy Fleetwood,120,460,26.1
2024,102,0,12716,Charley Hoffman,120,435,27.6
2024,102,0,33204,Shane Lowry,120,441,27.2
2024,102,0,38991,Alejandro Tosti,120,426,28.2
2024,106,0,28775,Nate Lashley,119,419,28.4
2024,106,0,37275,Sam Ryder,119,443,26.9
2024,108,0,60067,Joe Highsmith,117,395,29.6
2024,108,0,27129,Luke List,117,461,25.4
2024,108,0,48867,Matti Schmid,117,440,26.6
2024,111,0,28237,Rory McIlroy,116,473,24.5
2024,112,0,54421,Garrick Higgo,115,418,27.5
2024,112,0,39975,Michael Kim,115,424,27.1
2024,112,0,27936,Martin Laird,115,411,28.0
2024,112,0,33448,Justin Thomas,115,444,25.9
2024,116,0,51696,Rico Hoey,114,457,24.9
2024,117,0,34563,Chesson Hadley,112,414,27.1
2024,118,0,59836,Pierceson Coody,111,433,25.6
2024,118,0,51287,Ryo Hisatsune,111,472,23.5
2024,118,0,36326,David Lipsky,111,386,28.8
2024,118,0,34046,Jordan Spieth,111,458,24.2
2024,122,0,26596,Ryan Moore,110,432,25.5
2024,122,0,47483,Will Zalatoris,110,404,27.2
2024,124,0,46717,Viktor Hovland,107,397,27.0
2024,124,0,32640,Troy Merritt,107,410,26.1
2024,124,0,47679,Victor Perez,107,404,26.5
2024,124,0,26476,Chez Reavie,107,374,28.6
2024,124,0,51890,Greyson Sigg,107,425,25.2
2024,124,0,48887,Matt Wallace,107,409,26.2
2024,130,0,52374,Brandon Wu,106,434,24.4
2024,131,0,37378,Min Woo Lee,105,394,26.6
2024,131,0,22405,Justin Rose,105,396,26.5
2024,131,0,46340,Alex Smalley,105,393,26.7
2024,131,0,48699,Callum Tarren,105,373,28.2
2024,135,0,55789,Taylor Montgomery,104,381,27.3
2024,136,0,33486,Roger Sloan,102,397,25.7
2024,137,0,48153,Matthieu Pavon,100,382,26.2
2024,138,0,40026,Daniel Berger,99,377,26.3
2024,138,0,52514,Trace Crowe,99,381,26.0
2024,138,0,35310,Lanto Griffin,99,360,27.5
2024,138,0,29908,C.T. Pan,99,391,25.3
2024,142,0,27349,Alex Noren,98,431,22.7
2024,143,0,36871,Matt NeSmith,97,363,26.7
2024,144,0,54576,Patrick Fishburn,96,345,27.8
2024,144,0,27214,Kevin Streelman,96,379,25.3
2024,146,0,55708,Hayden Buckley,95,417,22.8
2024,146,0,35450,Patrick Cantlay,95,432,22.0
2024,146,0,29478,Kevin Kisner,95,324,29.3
2024,146,0,48119,Ben Taylor,95,361,26.3
2024,150,0,29535,Brice Garnett,94,290,32.4
2024,150,0,24024,Zach Johnson,94,310,30.3
2024,150,0,50484,Hayden Springer,94,404,23.3
2024,153,0,35617,Martin Trainer,93,303,30.7
2024,153,0,51894,Vince Whaley,93,399,23.3
2024,155,0,52372,Cameron Champ,92,324,28.4
2024,155,0,59442,Parker Coody,92,338,27.2
2024,155,0,29221,Webb Simpson,92,365,25.2
2024,155,0,48319,Tom Whitney,92,325,28.3
2024,155,0,55454,Carl Yuan,92,386,23.8
2024,160,0,56149,Wilson Furr,91,316,28.8
2024,161,0,32757,Patton Kizzire,90,363,24.8
2024,162,0,34021,Bud Cauley,89,339,26.3
2024,163,0,52453,Nicolai Højgaard,88,304,28.9
2024,163,0,33968,Thorbjørn Olesen,88,286,30.8
2024,163,0,47806,Raul Pereda,88,266,33.1
2024,166,0,46113,Ryan McCormick,87,338,25.7
2024,167,0,50497,Adrien Dumont de Chassart,85,366,23.2
2024,168,0,32367,Jorge Campillo,84,291,28.9
2024,168,0,30163,Henrik Norlander,84,340,24.7
2024,170,0,34374,Erik Barnes,83,315,26.3
2024,171,0,47663,Kevin Dougherty,82,317,25.9
2024,172,0,27770,Camilo Villegas,81,270,30.0
2024,173,0,45609,Tyler Duncan,80,347,23.1
2024,174,0,32333,Kevin Tway,78,302,25.8
2024,175,0,37212,Paul Barjon,77,291,26.5
2024,176,0,32070,Rafael Campos,75,296,25.3
2024,177,0,28420,Ryan Brehm,71,301,23.6
2024,178,0,23320,Ryan Palmer,70,254,27.6
2024,179,0,32366,Kevin Chappell,68,277,24.5
2024,179,0,60767,Blaine Hale Jr.,68,252,27.0
2024,179,0,51070,Vincent Norrman,68,259,26.3
2024,182,0,27330,Josh Teater,67,255,26.3
2024,183,0,50095,Austin Smotherman,60,242,24.8
2024,184,0,48084,Wesley Bryan,56,243,23.0
2023,1,0,47591,Eric Cole,247,865,28.6
2023,2,0,50188,S.H. Kim,211,761,27.7
2023,3,0,36799,Stephan Jaeger,203,742,27.4
2023,4,0,55789,Taylor Montgomery,201,715,28.1
2023,5,0,40115,Adam Svensson,198,737,26.9
2023,6,0,33948,Byeong Hun An,193,686,28.1
2023,7,0,51766,Wyndham Clark,192,663,29.0
2023,7,0,36801,Mark Hubbard,192,633,30.3
2023,7,0,37455,Si Woo Kim,192,651,29.5
2023,10,0,50493,Justin Suh,191,693,27.6
2023,11,0,30927,Brendon Todd,190,670,28.4
2023,12,0,37275,Sam Ryder,189,672,28.1
2023,13,0,47347,Adam Schenk,186,677,27.5
2023,14,0,31646,Emiliano Grillo,182,617,29.5
2023,15,0,47983,Chad Ramey,181,659,27.5
2023,16,0,35461,Beau Hossler,177,651,27.2
2023,16,0,47993,Denny McCarthy,177,685,25.8
2023,16,0,58168,Davis Thompson,177,586,30.2
2023,19,0,35532,Tom Hoge,175,639,27.4
2023,19,0,35449,Adam Long,175,647,27.0
2023,21,0,54628,Lee Hodges,172,632,27.2
2023,22,0,34256,Andrew Putnam,171,617,27.7
2023,23,0,39977,Max Homa,170,605,28.1
2023,23,0,39324,J.J. Spaun,170,581,29.3
2023,23,0,51634,Sahith Theegala,170,661,25.7
2023,26,0,54591,Ben Griffin,169,667,25.3
2023,27,0,32757,Patton Kizzire,168,602,27.9
2023,27,0,49947,Taylor Moore,168,593,28.3
2023,29,0,50095,Austin Smotherman,166,587,28.3
2023,30,0,46340,Alex Smalley,165,639,25.8
2023,31,0,52374,Brandon Wu,164,595,27.6
2023,32,0,39971,Sungjae Im,162,626,25.9
2023,32,0,23108,Matt Kuchar,162,564,28.7
2023,32,0,40162,Justin Lower,162,597,27.1
2023,35,0,54421,Garrick Higgo,160,648,24.7
2023,35,0,40250,Taylor Pendrith,160,516,31.0
2023,37,0,47988,Nick Hardy,159,597,26.6
2023,37,0,48119,Ben Taylor,159,606,26.2
2023,39,0,34099,Harris English,158,607,26.0
2023,39,0,30926,Chris Kirk,158,555,28.5
2023,41,0,27644,Brian Harman,157,591,26.6
2023,41,0,49771,J.T. Poston,157,641,24.5
2023,43,0,57975,Harry Hall,156,573,27.2
2023,43,0,35879,Kelly Kraft,156,541,28.8
