YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
2024,0,48084,Wesley Bryan,"4' 5""",5.54,104,102
2024,0,57900,Chandler Phillips,"4' 10""",12.224,210,29
2024,0,35506,Mackenzie Hughes,"4' 11""",16.398,277,15
2024,0,28237,Rory McIlroy,"4' 11""",9.893,169,17
2024,0,27936,Martin Laird,"5' 0""",9.715,161,63
2024,0,35450,Patrick Cantlay,"5' 1""",11.086,181,22
2024,0,29725,Tony Finau,"5' 1""",12.135,198,122
2024,0,46441,Robby Shelton,"5' 1""",10.945,179,88
2024,0,33486,Roger Sloan,"5' 1""",8.977,147,48
2024,0,39971,Sungjae Im,"5' 2""",14.564,234,26
2024,0,32839,Hideki Matsuyama,"5' 2""",11.619,187,2
2024,0,46046,Scottie Scheffler,"5' 2""",11.768,191,5
2024,0,33448,Justin Thomas,"5' 2""",12.33,198,45
2024,0,34587,Chan Kim,"5' 3""",12.273,194,19
2024,0,46442,Maverick McNealy,"5' 3""",13.598,216,10
2024,0,49771,J.T. Poston,"5' 3""",14.414,230,83
2024,0,34374,Erik Barnes,"5' 4""",7.921,124,147
2024,0,52514,Trace Crowe,"5' 4""",8.715,137,142
2024,0,24024,Zach Johnson,"5' 4""",7.396,116,55
2024,0,46414,Aaron Rai,"5' 4""",13.326,208,30
2024,0,58168,Davis Thompson,"5' 4""",15.24,239,68
2024,0,60004,Jacob Bridgeman,"5' 5""",10.395,161,60
2024,0,32367,Jorge Campillo,"5' 5""",7.53,116,59
2024,0,48117,Kurt Kitayama,"5' 5""",13.629,211,37
2024,0,47993,Denny McCarthy,"5' 5""",16.838,259,6
2024,0,32640,Troy Merritt,"5' 5""",11.389,174,120
2024,0,39546,Keith Mitchell,"5' 5""",13.422,206,78
2024,0,51997,Andrew Novak,"5' 5""",12.273,189,34
2024,0,50095,Austin Smotherman,"5' 5""",5.753,89,94
2024,0,51696,Rico Hoey,"5' 6""",11.733,177,86
2024,0,55182,Tom Kim,"5' 6""",13.85,211,124
2024,0,30927,Brendon Todd,"5' 6""",18.457,279,50
2024,0,38991,Alejandro Tosti,"5' 6""",11.119,168,180
2024,0,47591,Eric Cole,"5' 7""",19.088,285,56
2024,0,45157,Cam Davis,"5' 7""",13.34,198,136
2024,0,29535,Brice Garnett,"5' 7""",9.33,140,69
2024,0,29420,Billy Horschel,"5' 7""",12.951,194,28
2024,0,28775,Nate Lashley,"5' 7""",11.425,170,24
2024,0,55893,Sam Stevens,"5' 7""",14.992,225,33
2024,0,57366,Cameron Young,"5' 7""",13.346,200,99
2024,0,25900,Lucas Glover,"5' 8""",13.87,203,101
2024,0,57975,Harry Hall,"5' 8""",14.455,213,40
2024,0,36799,Stephan Jaeger,"5' 8""",17.08,253,88
2024,0,50525,Collin Morikawa,"5' 8""",16.077,237,9
2024,0,47504,Sam Burns,"5' 9""",13.502,196,70
2024,0,59442,Parker Coody,"5' 9""",9.891,143,51
2024,0,50497,Adrien Dumont de Chassart,"5' 9""",10.108,147,162
2024,0,35310,Lanto Griffin,"5' 9""",10.001,144,174
2024,0,37455,Si Woo Kim,"5' 9""",19.453,282,27
2024,0,34466,Peter Malnati,"5' 9""",12.495,180,105
2024,0,59143,Mac Meissner,"5' 9""",11.768,170,38
2024,0,33968,Thorbjørn Olesen,"5' 9""",7.198,104,149
2024,0,29908,C.T. Pan,"5' 9""",12.493,180,36
2024,0,47983,Chad Ramey,"5' 9""",12.873,186,125
2024,0,34021,Bud Cauley,"5' 10""",10.489,150,8
2024,0,54576,Patrick Fishburn,"5' 10""",9.367,134,61
2024,0,54591,Ben Griffin,"5' 10""",18.036,259,23
2024,0,36326,David Lipsky,"5' 10""",11.975,170,133
2024,0,39324,J.J. Spaun,"5' 10""",13.458,192,131
2024,0,32333,Kevin Tway,"5' 10""",8.543,122,91
2024,0,45522,Christiaan Bezuidenhout,"5' 11""",15.744,221,12
2024,0,40058,Zac Blair,"5' 11""",16.335,230,31
2024,0,34076,Joel Dahmen,"5' 11""",12.57,178,115
2024,0,52375,Doug Ghim,"5' 11""",13.966,196,41
2024,0,55789,Taylor Montgomery,"5' 11""",11.511,162,54
