YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
2024,1,0,46046,Scottie Scheffler,13711
2024,2,0,48081,Xander Schauffele,9674
2024,3,0,50525,Collin Morikawa,6084
2024,4,0,51766,Wyndham Clark,5750
2024,5,0,35450,Patrick Cantlay,4866
2024,6,0,51634,Sahith Theegala,4566
2024,7,0,47504,Sam Burns,4269
2024,8,0,29725,Tony Finau,4214
2024,9,0,34098,Russell Henley,4030
2024,10,0,33141,Keegan Bradley,4002
2024,11,0,27644,Brian Harman,3887
2024,12,0,39977,Max Homa,3857
2024,13,0,30926,Chris Kirk,3635
2024,14,0,56630,Akshay Bhatia,3619
2024,15,0,47591,Eric Cole,3263
2024,16,0,47993,Denny McCarthy,3182
2024,17,0,29420,Billy Horschel,3159
2024,18,0,35532,Tom Hoge,3086
2024,19,0,33448,Justin Thomas,3081
2024,20,0,49771,J.T. Poston,2960
2024,21,0,57366,Cameron Young,2944
2024,22,0,58168,Davis Thompson,2820
2024,23,0,49947,Taylor Moore,2557
2024,24,0,57362,Austin Eckroat,2518
2024,25,0,34099,Harris English,2450
2024,26,0,34046,Jordan Spieth,2430
2024,27,0,25900,Lucas Glover,2414
2024,28,0,59866,Nick Dunlap,2296
2024,29,0,47483,Will Zalatoris,2255
2024,30,0,47347,Adam Schenk,2221
2024,31,0,30927,Brendon Todd,2187
2024,32,0,36699,Patrick Rodgers,2042
2024,33,0,54591,Ben Griffin,2021
2024,34,0,32102,Rickie Fowler,2011
2024,35,0,48117,Kurt Kitayama,1961
2024,36,0,54628,Lee Hodges,1948
2024,37,0,36801,Mark Hubbard,1906
2024,38,0,27129,Luke List,1853
2024,39,0,35461,Beau Hossler,1772
2024,40,0,51977,Max Greyserman,1725
2024,41,0,46442,Maverick McNealy,1703
2024,42,0,47995,Davis Riley,1682
2024,43,0,34256,Andrew Putnam,1647
2024,44,0,34466,Peter Malnati,1641
2024,45,0,39546,Keith Mitchell,1563
2024,46,0,23108,Matt Kuchar,1504
2024,47,0,47420,Jake Knapp,1476
2024,48,0,34213,Grayson Murray,1397
2024,49,0,55893,Sam Stevens,1358
2024,50,0,39324,J.J. Spaun,1329
2024,51,0,37275,Sam Ryder,1259
2024,52,0,28775,Nate Lashley,1195
2024,53,0,52375,Doug Ghim,1194
2024,54,0,51997,Andrew Novak,1174
2024,55,0,39975,Michael Kim,1112
2024,56,0,12716,Charley Hoffman,1096
2024,57,0,55789,Taylor Montgomery,1086
2024,58,0,54783,Dylan Wu,1086
2024,59,0,52513,Carson Young,1032
2024,60,0,47988,Nick Hardy,1031
2024,61,0,46340,Alex Smalley,1019
2024,62,0,52374,Brandon Wu,1008
2024,63,0,47983,Chad Ramey,980
2024,64,0,40058,Zac Blair,976
2024,65,0,29535,Brice Garnett,976
2024,66,0,40162,Justin Lower,964
2024,67,0,50493,Justin Suh,961
2024,68,0,36884,Ben Kohles,925
2024,69,0,55708,Hayden Buckley,908
2024,70,0,36871,Matt NeSmith,846
2024,71,0,45609,Tyler Duncan,822
2024,72,0,34076,Joel Dahmen,817
2024,73,0,34563,Chesson Hadley,785
2024,74,0,46441,Robby Shelton,744
2024,75,0,26596,Ryan Moore,735
2024,76,0,51890,Greyson Sigg,729
2024,77,0,33413,Ben Martin,704
2024,78,0,26476,Chez Reavie,700
2024,79,0,51894,Vince Whaley,694
2024,80,0,34587,Chan Kim,681
2024,81,0,59095,Chris Gotterup,677
2024,82,0,32757,Patton Kizzire,665
2024,83,0,32333,Kevin Tway,664
2024,84,0,31323,Gary Woodland,664
2024,85,0,57900,Chandler Phillips,644
2024,86,0,34255,Joseph Bramlett,632
2024,87,0,32640,Troy Merritt,624
2024,88,0,36326,David Lipsky,617
2024,89,0,54576,Patrick Fishburn,575
2024,90,0,27214,Kevin Streelman,553
2024,91,0,30692,Scott Stallings,540
2024,92,0,29221,Webb Simpson,529
2024,93,0,59836,Pierceson Coody,528
2024,94,0,24024,Zach Johnson,494
2024,95,0,52372,Cameron Champ,483
2024,96,0,60004,Jacob Bridgeman,462
2024,97,0,23320,Ryan Palmer,446
2024,98,0,35879,Kelly Kraft,445
2024,99,0,28420,Ryan Brehm,437
2024,100,0,34374,Erik Barnes,435
2024,101,0,50484,Hayden Springer,425
2024,102,0,20229,Stewart Cink,402
2024,103,0,57364,Michael Thorbjornsen,395
2024,104,0,48084,Wesley Bryan,391
2024,105,0,52514,Trace Crowe,384
2024,106,0,33408,Tyson Alexander,384
2024,107,0,50095,Austin Smotherman,378
2024,108,0,40026,Daniel Berger,373
2024,109,0,32366,Kevin Chappell,363
2024,110,0,35310,Lanto Griffin,354
2024,111,0,25818,Scott Piercy,347
2024,112,0,51600,Jimmy Stanger,331
2024,113,0,49298,Kramer Hickok,329
2024,114,0,46435,Austin Cook,325
2024,115,0,56762,Will Gordon,320
2024,116,0,35449,Adam Long,320
2024,117,0,25632,Jimmy Walker,302
2024,118,0,39954,Cody Gribble,284
2024,119,0,24140,Sean O'Hair,257
2024,120,0,47128,Richy Werenski,248
2024,121,0,33597,Harry Higgs,239
2024,122,0,60067,Joe Highsmith,236
2024,123,0,59442,Parker Coody,231
2024,124,0,32448,James Hahn,204
2024,125,0,25686,Jason Dufner,201
2024,126,0,46113,Ryan McCormick,187
2024,127,0,46601,Trey Mullinax,173
2024,128,0,34431,Robert Streb,151
2024,129,0,31202,William McGirt,134
2024,130,0,32150,Michael Thompson,131
2024,131,0,48319,Tom Whitney,123
2024,132,0,37278,Nicholas Lindheim,120
2024,133,0,24924,Bill Haas,119
2024,134,0,24925,Jonathan Byrd,116
2024,135,0,34021,Bud Cauley,113
2024,136,0,29478,Kevin Kisner,110
2024,137,0,47663,Kevin Dougherty,108
2024,138,0,29268,Bronson Burgoon,104
2024,139,0,49964,Aaron Wise,97
2024,140,0,31557,Jim Herman,90
2024,141,0,24846,Ricky Barnes,87
2024,142,0,51491,Brandon Matthews,87
2024,143,0,54328,Norman Xiong,79
2024,144,0,30750,Tommy Gainey,77
2024,145,0,27095,Nick Watney,76
2024,146,0,19803,Ryan Armour,75
2024,147,0,27649,Brandt Snedeker,71
2024,148,0,33410,Andrew Landry,62
2024,149,0,56149,Wilson Furr,55
2024,150,0,27963,Chris Stroud,54
2024,151,0,31560,Brian Stuard,54
2024,152,0,25240,D.A. Points,48
2024,153,0,23788,D.J. Trahan,44
2024,154,0,27556,Ted Potter Jr.,43
2024,155,0,30110,Kyle Stanley,39
2024,156,0,49303,Anders Albertson,38
2024,157,0,19846,Brian Gay,38
2024,158,0,24358,Robert Garrigus,31
2024,159,0,27330,Josh Teater,28
2024,160,0,8793,Tiger Woods,28
2024,161,0,37273,Derek Ernst,27
2024,162,0,27797,Derek Lamely,26
2024,163,0,60767,Blaine Hale Jr.,24
2024,164,0,29479,Scott Brown,22
2024,165,0,24980,Scott Gutschewski,18
2024,166,0,23541,Ben Crane,15
2024,167,0,1226,Fred Couples,9
2024,168,0,27141,J.B. Holmes,7
2024,169,0,8075,Jerry Kelly,7
2024,170,0,23623,Bo Van Pelt,6
2024,171,0,26679,Kevin Stadler,6
2024,172,0,24490,George McNeill,6
2023,1,0,46046,Scottie Scheffler,3228
2023,2,0,39977,Max Homa,1832
2023,3,0,51766,Wyndham Clark,1805
2023,4,0,50525,Collin Morikawa,1760
2023,5,0,47591,Eric Cole,1644
2023,6,0,35450,Patrick Cantlay,1567
2023,7,0,48081,Xander Schauffele,1471
2023,8,0,25900,Lucas Glover,1463
2023,9,0,32102,Rickie Fowler,1421
2023,10,0,27644,Brian Harman,1379
2023,11,0,47504,Sam Burns,1292
2023,12,0,51634,Sahith Theegala,1286
2023,13,0,47347,Adam Schenk,1233
2023,14,0,30926,Chris Kirk,1230
2023,15,0,33141,Keegan Bradley,1227
2023,16,0,49947,Taylor Moore,1209
2023,17,0,34046,Jordan Spieth,1201
2023,18,0,47993,Denny McCarthy,1181
2023,19,0,29725,Tony Finau,1180
2023,20,0,49771,J.T. Poston,1053
2023,21,0,34098,Russell Henley,1010
2023,22,0,35461,Beau Hossler,990
2023,23,0,30927,Brendon Todd,978
2023,24,0,54628,Lee Hodges,976
2023,25,0,48117,Kurt Kitayama,966
2023,26,0,57366,Cameron Young,950
2023,27,0,27129,Luke List,941
2023,28,0,23108,Matt Kuchar,925
2023,29,0,56630,Akshay Bhatia,899
2023,30,0,34099,Harris English,839
2023,31,0,47988,Nick Hardy,810
2023,32,0,37275,Sam Ryder,778
2023,33,0,36801,Mark Hubbard,739
2023,34,0,50493,Justin Suh,737
2023,35,0,52374,Brandon Wu,733
2023,36,0,35532,Tom Hoge,725
2023,37,0,47995,Davis Riley,711
2023,38,0,33448,Justin Thomas,704
2023,39,0,55893,Sam Stevens,704
2023,40,0,54591,Ben Griffin,703
2023,41,0,34256,Andrew Putnam,699
2023,42,0,39324,J.J. Spaun,697
2023,43,0,57362,Austin Eckroat,675
2023,44,0,39546,Keith Mitchell,661
2023,45,0,45609,Tyler Duncan,653
2023,46,0,46340,Alex Smalley,634
2023,47,0,39975,Michael Kim,625
2023,48,0,58168,Davis Thompson,582
2023,49,0,36699,Patrick Rodgers,576
2023,50,0,54783,Dylan Wu,572
2023,51,0,55708,Hayden Buckley,572
2023,52,0,28775,Nate Lashley,538
2023,53,0,55789,Taylor Montgomery,518
2023,54,0,52513,Carson Young,514
2023,55,0,26476,Chez Reavie,459
2023,56,0,34563,Chesson Hadley,444
2023,57,0,34466,Peter Malnati,435
2023,58,0,52375,Doug Ghim,434
2023,59,0,46441,Robby Shelton,434
2023,60,0,47983,Chad Ramey,430
2023,61,0,26596,Ryan Moore,427
2023,62,0,40058,Zac Blair,422
2023,63,0,27214,Kevin Streelman,412
2023,64,0,33413,Ben Martin,411
2023,65,0,36326,David Lipsky,409
2023,66,0,29420,Billy Horschel,397
2023,67,0,51997,Andrew Novak,397
2023,68,0,30692,Scott Stallings,392
2023,69,0,31323,Gary Woodland,391
2023,70,0,36871,Matt NeSmith,376
2023,71,0,23320,Ryan Palmer,365
2023,72,0,34255,Joseph Bramlett,352
2023,73,0,51890,Greyson Sigg,343
2023,74,0,58696,Peter Kuest,336
2023,75,0,49298,Kramer Hickok,329
2023,76,0,59018,Ryan Gerard,325
2023,77,0,32640,Troy Merritt,305
2023,78,0,35449,Adam Long,304
2023,79,0,32757,Patton Kizzire,303
2023,80,0,25632,Jimmy Walker,295
2023,81,0,56762,Will Gordon,291
2023,82,0,50095,Austin Smotherman,285
2023,83,0,52372,Cameron Champ,273
2023,84,0,12716,Charley Hoffman,272
2023,85,0,35879,Kelly Kraft,271
2023,86,0,40162,Justin Lower,266
2023,87,0,51894,Vince Whaley,266
2023,88,0,25818,Scott Piercy,259
2023,89,0,34076,Joel Dahmen,258
2023,90,0,29221,Webb Simpson,255
2023,91,0,47483,Will Zalatoris,244
2023,92,0,53165,Doc Redman,239
2023,93,0,32333,Kevin Tway,237
2023,94,0,20229,Stewart Cink,232
2023,95,0,33597,Harry Higgs,222
2023,96,0,39954,Cody Gribble,213
2023,97,0,39335,Kevin Roy,207
2023,98,0,33408,Tyson Alexander,203
2023,99,0,47128,Richy Werenski,202
2023,100,0,25686,Jason Dufner,201
2023,101,0,46435,Austin Cook,199
2023,102,0,28420,Ryan Brehm,194
2023,103,0,24024,Zach Johnson,191
2023,104,0,35310,Lanto Griffin,179
2023,105,0,29535,Brice Garnett,179
2023,106,0,32366,Kevin Chappell,174
2023,107,0,35901,Paul Haley II,173
2023,108,0,46601,Trey Mullinax,173
2023,109,0,51414,Brent Grant,172
2023,110,0,34213,Grayson Murray,172
2023,111,0,49453,Trevor Cone,163
2023,112,0,32448,James Hahn,152
2023,113,0,49766,Hank Lebioda,148
2023,114,0,46442,Maverick McNealy,147
2023,115,0,24140,Sean O'Hair,140
2023,116,0,48084,Wesley Bryan,134
2023,117,0,34431,Robert Streb,132
2023,118,0,32150,Michael Thompson,131
2023,119,0,58967,Trevor Werbylo,113
2023,120,0,24925,Jonathan Byrd,108
2023,121,0,27554,Scott Harrington,108
2023,122,0,49964,Aaron Wise,97
2023,123,0,37278,Nicholas Lindheim,92
2023,124,0,31202,William McGirt,90
2023,125,0,24846,Ricky Barnes,87
2023,126,0,51491,Brandon Matthews,87
2023,127,0,51950,Max McGreevy,84
2023,128,0,52411,Kyle Westmoreland,83
2023,129,0,31557,Jim Herman,82
2023,130,0,19803,Ryan Armour,72
2023,131,0,24924,Bill Haas,65
2023,132,0,34374,Erik Barnes,63
2023,133,0,33410,Andrew Landry,62
2023,134,0,30750,Tommy Gainey,59
2023,135,0,29478,Kevin Kisner,55
2023,136,0,27963,Chris Stroud,51
2023,137,0,31560,Brian Stuard,51
2023,138,0,25240,D.A. Points,48
2023,139,0,23788,D.J. Trahan,44
2023,140,0,27556,Ted Potter Jr.,43
2023,141,0,27649,Brandt Snedeker,41
2023,142,0,19846,Brian Gay,38
2023,143,0,30110,Kyle Stanley,35
2023,144,0,49303,Anders Albertson,34
2023,145,0,24358,Robert Garrigus,31
2023,146,0,37273,Derek Ernst,27
2023,147,0,27797,Derek Lamely,26
2023,148,0,27095,Nick Watney,26
2023,149,0,29479,Scott Brown,22
2023,150,0,23541,Ben Crane,15
2023,151,0,8793,Tiger Woods,11
2023,152,0,1226,Fred Couples,9
2023,153,0,27141,J.B. Holmes,7
2023,154,0,8075,Jerry Kelly,7
2023,155,0,23623,Bo Van Pelt,6
2023,156,0,26679,Kevin Stadler,6
2023,157,0,24490,George McNeill,6
2022,1,0,46046,Scottie Scheffler,13180
2022,2,0,35450,Patrick Cantlay,11068
2022,3,0,48081,Xander Schauffele,9340
2022,4,0,47504,Sam Burns,9130
2022,5,0,33448,Justin Thomas,8718
2022,6,0,29725,Tony Finau,8575
2022,7,0,47483,Will Zalatoris,7986
2022,8,0,34046,Jordan Spieth,7214
2022,9,0,50525,Collin Morikawa,6727
2022,10,0,39977,Max Homa,6539
2022,11,0,29420,Billy Horschel,6047
2022,12,0,57366,Cameron Young,5511
2022,13,0,35532,Tom Hoge,5295
2022,14,0,49771,J.T. Poston,4593
2022,15,0,29478,Kevin Kisner,4519
