YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
2024,0,54591,Ben Griffin,479
2024,0,50188,S.H. Kim,446
2024,0,35532,Tom Hoge,444
2024,0,47591,Eric Cole,442
2024,0,40162,Justin Lower,436
2024,0,55893,Sam Stevens,427
2024,0,36801,Mark Hubbard,423
2024,0,36699,Patrick Rodgers,404
2024,0,46442,Maverick McNealy,403
2024,0,51349,Nico Echavarria,389
2024,0,39971,Sungjae Im,388
2024,0,58168,Davis Thompson,388
2024,0,51634,Sahith Theegala,385
2024,0,39546,Keith Mitchell,382
2024,0,40115,Adam Svensson,381
2024,0,52513,Carson Young,381
2024,0,52375,Doug Ghim,376
2024,0,35461,Beau Hossler,376
2024,0,57975,Harry Hall,375
2024,0,49947,Taylor Moore,374
2024,0,35506,Mackenzie Hughes,373
2024,0,57900,Chandler Phillips,372
2024,0,39975,Michael Kim,371
2024,0,25900,Lucas Glover,370
2024,0,37455,Si Woo Kim,370
2024,0,57362,Austin Eckroat,368
2024,0,49771,J.T. Poston,368
2024,0,46046,Scottie Scheffler,366
2024,0,60004,Jacob Bridgeman,363
2024,0,51696,Rico Hoey,362
2024,0,30927,Brendon Todd,361
2024,0,28252,Seamus Power,360
2024,0,48081,Xander Schauffele,359
2024,0,47347,Adam Schenk,356
2024,0,34076,Joel Dahmen,355
2024,0,51977,Max Greyserman,354
2024,0,34587,Chan Kim,354
2024,0,51997,Andrew Novak,354
2024,0,29725,Tony Finau,353
2024,0,39997,Corey Conners,350
2024,0,56630,Akshay Bhatia,347
2024,0,34099,Harris English,345
2024,0,51287,Ryo Hisatsune,345
2024,0,46414,Aaron Rai,345
2024,0,36799,Stephan Jaeger,344
2024,0,40250,Taylor Pendrith,344
2024,0,47988,Nick Hardy,343
2024,0,50525,Collin Morikawa,343
2024,0,40006,Erik van Rooyen,341
2024,0,47504,Sam Burns,340
2024,0,54628,Lee Hodges,340
2024,0,47983,Chad Ramey,340
2024,0,48867,Matti Schmid,339
2024,0,27644,Brian Harman,338
2024,0,47993,Denny McCarthy,337
2024,0,59836,Pierceson Coody,336
2024,0,55182,Tom Kim,336
2024,0,36884,Ben Kohles,336
2024,0,54783,Dylan Wu,336
2024,0,34255,Joseph Bramlett,335
2024,0,37275,Sam Ryder,335
2024,0,33399,Adam Hadwin,332
2024,0,30926,Chris Kirk,332
2024,0,39324,J.J. Spaun,327
2024,0,45157,Cam Davis,325
