YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
2024,1,0,46441,Robby Shelton,258,Valspar,4,14
2024,2,0,33204,Shane Lowry,256,Farmers,4,6
2024,3,0,47806,Raul Pereda,236,THE CJ CUP,1,7
2024,4,0,34466,Peter Malnati,223,Houston Open,4,7
2024,5,0,28775,Nate Lashley,217,Rocket Mortgage,1,11
2024,6,0,31323,Gary Woodland,216,RBC Canadian,2,11
2024,7,0,32367,Jorge Campillo,213,Houston Open,2,14
2024,8,0,39977,Max Homa,213,Wells Fargo,4,1
2024,9,0,34587,Chan Kim,209,Black Desert,1,13
2024,10,0,30926,Chris Kirk,205,FedEx St. Jude,1,14
2024,11,0,32070,Rafael Campos,205,Mexico Open,2,17
2024,12,0,54591,Ben Griffin,204,Black Desert,2,13
2024,13,0,34046,Jordan Spieth,199,Valero,1,16
2024,14,0,47988,Nick Hardy,199,THE CJ CUP,1,13
2024,15,0,30852,Ryo Ishikawa,198,ZOZO CHAMPIONSHIP,2,17
2024,16,0,59866,Nick Dunlap,197,Cognizant Classic,2,7
2024,17,0,23108,Matt Kuchar,196,John Deere,1,18
2024,18,0,48887,Matt Wallace,195,RBC Canadian,1,18
2024,19,0,25198,Francesco Molinari,194,U.S. Open,2,9
2024,19,0,49960,Sepp Straka,194,U.S. Open,2,9
2024,21,0,36326,David Lipsky,193,Sony Open,2,13
2024,22,0,46646,Antoine Rozner,190,Genesis Scottish Open,3,7
2024,23,0,25900,Lucas Glover,189,Wyndham,2,12
2024,23,0,60067,Joe Highsmith,189,Wyndham,2,12
2024,25,0,52372,Cameron Champ,188,Black Desert,1,13
2024,26,0,39997,Corey Conners,184,BMW Championship,2,5
2024,27,0,47483,Will Zalatoris,184,Genesis,2,14
2024,28,0,34255,Joseph Bramlett,182,Sony Open,2,6
2024,29,0,55708,Hayden Buckley,178,3M Open,2,17
2024,30,0,54421,Garrick Higgo,174,Houston Open,3,10
2024,31,0,46405,Sebastian Soderberg,173,PGA Championship,2,8
2024,32,0,46414,Aaron Rai,171,THE PLAYERS,3,14
2024,33,0,46046,Scottie Scheffler,167,PGA Championship,1,1
2024,34,0,32839,Hideki Matsuyama,165,Farmers,2,8
2024,35,0,40026,Daniel Berger,158,WM Phoenix Open,1,2
2024,36,0,51696,Rico Hoey,156,Valspar,2,14
2024,37,0,32791,K.H. Lee,154,Sony Open,3,12
2024,38,0,47993,Denny McCarthy,152,Travelers,1,14
2024,39,0,45522,Christiaan Bezuidenhout,151,RBC Heritage,4,16
2024,40,0,39546,Keith Mitchell,151,Valspar,3,18
2024,41,0,25493,Nick Taylor,150,FedEx St. Jude,2,9
2024,42,0,48084,Wesley Bryan,150,3M Open,3,14
2024,43,0,38991,Alejandro Tosti,149,Wyndham,2,11
2024,44,0,35506,Mackenzie Hughes,148,Procore,2,4
2024,45,0,45523,Thriston Lawrence,147,Myrtle Beach,1,2
2024,46,0,26476,Chez Reavie,145,Wyndham,2,2
2024,47,0,32640,Troy Merritt,144,Procore,2,6
2024,48,0,29420,Billy Horschel,143,Wyndham,1,2
2024,49,0,57366,Cameron Young,142,Travelers,3,3
2024,50,0,39975,Michael Kim,142,The RSM Classic,1,1
2024,51,0,29908,C.T. Pan,142,Sanderson Farms,1,11
