YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,37212,Paul Barjon,"44' 4""",5633.833,127,-26
2024,0,52215,Robert MacIntyre,"44' 10""",8791.833,196,-40
2024,0,48117,Kurt Kitayama,"45' 2""",9932.833,220,-62
2024,0,39975,Michael Kim,"45' 3""",8330.583,184,-48
2024,0,56149,Wilson Furr,"45' 4""",5436.083,120,-28
2024,0,39546,Keith Mitchell,"45' 4""",11238.667,248,-85
2024,0,48081,Xander Schauffele,"45' 4""",11644.333,257,-79
2024,0,59143,Mac Meissner,"45' 5""",8854.167,195,-58
2024,0,57900,Chandler Phillips,"45' 6""",11056.333,243,-53
2024,0,48084,Wesley Bryan,"45' 7""",4424.667,97,-23
2024,0,35532,Tom Hoge,"45' 11""",13994.75,305,-70
2024,0,39324,J.J. Spaun,"45' 11""",9875.75,215,-73
2024,0,52666,Sami Valimaki,"46' 1""",9120.083,198,-57
2024,0,51997,Andrew Novak,"46' 2""",11120.917,241,-61
2024,0,47663,Kevin Dougherty,"46' 4""",6944.583,150,-40
2024,0,46717,Viktor Hovland,"46' 5""",8489.0,183,-42
2024,0,33968,Thorbjørn Olesen,"46' 6""",6415.417,138,-29
2024,0,47420,Jake Knapp,"46' 8""",9942.5,213,-31
2024,0,32757,Patton Kizzire,"46' 11""",7555.083,161,-29
2024,0,47988,Nick Hardy,"47' 0""",10758.25,229,-80
2024,0,52514,Trace Crowe,"47' 1""",7909.583,168,-30
2024,0,33948,Byeong Hun An,"47' 2""",8875.0,188,-44
2024,0,51977,Max Greyserman,"47' 3""",8738.583,185,-42
2024,0,54576,Patrick Fishburn,"47' 4""",7625.5,161,-45
2024,0,48867,Matti Schmid,"47' 6""",8830.833,186,-48
2024,0,56630,Akshay Bhatia,"47' 10""",13009.917,272,-63
2024,0,45522,Christiaan Bezuidenhout,"48' 0""",11084.833,231,-42
2024,0,29725,Tony Finau,"48' 0""",11511.417,240,-57
2024,0,60067,Joe Highsmith,"48' 0""",8546.667,178,-48
2024,0,39971,Sungjae Im,"48' 0""",13111.75,273,-76
2024,0,52955,Ludvig Åberg,"48' 1""",11353.667,236,-71
2024,0,46414,Aaron Rai,"48' 1""",15091.583,314,-69
2024,0,48887,Matt Wallace,"48' 1""",9621.167,200,-50
2024,0,32366,Kevin Chappell,"48' 2""",5252.167,109,-24
2024,0,37378,Min Woo Lee,"48' 2""",9051.583,188,-53
2024,0,27129,Luke List,"48' 3""",10278.917,213,-54
2024,0,46046,Scottie Scheffler,"48' 6""",11149.917,230,-71
2024,0,50095,Austin Smotherman,"48' 6""",5869.833,121,-38
2024,0,34076,Joel Dahmen,"48' 7""",11215.333,231,-33
2024,0,38991,Alejandro Tosti,"48' 7""",7575.25,156,-31
2024,0,55454,Carl Yuan,"48' 7""",7242.667,149,-32
2024,0,39997,Corey Conners,"48' 8""",13971.083,287,-64
2024,0,46442,Maverick McNealy,"48' 8""",12024.583,247,-66
2024,0,23320,Ryan Palmer,"48' 8""",5644.083,116,-22
2024,0,46340,Alex Smalley,"48' 8""",8960.833,184,-35
2024,0,48699,Callum Tarren,"48' 8""",7348.75,151,-21
2024,0,60004,Jacob Bridgeman,"48' 9""",8331.5,171,-45
2024,0,52453,Nicolai Højgaard,"48' 9""",6673.25,137,-17
2024,0,32367,Jorge Campillo,"48' 10""",7373.25,151,-43
2024,0,32640,Troy Merritt,"48' 10""",9038.917,185,-34
2024,0,57366,Cameron Young,"48' 10""",11970.667,245,-54
2024,0,25900,Lucas Glover,"48' 11""",12917.583,264,-35
2024,0,29420,Billy Horschel,"48' 11""",11104.583,227,-47
2024,0,32839,Hideki Matsuyama,"48' 11""",10614.667,217,-55
2024,0,52513,Carson Young,"48' 11""",12374.667,253,-51
2024,0,29936,Ryan Fox,"49' 0""",9217.833,188,-40
2024,0,40026,Daniel Berger,"49' 1""",9965.917,203,-55
2024,0,32070,Rafael Campos,"49' 1""",6969.833,142,-30
2024,0,27064,Jhonattan Vegas,"49' 1""",8877.25,181,-51
2024,0,40098,Matt Fitzpatrick,"49' 2""",9838.75,200,-52
2024,0,33204,Shane Lowry,"49' 2""",10861.5,221,-40
2024,0,46113,Ryan McCormick,"49' 2""",6344.833,129,-13
2024,0,48319,Tom Whitney,"49' 2""",8212.167,167,-35
2024,0,45242,Kevin Yu,"49' 3""",9459.917,192,-59
2024,0,47983,Chad Ramey,"49' 4""",10803.167,219,-46
2024,0,27214,Kevin Streelman,"49' 4""",7937.5,161,-34
2024,0,33399,Adam Hadwin,"49' 5""",13146.333,266,-33
2024,0,28237,Rory McIlroy,"49' 5""",9780.917,198,-63
2024,0,26476,Chez Reavie,"49' 6""",9153.0,185,-28
2024,0,54628,Lee Hodges,"49' 7""",14784.333,298,-58
2024,0,34587,Chan Kim,"49' 8""",11869.833,239,-59
2024,0,34046,Jordan Spieth,"49' 8""",10723.25,216,-44
2024,0,47483,Will Zalatoris,"49' 8""",9682.583,195,-36
2024,0,35450,Patrick Cantlay,"49' 9""",9602.833,193,-46
2024,0,47591,Eric Cole,"49' 9""",15323.833,308,-81
2024,0,33653,Thomas Detry,"49' 9""",10991.333,221,-46
2024,0,51696,Rico Hoey,"49' 9""",10291.667,207,-57
2024,0,55182,Tom Kim,"49' 9""",12480.75,251,-59
2024,0,33141,Keegan Bradley,"49' 10""",11814.417,237,-62
2024,0,37455,Si Woo Kim,"49' 10""",14938.333,300,-69
2024,0,40115,Adam Svensson,"49' 10""",16892.75,339,-60
2024,0,40006,Erik van Rooyen,"49' 10""",10616.917,213,-60
2024,0,54421,Garrick Higgo,"49' 11""",8439.917,169,-41
2024,0,33448,Justin Thomas,"49' 11""",10740.75,215,-52
2024,0,47504,Sam Burns,"50' 0""",11552.0,231,-71
2024,0,52372,Cameron Champ,"50' 0""",6903.5,138,-45
2024,0,45157,Cam Davis,"50' 0""",12108.917,242,-53
2024,0,52375,Doug Ghim,"50' 0""",14009.25,280,-61
2024,0,28420,Ryan Brehm,"50' 1""",6914.5,138,-34
2024,0,31646,Emiliano Grillo,"50' 1""",13623.417,272,-48
2024,0,48153,Matthieu Pavon,"50' 1""",9713.0,194,-32
2024,0,12716,Charley Hoffman,"50' 2""",9530.667,190,-36
2024,0,36871,Matt NeSmith,"50' 2""",8979.417,179,-31
2024,0,48119,Ben Taylor,"50' 4""",7603.0,151,-21
2024,0,54591,Ben Griffin,"50' 5""",14215.75,282,-66
2024,0,47993,Denny McCarthy,"50' 5""",12298.25,244,-42
2024,0,51634,Sahith Theegala,"50' 5""",14508.917,288,-60
2024,0,50493,Justin Suh,"50' 6""",9387.917,186,-33
2024,0,50497,Adrien Dumont de Chassart,"50' 7""",8350.0,165,-29
2024,0,51766,Wyndham Clark,"50' 8""",9885.75,195,-47
2024,0,59866,Nick Dunlap,"50' 8""",10999.917,217,-53
2024,0,24502,Adam Scott,"50' 8""",10533.0,208,-46
2024,0,34255,Joseph Bramlett,"50' 9""",11062.5,218,-67
2024,0,28775,Nate Lashley,"50' 9""",10601.0,209,-40
2024,0,40250,Taylor Pendrith,"50' 9""",10968.333,216,-55
2024,0,27139,David Skinns,"50' 9""",9686.667,191,-47
2024,0,50188,S.H. Kim,"50' 10""",13874.917,273,-55
2024,0,47806,Raul Pereda,"50' 10""",5942.833,117,-15
2024,0,36699,Patrick Rodgers,"50' 10""",13973.5,275,-76
2024,0,40058,Zac Blair,"50' 11""",14500.0,285,-20
2024,0,39327,Ben Silverman,"50' 11""",11202.917,220,-38
2024,0,55893,Sam Stevens,"50' 11""",12059.583,237,-62
2024,0,36801,Mark Hubbard,"51' 0""",17024.25,334,-68
2024,0,26596,Ryan Moore,"51' 0""",11328.167,222,-30
2024,0,51070,Vincent Norrman,"51' 0""",7491.5,147,-15
2024,0,35310,Lanto Griffin,"51' 2""",9669.167,189,-39
2024,0,39977,Max Homa,"51' 3""",12923.5,252,-46
2024,0,28252,Seamus Power,"51' 3""",15009.167,293,-76
2024,0,57362,Austin Eckroat,"51' 4""",15645.0,305,-41
2024,0,51287,Ryo Hisatsune,"51' 4""",12158.167,237,-39
2024,0,57975,Harry Hall,"51' 5""",10176.583,198,-63
2024,0,36799,Stephan Jaeger,"51' 5""",13273.75,258,-47
2024,0,46441,Robby Shelton,"51' 7""",10775.75,209,-33
2024,0,49947,Taylor Moore,"51' 8""",14869.833,288,-46
2024,0,50484,Hayden Springer,"51' 8""",9355.917,181,-41
2024,0,22405,Justin Rose,"51' 9""",9736.167,188,-33
2024,0,51349,Nico Echavarria,"51' 11""",12308.167,237,-57
2024,0,36884,Ben Kohles,"51' 11""",14317.667,276,-28
2024,0,40162,Justin Lower,"51' 11""",12774.333,246,-34
2024,0,30911,Tommy Fleetwood,"52' 0""",13892.583,267,-52
2024,0,51890,Greyson Sigg,"52' 0""",11650.167,224,-35
2024,0,29221,Webb Simpson,"52' 0""",7742.5,149,-26
2024,0,31323,Gary Woodland,"52' 0""",10965.0,211,-47
2024,0,29535,Brice Garnett,"52' 1""",8647.583,166,-43
2024,0,29908,C.T. Pan,"52' 1""",9901.75,190,-36
2024,0,27644,Brian Harman,"52' 2""",15189.0,291,-51
2024,0,30163,Henrik Norlander,"52' 2""",9020.583,173,-30
2024,0,34021,Bud Cauley,"52' 5""",7971.417,152,-25
2024,0,59442,Parker Coody,"52' 5""",7237.5,138,-25
2024,0,59095,Chris Gotterup,"52' 5""",9491.75,181,-27
2024,0,36326,David Lipsky,"52' 6""",9863.75,188,-46
2024,0,45609,Tyler Duncan,"52' 7""",9725.083,185,-34
2024,0,47679,Victor Perez,"52' 8""",10052.0,191,-34
2024,0,49771,J.T. Poston,"52' 9""",13563.0,257,-51
2024,0,47347,Adam Schenk,"52' 9""",13033.25,247,-58
2024,0,25493,Nick Taylor,"52' 10""",13365.333,253,-40
2024,0,33486,Roger Sloan,"52' 11""",8367.25,158,-22
2024,0,58168,Davis Thompson,"52' 11""",13588.917,257,-52
2024,0,59836,Pierceson Coody,"53' 0""",8958.917,169,-31
2024,0,60767,Blaine Hale Jr.,"53' 1""",5945.083,112,-9
2024,0,27349,Alex Noren,"53' 2""",11906.583,224,-47
2024,0,52374,Brandon Wu,"53' 3""",10909.75,205,-31
2024,0,37275,Sam Ryder,"53' 4""",11098.333,208,-43
2024,0,49960,Sepp Straka,"53' 8""",13200.667,246,-45
2024,0,54783,Dylan Wu,"53' 8""",11801.333,220,-39
2024,0,35506,Mackenzie Hughes,"53' 9""",16022.417,298,-81
2024,0,34563,Chesson Hadley,"53' 10""",9897.833,184,-43
2024,0,55789,Taylor Montgomery,"53' 10""",6241.583,116,-15
2024,0,24024,Zach Johnson,"54' 1""",8008.333,148,-27
2024,0,27936,Martin Laird,"54' 1""",9785.0,181,-25
2024,0,34374,Erik Barnes,"54' 5""",6803.833,125,-3
2024,0,34256,Andrew Putnam,"54' 7""",14956.75,274,-39
2024,0,47995,Davis Riley,"54' 7""",11625.333,213,-42
2024,0,55708,Hayden Buckley,"54' 8""",10826.75,198,-29
2024,0,28089,Jason Day,"54' 8""",11926.0,218,-40
2024,0,32102,Rickie Fowler,"54' 11""",11430.5,208,-29
2024,0,30926,Chris Kirk,"55' 0""",13144.917,239,-26
2024,0,23108,Matt Kuchar,"55' 0""",12256.417,223,-23
2024,0,34099,Harris English,"55' 1""",14814.333,269,-67
2024,0,22371,Aaron Baddeley,"55' 2""",9706.75,176,-24
2024,0,34098,Russell Henley,"55' 4""",12671.5,229,-52
2024,0,34466,Peter Malnati,"55' 5""",10476.25,189,-27
2024,0,33408,Tyson Alexander,"55' 9""",10032.083,180,-28
2024,0,27330,Josh Teater,"55' 10""",6869.667,123,-6
2024,0,50525,Collin Morikawa,"56' 0""",15011.833,268,-68
2024,0,51894,Vince Whaley,"56' 0""",8450.667,151,-18
2024,0,30927,Brendon Todd,"56' 4""",17680.083,314,-32
2024,0,35617,Martin Trainer,"56' 5""",6599.667,117,-15
2024,0,32333,Kevin Tway,"56' 6""",8415.583,149,-39
2024,0,35461,Beau Hossler,"57' 2""",14974.333,262,-62
2024,0,27770,Camilo Villegas,"57' 2""",7262.167,127,-3
2024,0,29478,Kevin Kisner,"57' 4""",7859.25,137,-8
2024,0,32791,K.H. Lee,"58' 9""",12924.0,220,-37
2024,0,27649,Brandt Snedeker,"61' 10""",11307.917,183,-2
2023,0,58696,Peter Kuest,"43' 8""",5021.833,115,-37
2023,0,51491,Brandon Matthews,"45' 0""",4680.5,104,-6
2023,0,36724,Augusto Núñez,"45' 1""",7163.75,159,-43
2023,0,46970,Jon Rahm,"45' 8""",8729.667,191,-51
2023,0,28237,Rory McIlroy,"46' 1""",7782.833,169,-47
2023,0,12716,Charley Hoffman,"46' 3""",7764.75,168,-36
2023,0,32333,Kevin Tway,"46' 11""",9705.667,207,-72
2023,0,50095,Austin Smotherman,"47' 5""",10479.917,221,-47
2023,0,47591,Eric Cole,"48' 0""",14453.667,301,-55
2023,0,25900,Lucas Glover,"48' 0""",11760.583,245,-34
2023,0,39335,Kevin Roy,"48' 1""",7600.0,158,-36
2023,0,47988,Nick Hardy,"48' 3""",12357.25,256,-42
2023,0,35532,Tom Hoge,"48' 3""",11973.583,248,-54
2023,0,55182,Tom Kim,"48' 3""",12359.083,256,-68
2023,0,33141,Keegan Bradley,"48' 4""",10626.417,220,-61
2023,0,36799,Stephan Jaeger,"48' 4""",15332.083,317,-87
2023,0,50493,Justin Suh,"48' 4""",13832.917,286,-32
2023,0,48867,Matti Schmid,"48' 6""",7183.083,148,-27
2023,0,39067,MJ Daffue,"48' 7""",10588.75,218,-50
2023,0,36871,Matt NeSmith,"48' 7""",12723.5,262,-39
2023,0,45242,Kevin Yu,"48' 7""",7097.167,146,-37
2023,0,35901,Paul Haley II,"48' 9""",10188.917,209,-15
2023,0,51070,Vincent Norrman,"48' 9""",9609.0,197,-53
2023,0,23320,Ryan Palmer,"48' 10""",9960.25,204,-36
2023,0,29725,Tony Finau,"48' 11""",10911.833,223,-58
2023,0,31323,Gary Woodland,"48' 11""",11299.75,231,-29
2023,0,52955,Ludvig Åberg,"49' 0""",6567.667,134,-51
2023,0,47347,Adam Schenk,"49' 2""",13561.5,276,-61
2023,0,58168,Davis Thompson,"49' 2""",13480.167,274,-85
2023,0,45157,Cam Davis,"49' 4""",10266.0,208,-45
2023,0,46601,Trey Mullinax,"49' 4""",8977.333,182,-36
2023,0,56630,Akshay Bhatia,"49' 5""",8751.5,177,-39
2023,0,46717,Viktor Hovland,"49' 5""",11321.667,229,-60
2023,0,50525,Collin Morikawa,"49' 5""",10830.917,219,-59
2023,0,47128,Richy Werenski,"49' 5""",9776.833,198,-51
2023,0,49947,Taylor Moore,"49' 6""",11691.167,236,-48
2023,0,37455,Si Woo Kim,"49' 7""",15225.667,307,-74
2023,0,27129,Luke List,"49' 7""",11652.667,235,-41
2023,0,26476,Chez Reavie,"49' 8""",13459.083,271,-43
2023,0,39971,Sungjae Im,"49' 10""",13849.75,278,-79
2023,0,34255,Joseph Bramlett,"49' 11""",9580.167,192,-40
2023,0,29289,S.Y. Noh,"49' 11""",6484.167,130,-18
2023,0,57362,Austin Eckroat,"50' 1""",11819.833,236,-44
2023,0,46046,Scottie Scheffler,"50' 1""",11924.667,238,-71
2023,0,57366,Cameron Young,"50' 2""",9831.0,196,-47
2023,0,49453,Trevor Cone,"50' 4""",8601.583,171,-25
2023,0,47079,Harrison Endycott,"50' 4""",10466.583,208,-50
2023,0,40115,Adam Svensson,"50' 4""",17014.75,338,-89
2023,0,51766,Wyndham Clark,"50' 5""",11950.917,237,-61
2023,0,48119,Ben Taylor,"50' 5""",10592.25,210,-29
2023,0,40098,Matt Fitzpatrick,"50' 6""",10006.25,198,-53
2023,0,47995,Davis Riley,"50' 6""",11454.167,227,-40
2023,0,46441,Robby Shelton,"50' 6""",12477.5,247,-42
2023,0,55893,Sam Stevens,"50' 6""",11862.5,235,-21
2023,0,49960,Sepp Straka,"50' 6""",12074.583,239,-32
2023,0,32839,Hideki Matsuyama,"50' 8""",12064.167,238,-47
2023,0,29221,Webb Simpson,"50' 8""",8305.167,164,-40
2023,0,35450,Patrick Cantlay,"50' 9""",10659.417,210,-49
2023,0,51997,Andrew Novak,"50' 9""",10092.583,199,-51
2023,0,52513,Carson Young,"50' 9""",12183.417,240,-33
2023,0,52372,Cameron Champ,"50' 10""",8284.583,163,-31
2023,0,52453,Nicolai Hojgaard,"50' 10""",4119.25,81,-19
2023,0,27974,Sung Kang,"50' 10""",4115.5,81,-19
2023,0,30692,Scott Stallings,"50' 10""",10070.75,198,-44
2023,0,31577,Tano Goya,"50' 11""",10278.25,202,-44
2023,0,32640,Troy Merritt,"50' 11""",10496.75,206,-43
2023,0,32139,Danny Willett,"50' 11""",7792.25,153,-31
2023,0,33653,Thomas Detry,"51' 0""",9489.75,186,-35
2023,0,37338,Zecheng Dou,"51' 0""",11062.833,217,-46
2023,0,52375,Doug Ghim,"51' 0""",12141.333,238,-65
2023,0,27644,Brian Harman,"51' 0""",13048.417,256,-48
2023,0,36801,Mark Hubbard,"51' 0""",14322.25,281,-58
2023,0,51634,Sahith Theegala,"51' 0""",12436.583,244,-52
2023,0,24140,Sean O'Hair,"51' 1""",5055.833,99,-14
2023,0,32757,Patton Kizzire,"51' 2""",11610.667,227,-54
2023,0,24502,Adam Scott,"51' 2""",7271.25,142,-29
2023,0,32662,Michael Gligic,"51' 3""",7378.5,144,-32
2023,0,39954,Cody Gribble,"51' 3""",7274.75,142,-29
