YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
2024,0,48081,Xander Schauffele,70.27%,52,74
2024,0,22371,Aaron Baddeley,68.75%,55,80
2024,0,55454,Carl Yuan,68.33%,41,60
2024,0,34098,Russell Henley,67.44%,58,86
2024,0,47420,Jake Knapp,65.71%,46,70
2024,0,54783,Dylan Wu,65.67%,44,67
2024,0,27349,Alex Noren,65.33%,49,75
2024,0,51997,Andrew Novak,64.94%,50,77
2024,0,35461,Beau Hossler,64.56%,51,79
2024,0,46441,Robby Shelton,64.47%,49,76
2024,0,39327,Ben Silverman,63.75%,51,80
2024,0,39977,Max Homa,63.33%,57,90
2024,0,22405,Justin Rose,63.16%,48,76
2024,0,26476,Chez Reavie,63.08%,41,65
2024,0,52215,Robert MacIntyre,62.07%,54,87
2024,0,55789,Taylor Montgomery,61.82%,34,55
2024,0,34021,Bud Cauley,61.36%,27,44
2024,0,47993,Denny McCarthy,61.29%,57,93
2024,0,37455,Si Woo Kim,60.98%,50,82
2024,0,47483,Will Zalatoris,60.87%,42,69
2024,0,59143,Mac Meissner,60.32%,38,63
2024,0,52375,Doug Ghim,60.27%,44,73
2024,0,27936,Martin Laird,60.00%,36,60
2024,0,35617,Martin Trainer,60.00%,24,40
2024,0,48887,Matt Wallace,60.00%,30,50
2024,0,50188,S.H. Kim,59.54%,78,131
2024,0,30911,Tommy Fleetwood,59.49%,47,79
2024,0,40098,Matt Fitzpatrick,59.46%,44,74
2024,0,35450,Patrick Cantlay,59.38%,38,64
2024,0,45522,Christiaan Bezuidenhout,59.26%,48,81
2024,0,32839,Hideki Matsuyama,59.26%,48,81
2024,0,40115,Adam Svensson,59.22%,61,103
2024,0,23320,Ryan Palmer,59.09%,26,44
2024,0,46414,Aaron Rai,59.09%,39,66
2024,0,34099,Harris English,58.97%,46,78
2024,0,47806,Raul Pereda,58.93%,33,56
2024,0,50525,Collin Morikawa,58.75%,47,80
2024,0,51766,Wyndham Clark,58.67%,44,75
2024,0,33948,Byeong Hun An,58.62%,34,58
2024,0,54628,Lee Hodges,58.02%,47,81
2024,0,29420,Billy Horschel,58.02%,47,81
