YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2024,0,46046,Scottie Scheffler,85.19%,92,108,-0.28
2024,0,25900,Lucas Glover,84.57%,137,162,-0.42
2024,0,29908,C.T. Pan,84.25%,107,127,-0.29
2024,0,36326,David Lipsky,83.93%,94,112,-0.28
2024,0,47679,Victor Perez,83.52%,76,91,-0.39
2024,0,47483,Will Zalatoris,83.15%,74,89,-0.16
2024,0,26596,Ryan Moore,82.86%,87,105,-0.31
2024,0,30911,Tommy Fleetwood,82.69%,86,104,-0.33
2024,0,32757,Patton Kizzire,82.50%,99,120,-0.38
2024,0,27064,Jhonattan Vegas,82.44%,108,131,-0.27
2024,0,35532,Tom Hoge,82.35%,140,170,-0.38
2024,0,32839,Hideki Matsuyama,82.26%,102,124,-0.37
2024,0,33948,Byeong Hun An,82.14%,115,140,-0.24
2024,0,32333,Kevin Tway,82.05%,64,78,-0.19
2024,0,36884,Ben Kohles,81.82%,108,132,-0.27
2024,0,48084,Wesley Bryan,81.71%,67,82,-0.22
2024,0,32367,Jorge Campillo,81.54%,53,65,-0.13
2024,0,40026,Daniel Berger,81.44%,79,97,-0.23
2024,0,34256,Andrew Putnam,81.31%,87,107,-0.25
2024,0,52374,Brandon Wu,81.20%,95,117,-0.26
2024,0,39997,Corey Conners,80.79%,122,151,-0.31
2024,0,29478,Kevin Kisner,80.26%,61,76,-0.23
2024,0,33486,Roger Sloan,80.15%,105,131,-0.34
2024,0,54576,Patrick Fishburn,80.00%,96,120,-0.25
2024,0,35617,Martin Trainer,80.00%,68,85,-0.31
2024,0,54783,Dylan Wu,80.00%,104,130,-0.31
2024,0,30163,Henrik Norlander,79.78%,71,89,-0.23
2024,0,34076,Joel Dahmen,79.71%,110,138,-0.29
2024,0,55182,Tom Kim,79.53%,101,127,-0.24
2024,0,47988,Nick Hardy,79.33%,142,179,-0.26
2024,0,29420,Billy Horschel,79.28%,88,111,-0.31
2024,0,40162,Justin Lower,79.17%,133,168,-0.3
2024,0,49947,Taylor Moore,79.17%,133,168,-0.24
2024,0,52375,Doug Ghim,79.14%,129,163,-0.22
2024,0,35461,Beau Hossler,79.14%,129,163,-0.29
2024,0,47993,Denny McCarthy,79.07%,102,129,-0.4
2024,0,29535,Brice Garnett,78.95%,60,76,-0.3
2024,0,27936,Martin Laird,78.95%,90,114,-0.26
2024,0,46414,Aaron Rai,78.91%,101,128,-0.28
2024,0,27644,Brian Harman,78.77%,115,146,-0.31
2024,0,27770,Camilo Villegas,78.75%,63,80,-0.16
2024,0,60004,Jacob Bridgeman,78.74%,100,127,-0.37
2024,0,46113,Ryan McCormick,78.72%,74,94,-0.28
2024,0,51287,Ryo Hisatsune,78.68%,107,136,-0.22
2024,0,51977,Max Greyserman,78.57%,110,140,-0.31
2024,0,28775,Nate Lashley,78.57%,110,140,-0.27
2024,0,51766,Wyndham Clark,78.36%,105,134,-0.3
2024,0,24024,Zach Johnson,78.08%,57,73,-0.25
2024,0,27214,Kevin Streelman,78.01%,110,141,-0.29
2024,0,29725,Tony Finau,77.94%,106,136,-0.24
2024,0,28252,Seamus Power,77.91%,127,163,-0.22
2024,0,54628,Lee Hodges,77.78%,126,162,-0.23
2024,0,51997,Andrew Novak,77.78%,119,153,-0.24
2024,0,39327,Ben Silverman,77.71%,122,157,-0.32
2024,0,47983,Chad Ramey,77.62%,111,143,-0.27
2024,0,51894,Vince Whaley,77.57%,83,107,-0.23
2024,0,33968,Thorbjørn Olesen,77.42%,48,62,-0.25
2024,0,46340,Alex Smalley,77.42%,96,124,-0.26
2024,0,37275,Sam Ryder,77.27%,85,110,-0.19
2024,0,36871,Matt NeSmith,77.24%,95,123,-0.2
2024,0,39977,Max Homa,76.92%,90,117,-0.28
2024,0,27649,Brandt Snedeker,76.92%,80,104,-0.31
2024,0,33448,Justin Thomas,76.79%,86,112,-0.37
2024,0,36801,Mark Hubbard,76.77%,119,155,-0.35
2024,0,47504,Sam Burns,76.67%,115,150,-0.36
2024,0,25493,Nick Taylor,76.60%,108,141,-0.41
2024,0,52513,Carson Young,76.60%,108,141,-0.23
2024,0,58168,Davis Thompson,76.55%,111,145,-0.24
2024,0,51890,Greyson Sigg,76.52%,101,132,-0.19
2024,0,29221,Webb Simpson,76.52%,88,115,-0.26
2024,0,34587,Chan Kim,76.47%,117,153,-0.2
2024,0,28420,Ryan Brehm,76.34%,71,93,-0.17
2024,0,47806,Raul Pereda,76.32%,58,76,-0.24
2024,0,37378,Min Woo Lee,76.23%,93,122,-0.14
2024,0,50493,Justin Suh,76.13%,118,155,-0.27
2024,0,51634,Sahith Theegala,76.10%,121,159,-0.29
2024,0,48319,Tom Whitney,75.93%,82,108,-0.26
2024,0,32102,Rickie Fowler,75.81%,94,124,-0.27
2024,0,28237,Rory McIlroy,75.68%,84,111,-0.32
2024,0,45522,Christiaan Bezuidenhout,75.63%,90,119,-0.4
2024,0,27129,Luke List,75.63%,90,119,-0.27
2024,0,50497,Adrien Dumont de Chassart,75.59%,96,127,-0.31
2024,0,59442,Parker Coody,75.49%,77,102,-0.27
2024,0,31646,Emiliano Grillo,75.44%,86,114,-0.35
2024,0,22371,Aaron Baddeley,75.42%,89,118,-0.21
2024,0,35310,Lanto Griffin,75.21%,91,121,-0.24
2024,0,49771,J.T. Poston,75.19%,97,129,-0.44
2024,0,12716,Charley Hoffman,75.00%,102,136,-0.26
2024,0,23320,Ryan Palmer,75.00%,51,68,-0.16
2024,0,54591,Ben Griffin,74.85%,125,167,-0.35
2024,0,40250,Taylor Pendrith,74.84%,116,155,-0.34
2024,0,59836,Pierceson Coody,74.83%,107,143,-0.31
2024,0,34563,Chesson Hadley,74.83%,107,143,-0.34
2024,0,34255,Joseph Bramlett,74.82%,104,139,-0.22
2024,0,33204,Shane Lowry,74.78%,86,115,-0.24
2024,0,34098,Russell Henley,74.77%,80,107,-0.25
2024,0,56149,Wilson Furr,74.58%,88,118,-0.28
2024,0,48081,Xander Schauffele,74.58%,88,118,-0.32
2024,0,49960,Sepp Straka,74.53%,79,106,-0.39
2024,0,32366,Kevin Chappell,74.49%,73,98,-0.21
2024,0,60067,Joe Highsmith,74.45%,102,137,-0.3
2024,0,27349,Alex Noren,74.39%,61,82,-0.26
2024,0,48119,Ben Taylor,74.34%,84,113,-0.15
2024,0,40058,Zac Blair,74.32%,110,148,-0.32
2024,0,27139,David Skinns,74.29%,104,140,-0.27
2024,0,23108,Matt Kuchar,74.24%,98,132,-0.36
2024,0,40006,Erik van Rooyen,74.22%,95,128,-0.21
2024,0,50095,Austin Smotherman,74.16%,66,89,-0.2
2024,0,46442,Maverick McNealy,74.13%,106,143,-0.36
2024,0,57975,Harry Hall,74.02%,94,127,-0.27
2024,0,33141,Keegan Bradley,73.91%,102,138,-0.27
