YEAR,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
2024,0,50484,Hayden Springer,59,John Deere/TPC ,1
2024,0,57366,Cameron Young,59,Travelers/TPC R,3
2024,0,51766,Wyndham Clark,60,AT&T Pebble Bea,3
2024,0,59866,Nick Dunlap,60,The American Ex,3
2024,0,51977,Max Greyserman,60,Wyndham/Sedgefi,2
2024,0,35461,Beau Hossler,60,Wyndham/Sedgefi,1
2024,0,27139,David Skinns,60,Sanderson Farms,1
2024,0,40115,Adam Svensson,60,Black Desert/Bl,1
2024,0,25493,Nick Taylor,60,WM Phoenix Open,1
2024,0,48084,Wesley Bryan,61,Butterfield Ber,3
2024,0,47504,Sam Burns,61,The American Ex,2
2024,0,59836,Pierceson Coody,61,ISCO Championsh,1
2024,0,54190,Richard Mansell,61,Genesis Scottis,4
2024,0,33968,Thorbjørn Olesen,61,Myrtle Beach/Du,4
2024,0,40250,Taylor Pendrith,61,Shriners Childr,1
2024,0,49771,J.T. Poston,61,Sony Open/Waial,4
2024,0,22405,Justin Rose,61,Sentry/Plantati,4
2024,0,49960,Sepp Straka,61,Travelers/TPC R,4
2024,0,33448,Justin Thomas,61,The American Ex,3
2024,0,52666,Sami Valimaki,61,John Deere/TPC ,1
2024,0,52513,Carson Young,61,World Wide Tech,2
2024,0,52955,Ludvig Åberg,62,Travelers/TPC R,3
2024,0,60369,Sam Bairstow,62,ISCO Championsh,3
2024,0,32070,Rafael Campos,62,Butterfield Ber,3
2024,0,66743,Luke Clanton,62,Wyndham/Sedgefi,3
2024,0,47591,Eric Cole,62,John Deere/TPC ,1
2024,0,45157,Cam Davis,62,Sony Open/Waial,1
2024,0,50762,Alejandro Del Rey,62,Genesis Scottis,2
2024,0,47079,Harrison Endycott,62,The American Ex,3
2024,0,29725,Tony Finau,62,Houston Open/Me,2
2024,0,25900,Lucas Glover,62,Black Desert/Bl,4
2024,0,54591,Ben Griffin,62,John Deere/TPC ,4
2024,0,27644,Brian Harman,62,Travelers/TPC R,4
2024,0,34363,Tyrrell Hatton,62,Sentry/Plantati,2
2024,0,34098,Russell Henley,62,TOUR Championsh,4
2024,0,60067,Joe Highsmith,62,Black Desert/Bl,3
2024,0,35532,Tom Hoge,62,Travelers/TPC R,4
2024,0,29420,Billy Horschel,62,Wyndham/Sedgefi,1
2024,0,39971,Sungjae Im,62,ZOZO CHAMPIONSH,3
2024,0,24024,Zach Johnson,62,The American Ex,1
2024,0,39975,Michael Kim,62,Shriners Childr,4
2024,0,37455,Si Woo Kim,62,Genesis Scottis,4
2024,0,55182,Tom Kim,62,Travelers/TPC R,1
2024,0,48117,Kurt Kitayama,62,Sony Open/Waial,2
2024,0,33204,Shane Lowry,62,Travelers/TPC R,2
2024,0,52215,Robert MacIntyre,62,Travelers/TPC R,2
2024,0,32839,Hideki Matsuyama,62,Genesis/The Riv,4
2024,0,59141,Matt McCarty,62,Black Desert/Bl,1
2024,0,46442,Maverick McNealy,62,The RSM Classic,1
2024,0,32640,Troy Merritt,62,THE CJ CUP/TPC ,2
2024,0,39546,Keith Mitchell,62,The American Ex,4
2024,0,55420,Cooper Musselman,62,ISCO Championsh,2
2024,0,27349,Alex Noren,62,The American Ex,1
2024,0,30163,Henrik Norlander,62,Black Desert/Bl,1
2024,0,51997,Andrew Novak,62,Butterfield Ber,3
2024,0,48153,Matthieu Pavon,62,Travelers/TPC R,3
2024,0,28252,Seamus Power,62,ZOZO CHAMPIONSH,2
2024,0,26476,Chez Reavie,62,ISCO Championsh,2
2024,0,37275,Sam Ryder,62,Butterfield Ber,2
2024,0,48081,Xander Schauffele,62,PGA Championshi,1
2024,0,48867,Matti Schmid,62,Black Desert/Bl,4
2024,0,58168,Davis Thompson,62,John Deere/TPC ,3
2024,0,40026,Daniel Berger,63,The RSM Classic,3
2024,0,57330,Matthis Besard,63,ISCO Championsh,2
2024,0,45522,Christiaan Bezuidenhout,63,Wyndham/Sedgefi,3
2024,0,56630,Akshay Bhatia,63,Valero/TPC San ,1
2024,0,40058,Zac Blair,63,Wyndham/Sedgefi,2
2024,0,33141,Keegan Bradley,63,Sony Open/Waial,3
2024,0,60004,Jacob Bridgeman,63,3M Open/TPC Twi,1
2024,0,52372,Cameron Champ,63,3M Open/TPC Twi,4
2024,0,32366,Kevin Chappell,63,THE CJ CUP/TPC ,4
2024,0,52514,Trace Crowe,63,Myrtle Beach/Du,2
2024,0,28089,Jason Day,63,AT&T Pebble Bea,3
2024,0,33653,Thomas Detry,63,AT&T Pebble Bea,1
2024,0,51349,Nico Echavarria,63,World Wide Tech,2
2024,0,57362,Austin Eckroat,63,World Wide Tech,4
2024,0,54576,Patrick Fishburn,63,3M Open/TPC Twi,3
2024,0,40098,Matt Fitzpatrick,63,Travelers/TPC R,3
2024,0,31646,Emiliano Grillo,63,WM Phoenix Open,4
2024,0,57975,Harry Hall,63,John Deere/TPC ,1
