YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
2024,1,0,46046,Scottie Scheffler,25000000.0
2024,2,0,50525,Collin Morikawa,12500000.0
2024,3,0,51634,Sahith Theegala,7500000.0
2024,4,0,34098,Russell Henley,4833333.0
2024,4,0,48081,Xander Schauffele,4833333.0
2024,4,0,24502,Adam Scott,4833333.0
2024,7,0,39971,Sungjae Im,2750000.0
2024,8,0,51766,Wyndham Clark,2250000.0
2024,9,0,33204,Shane Lowry,1608333.0
2024,9,0,32839,Hideki Matsuyama,1608333.0
2024,9,0,28237,Rory McIlroy,1608333.0
2024,12,0,47504,Sam Burns,1000000.0
2024,12,0,46717,Viktor Hovland,1000000.0
2024,14,0,40250,Taylor Pendrith,905000.0
2024,14,0,33448,Justin Thomas,905000.0
2024,16,0,52955,Ludvig Åberg,795000.0
2024,17,0,35450,Patrick Cantlay,755000.0
2024,17,0,52215,Robert MacIntyre,755000.0
2024,17,0,48153,Matthieu Pavon,755000.0
2024,20,0,30911,Tommy Fleetwood,715000.0
2024,21,0,33948,Byeong Hun An,660000.0
2024,21,0,33141,Keegan Bradley,660000.0
2024,23,0,29725,Tony Finau,615000.0
2024,23,0,29420,Billy Horschel,615000.0
2024,23,0,46414,Aaron Rai,615000.0
2024,26,0,56630,Akshay Bhatia,590000.0
2024,27,0,30926,Chris Kirk,575000.0
2024,27,0,49960,Sepp Straka,575000.0
2024,29,0,45522,Christiaan Bezuidenhout,555000.0
2024,29,0,35532,Tom Hoge,555000.0
2024,31,0,27644,Brian Harman,250000.0
2024,32,0,37455,Si Woo Kim,236000.0
2024,33,0,28089,Jason Day,228000.0
2024,34,0,58168,Davis Thompson,221000.0
2024,35,0,47993,Denny McCarthy,214000.0
2024,36,0,45157,Cam Davis,211000.0
2024,37,0,27349,Alex Noren,209000.0
2024,38,0,47483,Will Zalatoris,208000.0
2024,39,0,39997,Corey Conners,207000.0
2024,40,0,40098,Matt Fitzpatrick,206000.0
2024,41,0,49771,J.T. Poston,205000.0
2024,42,0,33653,Thomas Detry,204000.0
2024,43,0,36799,Stephan Jaeger,203000.0
2024,44,0,57366,Cameron Young,202000.0
2024,45,0,57362,Austin Eckroat,201000.0
2024,46,0,39977,Max Homa,200000.0
2024,47,0,33399,Adam Hadwin,199000.0
2024,48,0,51977,Max Greyserman,198000.0
2024,49,0,59866,Nick Dunlap,197000.0
2024,50,0,47591,Eric Cole,196000.0
2024,51,0,55182,Tom Kim,195000.0
2024,52,0,35506,Mackenzie Hughes,194000.0
2024,53,0,46442,Maverick McNealy,193000.0
2024,54,0,36699,Patrick Rodgers,192000.0
2024,55,0,22405,Justin Rose,191000.0
2024,56,0,28252,Seamus Power,190000.0
2024,57,0,34099,Harris English,189000.0
2024,58,0,25493,Nick Taylor,188000.0
2024,59,0,47420,Jake Knapp,187000.0
2024,60,0,37378,Min Woo Lee,186000.0
2024,61,0,54591,Ben Griffin,185000.0
2024,62,0,40006,Erik van Rooyen,185000.0
2024,63,0,30927,Brendon Todd,185000.0
2024,64,0,49947,Taylor Moore,185000.0
2024,65,0,34466,Peter Malnati,185000.0
2024,66,0,34213,Grayson Murray,175000.0
2024,67,0,34046,Jordan Spieth,175000.0
2024,68,0,31646,Emiliano Grillo,175000.0
2024,69,0,36801,Mark Hubbard,175000.0
2024,70,0,27064,Jhonattan Vegas,175000.0
2024,71,0,47679,Victor Perez,140000.0
2024,72,0,47995,Davis Riley,140000.0
2024,73,0,34256,Andrew Putnam,140000.0
2024,74,0,48117,Kurt Kitayama,140000.0
2024,75,0,27129,Luke List,140000.0
2024,76,0,40115,Adam Svensson,140000.0
2024,77,0,39546,Keith Mitchell,140000.0
2024,78,0,25900,Lucas Glover,140000.0
2024,79,0,54628,Lee Hodges,140000.0
2024,80,0,47347,Adam Schenk,140000.0
2024,81,0,12716,Charley Hoffman,140000.0
2024,82,0,52453,Nicolai Højgaard,140000.0
2024,83,0,36884,Ben Kohles,140000.0
2024,84,0,51287,Ryo Hisatsune,140000.0
2024,85,0,35461,Beau Hossler,140000.0
2024,86,0,51997,Andrew Novak,130000.0
2024,87,0,57975,Harry Hall,130000.0
2024,88,0,29535,Brice Garnett,130000.0
2024,89,0,59143,Mac Meissner,130000.0
2024,90,0,45242,Kevin Yu,130000.0
2024,91,0,40162,Justin Lower,130000.0
2024,92,0,52375,Doug Ghim,130000.0
2024,93,0,29908,C.T. Pan,130000.0
2024,94,0,34587,Chan Kim,130000.0
2024,95,0,59095,Chris Gotterup,130000.0
2024,96,0,55893,Sam Stevens,130000.0
