YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
2024,1,0,48084,Wesley Bryan,2.708,307.488,113.563,166,197703496
2024,2,0,49960,Sepp Straka,2.694,300.097,111.389,283,207303655
2024,3,0,45609,Tyler Duncan,2.687,301.608,112.232,246,196303329
2024,4,1,34021,Bud Cauley,2.684,301.84,112.445,257,224403214
2024,5,-1,34076,Joel Dahmen,2.683,297.859,111.034,315,170203346
2024,6,0,29908,C.T. Pan,2.679,295.807,110.398,257,214403362
2024,7,0,33948,Byeong Hun An,2.678,319.141,119.193,291,183703616
2024,7,0,23108,Matt Kuchar,2.678,289.183,107.974,298,204703208
2024,7,0,59143,Mac Meissner,2.678,304.742,113.81,280,199703402
2024,7,3,51890,Greyson Sigg,2.678,296.443,110.678,315,195903176
2024,11,-1,34587,Chan Kim,2.677,305.13,113.995,293,170703400
2024,12,0,34563,Chesson Hadley,2.676,307.008,114.72,296,216403326
2024,13,1,52375,Doug Ghim,2.675,300.289,112.237,313,218803371
2024,13,2,32640,Troy Merritt,2.675,297.117,111.055,290,200303403
2024,13,0,47806,Raul Pereda,2.675,293.358,109.669,183,197003139
2024,16,1,50095,Austin Smotherman,2.674,303.161,113.372,176,209803135
2024,17,-2,23320,Ryan Palmer,2.673,300.494,112.432,178,221003405
2024,18,-1,26476,Chez Reavie,2.669,288.296,108.03,286,218903487
2024,19,0,29535,Brice Garnett,2.668,290.875,109.022,199,187603417
2024,19,1,27644,Brian Harman,2.668,294.714,110.449,375,223203637
2024,21,0,33141,Keegan Bradley,2.665,307.978,115.573,306,216403563
2024,22,0,27330,Josh Teater,2.664,300.173,112.697,193,205503191
2024,23,0,35461,Beau Hossler,2.663,304.252,114.245,367,219803354
2024,23,0,36326,David Lipsky,2.663,294.008,110.407,274,213803396
2024,23,2,52513,Carson Young,2.663,297.879,111.862,339,219903276
2024,26,0,34098,Russell Henley,2.659,294.434,110.745,295,219703768
2024,27,0,26596,Ryan Moore,2.658,290.437,109.265,328,209203246
2024,27,0,46340,Alex Smalley,2.658,309.894,116.6,255,202203234
2024,27,0,33448,Justin Thomas,2.658,313.047,117.794,229,187203524
2024,30,0,46717,Viktor Hovland,2.656,308.259,116.07,207,203503448
2024,31,1,60767,Blaine Hale Jr.,2.653,309.895,116.816,186,206603227
2024,32,-1,48319,Tom Whitney,2.652,300.159,113.162,245,178403294
2024,33,0,25493,Nick Taylor,2.65,296.526,111.901,340,212003643
2024,34,1,51287,Ryo Hisatsune,2.648,298.833,112.853,293,214803115
2024,35,-1,24024,Zach Johnson,2.646,286.829,108.405,217,224903255
2024,35,1,39975,Michael Kim,2.646,305.045,115.306,303,188703305
2024,37,-1,34374,Erik Barnes,2.645,304.898,115.27,210,210003159
2024,37,2,27770,Camilo Villegas,2.645,294.568,111.36,200,192003537
2024,39,0,40026,Daniel Berger,2.644,304.289,115.108,277,223003263
2024,39,-1,25900,Lucas Glover,2.644,294.084,111.247,342,212003521
2024,41,-2,57900,Chandler Phillips,2.643,296.874,112.325,334,2803273
2024,42,0,29420,Billy Horschel,2.642,301.906,114.278,299,154503482
2024,42,1,32757,Patton Kizzire,2.642,304.425,115.22,249,219703256
2024,44,-1,45157,Cam Davis,2.641,307.961,116.616,271,173603769
2024,44,2,40162,Justin Lower,2.641,298.859,113.161,365,214103454
2024,44,6,49771,J.T. Poston,2.641,298.508,113.02,364,198803596
2024,44,-1,58168,Davis Thompson,2.641,309.532,117.211,329,189303800
2024,48,-2,32366,Kevin Chappell,2.64,305.58,115.747,202,209403237
2024,48,-2,27214,Kevin Streelman,2.64,300.493,113.842,278,206703354
2024,48,-2,51634,Sahith Theegala,2.64,309.849,117.365,368,174203781
2024,51,-1,32102,Rickie Fowler,2.639,302.531,114.622,257,173103585
