YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
2024,51,-1,48119,Ben Taylor,2.639,304.836,115.514,230,199003239
2024,53,0,48117,Kurt Kitayama,2.638,316.673,120.04,209,196703464
2024,53,0,47993,Denny McCarthy,2.638,295.341,111.936,360,184503521
2024,53,0,39324,J.J. Spaun,2.638,305.017,115.615,336,206303192
2024,56,0,31646,Emiliano Grillo,2.637,297.809,112.941,328,216203814
2024,56,0,29221,Webb Simpson,2.637,300.399,113.924,231,217903096
2024,58,0,47988,Nick Hardy,2.636,308.447,117.017,357,190203458
2024,59,1,51349,Nico Echavarria,2.635,299.705,113.755,320,213403628
2024,59,0,57975,Harry Hall,2.635,306.55,116.349,291,197803412
2024,61,1,28775,Nate Lashley,2.634,294.705,111.877,296,220003262
2024,61,-1,34046,Jordan Spieth,2.634,309.862,117.619,282,204803483
2024,63,0,37212,Paul Barjon,2.632,317.981,120.795,189,210803296
2024,63,0,12716,Charley Hoffman,2.632,303.492,115.289,248,216903204
2024,63,0,30926,Chris Kirk,2.632,302.129,114.778,317,201603632
2024,66,0,30911,Tommy Fleetwood,2.631,303.316,115.298,271,229403704
2024,67,0,60004,Jacob Bridgeman,2.63,306.605,116.581,275,210303180
2024,67,0,52514,Trace Crowe,2.63,303.562,115.436,273,200103181
2024,67,0,39546,Keith Mitchell,2.63,313.586,119.254,335,201803242
2024,70,0,40250,Taylor Pendrith,2.629,316.397,120.342,323,220403386
2024,70,0,55893,Sam Stevens,2.629,311.21,118.366,350,205503377
2024,72,0,35450,Patrick Cantlay,2.628,309.961,117.962,257,189003479
2024,72,0,29936,Ryan Fox,2.628,315.62,120.097,221,180603243
2024,74,0,60067,Joe Highsmith,2.627,307.477,117.046,258,215103556
2024,74,0,36799,Stephan Jaeger,2.627,312.275,118.86,285,208103159
2024,74,0,55182,Tom Kim,2.627,299.872,114.151,335,207103729
2024,77,-3,32791,K.H. Lee,2.626,302.996,115.379,302,209603197
2024,77,1,22405,Justin Rose,2.626,301.152,114.679,231,2003610
2024,77,3,33486,Roger Sloan,2.626,297.078,113.14,233,1203239
2024,80,-2,32070,Rafael Campos,2.625,306.91,116.925,218,208703331
2024,80,0,47995,Davis Riley,2.625,305.524,116.406,306,206503520
2024,82,-2,27649,Brandt Snedeker,2.624,284.082,108.243,253,208503227
2024,82,-2,27064,Jhonattan Vegas,2.624,316.863,120.75,270,197703157
2024,84,0,57362,Austin Eckroat,2.623,302.458,115.315,335,192003238
2024,85,-1,56149,Wilson Furr,2.622,316.874,120.857,200,201803204
2024,85,-1,33399,Adam Hadwin,2.622,301.582,115.003,314,199203724
2024,85,-1,51997,Andrew Novak,2.622,301.734,115.083,293,179803301
2024,85,9,30927,Brendon Todd,2.622,285.379,108.857,403,202603600
2024,85,-1,55454,Carl Yuan,2.622,309.4,117.992,227,206403418
2024,90,-1,55708,Hayden Buckley,2.621,299.013,114.092,292,219903252
2024,90,-1,33204,Shane Lowry,2.621,301.352,114.96,288,213703281
2024,90,-1,50525,Collin Morikawa,2.621,300.82,114.79,260,215003910
2024,90,4,47983,Chad Ramey,2.621,297.613,113.544,315,199603151
2024,90,-1,54783,Dylan Wu,2.621,298.708,113.977,320,197703379
2024,95,2,34255,Joseph Bramlett,2.62,316.349,120.724,312,216503273
2024,95,-1,52666,Sami Valimaki,2.62,301.075,114.921,221,205003276
2024,95,3,48887,Matt Wallace,2.62,304.318,116.146,229,195503492
2024,98,-9,46113,Ryan McCormick,2.619,311.082,118.786,207,184303156
2024,99,1,47591,Eric Cole,2.618,300.862,114.905,393,203103555
2024,99,-1,54421,Garrick Higgo,2.618,312.614,119.403,297,209603303
2024,101,-1,51977,Max Greyserman,2.617,313.847,119.931,261,221903109
2024,101,-1,40006,Erik van Rooyen,2.617,310.675,118.701,319,603590
2024,103,0,59836,Pierceson Coody,2.616,313.333,119.795,291,4403206
2024,104,0,52955,Ludvig Åberg,2.615,312.225,119.376,269,203303506
2024,104,0,32367,Jorge Campillo,2.615,299.134,114.383,180,216403086
2024,104,0,39971,Sungjae Im,2.615,301.172,115.17,354,207603602
2024,104,0,32839,Hideki Matsuyama,2.615,302.784,115.8,277,208603361
2024,104,4,52374,Brandon Wu,2.615,295.014,112.816,294,182703205
2024,109,0,48867,Matti Schmid,2.613,309.764,118.553,268,205303091
2024,110,1,50188,S.H. Kim,2.611,307.442,117.74,369,193403137
2024,110,1,46046,Scottie Scheffler,2.611,311.264,119.209,282,210803511
2024,112,1,35532,Tom Hoge,2.61,300.971,115.299,389,204103420
2024,112,1,39327,Ben Silverman,2.61,294.211,112.727,361,216203178
2024,112,-2,50493,Justin Suh,2.61,302.298,115.824,283,172003277
2024,112,1,47483,Will Zalatoris,2.61,306.235,117.316,240,215403192
2024,116,0,35506,Mackenzie Hughes,2.608,301.7,115.69,391,219103519
2024,116,2,27936,Martin Laird,2.608,295.247,113.212,246,143203188
2024,118,-2,52215,Robert MacIntyre,2.607,308.195,118.234,263,200803144
2024,119,-1,47504,Sam Burns,2.606,312.33,119.857,278,166303544
2024,119,3,30163,Henrik Norlander,2.606,298.966,114.731,192,188503136
2024,119,-1,28252,Seamus Power,2.606,302.166,115.958,369,205703643
2024,119,2,38991,Alejandro Tosti,2.606,318.762,122.301,257,193003248
2024,123,-1,34099,Harris English,2.605,305.415,117.256,313,205003415
2024,124,-2,56630,Akshay Bhatia,2.604,302.443,116.13,334,192803435
2024,125,0,28089,Jason Day,2.603,305.806,117.482,258,209403309
2024,125,0,24502,Adam Scott,2.603,310.595,119.307,285,172703275
2024,127,0,54591,Ben Griffin,2.6,298.691,114.862,346,148103208
2024,127,2,46441,Robby Shelton,2.6,292.632,112.553,320,193003266
2024,129,-2,28237,Rory McIlroy,2.599,321.262,123.599,227,199403007
2024,130,-1,33408,Tyson Alexander,2.598,306.421,117.932,269,141503219
2024,130,-1,39997,Corey Conners,2.598,304.844,117.36,348,211303442
2024,130,2,35617,Martin Trainer,2.598,305.069,117.421,187,168803142
2024,133,-1,54628,Lee Hodges,2.597,298.54,114.94,351,189303544
2024,134,0,37455,Si Woo Kim,2.596,296.78,114.337,364,603538
2024,135,4,35310,Lanto Griffin,2.594,306.581,118.195,253,212803019
2024,135,5,32333,Kevin Tway,2.594,311.13,119.951,205,160603249
2024,137,-2,45522,Christiaan Bezuidenhout,2.593,291.899,112.59,328,146603337
2024,137,-2,29478,Kevin Kisner,2.593,286.053,110.305,239,126703236
2024,139,-2,51766,Wyndham Clark,2.592,317.523,122.499,241,151103442
2024,139,-2,33968,Thorbjørn Olesen,2.592,302.841,116.829,163,204103072
2024,141,1,50497,Adrien Dumont de Chassart,2.588,305.333,117.985,263,4603090
2024,142,-1,45242,Kevin Yu,2.587,307.963,119.06,272,206803158
2024,143,-1,36699,Patrick Rodgers,2.585,310.017,119.923,396,196903403
2024,144,0,54576,Patrick Fishburn,2.583,314.071,121.597,215,202803180
2024,145,0,36884,Ben Kohles,2.581,291.242,112.86,323,210203166
2024,146,0,39977,Max Homa,2.579,306.621,118.877,262,165403592
2024,147,0,40115,Adam Svensson,2.578,299.169,116.044,426,214003433
2024,147,1,51894,Vince Whaley,2.578,308.33,119.606,251,212403071
2024,149,-1,52453,Nicolai Højgaard,2.576,310.887,120.671,189,214803274
2024,150,0,40098,Matt Fitzpatrick,2.575,301.216,116.971,259,176803426
2024,150,6,48699,Callum Tarren,2.575,311.644,121.041,256,190703146
2024,152,-1,59866,Nick Dunlap,2.574,310.12,120.482,241,219003386
2024,152,-1,51696,Rico Hoey,2.574,313.059,121.604,263,222603336
2024,152,-1,51070,Vincent Norrman,2.574,314.419,122.141,199,168203418
2024,152,-1,57366,Cameron Young,2.574,313.861,121.929,315,196903329
2024,156,0,46442,Maverick McNealy,2.573,304.07,118.19,351,186303246
2024,157,2,34466,Peter Malnati,2.572,299.413,116.426,342,192903179
2024,157,-2,47679,Victor Perez,2.572,305.834,118.923,241,175803117
2024,159,5,22371,Aaron Baddeley,2.571,287.497,111.842,276,194203182
2024,159,-3,37378,Min Woo Lee,2.571,319.472,124.28,229,180503097
2024,159,0,50484,Hayden Springer,2.571,313.788,122.068,254,211703044
2024,162,-3,40058,Zac Blair,2.57,283.973,110.504,361,182803231
2024,162,1,36801,Mark Hubbard,2.57,296.906,115.513,394,208103252
2024,164,-5,52372,Cameron Champ,2.569,325.345,126.642,194,218303073
2024,165,-1,36871,Matt NeSmith,2.568,300.626,117.063,284,194503180
2024,165,-1,37275,Sam Ryder,2.568,296.623,115.509,298,187503193
2024,167,0,59442,Parker Coody,2.567,304.552,118.64,214,190103009
2024,167,0,49947,Taylor Moore,2.567,308.093,119.999,367,141403441
2024,169,0,27349,Alex Noren,2.566,298.242,116.218,213,205503234
2024,170,0,27129,Luke List,2.564,308.917,120.48,280,2903323
2024,171,0,46414,Aaron Rai,2.556,295.488,115.585,356,206703413
2024,172,0,28420,Ryan Brehm,2.553,306.666,120.126,208,4403060
2024,172,6,34256,Andrew Putnam,2.553,283.961,111.247,347,119003663
2024,174,-1,29725,Tony Finau,2.552,313.501,122.825,306,211803468
2024,174,-1,27139,David Skinns,2.552,305.236,119.584,296,173402995
2024,176,-1,47663,Kevin Dougherty,2.551,321.435,125.988,235,210803119
2024,177,-1,33653,Thomas Detry,2.549,308.997,121.226,239,205403268
2024,178,-1,59095,Chris Gotterup,2.545,317.739,124.853,257,170103038
2024,179,0,48153,Matthieu Pavon,2.543,302.404,118.919,210,196503501
2024,180,0,48081,Xander Schauffele,2.531,312.754,123.561,240,205303310
2024,181,0,31323,Gary Woodland,2.53,316.837,125.255,252,210803082
2024,182,0,47420,Jake Knapp,2.513,309.924,123.351,302,203403067
2024,183,0,47347,Adam Schenk,2.508,301.669,120.294,356,36303528
2024,184,0,55789,Taylor Montgomery,2.479,294.503,118.818,181,1203130
2023,1,0,29535,Brice Garnett,2.698,292.885,108.546,236,215403388
2023,2,0,26596,Ryan Moore,2.697,288.002,106.782,286,190703470
2023,3,0,19803,Ryan Armour,2.693,285.902,106.146,272,106203195
2023,4,0,33410,Andrew Landry,2.689,292.585,108.793,251,226603260
2023,4,0,26476,Chez Reavie,2.689,290.06,107.868,357,208203291
2023,6,0,32640,Troy Merritt,2.686,296.712,110.482,284,209503265
2023,7,0,25818,Scott Piercy,2.685,296.016,110.251,301,220203333
2023,8,0,45609,Tyler Duncan,2.683,299.821,111.75,277,206803315
2023,9,0,31560,Brian Stuard,2.682,277.085,103.298,204,213403195
2023,10,0,51890,Greyson Sigg,2.681,296.343,110.546,359,167603184
2023,11,0,48084,Wesley Bryan,2.68,307.149,114.587,126,195303183
2023,11,0,25686,Jason Dufner,2.68,302.322,112.814,276,703239
2023,11,0,27644,Brian Harman,2.68,295.029,110.076,321,180503400
2023,11,0,58696,Peter Kuest,2.68,324.986,121.283,127,217403067
2023,15,0,22056,Cameron Percy,2.679,293.816,109.694,204,224303197
2023,16,0,23108,Matt Kuchar,2.678,295.768,110.463,365,208903307
2023,17,0,47128,Richy Werenski,2.677,302.818,113.109,308,199103116
2023,18,0,57362,Austin Eckroat,2.674,303.461,113.48,282,4703157
2023,19,0,51950,Max McGreevy,2.673,292.855,109.57,271,197803280
2023,20,0,47079,Harrison Endycott,2.672,294.89,110.371,270,136503266
2023,21,0,12716,Charley Hoffman,2.67,308.205,115.418,232,198503185
2023,21,0,29908,C.T. Pan,2.67,298.142,111.672,180,181103153
2023,23,0,32816,Satoshi Kodaira,2.668,287.924,107.898,169,220603259
2023,23,0,50095,Austin Smotherman,2.668,303.348,113.691,315,212903305
2023,25,0,52375,Doug Ghim,2.667,300.419,112.652,237,209603121
2023,26,0,28775,Nate Lashley,2.666,297.785,111.69,339,192903143
2023,27,0,20229,Stewart Cink,2.665,308.775,115.882,275,182103133
2023,27,0,32102,Rickie Fowler,2.665,309.956,116.318,277,223603198
2023,27,0,35879,Kelly Kraft,2.665,288.812,108.377,340,190403220
2023,30,0,31646,Emiliano Grillo,2.664,299.984,112.616,359,15303115
2023,30,0,55182,Tom Kim,2.664,299.412,112.403,306,168103214
2023,30,0,39324,J.J. Spaun,2.664,301.103,113.036,357,197303242
2023,33,0,34563,Chesson Hadley,2.663,302.817,113.706,299,210803249
2023,34,0,33141,Keegan Bradley,2.662,306.617,115.176,265,222403181
2023,35,0,49960,Sepp Straka,2.661,299.897,112.681,291,203403214
2023,36,0,25900,Lucas Glover,2.66,296.029,111.298,334,200203244
2023,36,0,49766,Hank Lebioda,2.66,300.168,112.85,156,204703285
2023,38,0,45242,Kevin Yu,2.659,318.077,119.635,127,217803122
2023,39,0,35901,Paul Haley II,2.658,285.972,107.581,279,124203311
2023,39,0,35461,Beau Hossler,2.658,305.186,114.828,347,183303091
2023,41,0,30927,Brendon Todd,2.655,284.975,107.343,373,147803293
2023,42,0,55708,Hayden Buckley,2.654,303.415,114.304,248,158303167
2023,43,0,49298,Kramer Hickok,2.653,298.318,112.44,311,110203154
2023,44,0,36326,David Lipsky,2.652,293.506,110.656,344,165503332
2023,44,0,25632,Jimmy Walker,2.652,308.454,116.296,309,146603176
2023,46,0,30926,Chris Kirk,2.651,298.36,112.541,308,216803360
2023,47,0,34076,Joel Dahmen,2.649,296.595,111.945,278,184303309
2023,47,0,31557,Jim Herman,2.649,293.212,110.679,246,206203238
2023,47,0,49771,J.T. Poston,2.649,298.803,112.786,321,149203126
2023,47,0,29221,Webb Simpson,2.649,300.143,113.316,227,186603227
2023,51,0,56630,Akshay Bhatia,2.648,306.696,115.824,217,221503117
2023,51,0,34363,Tyrrell Hatton,2.648,307.555,116.147,287,199303103
2023,51,0,24024,Zach Johnson,2.648,288.042,108.769,218,140403242
2023,54,0,34098,Russell Henley,2.647,293.395,110.858,300,186003145
2023,54,0,27963,Chris Stroud,2.647,289.379,109.329,148,215302994
2023,54,0,52513,Carson Young,2.647,296.835,112.138,296,188103282
2023,57,0,33948,Byeong Hun An,2.642,316.416,119.748,347,187803456
2023,57,0,24140,Sean O'Hair,2.642,298.397,112.946,113,216603235
2023,59,0,47988,Nick Hardy,2.641,311.204,117.82,350,143203135
2023,59,0,25493,Nick Taylor,2.641,295.893,112.049,306,166003123
2023,59,0,33448,Justin Thomas,2.641,307.164,116.317,258,131703093
2023,62,0,27974,Sung Kang,2.64,294.86,111.678,122,210603326
2023,62,0,39975,Michael Kim,2.64,305.212,115.613,281,221703108
2023,64,0,27214,Kevin Streelman,2.639,298.27,113.035,334,208903219
2023,65,0,51349,Nico Echavarria,2.638,299.324,113.473,240,211203304
2023,65,0,59018,Ryan Gerard,2.638,298.218,113.046,164,186103095
2023,65,0,39971,Sungjae Im,2.638,300.678,113.974,371,169003114
2023,68,0,49453,Trevor Cone,2.637,317.035,120.238,249,216903341
2023,68,0,32448,James Hahn,2.637,300.465,113.93,309,204903231
2023,68,0,54783,Dylan Wu,2.637,299.663,113.618,301,187903159
2023,71,0,47993,Denny McCarthy,2.636,297.982,113.027,316,175303122
2023,71,0,51997,Andrew Novak,2.636,301.747,114.457,263,109403177
2023,73,0,48887,Matt Wallace,2.635,305.834,116.047,235,163803077
2023,73,0,32139,Danny Willett,2.635,293.763,111.493,207,214603309
2023,75,0,52955,Ludvig Åberg,2.634,316.71,120.256,162,196303127
2023,75,0,33408,Tyson Alexander,2.634,302.556,114.847,281,207103104
2023,75,0,52374,Brandon Wu,2.634,296.968,112.742,305,224703182
2023,78,0,31202,William McGirt,2.633,282.789,107.414,156,218103108
2023,78,0,58168,Davis Thompson,2.633,311.407,118.249,295,219403123
2023,80,0,37455,Si Woo Kim,2.632,298.712,113.489,407,202003118
2023,81,0,45157,Cam Davis,2.631,309.202,117.526,283,134503069
2023,82,0,35449,Adam Long,2.63,289.144,109.947,372,194503264
2023,82,0,28237,Rory McIlroy,2.63,327.243,124.419,228,216703105
2023,82,0,46441,Robby Shelton,2.63,296.788,112.829,307,208703220
2023,82,0,46340,Alex Smalley,2.63,303.897,115.563,346,103179
2023,86,0,36799,Stephan Jaeger,2.626,306.541,116.744,389,189203141
2023,86,0,46970,Jon Rahm,2.626,314.306,119.684,242,218903165
2023,86,0,47983,Chad Ramey,2.626,295.823,112.661,376,82003188
2023,89,0,46435,Austin Cook,2.625,283.734,108.072,243,188603277
2023,89,0,40162,Justin Lower,2.625,297.79,113.425,324,200503167
2023,91,0,29420,Billy Horschel,2.623,300.334,114.497,205,165403159
2023,92,0,23320,Ryan Palmer,2.622,302.209,115.24,269,99603171
2023,93,0,33399,Adam Hadwin,2.62,296.401,113.14,322,211503105
2023,93,0,55454,Carl Yuan,2.62,310.935,118.662,264,156503137
2023,95,0,40250,Taylor Pendrith,2.619,312.353,119.27,345,104903144
2023,96,0,52453,Nicolai Hojgaard,2.618,312.748,119.458,129,169103091
2023,96,0,39546,Keith Mitchell,2.618,312.444,119.349,290,214103166
2023,96,0,30692,Scott Stallings,2.618,304.919,116.464,230,154103136
2023,99,0,45522,Christiaan Bezuidenhout,2.617,292.784,111.874,314,207903242
2023,99,0,32757,Patton Kizzire,2.617,300.578,114.85,328,154403279
2023,99,0,34409,David Lingmerth,2.617,278.379,106.376,237,205203107
2023,99,0,36724,Augusto Núñez,2.617,311.93,119.216,218,218703171
2023,99,0,47995,Davis Riley,2.617,306.964,117.294,303,142403073
2023,104,0,35450,Patrick Cantlay,2.616,308.382,117.862,249,215203116
2023,105,0,27554,Scott Harrington,2.615,311.797,119.24,236,201903188
2023,105,0,33597,Harry Higgs,2.615,303.148,115.946,226,198203507
2023,105,0,33204,Shane Lowry,2.615,302.746,115.778,217,157503175
2023,108,0,39067,MJ Daffue,2.614,314.296,120.238,273,210703168
2023,108,0,33122,Russell Knox,2.614,287.161,109.857,341,135203207
2023,108,0,34466,Peter Malnati,2.614,299.119,114.446,326,207803181
2023,108,0,50525,Collin Morikawa,2.614,298.631,114.255,242,174503106
2023,112,0,39954,Cody Gribble,2.613,303.625,116.194,178,196103155
2023,112,0,35617,Martin Trainer,2.613,306.342,117.219,154,212003335
2023,114,0,34099,Harris English,2.612,303.353,116.153,291,207303139
2023,115,0,57975,Harry Hall,2.61,302.452,115.89,268,105303653
2023,115,0,30163,Henrik Norlander,2.61,298.262,114.296,243,179603231
2023,117,0,32366,Kevin Chappell,2.609,303.348,116.262,155,206703169
2023,117,0,35506,Mackenzie Hughes,2.609,300.29,115.114,300,148403044
2023,119,0,32791,K.H. Lee,2.607,300.493,115.272,324,6303141
2023,120,0,32839,Hideki Matsuyama,2.604,298.833,114.769,311,146203118
2023,121,0,39997,Corey Conners,2.603,302.718,116.279,338,202303119
2023,121,0,40098,Matt Fitzpatrick,2.603,304.42,116.969,261,169603092
2023,123,0,46717,Viktor Hovland,2.602,307.572,118.211,269,127303090
2023,124,0,54628,Lee Hodges,2.601,301.673,115.964,375,196503262
2023,124,0,55893,Sam Stevens,2.601,310.798,119.474,345,201803061
2023,126,0,24925,Jonathan Byrd,2.6,292.566,112.537,124,208603080
2023,126,0,50188,S.H. Kim,2.6,304.998,117.321,350,136303133
2023,128,0,54421,Garrick Higgo,2.599,311.673,119.935,339,191503069
2023,128,0,48119,Ben Taylor,2.599,305.148,117.43,286,137203057
2023,130,0,57366,Cameron Young,2.598,319.926,123.154,260,193503198
2023,131,0,34255,Joseph Bramlett,2.597,316.789,121.976,222,104103098
2023,131,0,34046,Jordan Spieth,2.597,302.842,116.611,278,139603042
2023,133,0,47504,Sam Burns,2.596,311.076,119.825,267,143003347
2023,134,0,40006,Erik van Rooyen,2.595,305.977,117.914,223,203403066
2023,135,0,49947,Taylor Moore,2.593,307.38,118.53,342,148303127
2023,136,0,51634,Sahith Theegala,2.592,304.68,117.527,354,176203123
2023,137,0,47591,Eric Cole,2.59,299.493,115.641,463,66903184
2023,137,0,40115,Adam Svensson,2.59,297.814,115.005,385,85703076
2023,139,0,27936,Martin Laird,2.589,293.659,113.429,223,204302975
2023,140,0,51070,Vincent Norrman,2.588,315.111,121.772,247,212203078
2023,141,0,35532,Tom Hoge,2.587,295.263,114.116,349,128503099
2023,141,0,36871,Matt NeSmith,2.587,296.498,114.601,336,135603418
2023,143,0,30911,Tommy Fleetwood,2.586,303.394,117.329,258,205103042
2023,143,0,29289,S.Y. Noh,2.586,302.202,116.882,171,210103110
2023,145,0,29725,Tony Finau,2.585,305.078,118.031,326,146003221
2023,146,0,27129,Luke List,2.584,312.577,120.982,327,201803473
2023,147,0,53165,Doc Redman,2.582,294.366,113.999,309,3303072
2023,147,0,36699,Patrick Rodgers,2.582,308.471,119.488,338,126503140
2023,149,0,51414,Brent Grant,2.581,316.822,122.769,211,216903091
2023,149,0,50493,Justin Suh,2.581,300.499,116.441,379,200503152
2023,151,0,40058,Zac Blair,2.58,285.656,110.725,256,207003116
2023,152,0,37338,Zecheng Dou,2.578,304.759,118.224,315,1503190
2023,152,0,28252,Seamus Power,2.578,303.211,117.622,253,181603056
2023,152,0,34610,Matthias Schwab,2.578,296.737,115.122,321,5903124
2023,155,0,37275,Sam Ryder,2.577,295.65,114.705,361,206603013
2023,155,0,34431,Robert Streb,2.577,297.315,115.374,254,3403072
2023,157,0,22405,Justin Rose,2.576,297.19,115.367,214,197903256
2023,157,0,39335,Kevin Roy,2.576,308.033,119.57,190,217503334
2023,159,0,32662,Michael Gligic,2.574,308.432,119.82,198,216403104
2023,159,0,48117,Kurt Kitayama,2.574,313.799,121.934,147,145603070
2023,161,0,28420,Ryan Brehm,2.573,312.975,121.643,233,209803130
2023,161,0,24502,Adam Scott,2.573,311.606,121.09,202,3403021
2023,163,0,39977,Max Homa,2.572,308.218,119.821,283,180103155
2023,163,0,46046,Scottie Scheffler,2.572,310.902,120.857,323,139903116
2023,163,0,48867,Matti Schmid,2.572,315.525,122.661,189,112203268
2023,166,0,35310,Lanto Griffin,2.571,303.853,118.204,165,204702989
2023,166,0,46414,Aaron Rai,2.571,293.467,114.137,351,117303194
2023,168,0,46601,Trey Mullinax,2.57,312.819,121.734,248,2803094
2023,169,0,52372,Cameron Champ,2.569,323.828,126.073,180,201403035
2023,169,0,54591,Ben Griffin,2.569,300.348,116.902,335,163603187
2023,171,0,29970,Dylan Frittelli,2.567,303.942,118.425,220,154303073
2023,171,0,46442,Maverick McNealy,2.567,300.452,117.023,195,118803087
2023,173,0,27349,Alex Noren,2.564,301.682,117.665,271,166303060
2023,174,0,22371,Aaron Baddeley,2.56,287.267,112.196,222,145202973
2023,175,0,33413,Ben Martin,2.556,294.951,115.416,322,209903034
2023,175,0,48699,Callum Tarren,2.556,312.696,122.328,324,139902994
2023,175,0,27095,Nick Watney,2.556,301.136,117.822,198,189803096
2023,178,0,34256,Andrew Putnam,2.553,285.454,111.833,381,183803035
2023,179,0,28089,Jason Day,2.551,302.671,118.646,258,1403043
2023,180,0,31577,Tano Goya,2.55,303.286,118.947,228,145103180
2023,181,0,48081,Xander Schauffele,2.548,306.293,120.21,236,1403110
2023,182,0,36801,Mark Hubbard,2.547,293.957,115.397,346,172203045
2023,183,0,32333,Kevin Tway,2.545,310.46,121.976,291,149203027
2023,184,0,51766,Wyndham Clark,2.541,317.224,124.821,272,137503195
2023,184,0,52411,Kyle Westmoreland,2.541,315.895,124.328,198,218003094
2023,186,0,58967,Trevor Werbylo,2.54,304.339,119.814,241,2703065
2023,187,0,33653,Thomas Detry,2.536,308.493,121.624,231,205903004
2023,188,0,31323,Gary Woodland,2.535,311.843,123.034,278,124003043
2023,189,0,39058,Lucas Herbert,2.518,308.222,122.406,181,205403047
2023,190,0,51491,Brandon Matthews,2.511,323.356,128.753,113,216402986
2023,191,0,47347,Adam Schenk,2.503,305.387,122.012,370,127803019
2023,192,0,56762,Will Gordon,2.502,312.315,124.84,275,138402945
