YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL ACTUAL HANG TIME,TOTAL ATTEMPTS
2024,1,0,51070,Vincent Norrman,4.0,1731.3,436
2024,2,0,32839,Hideki Matsuyama,3.9,2231.8,570
2024,3,1,55789,Taylor Montgomery,3.8,1427.6,378
2024,4,-1,52453,Nicolai Højgaard,3.6,1402.3,395
2024,5,0,52955,Ludvig Åberg,3.5,1964.2,554
2024,6,1,52372,Cameron Champ,3.4,1278.6,377
2024,6,-1,52666,Sami Valimaki,3.4,1765.2,513
2024,8,-1,48117,Kurt Kitayama,3.3,1404.8,432
2024,9,5,33408,Tyson Alexander,3.2,1844.0,573
2024,9,0,33948,Byeong Hun An,3.2,2021.8,626
2024,9,0,39997,Corey Conners,3.2,2271.8,709
2024,9,0,59442,Parker Coody,3.2,1519.6,474
2024,9,0,40098,Matt Fitzpatrick,3.2,1812.0,563
2024,9,0,23320,Ryan Palmer,3.2,1242.0,389
2024,15,-1,33653,Thomas Detry,3.1,1786.0,573
2024,15,3,34099,Harris English,3.1,1946.4,619
2024,15,-1,31646,Emiliano Grillo,3.1,2092.2,676
2024,15,3,47988,Nick Hardy,3.1,2347.9,768
2024,15,-1,39977,Max Homa,3.1,1718.2,556
2024,15,3,27129,Luke List,3.1,1851.7,603
2024,15,3,48887,Matt Wallace,3.1,1592.6,516
2024,22,-4,51766,Wyndham Clark,3.0,1473.4,485
2024,22,-4,46046,Scottie Scheffler,3.0,1784.0,600
2024,24,0,22371,Aaron Baddeley,2.9,1685.7,577
2024,24,9,28420,Ryan Brehm,2.9,1309.6,458
2024,24,0,29725,Tony Finau,2.9,1821.9,635
2024,24,0,12716,Charley Hoffman,2.9,1620.8,558
2024,24,9,35506,Mackenzie Hughes,2.9,2288.9,797
2024,24,0,40162,Justin Lower,2.9,2145.6,729
2024,24,0,39546,Keith Mitchell,2.9,2191.1,758
2024,24,0,34256,Andrew Putnam,2.9,2008.5,686
2024,24,0,22405,Justin Rose,2.9,1375.7,469
2024,24,0,54783,Dylan Wu,2.9,1961.7,671
2024,24,0,55454,Carl Yuan,2.9,1521.4,518
2024,35,17,34255,Joseph Bramlett,2.8,1768.2,642
2024,35,-2,45609,Tyler Duncan,2.8,1639.5,580
2024,35,6,27644,Brian Harman,2.8,2347.9,840
2024,35,-2,27349,Alex Noren,2.8,1352.5,490
2024,35,-2,29908,C.T. Pan,2.8,1489.6,530
2024,35,-2,48867,Matti Schmid,2.8,1459.7,528
2024,35,-2,51890,Greyson Sigg,2.8,1849.4,659
2024,35,-2,47483,Will Zalatoris,2.8,1362.2,492
2024,43,-2,32102,Rickie Fowler,2.7,1460.0,537
2024,43,9,52375,Doug Ghim,2.7,1959.4,729
2024,43,9,35310,Lanto Griffin,2.7,1378.7,514
2024,43,9,54421,Garrick Higgo,2.7,1668.3,613
2024,43,-2,29420,Billy Horschel,2.7,1777.2,663
2024,43,9,47993,Denny McCarthy,2.7,1987.4,744
2024,43,-2,49947,Taylor Moore,2.7,2147.7,788
2024,43,9,51997,Andrew Novak,2.7,1881.7,710
2024,43,-2,28252,Seamus Power,2.7,1889.7,713
2024,43,-2,48081,Xander Schauffele,2.7,1322.0,489
2024,43,9,46441,Robby Shelton,2.7,1809.9,670
2024,43,9,29221,Webb Simpson,2.7,1114.4,417
2024,43,-2,34046,Jordan Spieth,2.7,1622.1,607
2024,43,9,55893,Sam Stevens,2.7,2050.2,770
2024,43,-2,25493,Nick Taylor,2.7,1911.3,707
2024,43,-2,51634,Sahith Theegala,2.7,2109.1,790
2024,43,-2,40006,Erik van Rooyen,2.7,1807.2,679
2024,43,-2,57366,Cameron Young,2.7,1825.1,665
2024,61,-9,47504,Sam Burns,2.6,1513.1,576
2024,61,-9,32367,Jorge Campillo,2.6,942.9,359
2024,61,-9,35450,Patrick Cantlay,2.6,1412.2,547
2024,61,12,51349,Nico Echavarria,2.6,1676.9,655
2024,61,-9,57362,Austin Eckroat,2.6,1881.0,721
2024,61,12,54591,Ben Griffin,2.6,1840.1,703
2024,61,-9,57975,Harry Hall,2.6,1687.0,647
2024,61,-9,34098,Russell Henley,2.6,1680.4,642
2024,61,-9,35532,Tom Hoge,2.6,2094.1,804
2024,61,12,36801,Mark Hubbard,2.6,2182.5,844
2024,61,12,39975,Michael Kim,2.6,1640.3,621
2024,61,12,50188,S.H. Kim,2.6,2053.6,791
2024,61,-9,37455,Si Woo Kim,2.6,2089.0,795
2024,61,-9,47420,Jake Knapp,2.6,1731.8,654
2024,61,-9,28775,Nate Lashley,2.6,1611.4,614
2024,61,12,26596,Ryan Moore,2.6,1716.8,669
2024,61,12,47995,Davis Riley,2.6,1697.9,663
2024,61,-9,37275,Sam Ryder,2.6,1649.0,632
2024,61,-9,30927,Brendon Todd,2.6,2116.9,822
2024,80,-7,45522,Christiaan Bezuidenhout,2.5,1671.4,658
2024,80,-7,33141,Keegan Bradley,2.5,1542.5,619
2024,80,-7,47591,Eric Cole,2.5,2220.0,892
2024,80,-7,28089,Jason Day,2.5,1322.9,537
2024,80,-7,47663,Kevin Dougherty,2.5,1302.0,515
2024,80,17,50497,Adrien Dumont de Chassart,2.5,1430.4,568
2024,80,-7,30911,Tommy Fleetwood,2.5,1325.0,533
2024,80,-7,35461,Beau Hossler,2.5,2000.7,800
2024,80,-7,46717,Viktor Hovland,2.5,1263.9,498
2024,80,-7,39971,Sungjae Im,2.5,1872.2,757
2024,80,-7,34587,Chan Kim,2.5,1549.4,615
2024,80,17,32791,K.H. Lee,2.5,1508.1,614
2024,80,-7,37378,Min Woo Lee,2.5,1179.7,469
2024,80,-7,36326,David Lipsky,2.5,1379.5,553
2024,80,-7,52215,Robert MacIntyre,2.5,1428.2,576
2024,80,17,46442,Maverick McNealy,2.5,1799.6,726
2024,80,-7,36871,Matt NeSmith,2.5,1492.2,588
2024,80,-7,46414,Aaron Rai,2.5,1913.4,751
2024,80,-7,47983,Chad Ramey,2.5,1618.7,636
2024,80,17,36699,Patrick Rodgers,2.5,2233.2,904
2024,80,17,47347,Adam Schenk,2.5,1934.5,781
2024,80,17,58168,Davis Thompson,2.5,1759.2,704
2024,80,-7,27064,Jhonattan Vegas,2.5,1260.0,512
2024,103,10,34374,Erik Barnes,2.4,1036.4,440
2024,103,10,25900,Lucas Glover,2.4,1770.1,736
2024,103,-6,59095,Chris Gotterup,2.4,1373.2,573
2024,103,-6,51287,Ryo Hisatsune,2.4,1625.2,666
2024,103,-6,36799,Stephan Jaeger,2.4,1803.0,744
2024,103,-6,33968,Thorbjørn Olesen,2.4,830.7,342
2024,103,-6,48153,Matthieu Pavon,2.4,1247.6,523
2024,103,-6,47679,Victor Perez,2.4,1169.9,486
2024,103,-6,39327,Ben Silverman,2.4,1906.5,800
2024,103,-6,27649,Brandt Snedeker,2.4,1394.3,575
2024,103,-6,39324,J.J. Spaun,2.4,1646.6,689
2024,103,-6,27330,Josh Teater,2.4,992.7,409
2024,103,10,52513,Carson Young,2.4,1707.6,706
