YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,90,0,27936,Martin Laird,"15' 5""",231.417,15,-3
2024,90,0,47983,Chad Ramey,"15' 5""",339.25,22,+3
2024,93,0,50493,Justin Suh,"15' 6""",139.417,9,E
2024,94,0,34076,Joel Dahmen,"15' 7""",531.167,34,-7
2024,94,0,36884,Ben Kohles,"15' 7""",357.583,23,-3
2024,96,0,52666,Sami Valimaki,"15' 8""",281.25,18,-5
2024,97,0,47504,Sam Burns,"15' 9""",361.75,23,+1
2024,97,0,34098,Russell Henley,"15' 9""",252.5,16,-6
2024,99,0,48084,Wesley Bryan,"15' 11""",206.833,13,+3
2024,99,0,36326,David Lipsky,"15' 11""",174.917,11,-3
2024,101,0,48153,Matthieu Pavon,"16' 0""",208.083,13,+1
2024,101,0,26476,Chez Reavie,"16' 0""",176.167,11,E
2024,103,0,33653,Thomas Detry,"16' 1""",161.083,10,-1
2024,104,0,51349,Nico Echavarria,"16' 2""",258.0,16,-1
2024,104,0,40162,Justin Lower,"16' 2""",162.0,10,+5
2024,104,0,51634,Sahith Theegala,"16' 2""",322.5,20,-1
2024,107,0,50188,S.H. Kim,"16' 4""",294.667,18,+2
2024,108,0,34021,Bud Cauley,"16' 5""",278.75,17,-7
2024,108,0,31323,Gary Woodland,"16' 5""",279.0,17,-4
2024,110,0,34466,Peter Malnati,"16' 6""",247.667,15,-2
2024,110,0,49947,Taylor Moore,"16' 6""",412.417,25,-7
2024,110,0,25493,Nick Taylor,"16' 6""",279.917,17,-3
2024,113,0,40115,Adam Svensson,"16' 7""",447.75,27,-4
2024,114,0,45157,Cam Davis,"16' 8""",383.75,23,E
2024,114,0,23108,Matt Kuchar,"16' 8""",450.417,27,-1
2024,116,0,47591,Eric Cole,"16' 9""",419.583,25,-5
2024,116,0,55893,Sam Stevens,"16' 9""",518.833,31,-2
2024,118,0,30911,Tommy Fleetwood,"16' 11""",203.333,12,+2
2024,119,0,51977,Max Greyserman,"17' 0""",357.333,21,-2
2024,120,0,39997,Corey Conners,"17' 2""",257.667,15,-1
2024,120,0,54576,Patrick Fishburn,"17' 2""",464.167,27,-1
2024,120,0,39975,Michael Kim,"17' 2""",343.917,20,-3
2024,123,0,34374,Erik Barnes,"17' 5""",244.333,14,+6
2024,123,0,36699,Patrick Rodgers,"17' 5""",557.167,32,-7
2024,123,0,27214,Kevin Streelman,"17' 5""",243.583,14,+3
2024,126,0,57366,Cameron Young,"17' 6""",332.833,19,-6
2024,127,0,33204,Shane Lowry,"17' 7""",299.25,17,E
2024,127,0,51070,Vincent Norrman,"17' 7""",316.917,18,+3
2024,129,0,56149,Wilson Furr,"17' 8""",212.333,12,-3
2024,130,0,52514,Trace Crowe,"17' 9""",248.5,14,+1
2024,130,0,33399,Adam Hadwin,"17' 9""",409.167,23,+2
2024,132,0,39324,J.J. Spaun,"17' 10""",373.667,21,-3
2024,133,0,54783,Dylan Wu,"17' 11""",340.583,19,-3
2024,134,0,28237,Rory McIlroy,"18' 1""",235.5,13,-2
2024,135,0,28775,Nate Lashley,"18' 4""",275.583,15,-3
2024,135,0,46113,Ryan McCormick,"18' 4""",183.417,10,-6
2024,135,0,55789,Taylor Montgomery,"18' 4""",201.667,11,+8
2024,138,0,47806,Raul Pereda,"18' 5""",92.25,5,E
2024,139,0,38991,Alejandro Tosti,"18' 7""",389.5,21,+9
2024,140,0,52372,Cameron Champ,"18' 8""",280.25,15,E
2024,140,0,39327,Ben Silverman,"18' 8""",373.583,20,-5
2024,140,0,40006,Erik van Rooyen,"18' 8""",335.75,18,+1
2024,143,0,47483,Will Zalatoris,"19' 0""",265.417,14,+1
