YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
2024,1,0,55789,Taylor Montgomery,0.866,40.708,47
2024,2,0,51977,Max Greyserman,0.749,47.912,64
2024,3,0,35506,Mackenzie Hughes,0.742,62.309,84
2024,4,0,47993,Denny McCarthy,0.699,55.194,79
2024,5,0,40250,Taylor Pendrith,0.592,42.046,71
2024,6,0,50493,Justin Suh,0.589,36.536,62
2024,7,0,60004,Jacob Bridgeman,0.584,35.064,60
2024,8,0,39327,Ben Silverman,0.55,39.033,71
2024,9,0,28089,Jason Day,0.541,31.906,59
2024,10,0,33653,Thomas Detry,0.532,34.599,65
2024,11,0,51894,Vince Whaley,0.518,27.96,54
2024,12,0,48081,Xander Schauffele,0.51,35.209,69
2024,13,0,59836,Pierceson Coody,0.505,31.295,62
2024,14,0,47504,Sam Burns,0.496,32.73,66
2024,14,0,35461,Beau Hossler,0.496,39.15,79
2024,16,0,34099,Harris English,0.491,38.321,78
2024,16,0,50188,S.H. Kim,0.491,44.152,90
2024,18,0,22371,Aaron Baddeley,0.487,28.741,59
2024,19,0,51766,Wyndham Clark,0.476,29.512,62
2024,20,0,45522,Christiaan Bezuidenhout,0.459,33.077,72
2024,21,0,29420,Billy Horschel,0.442,29.646,67
2024,22,0,24024,Zach Johnson,0.42,18.076,43
2024,23,0,40098,Matt Fitzpatrick,0.417,25.828,62
2024,24,0,30927,Brendon Todd,0.409,36.427,89
2024,25,0,47983,Chad Ramey,0.406,27.985,69
2024,26,0,40006,Erik van Rooyen,0.403,28.205,70
2024,27,0,24502,Adam Scott,0.399,24.713,62
2024,28,0,32333,Kevin Tway,0.362,16.31,45
2024,29,0,23108,Matt Kuchar,0.351,23.534,67
2024,29,0,46442,Maverick McNealy,0.351,27.764,79
2024,31,0,40162,Justin Lower,0.35,29.014,83
2024,32,0,35617,Martin Trainer,0.347,14.228,41
2024,33,0,56630,Akshay Bhatia,0.345,27.24,79
