YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2024,0,51977,Max Greyserman,"8' 6""",4149.0,489
2024,0,48153,Matthieu Pavon,"8' 6""",3246.0,382
2024,0,40162,Justin Lower,"8' 5""",4819.0,571
2024,0,54576,Patrick Fishburn,"8' 4""",2873.25,345
2024,0,29936,Ryan Fox,"8' 4""",4061.167,488
2024,0,24024,Zach Johnson,"8' 4""",2595.75,310
2024,0,36884,Ben Kohles,"8' 3""",3902.5,475
2024,0,52513,Carson Young,"8' 3""",4263.5,515
2024,0,32333,Kevin Tway,"8' 2""",2458.833,302
2024,0,51287,Ryo Hisatsune,"8' 1""",3820.833,472
2024,0,39975,Michael Kim,"8' 0""",3383.0,424
2024,0,29478,Kevin Kisner,"8' 0""",2603.917,324
2024,0,39327,Ben Silverman,"8' 0""",3949.5,496
2024,0,27214,Kevin Streelman,"8' 0""",3031.083,379
2024,0,50493,Justin Suh,"8' 0""",3389.0,423
2024,0,40006,Erik van Rooyen,"8' 0""",4095.5,513
2024,0,46717,Viktor Hovland,"7' 11""",3152.917,397
2024,0,27139,David Skinns,"7' 11""",3606.0,457
2024,0,55893,Sam Stevens,"7' 11""",4421.333,558
2024,0,59836,Pierceson Coody,"7' 10""",3409.333,433
2024,0,35461,Beau Hossler,"7' 10""",4491.0,576
2024,0,59143,Mac Meissner,"7' 10""",3482.25,444
2024,0,40250,Taylor Pendrith,"7' 10""",4164.333,534
2024,0,48867,Matti Schmid,"7' 10""",3451.167,440
2024,0,51634,Sahith Theegala,"7' 10""",4872.333,621
2024,0,54591,Ben Griffin,"7' 9""",5053.333,650
2024,0,35310,Lanto Griffin,"7' 9""",2775.833,360
2024,0,60767,Blaine Hale Jr.,"7' 9""",1963.417,252
2024,0,51696,Rico Hoey,"7' 9""",3544.417,457
2024,0,33204,Shane Lowry,"7' 9""",3406.667,441
2024,0,36871,Matt NeSmith,"7' 9""",2819.75,363
2024,0,52955,Ludvig Åberg,"7' 8""",3731.917,486
2024,0,32366,Kevin Chappell,"7' 8""",2121.75,277
2024,0,39997,Corey Conners,"7' 8""",3991.917,523
2024,0,29420,Billy Horschel,"7' 8""",3711.333,486
2024,0,32791,K.H. Lee,"7' 8""",3778.083,493
2024,0,46113,Ryan McCormick,"7' 8""",2580.667,338
2024,0,33486,Roger Sloan,"7' 8""",3034.667,397
2024,0,52372,Cameron Champ,"7' 7""",2447.333,324
2024,0,51766,Wyndham Clark,"7' 7""",3820.083,504
2024,0,50497,Adrien Dumont de Chassart,"7' 7""",2782.0,366
2024,0,51349,Nico Echavarria,"7' 7""",3789.25,498
2024,0,47993,Denny McCarthy,"7' 7""",4789.5,634
2024,0,28252,Seamus Power,"7' 7""",4829.5,637
2024,0,46046,Scottie Scheffler,"7' 7""",3590.417,474
2024,0,50095,Austin Smotherman,"7' 7""",1827.417,242
2024,0,50484,Hayden Springer,"7' 7""",3068.083,404
2024,0,52666,Sami Valimaki,"7' 7""",3134.083,415
2024,0,48887,Matt Wallace,"7' 7""",3106.167,409
2024,0,33408,Tyson Alexander,"7' 6""",3338.5,446
2024,0,40026,Daniel Berger,"7' 6""",2816.917,377
2024,0,60004,Jacob Bridgeman,"7' 6""",3301.083,439
2024,0,34076,Joel Dahmen,"7' 6""",3469.25,461
2024,0,34099,Harris English,"7' 6""",4451.167,591
2024,0,52375,Doug Ghim,"7' 6""",3734.5,496
2024,0,34563,Chesson Hadley,"7' 6""",3119.5,414
2024,0,35532,Tom Hoge,"7' 6""",5280.333,702
2024,0,27936,Martin Laird,"7' 6""",3081.583,411
2024,0,28775,Nate Lashley,"7' 6""",3155.417,419
2024,0,27129,Luke List,"7' 6""",3473.5,461
2024,0,52215,Robert MacIntyre,"7' 6""",3514.917,469
2024,0,29908,C.T. Pan,"7' 6""",2924.583,391
2024,0,47679,Victor Perez,"7' 6""",3045.083,404
2024,0,36699,Patrick Rodgers,"7' 6""",4657.333,619
2024,0,37275,Sam Ryder,"7' 6""",3314.0,443
2024,0,27649,Brandt Snedeker,"7' 6""",2849.917,378
2024,0,47483,Will Zalatoris,"7' 6""",3039.0,405
2024,0,48084,Wesley Bryan,"7' 5""",1793.5,243
2024,0,35450,Patrick Cantlay,"7' 5""",3215.667,432
2024,0,33653,Thomas Detry,"7' 5""",3805.333,515
2024,0,29725,Tony Finau,"7' 5""",3638.25,490
2024,0,39971,Sungjae Im,"7' 5""",4471.417,602
2024,0,49947,Taylor Moore,"7' 5""",4721.083,638
2024,0,33968,Thorbjørn Olesen,"7' 5""",2122.25,286
2024,0,34256,Andrew Putnam,"7' 5""",3949.833,530
2024,0,34046,Jordan Spieth,"7' 5""",3399.417,458
2024,0,35617,Martin Trainer,"7' 5""",2245.917,303
2024,0,27064,Jhonattan Vegas,"7' 5""",3046.583,411
2024,0,51894,Vince Whaley,"7' 5""",2954.667,399
2024,0,33141,Keegan Bradley,"7' 4""",3712.5,504
2024,0,40098,Matt Fitzpatrick,"7' 4""",3576.583,488
2024,0,47988,Nick Hardy,"7' 4""",3565.333,487
2024,0,51997,Andrew Novak,"7' 4""",3929.833,535
2024,0,49771,J.T. Poston,"7' 4""",4214.333,574
2024,0,48081,Xander Schauffele,"7' 4""",3886.25,528
2024,0,46441,Robby Shelton,"7' 4""",3531.083,481
2024,0,25493,Nick Taylor,"7' 4""",4082.583,557
2024,0,52374,Brandon Wu,"7' 4""",3173.583,434
2024,0,54783,Dylan Wu,"7' 4""",3757.833,510
2024,0,37212,Paul Barjon,"7' 3""",2110.75,291
2024,0,34255,Joseph Bramlett,"7' 3""",3492.083,479
2024,0,47504,Sam Burns,"7' 3""",3858.833,535
2024,0,28089,Jason Day,"7' 3""",3456.667,479
2024,0,47663,Kevin Dougherty,"7' 3""",2294.75,317
2024,0,56149,Wilson Furr,"7' 3""",2297.167,316
2024,0,31646,Emiliano Grillo,"7' 3""",3917.75,542
2024,0,27644,Brian Harman,"7' 3""",4297.583,595
2024,0,54421,Garrick Higgo,"7' 3""",3036.167,418
2024,0,54628,Lee Hodges,"7' 3""",4151.583,570
2024,0,35506,Mackenzie Hughes,"7' 3""",4722.0,652
2024,0,34587,Chan Kim,"7' 3""",3485.75,480
2024,0,36326,David Lipsky,"7' 3""",2806.083,386
2024,0,32640,Troy Merritt,"7' 3""",2970.917,410
2024,0,47983,Chad Ramey,"7' 3""",3679.167,510
2024,0,26476,Chez Reavie,"7' 3""",2705.583,374
2024,0,22405,Justin Rose,"7' 3""",2872.167,396
2024,0,39324,J.J. Spaun,"7' 3""",3566.5,494
2024,0,48699,Callum Tarren,"7' 3""",2699.333,373
2024,0,38991,Alejandro Tosti,"7' 3""",3094.083,426
2024,0,45242,Kevin Yu,"7' 3""",3095.417,428
2024,0,45522,Christiaan Bezuidenhout,"7' 2""",4157.333,578
2024,0,32070,Rafael Campos,"7' 2""",2132.75,296
2024,0,52514,Trace Crowe,"7' 2""",2724.583,381
2024,0,30911,Tommy Fleetwood,"7' 2""",3302.167,460
2024,0,32102,Rickie Fowler,"7' 2""",3664.667,511
2024,0,25900,Lucas Glover,"7' 2""",3899.417,543
2024,0,33399,Adam Hadwin,"7' 2""",3737.167,523
2024,0,12716,Charley Hoffman,"7' 2""",3120.583,435
2024,0,52453,Nicolai Højgaard,"7' 2""",2172.583,304
2024,0,32757,Patton Kizzire,"7' 2""",2595.333,363
2024,0,28237,Rory McIlroy,"7' 2""",3397.917,473
2024,0,46442,Maverick McNealy,"7' 2""",4233.833,591
2024,0,47995,Davis Riley,"7' 2""",3660.917,512
2024,0,24502,Adam Scott,"7' 2""",3427.833,480
2024,0,51890,Greyson Sigg,"7' 2""",3048.333,425
2024,0,29221,Webb Simpson,"7' 2""",2607.167,365
2024,0,59866,Nick Dunlap,"7' 1""",3442.583,485
2024,0,34098,Russell Henley,"7' 1""",3599.167,511
2024,0,36801,Mark Hubbard,"7' 1""",4359.167,617
