YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
2024,0,30163,Henrik Norlander,"33' 0""",69,2276.25,E
2024,0,50484,Hayden Springer,"33' 9""",91,3073.167,-15.00
2024,0,32640,Troy Merritt,"37' 11""",64,2424.417,-6.00
2024,0,39546,Keith Mitchell,"38' 6""",166,6389.083,+7.00
2024,0,60767,Blaine Hale Jr.,"39' 0""",78,3042.083,+10.00
2024,0,31323,Gary Woodland,"39' 1""",119,4646.667,-3.00
2024,0,47504,Sam Burns,"39' 7""",92,3643.833,+3.00
2024,0,50493,Justin Suh,"39' 7""",74,2932.083,+5.00
2024,0,34563,Chesson Hadley,"39' 8""",112,4443.417,-9.00
2024,0,54421,Garrick Higgo,"39' 10""",110,4381.5,+3.00
2024,0,47983,Chad Ramey,"39' 10""",93,3702.917,+6.00
2024,0,33486,Roger Sloan,"39' 11""",73,2910.917,+4.00
2024,0,55893,Sam Stevens,"40' 7""",151,6125.0,+2.00
2024,0,28237,Rory McIlroy,"40' 10""",80,3264.167,-9.00
2024,0,27330,Josh Teater,"40' 10""",54,2206.083,+14.00
2024,0,55454,Carl Yuan,"40' 10""",101,4120.417,+15.00
2024,0,33204,Shane Lowry,"41' 0""",84,3446.0,+8.00
2024,0,51766,Wyndham Clark,"41' 1""",99,4067.917,-1.00
2024,0,39324,J.J. Spaun,"41' 1""",103,4229.333,+2.00
2024,0,38991,Alejandro Tosti,"41' 1""",128,5256.417,E
2024,0,34587,Chan Kim,"41' 2""",122,5025.667,-3.00
2024,0,52666,Sami Valimaki,"41' 2""",96,3948.25,+15.00
2024,0,54591,Ben Griffin,"41' 4""",152,6283.0,-3.00
2024,0,29936,Ryan Fox,"41' 5""",126,5214.333,+14.00
2024,0,52375,Doug Ghim,"41' 6""",114,4733.417,+5.00
2024,0,27644,Brian Harman,"41' 6""",129,5349.333,+6.00
2024,0,40026,Daniel Berger,"41' 7""",64,2659.167,+6.00
2024,0,29725,Tony Finau,"41' 7""",122,5068.917,-7.00
2024,0,35310,Lanto Griffin,"41' 7""",98,4074.75,+11.00
2024,0,48117,Kurt Kitayama,"41' 7""",96,3988.417,+5.00
2024,0,48867,Matti Schmid,"41' 9""",108,4505.667,+15.00
2024,0,33448,Justin Thomas,"41' 10""",113,4724.833,+10.00
2024,0,52374,Brandon Wu,"41' 10""",69,2885.583,+14.00
2024,0,57900,Chandler Phillips,"41' 11""",126,5284.75,+23.00
2024,0,28775,Nate Lashley,"42' 3""",108,4567.333,+9.00
2024,0,46046,Scottie Scheffler,"42' 4""",101,4279.833,-4.00
2024,0,25900,Lucas Glover,"42' 5""",99,4196.083,+11.00
2024,0,47806,Raul Pereda,"42' 7""",76,3235.333,+7.00
2024,0,34255,Joseph Bramlett,"42' 9""",148,6322.583,+8.00
2024,0,31646,Emiliano Grillo,"42' 9""",111,4741.25,+7.00
2024,0,35461,Beau Hossler,"42' 9""",156,6664.25,+8.00
2024,0,39997,Corey Conners,"42' 10""",103,4412.25,+8.00
2024,0,51997,Andrew Novak,"42' 10""",121,5181.417,+8.00
