YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2021,0,46442,Maverick McNealy,100.0,25,25
2021,0,24138,Ian Poulter,100.0,27,27
2021,0,35891,Cameron Smith,98.18,55,54
2021,0,34256,Andrew Putnam,97.14,35,34
2021,0,28252,Seamus Power,96.97,33,32
2021,0,26758,David Hearn,96.67,30,29
2021,0,26329,Louis Oosthuizen,96.3,27,26
2021,0,21209,Sergio Garcia,95.83,48,46
2021,0,46717,Viktor Hovland,95.83,48,46
2021,0,39975,Michael Kim,95.65,23,22
2021,0,34099,Harris English,95.45,44,42
2021,0,34466,Peter Malnati,95.0,40,38
2021,0,39953,Chase Seiffert,95.0,20,19
2021,0,23108,Matt Kuchar,94.59,37,35
2021,0,34314,Sebastian Cappelen,94.12,17,16
2021,0,27349,Alex Noren,94.12,51,48
2021,0,19846,Brian Gay,93.94,33,31
2021,0,32662,Michael Gligic,93.55,31,29
2021,0,32757,Patton Kizzire,93.33,60,56
2021,0,30927,Brendon Todd,93.02,43,40
2021,0,33410,Andrew Landry,92.86,28,26
2021,0,24361,Pat Perez,92.86,42,39
2021,0,33486,Roger Sloan,92.86,42,39
2021,0,30925,Dustin Johnson,92.68,41,38
2021,0,1810,Phil Mickelson,92.68,41,38
2021,0,49771,J.T. Poston,92.68,41,38
2021,0,34431,Robert Streb,92.5,40,37
2021,0,32640,Troy Merritt,92.45,53,49
2021,0,23983,Luke Donald,92.31,26,24
2021,0,46402,Talor Gooch,92.31,52,48
2021,0,31323,Gary Woodland,92.31,39,36
2021,0,52375,Doug Ghim,92.16,51,47
2021,0,34363,Tyrrell Hatton,92.0,25,23
2021,0,23320,Ryan Palmer,91.89,37,34
2021,0,31560,Brian Stuard,91.84,49,45
2021,0,27214,Kevin Streelman,91.53,59,54
2021,0,47959,Bryson DeChambeau,91.49,47,43
2021,0,47993,Denny McCarthy,91.49,47,43
2021,0,23621,Rory Sabbatini,91.49,47,43
2021,0,34264,Hudson Swafford,91.49,47,43
2021,0,27649,Brandt Snedeker,91.11,45,41
2021,0,36801,Mark Hubbard,90.91,44,40
2021,0,26499,Rafa Cabrera Bello,90.63,32,29
2021,0,39324,J.J. Spaun,90.32,31,28
2021,0,35506,Mackenzie Hughes,90.24,41,37
2021,0,28237,Rory McIlroy,90.24,41,37
2021,0,25364,Paul Casey,90.0,40,36
2021,0,30911,Tommy Fleetwood,90.0,20,18
2021,0,33399,Adam Hadwin,90.0,50,45
2021,0,30944,Jason Kokrak,89.66,58,52
2021,0,32333,Kevin Tway,89.66,29,26
2021,0,35658,Kris Ventura,89.66,29,26
2021,0,22371,Aaron Baddeley,89.47,19,17
2021,0,48081,Xander Schauffele,89.36,47,42
2021,0,49766,Hank Lebioda,89.29,28,25
2021,0,35617,Martin Trainer,89.29,28,25
2021,0,33122,Russell Knox,89.13,46,41
2021,0,40026,Daniel Berger,89.09,55,49
2021,0,45526,Abraham Ancer,88.89,45,40
2021,0,20229,Stewart Cink,88.89,45,40
2021,0,27330,Josh Teater,88.89,18,16
2021,0,33419,Cameron Tringale,88.89,54,48
2021,0,46550,Brandon Hagy,88.57,35,31
2021,0,53165,Doc Redman,88.57,35,31
2021,0,31557,Jim Herman,88.46,26,23
2021,0,35230,Nelson Ledesma,88.46,26,23
2021,0,33667,Carlos Ortiz,88.46,52,46
2021,0,46970,Jon Rahm,88.46,52,46
2021,0,52372,Cameron Champ,88.37,43,38
2021,0,45609,Tyler Duncan,88.24,34,30
2021,0,35461,Beau Hossler,88.24,34,30
2021,0,36689,Brooks Koepka,88.24,51,45
2021,0,45486,Joaquin Niemann,88.14,59,52
2021,0,40006,Erik van Rooyen,88.1,42,37
2021,0,40098,Matt Fitzpatrick,87.88,33,29
2021,0,25493,Nick Taylor,87.72,57,50
2021,0,37189,Harold Varner III,87.72,57,50
2021,0,26851,Marc Leishman,87.5,40,35
2021,0,22405,Justin Rose,87.5,24,21
2021,0,30692,Scott Stallings,87.5,40,35
2021,0,51894,Vince Whaley,87.5,40,35
2021,0,32139,Danny Willett,87.5,16,14
2021,0,56278,Matthew Wolff,87.5,32,28
2021,0,21961,Charles Howell III,87.18,39,34
2021,0,31420,Anirban Lahiri,87.18,39,34
2021,0,34046,Jordan Spieth,87.04,54,47
2021,0,35310,Lanto Griffin,86.96,46,40
2021,0,29479,Scott Brown,86.67,45,39
2021,0,22056,Cameron Percy,86.67,45,39
2021,0,26331,Charl Schwartzel,86.67,45,39
2021,0,20396,Lee Westwood,86.67,30,26
2021,0,46435,Austin Cook,86.49,37,32
2021,0,29420,Billy Horschel,86.49,37,32
2021,0,26476,Chez Reavie,86.36,44,38
2021,0,25900,Lucas Glover,86.21,58,50
2021,0,25632,Jimmy Walker,86.11,36,31
2021,0,49960,Sepp Straka,86.0,50,43
2021,0,19803,Ryan Armour,85.71,42,36
2021,0,33404,Chris Baker,85.71,21,18
2021,0,47504,Sam Burns,85.71,49,42
2021,0,29908,C.T. Pan,85.71,35,30
2021,0,35449,Adam Long,85.37,41,35
2021,0,29725,Tony Finau,85.19,54,46
2021,0,49964,Aaron Wise,85.11,47,40
2021,0,28089,Jason Day,85.0,40,34
2021,0,33448,Justin Thomas,85.0,60,51
2021,0,48887,Matt Wallace,85.0,20,17
2021,0,34174,John Huh,84.85,33,28
2021,0,51766,Wyndham Clark,84.78,46,39
2021,0,56762,Will Gordon,84.62,39,33
2021,0,33204,Shane Lowry,84.62,39,33
2021,0,46046,Scottie Scheffler,84.51,71,60
2021,0,49298,Kramer Hickok,84.38,32,27
2021,0,24357,K.J. Choi,84.21,19,16
2021,0,37455,Si Woo Kim,84.13,63,53
2021,0,27556,Ted Potter Jr.,83.87,31,26
2021,0,37275,Sam Ryder,83.87,31,26
2021,0,23325,Vaughn Taylor,83.87,31,26
2021,0,29970,Dylan Frittelli,83.78,37,31
2021,0,35532,Tom Hoge,83.75,80,67
