YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
2010,0,8537,J.P. Hayes,3.0,3,1
2010,0,27933,John Merrick,3.0,3,1
2010,0,21959,Ted Purdy,3.0,3,1
2010,0,23623,Bo Van Pelt,3.0,3,1
2010,0,20098,Stuart Appleby,4.0,4,1
2010,0,22371,Aaron Baddeley,4.0,4,1
2010,0,24846,Ricky Barnes,4.0,4,1
2010,0,24507,Jason Bohn,4.0,4,1
2010,0,1116,Michael Bradley,4.0,4,1
2010,0,12510,Chad Campbell,4.0,4,1
2010,0,20593,Greg Chalmers,4.0,4,1
2010,0,20229,Stewart Cink,4.0,4,1
2010,0,23673,Michael Connell,4.0,4,1
2010,0,22621,Ben Curtis,4.0,4,1
2010,0,23638,Brendon de Jonge,4.0,4,1
2010,0,6251,Chris DiMarco,4.0,4,1
2010,0,23409,James Driscoll,4.0,4,1
2010,0,1313,Steve Elkington,4.0,4,1
2010,0,28307,Matt Every,4.0,4,1
2010,0,32102,Rickie Fowler,4.0,4,1
2010,0,24358,Robert Garrigus,4.0,4,1
2010,0,20157,Retief Goosen,4.0,4,1
2010,0,20766,Padraig Harrington,4.0,4,1
2010,0,23353,J.J. Henry,4.0,4,1
2010,0,12716,Charley Hoffman,4.0,4,1
2010,0,6514,Kevin Johnson,4.0,4,1
2010,0,26300,Matt Jones,4.0,4,1
2010,0,8075,Jerry Kelly,4.0,4,1
2010,0,1619,Skip Kendall,4.0,4,1
2010,0,26695,Michael Letzig,4.0,4,1
2010,0,23548,Bill Lunde,4.0,4,1
2010,0,1766,Billy Mayfair,4.0,4,1
2010,0,10585,Scott McCarron,4.0,4,1
2010,0,6515,Shaun Micheel,4.0,4,1
2010,0,23800,Bryce Molder,4.0,4,1
2010,0,26596,Ryan Moore,4.0,4,1
2010,0,26301,James Nitties,4.0,4,1
2010,0,20572,Rod Pampling,4.0,4,1
2010,0,1948,Tim Petrovic,4.0,4,1
2010,0,25345,Carl Pettersson,4.0,4,1
2010,0,28620,Aron Price,4.0,4,1
2010,0,20127,Chris Riley,4.0,4,1
2010,0,22405,Justin Rose,4.0,4,1
2010,0,26882,Michael Sim,4.0,4,1
2010,0,29221,Webb Simpson,4.0,4,1
2010,0,6567,Vijay Singh,4.0,4,1
2010,0,27214,Kevin Streelman,4.0,4,1
2010,0,27963,Chris Stroud,4.0,4,1
2010,0,31560,Brian Stuard,4.0,4,1
2010,0,6595,Kevin Sutherland,4.0,4,1
2010,0,23325,Vaughn Taylor,4.0,4,1
2010,0,28780,Nicholas Thompson,4.0,4,1
2010,0,2239,Scott Verplank,4.0,4,1
2010,0,26951,Johnson Wagner,4.0,4,1
2010,0,25804,Bubba Watson,4.0,4,1
2010,0,26289,Boo Weekley,4.0,4,1
2010,0,23322,Brett Wetterich,4.0,4,1
2010,0,20160,Charlie Wi,4.0,4,1
2010,0,10425,Jay Williamson,4.0,4,1
2010,0,28087,Kris Blanks,5.0,5,1
2010,0,27436,Graham DeLaet,5.0,5,1
2010,0,6621,Joe Durant,5.0,5,1
2010,0,20574,Mathew Goggin,5.0,5,1
2010,0,12782,Tim Herron,5.0,5,1
2010,0,12705,Cliff Kresge,5.0,5,1
2010,0,26881,Jarrod Lyle,5.0,5,1
2010,0,24912,Will MacKenzie,5.0,5,1
2010,0,21949,Joe Ogilvie,5.0,5,1
2010,0,1945,Kenny Perry,5.0,5,1
2010,0,30946,Alex Prugh,5.0,5,1
2010,0,8375,Paul Stankowski,5.0,5,1
2010,0,2206,David Toms,6.0,6,1
2005,0,1024,Billy Andrade,5.0,5,1
2005,0,20098,Stuart Appleby,5.0,5,1
2005,0,19824,Craig Barlow,5.0,5,1
2005,0,23135,Tim Clark,5.0,5,1
2005,0,1313,Steve Elkington,5.0,5,1
2005,0,1418,Bill Glasson,5.0,5,1
2005,0,26420,Richard Johnson,5.0,5,1
2005,0,1724,Jeff Maggert,5.0,5,1
2005,0,20691,Greg Owen,5.0,5,1
2005,0,22621,Ben Curtis,5.5,11,2
2005,0,25900,Lucas Glover,5.5,11,2
2005,0,1810,Phil Mickelson,5.5,11,2
2005,0,22405,Justin Rose,5.5,11,2
2005,0,2106,Chris Smith,5.5,22,4
2005,0,10423,Mike Weir,5.5,11,2
2005,0,10425,Jay Williamson,5.5,11,2
2005,0,10885,Robert Allenby,5.667,17,3
2005,0,23540,Jason Allred,5.667,17,3
2005,0,7867,Woody Austin,5.667,17,3
2005,0,8931,Glen Day,5.667,17,3
2005,0,22548,Patrick Sheehan,5.667,17,3
2005,0,12602,Dean Wilson,5.667,17,3
2005,0,10912,Craig Perks,5.714,40,7
