YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
2024,0,32070,Rafael Campos,0.82,49,60
2024,0,56149,Wilson Furr,0.81,46,57
2024,0,38991,Alejandro Tosti,0.8,55,69
2024,0,51070,Vincent Norrman,0.76,37,49
2024,0,48699,Callum Tarren,0.74,52,70
2024,0,48319,Tom Whitney,0.74,50,68
2024,0,28420,Ryan Brehm,0.72,43,60
2024,0,35310,Lanto Griffin,0.72,52,72
2024,0,29478,Kevin Kisner,0.72,39,54
2024,0,47663,Kevin Dougherty,0.69,43,62
2024,0,29535,Brice Garnett,0.69,33,48
2024,0,23320,Ryan Palmer,0.69,29,42
2024,0,37275,Sam Ryder,0.69,52,75
2024,0,27330,Josh Teater,0.69,36,52
2024,0,34255,Joseph Bramlett,0.68,57,84
2024,0,34587,Chan Kim,0.68,54,80
2024,0,26596,Ryan Moore,0.67,48,72
2024,0,27649,Brandt Snedeker,0.67,39,58
2024,0,55454,Carl Yuan,0.67,43,64
2024,0,48887,Matt Wallace,0.66,42,64
2024,0,32367,Jorge Campillo,0.65,34,52
2024,0,39546,Keith Mitchell,0.65,53,81
2024,0,37212,Paul Barjon,0.64,34,53
2024,0,46113,Ryan McCormick,0.64,39,61
2024,0,47806,Raul Pereda,0.64,30,47
2024,0,27770,Camilo Villegas,0.63,36,57
2024,0,36884,Ben Kohles,0.62,53,85
2024,0,46340,Alex Smalley,0.62,46,74
2024,0,51696,Rico Hoey,0.61,51,84
2024,0,28775,Nate Lashley,0.61,45,74
2024,0,51890,Greyson Sigg,0.61,46,76
2024,0,50484,Hayden Springer,0.61,44,72
2024,0,60767,Blaine Hale Jr.,0.6,31,52
2024,0,48867,Matti Schmid,0.6,47,78
2024,0,57366,Cameron Young,0.6,49,81
2024,0,36326,David Lipsky,0.59,41,69
2024,0,47983,Chad Ramey,0.59,49,83
2024,0,45242,Kevin Yu,0.59,43,73
2024,0,48084,Wesley Bryan,0.58,29,50
2024,0,32757,Patton Kizzire,0.58,36,62
2024,0,32640,Troy Merritt,0.58,43,74
2024,0,33486,Roger Sloan,0.58,38,66
2024,0,35617,Martin Trainer,0.58,29,50
2024,0,27064,Jhonattan Vegas,0.57,41,72
2024,0,52513,Carson Young,0.57,49,86
2024,0,55708,Hayden Buckley,0.56,40,71
2024,0,47988,Nick Hardy,0.56,49,87
2024,0,52453,Nicolai Højgaard,0.56,32,57
2024,0,31323,Gary Woodland,0.56,45,80
2024,0,59866,Nick Dunlap,0.55,37,67
2024,0,59095,Chris Gotterup,0.55,39,71
2024,0,34374,Erik Barnes,0.54,29,54
2024,0,34076,Joel Dahmen,0.54,48,89
2024,0,60067,Joe Highsmith,0.54,38,70
2024,0,27936,Martin Laird,0.54,39,72
2024,0,48153,Matthieu Pavon,0.54,34,63
2024,0,47347,Adam Schenk,0.54,50,92
2024,0,52374,Brandon Wu,0.54,44,81
2024,0,30926,Chris Kirk,0.53,41,77
2024,0,32839,Hideki Matsuyama,0.53,39,74
2024,0,36871,Matt NeSmith,0.53,38,72
2024,0,40115,Adam Svensson,0.53,57,107
2024,0,54783,Dylan Wu,0.53,42,80
2024,0,47483,Will Zalatoris,0.53,35,66
2024,0,32366,Kevin Chappell,0.52,29,56
2024,0,47420,Jake Knapp,0.52,39,75
2024,0,30163,Henrik Norlander,0.52,34,66
2024,0,25493,Nick Taylor,0.52,43,83
2024,0,52666,Sami Valimaki,0.52,31,60
2024,0,33948,Byeong Hun An,0.51,38,75
2024,0,52372,Cameron Champ,0.51,29,57
2024,0,29725,Tony Finau,0.51,40,79
2024,0,55182,Tom Kim,0.51,40,79
2024,0,29221,Webb Simpson,0.51,26,51
2024,0,40006,Erik van Rooyen,0.51,40,79
2024,0,24024,Zach Johnson,0.5,24,48
2024,0,50188,S.H. Kim,0.5,53,105
2024,0,32791,K.H. Lee,0.5,39,78
2024,0,46441,Robby Shelton,0.5,38,76
2024,0,52514,Trace Crowe,0.49,33,68
2024,0,51287,Ryo Hisatsune,0.49,41,84
2024,0,12716,Charley Hoffman,0.49,34,70
2024,0,36799,Stephan Jaeger,0.49,39,79
2024,0,50493,Justin Suh,0.49,36,74
2024,0,51634,Sahith Theegala,0.49,46,93
2024,0,33408,Tyson Alexander,0.48,36,75
2024,0,40058,Zac Blair,0.48,39,82
2024,0,34563,Chesson Hadley,0.48,32,66
2024,0,27129,Luke List,0.48,37,77
2024,0,33968,Thorbjørn Olesen,0.48,23,48
2024,0,55893,Sam Stevens,0.48,47,98
2024,0,39997,Corey Conners,0.47,41,87
2024,0,50497,Adrien Dumont de Chassart,0.47,35,74
2024,0,54576,Patrick Fishburn,0.47,33,70
2024,0,48117,Kurt Kitayama,0.47,37,79
2024,0,50095,Austin Smotherman,0.47,25,53
2024,0,40026,Daniel Berger,0.46,35,76
2024,0,35532,Tom Hoge,0.46,46,101
2024,0,39977,Max Homa,0.46,36,79
2024,0,33204,Shane Lowry,0.46,32,70
2024,0,57900,Chandler Phillips,0.46,38,83
2024,0,26476,Chez Reavie,0.46,31,68
2024,0,34466,Peter Malnati,0.45,34,75
2024,0,47995,Davis Riley,0.45,33,73
2024,0,30927,Brendon Todd,0.45,45,99
2024,0,45157,Cam Davis,0.44,34,77
2024,0,51349,Nico Echavarria,0.44,39,88
2024,0,40098,Matt Fitzpatrick,0.44,31,71
2024,0,35461,Beau Hossler,0.44,37,85
2024,0,49771,J.T. Poston,0.44,37,85
2024,0,27139,David Skinns,0.44,36,82
2024,0,34021,Bud Cauley,0.43,23,54
2024,0,25900,Lucas Glover,0.43,40,93
2024,0,54591,Ben Griffin,0.43,48,112
2024,0,40162,Justin Lower,0.43,42,97
2024,0,27349,Alex Noren,0.43,30,69
2024,0,22405,Justin Rose,0.43,26,61
2024,0,39324,J.J. Spaun,0.43,34,80
2024,0,58168,Davis Thompson,0.43,39,90
2024,0,60004,Jacob Bridgeman,0.42,33,78
2024,0,59836,Pierceson Coody,0.42,33,78
2024,0,34099,Harris English,0.42,39,93
2024,0,29936,Ryan Fox,0.42,33,78
2024,0,51977,Max Greyserman,0.42,32,77
2024,0,33399,Adam Hadwin,0.42,33,79
2024,0,54628,Lee Hodges,0.42,38,91
2024,0,39975,Michael Kim,0.42,34,81
2024,0,28237,Rory McIlroy,0.42,29,69
2024,0,32333,Kevin Tway,0.42,25,60
2024,0,52955,Ludvig Åberg,0.41,31,75
2024,0,57975,Harry Hall,0.41,33,80
2024,0,29420,Billy Horschel,0.41,31,76
2024,0,29908,C.T. Pan,0.41,24,59
2024,0,28252,Seamus Power,0.41,39,96
2024,0,59442,Parker Coody,0.4,22,55
2024,0,45609,Tyler Duncan,0.4,28,70
2024,0,32102,Rickie Fowler,0.4,31,77
2024,0,52375,Doug Ghim,0.4,36,91
2024,0,36801,Mark Hubbard,0.4,40,99
2024,0,37455,Si Woo Kim,0.4,35,88
2024,0,59143,Mac Meissner,0.4,29,72
2024,0,49947,Taylor Moore,0.4,40,99
2024,0,36699,Patrick Rodgers,0.4,40,100
2024,0,46717,Viktor Hovland,0.39,22,57
2024,0,39971,Sungjae Im,0.39,34,87
2024,0,27214,Kevin Streelman,0.39,27,69
2024,0,56630,Akshay Bhatia,0.38,33,86
2024,0,47591,Eric Cole,0.38,41,107
2024,0,46414,Aaron Rai,0.38,33,86
2024,0,49960,Sepp Straka,0.38,29,77
2024,0,33141,Keegan Bradley,0.37,29,79
2024,0,35450,Patrick Cantlay,0.37,24,65
2024,0,51766,Wyndham Clark,0.37,25,67
2024,0,33653,Thomas Detry,0.37,25,67
2024,0,30911,Tommy Fleetwood,0.37,26,71
2024,0,23108,Matt Kuchar,0.37,27,73
2024,0,40250,Taylor Pendrith,0.37,28,76
2024,0,34256,Andrew Putnam,0.37,29,79
2024,0,39327,Ben Silverman,0.37,29,78
2024,0,48119,Ben Taylor,0.37,23,62
2024,0,28089,Jason Day,0.36,25,69
2024,0,57362,Austin Eckroat,0.36,32,90
2024,0,37378,Min Woo Lee,0.36,24,66
2024,0,46442,Maverick McNealy,0.36,33,92
2024,0,34046,Jordan Spieth,0.36,25,70
2024,0,33448,Justin Thomas,0.36,24,67
2024,0,51894,Vince Whaley,0.36,26,72
2024,0,54421,Garrick Higgo,0.35,28,79
2024,0,46046,Scottie Scheffler,0.34,24,71
2024,0,24502,Adam Scott,0.34,24,71
2024,0,22371,Aaron Baddeley,0.33,24,73
2024,0,47993,Denny McCarthy,0.33,29,87
2024,0,51997,Andrew Novak,0.33,27,83
2024,0,47504,Sam Burns,0.32,23,73
2024,0,27644,Brian Harman,0.32,28,87
2024,0,31646,Emiliano Grillo,0.31,26,85
2024,0,52215,Robert MacIntyre,0.31,22,72
2024,0,55789,Taylor Montgomery,0.31,17,54
2024,0,50525,Collin Morikawa,0.28,22,79
2024,0,35506,Mackenzie Hughes,0.25,24,95
2024,0,45522,Christiaan Bezuidenhout,0.24,18,76
2024,0,47679,Victor Perez,0.24,17,72
2024,0,34098,Russell Henley,0.18,13,73
2024,0,48081,Xander Schauffele,0.18,14,79
2023,0,51414,Brent Grant,0.83,70,84
2023,0,32816,Satoshi Kodaira,0.79,50,63
2023,0,49453,Trevor Cone,0.77,63,82
2023,0,31323,Gary Woodland,0.75,62,83
2023,0,36724,Augusto Núñez,0.74,63,85
2023,0,33448,Justin Thomas,0.74,53,72
2023,0,25686,Jason Dufner,0.73,66,91
2023,0,31557,Jim Herman,0.73,56,77
2023,0,31577,Tano Goya,0.72,65,90
2023,0,52411,Kyle Westmoreland,0.7,55,79
2023,0,53165,Doc Redman,0.69,54,78
2023,0,59018,Ryan Gerard,0.68,42,62
2023,0,32640,Troy Merritt,0.68,63,92
2023,0,30692,Scott Stallings,0.68,57,84
2023,0,48084,Wesley Bryan,0.67,32,48
2023,0,25900,Lucas Glover,0.67,67,100
2023,0,51491,Brandon Matthews,0.66,39,59
2023,0,27936,Martin Laird,0.65,57,88
2023,0,45242,Kevin Yu,0.65,46,71
2023,0,39954,Cody Gribble,0.64,45,70
2023,0,27554,Scott Harrington,0.64,51,80
2023,0,55454,Carl Yuan,0.64,54,84
2023,0,24140,Sean O'Hair,0.63,33,52
2023,0,35901,Paul Haley II,0.62,57,92
2023,0,51070,Vincent Norrman,0.62,53,85
2023,0,35617,Martin Trainer,0.62,39,63
2023,0,39067,MJ Daffue,0.61,63,103
2023,0,49298,Kramer Hickok,0.61,59,97
2023,0,49766,Hank Lebioda,0.61,37,61
2023,0,46601,Trey Mullinax,0.61,43,71
2023,0,22056,Cameron Percy,0.61,41,67
2023,0,39335,Kevin Roy,0.61,46,76
2023,0,48887,Matt Wallace,0.61,51,84
2023,0,28420,Ryan Brehm,0.6,52,86
2023,0,45157,Cam Davis,0.6,55,91
2023,0,46435,Austin Cook,0.59,50,85
2023,0,45609,Tyler Duncan,0.59,55,94
2023,0,27129,Luke List,0.59,59,100
2023,0,29908,C.T. Pan,0.59,32,54
2023,0,35310,Lanto Griffin,0.58,33,57
2023,0,36871,Matt NeSmith,0.58,57,99
2023,0,50095,Austin Smotherman,0.58,58,100
2023,0,47079,Harrison Endycott,0.57,51,89
2023,0,52375,Doug Ghim,0.57,53,93
2023,0,48117,Kurt Kitayama,0.57,41,72
2023,0,56630,Akshay Bhatia,0.56,47,84
2023,0,52372,Cameron Champ,0.56,44,78
2023,0,37338,Zecheng Dou,0.56,54,97
2023,0,29725,Tony Finau,0.56,47,84
2023,0,47995,Davis Riley,0.56,57,102
2023,0,27214,Kevin Streelman,0.56,54,96
2023,0,25632,Jimmy Walker,0.56,48,86
2023,0,34076,Joel Dahmen,0.55,51,92
2023,0,36326,David Lipsky,0.55,57,103
2023,0,40006,Erik van Rooyen,0.55,43,78
2023,0,58696,Peter Kuest,0.54,25,46
2023,0,30163,Henrik Norlander,0.54,49,91
2023,0,26476,Chez Reavie,0.54,52,96
2023,0,48867,Matti Schmid,0.54,43,79
2023,0,29221,Webb Simpson,0.54,31,57
2023,0,39324,J.J. Spaun,0.54,55,102
2023,0,27963,Chris Stroud,0.54,31,57
2023,0,27095,Nick Watney,0.54,41,76
2023,0,24925,Jonathan Byrd,0.53,32,60
2023,0,25818,Scott Piercy,0.53,52,99
2023,0,32333,Kevin Tway,0.53,54,101
2023,0,55708,Hayden Buckley,0.52,44,84
2023,0,46340,Alex Smalley,0.52,58,112
2023,0,34255,Joseph Bramlett,0.51,41,80
2023,0,32662,Michael Gligic,0.51,37,73
2023,0,56762,Will Gordon,0.51,57,111
2023,0,39546,Keith Mitchell,0.51,48,94
2023,0,23320,Ryan Palmer,0.51,40,79
2023,0,46970,Jon Rahm,0.51,36,71
2023,0,46414,Aaron Rai,0.51,54,105
2023,0,34610,Matthias Schwab,0.51,53,103
2023,0,40058,Zac Blair,0.5,39,78
2023,0,54421,Garrick Higgo,0.5,52,103
2023,0,33122,Russell Knox,0.5,57,114
2023,0,51950,Max McGreevy,0.5,46,92
2023,0,50525,Collin Morikawa,0.49,40,81
