YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2024,0,45522,Christiaan Bezuidenhout,50.00%,144,288
2024,0,47591,Eric Cole,48.15%,182,378
2024,0,27649,Brandt Snedeker,48.15%,52,108
2024,0,24502,Adam Scott,47.92%,138,288
2024,0,33968,Thorbjørn Olesen,47.53%,77,162
2024,0,57900,Chandler Phillips,47.06%,144,306
2024,0,34098,Russell Henley,46.73%,143,306
2024,0,33399,Adam Hadwin,46.67%,126,270
2024,0,27644,Brian Harman,46.39%,167,360
2024,0,37455,Si Woo Kim,46.39%,167,360
2024,0,29478,Kevin Kisner,46.30%,50,108
2024,0,30927,Brendon Todd,46.03%,174,378
2024,0,55454,Carl Yuan,45.83%,66,144
2024,0,29420,Billy Horschel,45.75%,140,306
2024,0,55708,Hayden Buckley,45.68%,74,162
2024,0,47993,Denny McCarthy,45.61%,156,342
2024,0,28089,Jason Day,45.56%,123,270
2024,0,39975,Michael Kim,45.30%,106,234
2024,0,40098,Matt Fitzpatrick,45.19%,122,270
2024,0,34256,Andrew Putnam,45.19%,122,270
2024,0,28237,Rory McIlroy,45.14%,130,288
2024,0,32839,Hideki Matsuyama,45.10%,138,306
2024,0,39971,Sungjae Im,45.06%,146,324
2024,0,32366,Kevin Chappell,44.95%,89,198
2024,0,47995,Davis Riley,44.91%,97,216
2024,0,51766,Wyndham Clark,44.87%,105,234
2024,0,50484,Hayden Springer,44.87%,105,234
2024,0,33653,Thomas Detry,44.84%,113,252
2024,0,12716,Charley Hoffman,44.84%,113,252
2024,0,47504,Sam Burns,44.79%,129,288
2024,0,57975,Harry Hall,44.77%,137,306
2024,0,46046,Scottie Scheffler,44.77%,137,306
2024,0,52955,Ludvig Åberg,44.44%,136,306
2024,0,35450,Patrick Cantlay,44.44%,120,270
2024,0,47806,Raul Pereda,44.44%,24,54
2024,0,56630,Akshay Bhatia,44.14%,143,324
2024,0,47347,Adam Schenk,44.10%,127,288
2024,0,22405,Justin Rose,43.94%,87,198
2024,0,35506,Mackenzie Hughes,43.92%,166,378
2024,0,55789,Taylor Montgomery,43.83%,71,162
2024,0,33948,Byeong Hun An,43.75%,126,288
2024,0,52215,Robert MacIntyre,43.59%,102,234
2024,0,33408,Tyson Alexander,43.43%,86,198
2024,0,32102,Rickie Fowler,43.40%,125,288
2024,0,29221,Webb Simpson,43.21%,70,162
2024,0,34046,Jordan Spieth,43.16%,101,234
2024,0,58168,Davis Thompson,43.06%,155,360
2024,0,32070,Rafael Campos,42.86%,54,126
2024,0,48153,Matthieu Pavon,42.74%,100,234
2024,0,37212,Paul Barjon,42.59%,23,54
2024,0,36799,Stephan Jaeger,42.59%,115,270
2024,0,23320,Ryan Palmer,42.59%,46,108
2024,0,49771,J.T. Poston,42.59%,138,324
2024,0,39977,Max Homa,42.48%,130,306
2024,0,35532,Tom Hoge,42.42%,168,396
2024,0,37275,Sam Ryder,42.42%,84,198
2024,0,30911,Tommy Fleetwood,42.36%,122,288
2024,0,25493,Nick Taylor,42.36%,122,288
2024,0,29908,C.T. Pan,42.22%,76,180
2024,0,54783,Dylan Wu,42.22%,114,270
2024,0,50188,S.H. Kim,42.06%,159,378
2024,0,29936,Ryan Fox,42.01%,121,288
