YEAR,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
2024,0,32366,Kevin Chappell,77.5,1008,13
2024,0,51766,Wyndham Clark,79.9,1278,16
2024,0,48084,Wesley Bryan,81.8,900,11
2024,0,51696,Rico Hoey,82.4,1566,19
2024,0,52372,Cameron Champ,83.1,1080,13
2024,0,52955,Ludvig Åberg,84.4,1350,16
2024,0,37212,Paul Barjon,85.5,1026,12
2024,0,55454,Carl Yuan,86.1,1206,14
2024,0,47504,Sam Burns,86.6,1386,16
2024,0,32791,K.H. Lee,92.3,1476,16
2024,0,27129,Luke List,92.4,1386,15
2024,0,36326,David Lipsky,92.6,1296,14
2024,0,48887,Matt Wallace,92.8,1206,13
2024,0,46340,Alex Smalley,93.6,1404,15
2024,0,52666,Sami Valimaki,94.5,1134,12
2024,0,48867,Matti Schmid,97.2,1458,15
2024,0,57366,Cameron Young,97.2,1458,15
2024,0,35310,Lanto Griffin,97.7,1368,14
2024,0,32333,Kevin Tway,98.2,1080,11
2024,0,40006,Erik van Rooyen,99.6,1494,15
2024,0,38991,Alejandro Tosti,99.7,1296,13
2024,0,48699,Callum Tarren,101.1,1314,13
2024,0,50484,Hayden Springer,103.8,1350,13
2024,0,32367,Jorge Campillo,104.0,936,9
2024,0,56149,Wilson Furr,106.2,1062,10
2024,0,47663,Kevin Dougherty,106.4,1170,11
2024,0,32070,Rafael Campos,108.0,1080,10
2024,0,47420,Jake Knapp,108.0,1404,13
2024,0,28252,Seamus Power,108.0,1728,16
2024,0,54591,Ben Griffin,109.9,2088,19
2024,0,39997,Corey Conners,111.9,1566,14
2024,0,27064,Jhonattan Vegas,112.5,1350,12
2024,0,35506,Mackenzie Hughes,114.0,1710,15
2024,0,37378,Min Woo Lee,114.5,1260,11
2024,0,29221,Webb Simpson,114.8,918,8
2024,0,28775,Nate Lashley,115.5,1386,12
2024,0,39546,Keith Mitchell,117.7,1530,13
2024,0,48117,Kurt Kitayama,118.5,1422,12
2024,0,33204,Shane Lowry,119.5,1314,11
2024,0,51977,Max Greyserman,121.5,1458,12
2024,0,50188,S.H. Kim,121.5,1944,16
2024,0,46046,Scottie Scheffler,122.7,1350,11
2024,0,54421,Garrick Higgo,123.0,1476,12
2024,0,36871,Matt NeSmith,124.4,1368,11
2024,0,28420,Ryan Brehm,126.0,1134,9
2024,0,59866,Nick Dunlap,127.8,1278,10
2024,0,40115,Adam Svensson,128.4,1926,15
2024,0,47806,Raul Pereda,128.6,900,7
2024,0,34099,Harris English,128.8,1674,13
2024,0,27214,Kevin Streelman,129.6,1296,10
2024,0,34255,Joseph Bramlett,130.5,1566,12
2024,0,55893,Sam Stevens,131.1,1836,14
2024,0,27349,Alex Noren,131.4,1314,10
2024,0,46442,Maverick McNealy,131.5,1710,13
2024,0,36801,Mark Hubbard,132.4,1854,14
2024,0,39327,Ben Silverman,132.5,1458,11
2024,0,45609,Tyler Duncan,133.2,1332,10
2024,0,60067,Joe Highsmith,133.2,1332,10
2024,0,32839,Hideki Matsuyama,133.2,1332,10
2024,0,48153,Matthieu Pavon,134.0,1206,9
2024,0,33948,Byeong Hun An,135.0,1350,10
2024,0,29725,Tony Finau,135.8,1494,11
2024,0,48081,Xander Schauffele,135.8,1494,11
2024,0,35450,Patrick Cantlay,138.0,1242,9
2024,0,51349,Nico Echavarria,138.0,1656,12
2024,0,37455,Si Woo Kim,138.0,1656,12
2024,0,28237,Rory McIlroy,138.0,1242,9
2024,0,39975,Michael Kim,139.1,1530,11
2024,0,29936,Ryan Fox,140.4,1404,10
2024,0,51997,Andrew Novak,140.7,1548,11
2024,0,52375,Doug Ghim,141.0,1692,12
2024,0,60767,Blaine Hale Jr.,141.4,990,7
2024,0,29420,Billy Horschel,142.2,1422,10
2024,0,47591,Eric Cole,142.7,1998,14
2024,0,29535,Brice Garnett,144.0,864,6
2024,0,46113,Ryan McCormick,144.0,1152,8
2024,0,56630,Akshay Bhatia,145.6,1602,11
2024,0,35461,Beau Hossler,145.6,1602,11
2024,0,52513,Carson Young,147.3,1620,11
2024,0,60004,Jacob Bridgeman,147.6,1476,10
2024,0,57975,Harry Hall,149.4,1494,10
2024,0,59143,Mac Meissner,150.0,1350,9
2024,0,34587,Chan Kim,151.2,1512,10
2024,0,29908,C.T. Pan,151.7,1062,7
2024,0,58168,Davis Thompson,153.8,1692,11
2024,0,50497,Adrien Dumont de Chassart,154.0,1386,9
2024,0,32640,Troy Merritt,154.0,1386,9
2024,0,33486,Roger Sloan,155.3,1242,8
2024,0,34563,Chesson Hadley,157.5,1260,8
2024,0,35532,Tom Hoge,157.5,1890,12
2024,0,37275,Sam Ryder,158.0,1422,9
2024,0,51287,Ryo Hisatsune,158.4,1584,10
2024,0,50095,Austin Smotherman,159.0,954,6
2024,0,24502,Adam Scott,159.8,1278,8
2024,0,48319,Tom Whitney,159.8,1278,8
2024,0,39324,J.J. Spaun,160.0,1440,9
2024,0,31323,Gary Woodland,160.0,1440,9
2024,0,59836,Pierceson Coody,162.0,1458,9
2024,0,49947,Taylor Moore,162.0,1782,11
2024,0,23320,Ryan Palmer,162.0,810,5
2024,0,47679,Victor Perez,162.0,1296,8
2024,0,51634,Sahith Theegala,167.4,1674,10
2024,0,30163,Henrik Norlander,169.7,1188,7
2024,0,29478,Kevin Kisner,171.0,1026,6
2024,0,47995,Davis Riley,171.0,1368,8
2024,0,57900,Chandler Phillips,174.0,1566,9
2024,0,33408,Tyson Alexander,175.5,1404,8
2024,0,46441,Robby Shelton,177.8,1422,8
2024,0,46414,Aaron Rai,178.0,1602,9
2024,0,34046,Jordan Spieth,180.0,1260,7
2024,0,40098,Matt Fitzpatrick,182.6,1278,7
2024,0,55182,Tom Kim,184.5,1476,8
2024,0,33399,Adam Hadwin,186.8,1494,8
2024,0,28089,Jason Day,187.7,1314,7
2024,0,54576,Patrick Fishburn,187.7,1314,7
2024,0,47347,Adam Schenk,190.0,1710,9
2024,0,31646,Emiliano Grillo,191.3,1530,8
2024,0,52215,Robert MacIntyre,192.9,1350,7
2024,0,32757,Patton Kizzire,195.0,1170,6
2024,0,48119,Ben Taylor,195.0,1170,6
2024,0,50493,Justin Suh,198.0,1386,7
2024,0,27330,Josh Teater,198.0,990,5
2024,0,45242,Kevin Yu,198.0,1386,7
2024,0,34466,Peter Malnati,200.6,1404,7
2024,0,40250,Taylor Pendrith,203.1,1422,7
2024,0,46717,Viktor Hovland,205.2,1026,5
2024,0,40026,Daniel Berger,205.7,1440,7
2024,0,59442,Parker Coody,208.8,1044,5
2024,0,55789,Taylor Montgomery,208.8,1044,5
2024,0,25900,Lucas Glover,209.3,1674,8
2024,0,47483,Will Zalatoris,210.0,1260,6
2024,0,52514,Trace Crowe,213.0,1278,6
2024,0,30911,Tommy Fleetwood,213.0,1278,6
2024,0,36799,Stephan Jaeger,213.4,1494,7
2024,0,26476,Chez Reavie,216.0,1296,6
2024,0,52374,Brandon Wu,216.0,1512,7
2024,0,40058,Zac Blair,221.1,1548,7
2024,0,25493,Nick Taylor,221.1,1548,7
2024,0,55708,Hayden Buckley,222.0,1332,6
2024,0,27644,Brian Harman,223.7,1566,7
2024,0,47993,Denny McCarthy,223.7,1566,7
2024,0,35617,Martin Trainer,225.0,900,4
2024,0,22371,Aaron Baddeley,228.0,1368,6
2024,0,23108,Matt Kuchar,228.0,1368,6
2024,0,51894,Vince Whaley,228.0,1368,6
2024,0,36884,Ben Kohles,228.9,1602,7
2024,0,49771,J.T. Poston,228.9,1602,7
2024,0,34076,Joel Dahmen,236.6,1656,7
2024,0,33141,Keegan Bradley,237.0,1422,6
2024,0,33653,Thomas Detry,252.0,1260,5
2024,0,27139,David Skinns,255.0,1530,6
2024,0,52453,Nicolai Højgaard,256.5,1026,4
2024,0,47983,Chad Ramey,258.0,1548,6
2024,0,12716,Charley Hoffman,262.8,1314,5
2024,0,59095,Chris Gotterup,266.4,1332,5
2024,0,27936,Martin Laird,270.0,1350,5
2024,0,26596,Ryan Moore,270.0,1350,5
2024,0,39971,Sungjae Im,273.0,1638,6
2024,0,22405,Justin Rose,274.5,1098,4
2024,0,27770,Camilo Villegas,274.5,1098,4
2024,0,57362,Austin Eckroat,282.0,1692,6
2024,0,39977,Max Homa,284.4,1422,5
2024,0,45522,Christiaan Bezuidenhout,288.0,1440,5
2024,0,30927,Brendon Todd,297.0,1782,6
2024,0,54783,Dylan Wu,298.8,1494,5
2024,0,47988,Nick Hardy,313.2,1566,5
2024,0,33448,Justin Thomas,319.5,1278,4
2024,0,34021,Bud Cauley,324.0,972,3
2024,0,34098,Russell Henley,328.5,1314,4
2024,0,54628,Lee Hodges,338.4,1692,5
2024,0,49960,Sepp Straka,346.5,1386,4
2024,0,36699,Patrick Rodgers,360.0,1800,5
2024,0,40162,Justin Lower,363.6,1818,5
2024,0,27649,Brandt Snedeker,366.0,1098,3
2024,0,33968,Thorbjørn Olesen,432.0,864,2
2024,0,51070,Vincent Norrman,441.0,882,2
2024,0,50525,Collin Morikawa,474.0,1422,3
2024,0,45157,Cam Davis,480.0,1440,3
2024,0,32102,Rickie Fowler,480.0,1440,3
2024,0,30926,Chris Kirk,486.0,1458,3
2024,0,51890,Greyson Sigg,720.0,1440,2
2024,0,34256,Andrew Putnam,1494.0,1494,1
2023,0,52955,Ludvig Åberg,75.0,900,12
