YEAR,MOVEMENT,PLAYER_ID,PLAYER,CMB RANK/FEDEX MOVEMENT,OTT RANK/PREV FEDEX RANK,PUTT RANK/CUR FEDEX RANK
2020,13,52372,Cameron Champ,1,1.119,0
2020,29,34360,Patrick Reed,2,0.732,0
2020,3,45486,Joaquin Niemann,3,0.706,0
2020,4,28237,Rory McIlroy,4,0.564,0
2020,28,48081,Xander Schauffele,5,0.545,0
2020,13,33448,Justin Thomas,6,0.538,0
2020,-5,30925,Dustin Johnson,7,0.477,0
2020,14,34363,Tyrrell Hatton,8,0.445,0
2020,17,35310,Lanto Griffin,9,0.42,0
2020,-3,46970,Jon Rahm,10,0.412,0
2020,40,50525,Collin Morikawa,11,0.389,0
2020,26,46717,Viktor Hovland,12,0.341,0
2020,1,46046,Scottie Scheffler,13,0.284,0
2020,7,48822,Sebastián Muñoz,14,0.258,0
2020,0,29221,Webb Simpson,15,0.254,0
2020,14,47959,Bryson DeChambeau,16,0.136,0
2020,24,39971,Sungjae Im,17,0.079,0
2020,28,23320,Ryan Palmer,18,0.024,0
2020,9,45526,Abraham Ancer,19,-0.005,0
2020,20,30927,Brendon Todd,20,-0.044,0
2020,-10,32839,Hideki Matsuyama,21,-0.178,0
2020,1,29725,Tony Finau,22,-0.444,0
2020,11,29420,Billy Horschel,23,-0.522,0
2020,24,35506,Mackenzie Hughes,24,-0.725,0
2020,33,25396,Kevin Na,25,-0.762,0
2020,-16,40026,Daniel Berger,26,-0.832,0
2020,16,29478,Kevin Kisner,27,-0.916,0
2020,33,26851,Marc Leishman,28,-1.049,0
2020,-4,34099,Harris English,29,-1.091,0
2020,24,35891,Cameron Smith,30,-1.153,0
